Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
দারিদ্র একটি বিপদ যাকাত মুক্তির রাজপথ,রিদওয়ানুল হক শামসী,TK. 60,TK. 42,https://rokomari.com//book/188383/daridro-ekti-bipod-jhakat-muktir-rajpoth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8c8ba3209_188383.jpg,"",দারিদ্র একটি বিপদ যাকাত মুক্তির রাজপথ, , ,রিদওয়ানুল হক শামসী,আল-ইমাম ফাউন্ডেশন, ,"1st Published,2017",64,Bangladesh,Bangla & Arabic
এসো হে মুমিন জান্নাতের পথে,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 60,TK. 42,https://rokomari.com//book/188384/eso-he-mumin-jannater-pothe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/470c9f0be_188384.jpg,"",এসো হে মুমিন জান্নাতের পথে, , ,"আল্লামা ওবায়দুল্লাহ হামযাহ্,এম. আহসান উল্লাহ",আল-ইমাম ফাউন্ডেশন, ,"1st Published,2018",48,Bangladesh,Bangla & Arabic
চারিত্রিক সৌন্দর্য কোন পথে?,ছানা উল্লাহ রিয়াদ,TK. 60,TK. 42,https://rokomari.com//book/188385/charitrik-soundorjhyo-kon-pothe-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/104849af7_188385.jpg,"",চারিত্রিক সৌন্দর্য কোন পথে?, , ,ছানা উল্লাহ রিয়াদ,আল-ইমাম ফাউন্ডেশন, ,"1st Published,2018",40,Bangladesh,Bangla & Arabic
আমাদের তারুণ্য প্রসঙ্গ ফেইসবুক,মুফতি রিদওয়ানুল কাদির,TK. 60,TK. 42,https://rokomari.com//book/188387/amader-tarunyo-prosongo-facebook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6ff225ce_188387.jpg,"",আমাদের তারুণ্য প্রসঙ্গ ফেইসবুক,মুফতি রিদওয়ানুল কাদির, ,আল্লামা ওবায়দুল্লাহ হামযাহ্,Al-Imam Foundation, ,"1st Published,2016",64,বাংলাদেশ,বাংলা
ইলমের মর্যাদা ও উলামায়ে দেওবন্দের অবদান,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 60,TK. 42,https://rokomari.com//book/188388/ilmer-morzada-o-ulamaye-deobonder-obodan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/987791e31_188388.jpg,"",ইলমের মর্যাদা ও উলামায়ে দেওবন্দের অবদান, , ,"আল্লামা ওবায়দুল্লাহ হামযাহ্,মুহাম্মদ এরশাদুল হক খালভী",Al-Imam Foundation, ,"1st Published,2018",64,বাংলাদেশ,বাংলা
ব্যবসা বনাম সুদ প্রেক্ষিত মুসলিমবিশ্ব,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 60,TK. 42,https://rokomari.com//book/188390/bybsa-bonam-sud-prekkhito-muslimbishwo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8ab9f2ce7_188390.jpg,"",ব্যবসা বনাম সুদ প্রেক্ষিত মুসলিমবিশ্ব,আল্লামা ওবায়দুল্লাহ হামযাহ্, ,মুফতি শাহাদাত তাহের রশিদী,Al-Imam Foundation, ,"1st Published,2016",64,বাংলাদেশ,বাংলা
বিপন্ন নারী: ইসলামে তার অধিকার মর্যাদা,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 30,TK. 21,https://rokomari.com//book/188391/biponno-nari--islame-tar-odhikar-morjhada,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fafd3fede_188391.jpg,"",বিপন্ন নারী: ইসলামে তার অধিকার মর্যাদা,আল্লামা ওবায়দুল্লাহ হামযাহ্, ,মুফতি শাহাদাত তাহের রশিদী,Al-Imam Foundation, ,"Edition,2016",40,বাংলাদেশ,বাংলা
ইয়াবার ভয়াল থাবা টার্গেট বাংলাদেশ,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 40,TK. 28,https://rokomari.com//book/188392/yabar-voyal-thaba-target-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b1275f948_188392.jpg,"",ইয়াবার ভয়াল থাবা টার্গেট বাংলাদেশ,আল্লামা ওবায়দুল্লাহ হামযাহ্, ,রিদওয়ানুল হক শামসী,Al-Imam Foundation, ,"1st Published,2017",40,বাংলাদেশ,বাংলা
মানবাধিকার প্রতিষ্ঠায় মহানবী সা. এর অবদান,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 40,TK. 28,https://rokomari.com//book/188393/manobadhikar-protishthyay-mohanobi-sm--er-obodan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2eff94947_188393.jpg,"",মানবাধিকার প্রতিষ্ঠায় মহানবী সা. এর অবদান,আল্লামা ওবায়দুল্লাহ হামযাহ্, ,নূর আহমদ তালহা,Al-Imam Foundation, ,"1st Published,2017",32,বাংলাদেশ,বাংলা
সন্ত্রাসবাদ : কারণ ও প্রতিকার,আল্লামা ওবায়দুল্লাহ হামযাহ্,TK. 25,TK. 18,https://rokomari.com//book/188394/sontrasbad---karon-o-protikar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/02b12cc35_188394.jpg,"",সন্ত্রাসবাদ : কারণ ও প্রতিকার, , ,আল্লামা ওবায়দুল্লাহ হামযাহ্,Al-Imam Foundation, , ,32,বাংলাদেশ,বাংলা
