Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গার্মেন্টস এন্ড টেকনোলজি,এম. এ. কাশেম,TK. 500,TK. 360,https://rokomari.com//book/69374/garments,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69374.GIF,"এ বইটিতে গার্মেন্টস প্যাটার্ন, মার্কার, কাপড় বিছানো, কাপড় কাটার পদ্ধতিসমূহ, ইন্টার লাইনিং, ফিউজিং, সুইং বা সেলাইকরণ, ট্রিমিংস, প্রেসিং ও ফিনিসিং, কোয়ালিটি কন্ট্রোল, কাপড় ও সেলাই-সূতা কনজামশন, ছিমের জন্য থ্রেড কনজামশন, মূল্য নির্ধারণ বা প্রাইস কষ্টিং সম্পর্কে ভালো ধারণা দেয়ার চেষ্টা করা হয়েছে। এছাড়া ইন্টারভিউর জন্য কারিগরী বিষয়ে সম্ভাব্য প্রশ্ন ও উত্তর দেয়া হয়েছে।",গার্মেন্টস এন্ড টেকনোলজি,এম. এ. কাশেম, , ,গ্রন্থনীড় প্রকাশনী, , , ,বাংলাদেশ,বাংলা
গার্মেন্টস মার্চেন্ডাইজিং,প্রফেসর এম. এ. কাশেম,TK. 650,TK. 455,https://rokomari.com//book/150370/garments-merchandising,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e13c3645e_150370.jpg,"",গার্মেন্টস মার্চেন্ডাইজিং,প্রফেসর এম. এ. কাশেম, , ,গ্রন্থনীড় প্রকাশনী,9789849199168,"2nd Published,2017",336,বাংলাদেশ,বাংলা
Garments Merchandising,এম. এ. কাশেম,TK. 620,TK. 434,https://rokomari.com//book/69375/garments-merchandising,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9adc390e6_69375.jpg,"",Garments Merchandising,M. A. Kashem, , ,Granthanir Prokashoni,9789849111252,"1st Edition,2015",308,Bangladesh,English
কমপ্লায়েনস এন্ড অডিট,মোঃ ওমর ফারুক,TK. 560,TK. 392,https://rokomari.com//book/87153/compliance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140824_87153.gif,"",কমপ্লায়েনস এন্ড অডিট,মোঃ ওমর ফারুক, , ,গ্রন্থনীড় প্রকাশনী, , , ,বাংলাদেশ,বাংলা
Understanding Textiles for a Merchandiser,শাহ আলিমুজ্জামান বেলাল,"TK. 1,160",TK. 870,https://rokomari.com//book/69389/understanding-textiles-for-a-merchandiser,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69389.GIF,"",Understanding Textiles for a Merchandiser,Shah Alimujjaman Belal, , ,Granthanir Prokashoni, , , ,Bangladesh,English
টেক্সটাইল ফাইবার,এম. এ. সায়েম,TK. 400,TK. 300,https://rokomari.com//book/69381/textile-fiber,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69381.GIF,"প্রাকৃতিক ফাইবার
* কটন
* জুট
* লিনেন
* র‌্যামি
* উল
* রেশম
* খনিজ ফাইবার

কৃত্রিম ফাইবার
* ভিসকোস রেয়ন
* এসিটেট
* নাইলন
* এরামিড
* পলিষ্টার
* একরাইলিক
* স্পানডেক্স",টেক্সটাইল ফাইবার,এম. এ. সায়েম, , ,গ্রন্থনীড় প্রকাশনী, , , ,বাংলাদেশ,বাংলা
গার্মেন্টস মার্কেটিং এন্ড  মার্চেন্ডাইজিং,মোহাম্মদ তাজাম্মল হুসাইন,TK. 475,TK. 404,https://rokomari.com//book/165687/garments-marketing-and-merchandising,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/19bb1a8d0_165687.jpg,"",গার্মেন্টস মার্কেটিং এন্ড  মার্চেন্ডাইজিং,মোহাম্মদ তাজাম্মল হুসাইন, , ,গ্রন্থনীড় প্রকাশনী, , , ,বাংলাদেশ,বাংলা
গার্মেন্টস প্রডাকশন এন্ড ম্যানেজমেন্ট,মোঃ ওমর ফারুক,TK. 750,TK. 563,https://rokomari.com//book/69379/garments-production-and-management,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69379.GIF,"কমপ্লাইন্স ও শ্রম আইন, কমার্শিয়াল মার্চেন্ডাইজিং, আই. এস. ও, নীট, স্যূয়েটার, কমার্শিয়াল কার্যাবলী, মার্চেন্ডাইজিং, মার্কেটিং, প্রডাকশন, কাটিং, প্যাটার্ন, ফেব্রিক ইন্সপেকশন, কোয়ালিটি কন্ট্রোল, সেলাইকরণ, সূতার হিসাব, জ্যাকেট, প্যান্ট গেঞ্জি, স্যূয়েটার, ওয়াশিং সম্পর্কে ভালো ধারণা দেয়ার চেষ্টা করা হয়েছে। এছাড়া চাকুরীর জন্য সম্ভাব্য প্রশ্ন ও উত্তর সম্বলিত।",গার্মেন্টস প্রডাকশন এন্ড ম্যানেজমেন্ট,মোঃ ওমর ফারুক, , ,গ্রন্থনীড় প্রকাশনী, , ,560,বাংলাদেশ,বাংলা
হোটেল ম্যানেজমেন্ট রেস্টুরেন্ট ও ফ্রন্ট অফিস,অধ্যক্ষ মোহাম্মদ আব্দুস সাদিক,TK. 300,TK. 210,https://rokomari.com//book/189694/hotel-management-restaurant-and-front-office,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ca6aaf1c3_189694.jpg,"",হোটেল ম্যানেজমেন্ট রেস্টুরেন্ট ও ফ্রন্ট অফিস,অধ্যক্ষ মোহাম্মদ আব্দুস সাদিক, , ,গ্রন্থনীড় প্রকাশনী,9789849199137,"1st Published,2017", ,বাংলাদেশ,বাংলা
পাট শিল্প বিজ্ঞান,এম. এন. ইসলাম,TK. 650,TK. 455,https://rokomari.com//book/69382/pat-shilpo-biggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69382.GIF,"",পাট শিল্প বিজ্ঞান,এম. এন. ইসলাম, , ,গ্রন্থনীড় প্রকাশনী, , , ,বাংলাদেশ,বাংলা
Modern Textile ,ফারুক হোসেন,TK. 580,TK. 406,https://rokomari.com//book/69393/modern-textile,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69393.GIF,"* ফাইবার, ইয়ার্ন ও ফেব্রিক এর উপর বেসিক ধারণা
* ডাইং, প্রিন্টিং ওয়াশিং এর উপর বেসিক ধারণা
* নিট গার্মেন্টস কনজাম্পশন ও কস্টিং
* ঔভেন গার্মেন্টস কনজাম্পশন ও কস্টিং
* সোয়েটার কনজাম্পশন
* এমব্রয়ডারি কনজাম্পশন ও কস্টিং
* সাপ্লাই চেইন ম্যানেজমেন্ট
* ইয়ার্ণ কাউন্ট ক্যালকুলেশন
* ওয়াশিং ডাইং
* কোয়ালিটি কন্ট্রোল",Modern Textile,Faruk Hossain, , ,Granthanir Prokashoni, , , ,Bangladesh,English
Denim And Washing Technology,প্রফেসর ড. আবদুল জলিল ,TK. 475,TK. 333,https://rokomari.com//book/173415/denim-and-washing-technology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f634eb9f6_173415.jpg,"",Denim And Washing Technology,Professor Dr. Abdul Jalil, , ,Granthanir Prokashoni,9789849199113,"2nd Printed,2018",192,Bangladesh,English
Textile Merchandising Technology,শাজাহান ফিরোজ,TK. 610,TK. 519,https://rokomari.com//book/69394/textile-merchandising-technology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_69394.GIF,"The book Covers Following Technologies
* Yarn Manufacturing
* Woven Fabric Manufacturing
* Knit Fabric Manufacturing
* Sweater Knitting
* Textile Dyeing
* Printing",Textile Merchandising Technology,Shajahan Firoj, , ,Granthanir Prokashoni, , , ,Bangladesh,English
