Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Harry Potter And The Cursed Child - Parts 1 And 2,জে. কে. রাওলিং,"",TK. 898,https://rokomari.com//book/150617/harry-potter-and-the-cursed-child---parts-1-and-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d2dc54df_150617.jpg,"",Harry Potter And The Cursed Child - Parts 1 And 2,"J.K Rowling,Jack Thorne,John Tiffany", , ,Hachette India,9780751565362,"1 Edition,2016",352,India,English
The Last Lecture Lessons In Living,র‌্যাান্ডি পাউসচস,"",TK. 530,https://rokomari.com//book/52527/the-last-lecture-lessons-in-living,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b8138aed5_52527.jpg,"1st Flap
We cannot change the Cards We are deal just how we play the hand 
-Randy Pausch

A lot of professors give talks called the Last Lecture reflecting on what matters most to them and what they'd like to pass on. In September 2007 computer science professor Randy Pausch delevered a last lecture called  ""Really Achieving Your Childhood Dreams"". Ironically, it really was his last lecture, as this youthful, energetic and cheerful man had just been diagnosed with pancreatic cancer and had only months to live.
Randy’s lecture about the joy of life - his legacy to his three young children - has become a phenomenon, as has this book written on the same principles, celebrating the dreams we all try to make a reality.
The Last Lecture is an inspirational and heart-warming book about living, not dying. It should change your life.

Because time is all you have... and you may find one day that you have less time than you think.
delivered a last lecture called 'Really Achieving Your Childhood

Contents
Introduction I. THE LAST LECTURE
II. REALLY ACHIEVING YoUR CHILDHOOD DREAMs
III. ADVENTURES...AND LEssons LEARNED 
IV. ENABLING THE DREAMS OF OTHERS 
V. IT's ABOUT How TO LIVE You R LIFE 
VI. FINAL REMARKS
Acknowledgments

					Introduction
I HAVE AN engineering problem. While for the most part I'm in terrific physical shape, I have ten tumors in my liver and I have only a few months left to live. I am a father of three young children, and married to the woman of my dreams. While I could easily feel sorry for myself, that wouldn't do them, or me, any good. So, how to spend my very limited time? The obvious part is being with, and taking care of, my family. While I still can, I embrace every moment with them, and do the logistical things necessary to ease their path into a life without me. The less obvious part is how to teach my children what I would have taught them over the next twenty years. They are too young now to have those conversations. All parents want to teach their children right from wrong, what we think is important, and how to deal with the challenges life will bring. We also want them to know some stories from our own lives,often as a way to teach them how to lead theirs. My desire to do that led me to give a ""last lecture” at Carnegie Mellon University. These lectures are routinely videotaped. I knew what I was doing that day. Under the ruse of giving an academic lecture, I was trying to put myself in a bottle that would one day wash up on the beach for my children. If I were a painter, I would have painted for them. If I were a musician, I would have composed music. But I am a lecturer. So I lectured. I lectured about the joy of life, about how much I appreciated life, even with so little of my own left. I talked about honesty, integrity, gratitude, and other things I hold dear. And I tried very hard not to be boring. This book is a way for me to continue what I began on stage. Because time is precious, and I want to spend all that I can with my kids, I asked Jeffrey Zaslow for help. Each day, I ride my bike around my neighborhood, getting exercise crucial for my health. On fifty-three long bike rides, I spoke to Jeff on my cell-phone headset. He then spent countless hours helping to turn my stories-I suppose we could call them fifty-three ""lectures”-into the book that follows. We knew right from the start: None of this is a replacement for a living parent. But engineering isn't about perfect solutions; it's about doing the best you can with limited resources. Both the lecture and this book are my attempts to do exactly that.",The Last Lecture Lessons In Living,Randy Pausch, , ,Hachette India,9780340977736,"1st Edition,2012",207,India,English
The One Thing,গ্যারি কেলার,"",TK. 718,https://rokomari.com//book/124024/the-one-thing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f08d659d1_124024.jpg,"",The One Thing,"Gary Keller,Jay Papasan", , ,Hachette India,9781848549609,"1st Edition,2013",239,India,English
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty ",জেমস রবিনসন,"","TK. 1,258",https://rokomari.com//book/86629/why-nations-fail--the-origins-of-power--prosperity--and-poverty,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/79ed152de_86629.jpg,"","Why Nations Fail: The Origins of Power,Prosperity,and Poverty","James Robinson,Daron Acemoglu", , ,Hachette India,9781846684302,"1st Edition,2013",529,Abroad,English
London Company,ফররুখ ধনদি,"",TK. 718,https://rokomari.com//book/206119/london-company,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f212be86c_206119.jpg,"",London Company,Farrukh Dhondy, , ,Hachette India,9789351951056,"1st Edition,2016",240,India,English
The Book Hunters of Katpadi: A Bibliomystery,প্রদীপ সেবাস্টিয়ান,"","TK. 1,078",https://rokomari.com//book/163859/the-book-hunters-of-katpadi--a-bibliomystery,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/07bfc20b5_163859.jpg,"",The Book Hunters of Katpadi: A Bibliomystery,Pradeep Sebastian, , ,Hachette India,9789350092231,"1st Edition,2017",420,India,English
"A World of Three Zeros : The New Economics of Zero Poverty, Zero Unemployment and Zero Net Carbon Emissions",ড. মুহাম্মদ ইউনূস,"","TK. 1,078",https://rokomari.com//book/153249/a-world-of-three-zeros---the-new-economics-of-zero-poverty--zero-unemployment-and-zero-net-carbon-emissions,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d55ca82b_153249.jpg,"","A World of Three Zeros : The New Economics of Zero Poverty,Zero Unemployment and Zero Net Carbon Emissions",Dr. Muhammad Yunus, , ,Hachette India,9789351952053,"1st Edition,2017",288,India,English
Pichai: The Future of Google,জগমোহন এস. ভানভের,"",TK. 450,https://rokomari.com//book/171046/pichai--the-future-of-google,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/df1b7f746_171046.jpg,"",Pichai: The Future of Google,Jagmohan S. Bhanver, , ,Hachette India,9789351950615,"Latest Edition,2016",167,India,English
My Life With the Taliban,আব্দুল সালাম যাইফ,"",TK. 718,https://rokomari.com//book/170916/my-life-with-the-taliban,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6faa4f829_170916.jpg,"",My Life With the Taliban,Abdul Salam Zaeef, , ,Hachette India,9789351951070,"Latest edition,2016",399,India,English
"How Successful People Think: Change Your Thinking, Change Your Life ",জন সি. ম্যাক্সওয়েল,"",TK. 495,https://rokomari.com//book/101029/how-successful-people-think--change-your-thinking--change-your-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150701_101029.gif,"Gather successful people from all walks of life-what would they have in common? The way they think! Now you can think as they do and revolutionize your work and life!

A Wall Street Journal bestseller, How Successful People Think is the perfect, compact read for todays fast-paced world. Americas leadership expert John C. Maxwell will teach you how to be more creative and when to question popular thinking. You'll learn how to capture the big picture while focusing your thinking. Youll find out how to tap into your creative potential, develop shared ideas and derive lessons from the past to better understand the future. With these eleven keys to more effective thinking, you'll clearly see the path to personal success.

About the Author

John C. Maxwell is a New York Times, Wall Street Journal and Business - Week bestselling author, speaker and coach who has sold more than 21 million books. He is the founder of EQUIP and the John Maxwell Company, organizations that have trained more than 5 million leaders in 173 countries. Each year he speaks to the leaders of diverse organizations, such as Fortune 100 companies, foreign governments, the National Football League, the U. S. Military Academy at West Point and the United Nations.","How Successful People Think: Change Your Thinking,Change Your Life",John C. Maxwell, , ,Hachette India,9789350098769,"1st,2014",160,India,English
