Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Encyclopedia of Needlework,ডিলমন্ট থেরেসে ডি,"","TK. 2,507",https://rokomari.com//book/144862/encyclopedia-of-needlework,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4d533879ea34_144862.jpg,"",Encyclopedia of Needlework,Dillmont Therese De, , ,Hardpress Publishing,9781318858958,"1st Edition,2016",22,India,English
The Law of Torts: A Treatise on the English Law of Liability for Civil Injuries,জন উইলিয়ামস  ,"","TK. 2,104",https://rokomari.com//book/173043/the-law-of-torts--a-treatise-on-the-english-law-of-liability-for-civil-injuries,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/71f186aed_173043.jpg,"",The Law of Torts: A Treatise on the English Law of Liability for Civil Injuries,"John Williams,Salmond Sir", , ,Hardpress Publishing,9781290207867,"1st Edition,2012",622,India,English
Observation: --Every Man His Own University,রাসেল এইচ. কনওয়েল,"","TK. 1,196",https://rokomari.com//book/163270/observation----every-man-his-own-university,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/73bf8ccb3_163270.jpg,"",Observation: --Every Man His Own University,Russell H. Conwell, , ,Hardpress Publishing,9781313630054,"1st Edition,2013",198,USA,English
The Teachers of Emerson,হেরিসন জন স্মিথ,"","TK. 5,058",https://rokomari.com//book/175246/the-teachers-of-emerson,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8d108d862_175246.jpg,"",The Teachers of Emerson,Harrison John Smith, , ,Hardpress Publishing,9781314500097,"1st Edition,2013",346,India,English
Concentration,লার্সন ক্রিস্টিয়ান,"","TK. 1,231",https://rokomari.com//book/162892/concentration,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/09ec00f8e_162892.jpg,"",Concentration,Larson Christian, , ,Hardpress Publishing,9781313780308,"1st Edition,2013",110,India,English
Silent Struggle,অ্যান এস (এ্যান সোফিয়া) স্টেফেন,"","TK. 2,302",https://rokomari.com//book/170863/silent-struggle,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cacfd5843_170863.jpg,"",Silent Struggle,Ann S (Ann Sophia) Stephens, , ,Hardpress Publishing,9781290429146,"1st Edition,2012",460,India,English
A Handbook of English Literature,অস্টিন ডবসন,"","TK. 2,612",https://rokomari.com//book/167880/a-handbook-of-english-literature,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/320e71ba8_167880.jpg,"",A Handbook of English Literature,Austin Dobson, , ,Hardpress Publishing,9781313716680,"1st Edition,2013",410,India,English
How They Succeeded: Life Stories of Successful Men Told by Themselves ,ওরিসন সুইট মারডেন,"","TK. 2,435",https://rokomari.com//book/170080/how-they-succeeded--life-stories-of-successful-men-told-by-themselves-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5cbebf09_170080.jpg,"",How They Succeeded: Life Stories of Successful Men Told by Themselves ,Orison Swett Marden, , ,Hardpress Publishing,9781296552855,"1st Edition,2012",384,India,English
Manual of Practical Anatomy -Volume 2 ,ডেনিয়েল জন কানিংহাম,"","TK. 4,630",https://rokomari.com//book/71353/manual-of-practical-anatomy--volume-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_71353.GIF,"",Manual of Practical Anatomy -Volume 2,Daniel John Cunningham, , ,Hardpress Publishing,9781290155069,2012,650,India,English
An Introduction to the Theory of Statistics (Paperback),ইউল জি. উদয়,"","TK. 7,875",https://rokomari.com//book/108065/an-introduction-to-the-theory-of-statistics--paperback-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cd7fa4fa2404_108065.gif,"",An Introduction to the Theory of Statistics (Paperback),Yule G. Udny, , ,Hardpress Publishing,9781313143905,2013,448,USA,English
The History of Human Marriage Volume 3 (Paperback),এডওয়ার্ড ওয়েষ্টারমার্ক,"","TK. 6,016",https://rokomari.com//book/107108/the-history-of-human-marriage-volume-3--paperback-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151205_107108.gif,"",The History of Human Marriage Volume 3 (Paperback),Edward Westermarck, , ,Hardpress Publishing,9781313730747,"1st Edition,2013",606,India,English
