Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"The Case Study Handbook : How to read, Discuss and Write Persuasively about cases ",ইলেট,"TK. 1,618","",https://rokomari.com//book/58948/the-case-study-handbook---how-to-read--discuss-and-write-persuasively-about-cases,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150803_58948.gif,"","The Case Study Handbook : How to read,Discuss and Write Persuasively about cases",Ellet, , ,Harvard Business School Press,9781422101582,2007,288,India,English
The First 90 Days: Critical Success Strategies for New Leaders at All Levels,ওয়াকিনস,"TK. 1,800","",https://rokomari.com//book/58923/the-first-90-days--critical-success-strategies-for-new-leaders-at-all-levels,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150803_58923.gif,"""The First 90 Days"" Flap Cover of The Book:
Transitions are a critical time for leaders. In fact, most agree that moving into a new role is the biggest challenge a manager will face. While transitions offer a chance to start fresh and make needed changes in an organization, they also place leaders in a position of acute vulnerability. Missteps made during the crucial first three months in a new role can jeopardize or even derail your success.
In this updated and expanded version of the international bestseller The First 90 Days, Michael D. Watkins offers proven strategies for conquering the challenges of transitions-no matter where you are in your career. Watkins, a noted expert on leadership transitions and adviser to senior leaders in all types of organizations, also addresses today's increasingly demanding professional landscape, where managers face not only more frequent transitions but also steeper expectations once they step into their new jobs.
By walking you through every aspect of the transition scenario, Watkins identifies the most common pitfalls new leaders encounter and provides the tools and strategies you need to avoid them. You'll learn how to secure critical early wins, an important first step in establishing yourself in your new role. Each chapter also includes checklists, practical tools, and self-assessments to help you assimilate key lessons and apply them to your own situation.",The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Watkins, , ,Harvard Business School Press,9781422188613,2013,278,India,English
Leading People ,হারভার্ড বিজনেস স্কুল,TK. 405,"",https://rokomari.com//book/58910/leading-people,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150803_58910.gif,"",Leading People,Harvard  Business School, , ,Harvard Business School Press,9781422103494,"First edition,2006",85,India,English
Finance Basics (20-Minute Manager),এইচবিআর,TK. 538,"",https://rokomari.com//book/163273/finance-basics--20-minute-manager-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8c5e961dd_163273.jpg,"",Finance Basics (20-Minute Manager),HBR, , ,Harvard Business School Press,9781625270856,"1st Edition,2014",144,India,English
HBR Guide to Better Business Writing,ব্রায়ান এ গার্নার,"TK. 1,078","",https://rokomari.com//book/157532/hbr-guide-to-better-business-writing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ccd5a62de_157532.jpg,"",HBR Guide to Better Business Writing,Bryan A Garner, , ,Harvard Business School Press,9781422184035,"1st Edition,2012",210,India,English
Managing Projects Large and Small : The Fundamental Skills for Delivering on Budget on Time ,হারভার্ড বিজনেস স্কুল,"TK. 1,258","",https://rokomari.com//book/58915/managing-projects-large-and-small---the-fundamental-skills-for-delivering-on-budget-on-time,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/654549cda_58915.jpg,"",Managing Projects Large and Small : The Fundamental Skills for Delivering on Budget on Time,Harvard  Business School, , ,Harvard Business School Press,9781591393214,"Published,2011",208,India,English
Entrepreneur's Toolkit : Tools and Techniques to Launch and Grow Your New Business,হারভার্ড বিজনেস স্কুল,"TK. 1,070","",https://rokomari.com//book/58916/entrepreneur-s-toolkit---tools-and-techniques-to-launch-and-grow-your-new-business,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_58916.gif,"",Entrepreneur's Toolkit : Tools and Techniques to Launch and Grow Your New Business,Harvard  Business School, , ,Harvard Business School Press,9781591394365, , ,India,English
Time Management ,হারভার্ড বিজনেস স্কুল,TK. 350,"",https://rokomari.com//book/58922/time-management,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150803_58922.gif,"",Time Management,Harvard  Business School, , ,Harvard Business School Press,9781625272249,2014,112,India,English
Redefining Global Strategy ,ঘেমাওয়াট,"TK. 1,790","",https://rokomari.com//book/58905/redefining-global-strategy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2b05fc54d_58905.jpg,"",Redefining Global Strategy,Ghemawat, , ,Harvard Business School Press,9781591398660,"First edition,2007",257,India,English
Leading Teams ,হারভার্ড বিজনেস স্কুল,"TK. 1,017","",https://rokomari.com//book/58913/leading-teams,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150506_58913.gif,"",Leading Teams,Harvard  Business School, , ,Harvard Business School Press,9781422101841,"1st Edition,2006",100,India,English
