Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
New Complete English Book One,ই.জি. থ্রোপ,"",TK. 207,https://rokomari.com//book/134951/new-complete-english-book-one,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a0627ad1b04_134951.jpg,"",New Complete English Book One,E.G. Thorpe, , ,Heinemann Educational Publishers,0435018852,"1st Published,1962",128,India,English
Fantasia: An Algerian Cavalcade,আসিয়া ডিজিবরের,"","TK. 2,779",https://rokomari.com//book/166037/fantasia--an-algerian-cavalcade,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/015cdd32e_166037.jpg,"",Fantasia: An Algerian Cavalcade,Assia Djebar, , ,Heinemann Educational Publishers,9780435086213,"1st Edition,1993",227,India,English
"New Heinemann Maths Year 6, Extension Textbook",স্কটিশ প্রাইমারি ম্যাথস গ্রুপ,"",TK. 898,https://rokomari.com//book/135012/new-heinemann-maths-year-6--extension-textbook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/466775485734_135012.jpg,"","New Heinemann Maths Year 6,Extension Textbook",Scottish Primary Maths Group, , ,Heinemann Educational Publishers,9780435178765,"1st Edition,2002",32,India,English
New Heinemann Maths Year 6: Pupil Textbook,স্কটিশ প্রাইমারি ম্যাথস গ্রুপ,"","TK. 4,010",https://rokomari.com//book/135013/new-heinemann-maths-year-6--pupil-textbook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/66a3a0b2d0e4_135013.jpg,"",New Heinemann Maths Year 6: Pupil Textbook,Scottish Primary Maths Group, , ,Heinemann Educational Publishers,9780435178741,"1st Edition,2002",128,India,English
Heinemann Maths 5: Textbook : Textbook Year 5,স্কটিশ প্রাইমারি ম্যাথস গ্রুপ,"",TK. 300,https://rokomari.com//book/135015/heinemann-maths-5--textbook---textbook-year-5,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/285b11c000a4_135015.jpg,"",Heinemann Maths 5: Textbook : Textbook Year 5,Scottish Primary Maths Group, , ,Heinemann Educational Publishers,9780435038533,"1st Edition,1995",128,India,English
"New Heinemann Maths Year 5, Extension Textbook ",হেনিম্যান এডুকেশনাল পাবলিশার্স,"","TK. 1,838",https://rokomari.com//book/135016/new-heinemann-maths-year-5--extension-textbook-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc8125eeb624_135016.jpg,"","New Heinemann Maths Year 5,Extension Textbook ",HEINEMANN EDUCATIONAL PUBLISHERS, , ,Heinemann Educational Publishers,9780435176488,"1st Edition,2001",24,India,English
Literacy World : Stage 3 Essential Fiction an Antropology Complied ,রায়ান মোসেস,"","TK. 1,440",https://rokomari.com//book/134959/literacy-world---stage-3-essential-fiction-an-antropology-complied,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8bcb93f02a34_134959.jpg,"",Literacy World : Stage 3 Essential Fiction an Antropology Complied,Brian Moses, , ,Heinemann Educational Publishers,9780435115814,"1st Edition,2004",80,India,English
Literacy World : Stage 2 Essential Fiction an Antropology Complied ,রায়ান মোসেস,"","TK. 1,440",https://rokomari.com//book/134962/literacy-world---stage-2-essential-fiction-an-antropology-complied,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/136faf41f4f4_134962.jpg,"",Literacy World : Stage 2 Essential Fiction an Antropology Complied,Brian Moses, , ,Heinemann Educational Publishers,9780435115814,"1st Edition,2004",64,India,English
Literacy World : Stage 1 Essential Fiction an Antropology Complied ,রায়ান মোসেস,"","TK. 1,440",https://rokomari.com//book/134964/literacy-world---stage-1-essential-fiction-an-antropology-complied,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3cd135e2e4d4_134964.jpg,"",Literacy World : Stage 1 Essential Fiction an Antropology Complied,Brian Moses, , ,Heinemann Educational Publishers,9788126546862,"1st Edition,2004",64,India,English
New Complete English Book three,ই.জি. থ্রোপ,"",TK. 225,https://rokomari.com//book/134970/new-complete-english-book-three,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3254c3da0104_134970.jpg,"",New Complete English Book three,E.G. Thorpe, , ,Heinemann Educational Publishers,0435018854,"Reprinted,1988",128,India,English
Phenomenology of the Social World (Paperback),আলফ্রেড সাটজ,"","TK. 5,683",https://rokomari.com//book/107010/phenomenology-of-the-social-world--paperback-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20151205_107010.gif,"",Phenomenology of the Social World (Paperback),Alfred Schutz, , ,Heinemann Educational Publishers,9780435828752, ,288,India,English
