Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Fall of Heaven: The Pahlavis and the Final Days of Imperial Iran ,অ্যান্ডেউ স্কোট কোপার,"TK. 2,959","",https://rokomari.com//book/154729/the-fall-of-heaven--the-pahlavis-and-the-final-days-of-imperial-iran-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e63f05e1_154729.jpg,"",The Fall of Heaven: The Pahlavis and the Final Days of Imperial Iran ,Andrew Scott Cooper, , ,Henry Holt and Co.,9780805098976,"1st Edition,2016",608,India,English
Robin,ডেভ ইজকোফ,"TK. 3,224","",https://rokomari.com//book/165254/robin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/40d85fcd7_165254.jpg,"",Robin,Dave Itzkoff, , ,Henry Holt and Co.,9781627794244,"1st Edition,2018",544,India,English
"The Poetry of Robert Frost: The Collected Poems, Complete and Unabridged",রবার্ট ফ্রোস্ট,"TK. 6,196","",https://rokomari.com//book/187716/the-poetry-of-robert-frost--the-collected-poems--complete-and-unabridged,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/37595a4e6_187716.jpg,"","The Poetry of Robert Frost: The Collected Poems,Complete and Unabridged",Robert Frost, ,Edward Connery Lathem,Henry Holt and Co.,9780805005028,"Edition,1969",640,India,English
Getting the Love You Want: A Guide for Couples,হারভিল হেন্ডরিক্স,"TK. 1,296","",https://rokomari.com//book/166846/getting-the-love-you-want--a-guide-for-couples,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b55c2e096_166846.jpg,"",Getting the Love You Want: A Guide for Couples,Harville Hendrix, , ,Henry Holt and Co.,9780805087000,"Revised Edition,2007",384,India,English
"Brown Bear, Brown Bear, What Do You See?",বিল মার্টিন জুনিয়র,TK. 927,"",https://rokomari.com//book/164213/brown-bear--brown-bear--what-do-you-see-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d6aaf97a7_164213.jpg,"","Brown Bear,Brown Bear,What Do You See?",Bill Martin Jr., , ,Henry Holt and Co.,9780805047905,"25th Anniversary edition,1996",28,India,English
Bring Up the Bodies (Man Booker Prize 2012),হিলারি ম্যানটেল ,TK. 718,"",https://rokomari.com//book/54757/bring-up-the-bodies--man-booker-prize-2012-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_54757.GIF,"",Bring Up the Bodies (Man Booker Prize 2012),Hilary Mantel, , ,Henry Holt and Co.,9780007490783, ,432,Abroad,English
Deep in the Valley,রবিন কার,"TK. 1,125","",https://rokomari.com//book/126330/deep-in-the-valley,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/53f6e5547714_126330.jpg,"",Deep in the Valley,Robyn Carr, , ,Henry Holt and Co.,9780778328971,"Reprint Edition,2005",350,India,English
Turbostrategy: 21 Powerful Ways to Transform Your Business and Boost Your Profits Quickly,ব্রায়ান ট্রেসি,"TK. 1,769","",https://rokomari.com//book/135331/turbostrategy--21-powerful-ways-to-transform-your-business-and-boost-your-profits-quickly,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a57f636d284_135331.jpg,"",Turbostrategy: 21 Powerful Ways to Transform Your Business and Boost Your Profits Quickly,Brian Tracy, , ,Henry Holt and Co.,9780814413289,"1st Edition,2008",160,India,English
"The Arab of the Future: A Childhood in the Middle East, 1978-1984: A Graphic Memoir",রিয়াদ সাশিপ,"TK. 2,851","",https://rokomari.com//book/134549/the-arab-of-the-future--a-childhood-in-the-middle-east--1978-1984--a-graphic-memoir,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b822fd9469d4_134549.jpg,"","The Arab of the Future: A Childhood in the Middle East,1978-1984: A Graphic Memoir",Riad Sattouf, , ,Henry Holt and Co.,9781627793445,"1st Edition,2015", ,India,English
4 3 2 1: A Novel (International Edition),পল অস্টার,"TK. 3,582","",https://rokomari.com//book/152351/4-3-2-1--a-novel--international-edition-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1ecbc2378_152351.jpg,"",4 3 2 1: A Novel (International Edition),Paul Auster, , ,Henry Holt and Co.,9781627794466,"1st Edition,2017",880,India,English
Bernie Sanders Guide To Political Revolution,বার্নি স্যান্ডার্স,"TK. 3,518","",https://rokomari.com//book/151688/bernie-sanders-guide-to-political-revolution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/abff9a40e_151688.jpg,"",Bernie Sanders Guide To Political Revolution,Bernie Sanders, , ,Henry Holt and Co.,9781250138903,"1st Edition,2017",240,USA,English
Algorithms to Live By: The Computer Science of Human Decisions,টম গ্রিফিথস,"TK. 3,568","",https://rokomari.com//book/163343/algorithms-to-live-by--the-computer-science-of-human-decisions,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/11fab6f2e_163343.jpg,"",Algorithms to Live By: The Computer Science of Human Decisions,"Tom Griffiths,Brian Christian ", , ,Henry Holt and Co.,9781627790369,"1st Edition,2016",368,India,English
