Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Five on a Treasure Island: 1 (The Famous Five Series),ইনিড  ব্লাইটন,"",TK. 315,https://rokomari.com//book/170116/five-on-a-treasure-island--1--the-famous-five-series-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4f4491003_170116.jpg,"",Five on a Treasure Island: 1 (The Famous Five Series),Enid Blyton, , ,Hodder Children's Book,9780340894545," 2nd Edition,2014",256,India,English
The Secret Island,ইনিড  ব্লাইটন,"",TK. 358,https://rokomari.com//book/163736/the-secret-island,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/af2992f4a_163736.jpg,"",The Secret Island,Enid Blyton, , ,Hodder Children's Book,9781444931839,"1st published,1938",202,India,English
The Fury and The Reunion (The Vampire Diaries),এল. জে. স্মীথ,"",TK. 718,https://rokomari.com//book/52542/the-fury-and-the-reunion--the-vampire-diaries-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52542.GIF,"",The Fury and The Reunion (The Vampire Diaries),L.J. Smith, , ,Hodder Children's Book,9781444900729,"1st Edition,2010",432,India,English
The Secret Valley,ইনিড  ব্লাইটন,"",TK. 358,https://rokomari.com//book/163731/the-secret-valley,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/13f4d9949_163731.jpg,"",The Secret Valley,Enid Blyton, , ,Hodder Children's Book,9781444931877,"1st published,2009",217,India,English
The Secret of Moon Castle,ইনিড  ব্লাইটন,"",TK. 358,https://rokomari.com//book/163732/the-secret-of-moon-castle,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f25b3653b_163732.jpg,"",The Secret of Moon Castle,Enid Blyton, , ,Hodder Children's Book,9781444931860,"1st published,1953",212,India,English
The Secret of Spiggy Holes ,ইনিড  ব্লাইটন,"",TK. 358,https://rokomari.com//book/163733/the-secret-of-spiggy-holes-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8d12e2e40_163733.jpg,"",The Secret of Spiggy Holes ,Enid Blyton, , ,Hodder Children's Book,9781444931846,"1st published,1940",202,India,English
The Secret Of Killimooin,ইনিড  ব্লাইটন,"",TK. 358,https://rokomari.com//book/163734/the-secret-of-killimooin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dcbe42b6b_163734.jpg,"",The Secret Of Killimooin,Enid Blyton, , ,Hodder Children's Book,9781444931853,"1st published,1943",202,India,English
The Secret Mountain,ইনিড  ব্লাইটন,"",TK. 358,https://rokomari.com//book/163735/the-secret-mountain,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4eaa9a15b_163735.jpg,"",The Secret Mountain,Enid Blyton, , ,Hodder Children's Book,9781444931884,"1st published,1941",186,India,English
Five Have A Mystery To Solve: Book 20 (Famous Five),ইনিড  ব্লাইটন,"","TK. 1,892",https://rokomari.com//book/170753/five-have-a-mystery-to-solve--book-20--famous-five-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0995d3d27_170753.jpg,"",Five Have A Mystery To Solve: Book 20 (Famous Five),Enid Blyton, , ,Hodder Children's Book,9780340796344,"1st Edition,2001",176,India,English
Vampire Diaries Nightfall ,এল. জে. স্মীথ,"","TK. 1,050",https://rokomari.com//book/84461/vampire-diaries-nightfall,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140716_84461.gif,"To save the two vampire brothers who love her, Elena Gilbert sacrificed her life.

Now that a supernatural force has brought Elena back from the dead, all handsome, brooding Stefan wants is to keep her safe. But when he is lured away from Fell's Church, sleek, powerful Damon seizes his chance to win Elena over, unaware of the danger they're both in. A malevolent being has infiltrated the town and is growing stronger. Able to possess Damon at will, the creature is also drawn to Elena and the new power she has acquired. But it's after more than Elena's power: It thirsts for her death.

Elena's story continues in shadow souls!",Vampire Diaries Nightfall,L.J. Smith, , ,Hodder Children's Book,9780061720802, ,586,Abroad,English
