Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সচিত্র হস্তরেখা সমগ্র,হিমু প্রকাশনী ,TK. 320,TK. 272,https://rokomari.com//book/91401/sochitra-hostarekha-samagra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141125_91401.gif,"",সচিত্র হস্তরেখা সমগ্র, , ,হিমু প্রকাশনী,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
হিন্দুশাস্ত্র-পরিচয়,স্বামী অরুণানন্দ,TK. 450,TK. 383,https://rokomari.com//book/91402/hindushasra-porichoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141125_91402.gif,"",হিন্দুশাস্ত্র-পরিচয়,স্বামী অরুণানন্দ, , ,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
আদি ও আসল খাবনামা ও লোকমান হেকিমী কবিরাজী চিকিৎসা,মাওলানা আসরাফুল ইসলাম সিদ্দিকী,TK. 400,TK. 340,https://rokomari.com//book/91735/adi-o-asol-khabnama-o-lokman-hakimi-kabiraje-chikasha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150105_91735.gif,"",আদি ও আসল খাবনামা ও লোকমান হেকিমী কবিরাজী চিকিৎসা, , ,মাওলানা আসরাফুল ইসলাম সিদ্দিকী,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
শ্রীমদ্ভাগবত,সুবোধচন্দ্র মজুমদার,TK. 650,TK. 553,https://rokomari.com//book/88226/shreevogot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140906_88226.gif,"",শ্রীমদ্ভাগবত,সুবোধচন্দ্র মজুমদার, , ,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
শ্রীমদ্ভগবদ্গীতা,সুরধূণী দেবী,TK. 300,TK. 255,https://rokomari.com//book/88227/shreemobdgita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140906_88227.gif,"",শ্রীমদ্ভগবদ্গীতা,সুরধূণী দেবী, , ,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
শ্রী শ্রীঠাকুর অনুকুলচন্দ্র,রাজকৃষ্ণ রায়,TK. 220,TK. 187,https://rokomari.com//book/88695/shree-shreethakur-anukulchandra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140925_88695.gif,"",শ্রী শ্রীঠাকুর অনুকুলচন্দ্র, , ,রাজকৃষ্ণ রায়,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
দ্বিজ,আখতারুজ্জামান মীর,TK. 200,TK. 150,https://rokomari.com//book/88700/deej,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140925_88700.gif,"",দ্বিজ,আখতারুজ্জামান মীর, , ,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
"সচিত্র খাদ্য-পুষ্টি ও রান্না শিক্ষা রূপচর্চা, আল্‌পনা ও মেহেদীসহ",নওরিন ইসলাম রাহি,TK. 400,TK. 340,https://rokomari.com//book/92780/socetro-khaddo-pusti-o-ranna-sikkha-rupcharja-alphona-o-mehedisoh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6b33360dbcc4_92780.gif,"","সচিত্র খাদ্য-পুষ্টি ও রান্না শিক্ষা রূপচর্চা,আল্‌পনা ও মেহেদীসহ",নওরিন ইসলাম রাহি, , ,হিমু প্রকাশন,9789848744894,"1st Published,2014",560,বাংলাদেশ,বাংলা
তুমি শুধু তুমি,চঞ্চল চৌধুরী,TK. 60,TK. 45,https://rokomari.com//book/90556/tumi-sudu-tumi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d93843c23_90556.jpg,"",তুমি শুধু তুমি,চঞ্চল চৌধুরী, , ,হিমু প্রকাশন, , , ,বাংলাদেশ,বাংলা
আপনার স্বাস্থ্য আপনার হাতে,ডাঃ টি. ভট্টাচার্য্য,TK. 380,TK. 323,https://rokomari.com//book/93112/apnar-shastho-apnar-hate,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150126_93112.gif,"",আপনার স্বাস্থ্য আপনার হাতে,ডাঃ টি. ভট্টাচার্য্য, , ,হিমু প্রকাশন,9789848744924, , ,বাংলাদেশ,বাংলা
