Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
রুবাইয়াৎ-ই-নূরী,কোহিনূর ইসলাম,TK. 250,TK. 188,https://rokomari.com//book/185268/rubaiyat-e-nuri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e6347ffdf_185268.jpg,"",রুবাইয়াৎ-ই-নূরী,কোহিনূর ইসলাম, , ,হরিৎপত্র প্রকাশন,9789849378167,"1st Published,2019",80,বাংলাদেশ,বাংলা
কেন হঠাৎ তুমি এলে,মিনার মেহেদী,TK. 180,TK. 135,https://rokomari.com//book/182663/keno-hothat-tumi-elo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b7fe56baa_182663.jpg,"",কেন হঠাৎ তুমি এলে,মিনার মেহেদী, , ,হরিৎপত্র প্রকাশন,9789849389675,"1st Published,2019",64,বাংলাদেশ,বাংলা
প্রক্সিমার আলো,শামসুল আরেফিন,TK. 100,TK. 75,https://rokomari.com//book/185279/proximar-alo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ab41a24cf_185279.jpg,"",প্রক্সিমার আলো,শামসুল আরেফিন, , ,হরিৎপত্র প্রকাশন,9789849378020,"2nd Printed,2018",32,বাংলাদেশ,বাংলা
পান্তাচুরির গল্প,মোহাম্মদ আল আমিন ইসলাম,TK. 120,TK. 90,https://rokomari.com//book/185278/pantachurir-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/afbcdd40c_185278.jpg,"",পান্তাচুরির গল্প,মোহাম্মদ আল আমিন ইসলাম, , ,হরিৎপত্র প্রকাশন,9789849352440,"1st Published,2018",32,বাংলাদেশ,বাংলা
নিঃসঙ্গতার উচ্চারণ,মাহমুদ হুসাইন,TK. 150,TK. 113,https://rokomari.com//book/185274/nisongotar-uccharon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c98bcfb50_185274.jpg,"",নিঃসঙ্গতার উচ্চারণ,মাহমুদ হুসাইন, , ,হরিৎপত্র প্রকাশন,9789849389729,"1st Published,2019",48,বাংলাদেশ,বাংলা
নৈঃশব্দ্যের মায়াহরিণ,সুজন আহসান,TK. 180,TK. 135,https://rokomari.com//book/185273/noishobder-mayahorin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3bc751d44_185273.jpg,"",নৈঃশব্দ্যের মায়াহরিণ,সুজন আহসান, , ,হরিৎপত্র প্রকাশন,9789849378136,"1st Published,2019",63,বাংলাদেশ,বাংলা
মেঘের ওপারে বৃষ্টি সন্ধ্যা,এম এ রসুল সন্দ্বীপী,TK. 180,TK. 135,https://rokomari.com//book/185272/megher-opare-brishti-sondha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c43b8820a_185272.jpg,"",মেঘের ওপারে বৃষ্টি সন্ধ্যা,এম এ রসুল সন্দ্বীপী, , ,হরিৎপত্র প্রকাশন,9789849389743,"1st Published,2019",63,বাংলাদেশ,বাংলা
বেদনার নীল আগুন,মারুফ খন্দকার,TK. 150,TK. 113,https://rokomari.com//book/185271/bedonar-neel-agun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/db3f2b7c9_185271.jpg,"",বেদনার নীল আগুন,মারুফ খন্দকার, , ,হরিৎপত্র প্রকাশন,9789849378051,"1st Published,2019",64,বাংলাদেশ,বাংলা
আঁধারের সুখ আলোর কান্না,আশরাফুল ইসলাম,TK. 180,TK. 135,https://rokomari.com//book/185270/adharer-sukh-alor-kanna,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5467993df_185270.jpg,"",আঁধারের সুখ আলোর কান্না,আশরাফুল ইসলাম, , ,হরিৎপত্র প্রকাশন,9789849378150,"1st Published,2019",64,বাংলাদেশ,বাংলা
কিংশুকে রক্তস্নান,মোস্তাফিজুর রহমান,TK. 150,TK. 113,https://rokomari.com//book/185269/kingshoke-roktosnan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/433061f3b_185269.jpg,"",কিংশুকে রক্তস্নান,মোস্তাফিজুর রহমান, , ,হরিৎপত্র প্রকাশন,9789849378037,"1st Published,2019",48,বাংলাদেশ,বাংলা
দুঃস্বপ্নে কারাগার,নূরনবী হীরা,TK. 160,TK. 120,https://rokomari.com//book/185267/duswopner-karagar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ebbcdae11_185267.jpg,"",দুঃস্বপ্নে কারাগার,নূরনবী হীরা, , ,হরিৎপত্র প্রকাশন,9789849352495,"1st Published,2018",64,বাংলাদেশ,বাংলা
অধরা নিবাস,জামাল মাহমুদ,TK. 150,TK. 113,https://rokomari.com//book/185266/odhora-nibas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ab2cfa9d6_185266.jpg,"",অধরা নিবাস,জামাল মাহমুদ, , ,হরিৎপত্র প্রকাশন,9789849352457,"1st Published,2018",64,বাংলাদেশ,বাংলা
শেষবেলার কাব্য,মোঃ সহিদুল ইসলাম রাজন,TK. 170,TK. 128,https://rokomari.com//book/185265/sheshbelar-kabyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1733723bc_185265.jpg,"",শেষবেলার কাব্য,মোঃ সহিদুল ইসলাম রাজন, , ,হরিৎপত্র প্রকাশন,9789849352402,"1st Published,2018",64,বাংলাদেশ,বাংলা
নীলনক্ষত্রের কাব্য,রন্জু খান,TK. 200,TK. 150,https://rokomari.com//book/185264/neelnokhyotrer-kabyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d8c5147ae_185264.jpg,"",নীলনক্ষত্রের কাব্য,রন্জু খান, , ,হরিৎপত্র প্রকাশন,9789849352433,"1st Published,2018",112,বাংলাদেশ,বাংলা
বর্তমান সরকার আমলের উন্নয়ন ও সাফল্যতা,মো: সেলিম খান,TK. 350,TK. 263,https://rokomari.com//book/193902/bortoman-sorkar-amoler-unnoyon-o-safollyota,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8b9ab1008_193902.jpg,"",বর্তমান সরকার আমলের উন্নয়ন ও সাফল্যতা,মো: সেলিম খান, , ,হরিৎপত্র প্রকাশন,9789849378112,"2nd Published,2019",208,বাংলাদেশ,বাংলা
সিআইডি অফিসার,মো: সেলিম খান,TK. 250,TK. 188,https://rokomari.com//book/197093/cid-officer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/16e21e0c5_197093.jpg,"অপরাধী যতই শক্তিশালী হােক না কেন? প্রশাসন বাহিনীর কাছে তাকে ধরা পড়তেই হবে। সরকারি, বিরােধী যে দলই হােক না কেন? তা দেখার কোনাে বিষয় নয়। বিষয় একটা, সে অপরাধী। সকল সন্ত্রাস ও দুর্নীতির বিরুদ্ধে এই অভিযান সবসময় অব্যাহত থাকবে। ইচ্ছে করলে আইন, প্রশাসন। বাহিনীই পারে সব কিছু বদলে দিতে। অবশ্যই আইন, প্রশাসককে হতে হবে সৎ এবং আদর্শবান। যেন তাদেরকে কোন লােভ-লালসা ও দুর্নীতি স্পর্শ
করতে পারে। শুধু মুখে বললে চলবে না। কাজেই সে প্রমাণ দেখাতে হবে। পুলিশ বাহিনী জনগণের সেবক, জনগণের বন্ধু এই আস্থা ও বিশ্বাস জনগণের মধ্যে তৈরি করতে হবে। অপরাধী যত ক্ষমতাসীন শক্তিশালী হােক না কেন? একমাত্র সিআইডিই পারে সেই রহস্যের তথ্য উঘাটন করতে ইতােমধ্যে সকল। অপরাধীদের কুকর্ম আমলনামা দুর্নীতির লিস্ট প্রধানমন্ত্রী শেখ হাসিনার কাছে পৌছে গেছে। ভুলে যাবেন না মাননীয় প্রধানমন্ত্রী সকল অপরাধ এবং অপরাধীদের পিছনে সিআইডি বাহিনী নিয়ােগ রেখেছেন। জনপ্রশাসন মন্ত্রণালয় থেকে শুরু করে। স্বরাষ্ট্র মন্ত্রণালয় পর্যন্ত কেউ এই অভিযান থেকে রক্ষা পাবেন না। এমনকি দুদককেও ছাড় দিবেন।
বলে তিনি জানিয়েছেন স্বাধীনতার মহানায়ক বঙ্গবন্ধু শেখ মুজিবুর রহমান। এর স্বপ্ন ও আদর্শকে আমরা নষ্ট হতে দিব না। আসুন সকলে মিলে এ দেশটাকে মায়ের মতাে ভালােবাসি, বঙ্গবন্ধুর আদর্শে দেশ পরিচালনায়। মাননীয় প্রধানমন্ত্রী শেখ হাসিনাকে সাহায্য করি । সকলে সন্ত্রাস ও দুর্নীতিমুক্ত দেশ গড়ি (জিরাে টলারেন্স)।",সিআইডি অফিসার,মো: সেলিম খান, , ,হরিৎপত্র প্রকাশন,9789849448587,"1st Published,2020",112,বাংলাদেশ,বাংলা
