Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
পদার্থবিজ্ঞান-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি)(সাদা),ড. আমির হোসেন খান,"",TK. 370,https://rokomari.com//book/69165/physics---1st-part--class-xi-xii--sada-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1dd461d26_69165.jpg,"",পদার্থবিজ্ঞান-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি)(সাদা),"ড. আমির হোসেন খান,প্রফেসর মোহাম্মদ ইস্‌হাক", , ,আইডিয়াল বুকস, ,"New and Revised Edition,2020", ,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান-২য় পত্র (একাদশ-দ্বাদশ শ্রেণি)(সাদা) ,ড. আমির হোসেন খান,"",TK. 370,https://rokomari.com//book/84095/physics-2nd-part-class-xi-xii--white-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/727a43ac9_84095.jpg,"",পদার্থবিজ্ঞান-২য় পত্র (একাদশ-দ্বাদশ শ্রেণি)(সাদা),"ড. আমির হোসেন খান,প্রফেসর মোহাম্মদ ইস্‌হাক,ড. মো. নজরুল ইসলাম", , ,আইডিয়াল বুকস, ,"New and Revised Edition,2020",708,বাংলাদেশ,বাংলা
Higher Secondary Physics-1st Part,ড. আমির হোসেন খান,"",TK. 500,https://rokomari.com//book/50305/higher-secondary-physics-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4457132de_50305.jpg,"",Higher Secondary Physics-1st Part,"Dr. Amir Hossain Khan,Professor Mohammod Ishaque,Dr. Md. Nazrul Islam", , ,Ideal Books, ,"New and Revised Edition,2019",849,Bangladesh,English
Physics-2nd part (For Class XI-XII),ড. আমির হোসেন খান,"",TK. 500,https://rokomari.com//book/50308/physics-2nd-part--for-class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ce91ab58e_50308.jpg,"",Physics-2nd part (For Class XI-XII),"Dr. Amir Hossain Khan,Professor Mohammod Ishaque,Dr. Md. Nazrul Islam", , ,Ideal Books, ,"5th Edition,2019",988,Bangladesh,English
উচ্চতর গণিত-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি)(সাদা),মোঃ হাবিবুর রহমান আকন্দ,"",TK. 200,https://rokomari.com//book/69148/higher-mathematics-1st-part--class-xi-xii--sada-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img141210_69148.gif,"",উচ্চতর গণিত-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি)(সাদা),"মোঃ হাবিবুর রহমান আকন্দ,মুহাম্মদ গিয়াস উদ্দিন,প্রবীর রায়", , ,আইডিয়াল বুকস, ,"New and Revised Edition,2019", ,বাংলাদেশ,বাংলা
অর্থনীতি-১ম পত্র(একাদশ-দ্বাদশ শ্রেণি),প্রফেসর মোঃ মাসুম আলী,"",TK. 190,https://rokomari.com//book/50253/economic-1st-part-class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d0ae9dfbc_50253.jpg,"",অর্থনীতি-১ম পত্র(একাদশ-দ্বাদশ শ্রেণি),"প্রফেসর মোঃ মাসুম আলী,প্রফেসর মোঃ নূরল আলম", , ,আইডিয়াল বুকস, ,"New and Revised Edition,2019",336,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি) সৃজনশীল প্রশ্ন সম্বলিত,ড. আমির হোসেন খান,"",TK. 350,https://rokomari.com//book/50240/physics-1st-part-class-xi-xii--with-srijonshil-question,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_240813_50240.gif,"",পদার্থবিজ্ঞান-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি) সৃজনশীল প্রশ্ন সম্বলিত,"ড. আমির হোসেন খান,প্রফেসর মোহাম্মদ ইসহাক", , ,আইডিয়াল বুকস, ,"New and Revised Edition,2019",392,বাংলাদেশ,বাংলা
মনোবিজ্ঞান-প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণি),ড. এ কে এম রেজানুর রহমান,"",TK. 150,https://rokomari.com//book/69143/psychology-1st-part--class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_69143.GIF,"",মনোবিজ্ঞান-প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণি),ড. এ কে এম রেজানুর রহমান, , ,আইডিয়াল বুকস, ,"New and Revised Edition,2019", ,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি),ড. আমির হোসেন খান,"",TK. 370,https://rokomari.com//book/70255/physics-1st-paper--class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6ad4fef8034_70255.jpg,"",পদার্থবিজ্ঞান-১ম পত্র (একাদশ-দ্বাদশ শ্রেণি),"ড. আমির হোসেন খান,প্রফেসর মোহাম্মদ ইস্‌হাক,ড. মো. নজরুল ইসলাম", , ,আইডিয়াল বুকস, ,"8th,Edition,2020",502,বাংলাদেশ,বাংলা
অর্থনীতি-দ্বিতীয় পত্র (একাদশ-দ্বাদশ শ্রেণি),প্রফেসর মোঃ মাসুম আলী,"",TK. 190,https://rokomari.com//book/50254/economic-2nd-part--class-xi-xi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150805_50254.gif,"",অর্থনীতি-দ্বিতীয় পত্র (একাদশ-দ্বাদশ শ্রেণি),"প্রফেসর মোঃ মাসুম আলী,প্রফেসর মোঃ নূরল আলম", , ,আইডিয়াল বুকস, ,"New and Revised Edition,2019",264,বাংলাদেশ,বাংলা
