Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Quran and Politics : A Study of the Origins of Political Thought in the Makkan Quran,এলটিগানি আবদেলগাদির হামিদ,"","TK. 6,298",https://rokomari.com//book/187559/the-quran-and-politics---a-study-of-the-origins-of-political-thought-in-the-makkan-quran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a35f1b7fd_187559.jpg,"",The Quran and Politics : A Study of the Origins of Political Thought in the Makkan Quran,Eltigani Abdelgadir Hamid, , ,International Institute of Islamic Thought (IIIT),9781565644052,"1st Edition,2015",225,India,English
The Miraculous Language of the Qur'an: Evidence of Divine Origin,আহমদ বস্‌সাম সায়ী,"","TK. 3,364",https://rokomari.com//book/146663/the-miraculous-language-of-the-qur-an--evidence-of-divine-origin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e9f2bdeb5ae4_146663.jpg,"",The Miraculous Language of the Qur'an: Evidence of Divine Origin,Ahmad Bassam Saeh, , ,International Institute of Islamic Thought (IIIT),9781565646650,"1st Edition,2015",104,India,English
"Training Guide for Islamic Workers (Human Development, 1)",হিশাম আলতালিব,"","TK. 7,200",https://rokomari.com//book/175261/training-guide-for-islamic-workers--human-development--1-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6bc966d68_175261.jpg,"","Training Guide for Islamic Workers (Human Development,1)",Hisham Altalib, , ,International Institute of Islamic Thought (IIIT),912463899,"3rd Edition,1992",397,India,English
ইসলামের দৃষ্টিতে নারী,ফাতিমা হীরেন,TK. 50,TK. 38,https://rokomari.com//book/175062/islamer-drishtite-nari,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/335076a56_175062.jpg,"",ইসলামের দৃষ্টিতে নারী,"ফাতিমা হীরেন,বি আইশা লেমু",মোহাম্মদ আনিসুজ্জামান, ,ইন্টারন্যাশনাল ইনস্টিটিউট অফ ইসলামিক থট (আইআইআইটি), ,"2nd Published,2010",47,বাংলাদেশ,বাংলা
Strategic Planning and Implementation for Islamic Organization,রাফিক ইসা বেকুন,"","TK. 3,677",https://rokomari.com//book/146651/strategic-planning-and-implementation-for-islamic-organization,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5472604e8f84_146651.jpg,"",Strategic Planning and Implementation for Islamic Organization,Rafik Issa Beekun, , ,International Institute of Islamic Thought (IIIT),9781565640641,"1st Edition,2006",220,India,English
Contemplation: An Islamic Psychospiritual Study,মালিক বাদরী,"","TK. 1,701",https://rokomari.com//book/146656/contemplation--an-islamic-psychospiritual-study,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/94a01d3ac5b4_146656.jpg,"",Contemplation: An Islamic Psychospiritual Study,Malik Badri , , ,International Institute of Islamic Thought (IIIT),9781565642676,"1st Edition,2000",136,India,English
Wholeness and Holiness in Education: An Islamic Perspective,জহরা আল জেরা,"","TK. 7,475",https://rokomari.com//book/146658/wholeness-and-holiness-in-education--an-islamic-perspective,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/14f2c94e2e34_146658.jpg,"",Wholeness and Holiness in Education: An Islamic Perspective,Zahra Al Zeera, , ,International Institute of Islamic Thought (IIIT),9781565642799,"1st Edition,2001",186,India,English
Maqasid Al-Shariah as Philosophy of Islamic Law: A Systems Approach,জাসির আউদা,"","TK. 3,969",https://rokomari.com//book/146659/maqasid-al-shariah-as-philosophy-of-islamic-law--a-systems-approach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/acff67e10574_146659.jpg,"",Maqasid Al-Shariah as Philosophy of Islamic Law: A Systems Approach,Jasser Auda, , ,International Institute of Islamic Thought (IIIT),9781565644243,"1st Edition,2008",347,India,English
"Nationalism and Internationalism in Liberalism, Marxism and Islam ",তাহির আমিন,"","TK. 3,067",https://rokomari.com//book/146660/nationalism-and-internationalism-in-liberalism--marxism-and-islam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b4c8e6cdf944_146660.jpg,"","Nationalism and Internationalism in Liberalism,Marxism and Islam",Tahir Amin, , ,International Institute of Islamic Thought (IIIT),9789694620022,"1st Edition,1991",106,India,English
Abu Zayd al-Balkhi's Sustenance of the Soul: The Cognitive Behaviour Therapy of A Ninth Century Physician,মালিক বাদরী,"","TK. 2,034",https://rokomari.com//book/146661/abu-zayd-al-balkhi-s-sustenance-of-the-soul--the-cognitive-behaviour-therapy-of-a-ninth-century-physician,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/30b619c43634_146661.jpg,"",Abu Zayd al-Balkhi's Sustenance of the Soul: The Cognitive Behaviour Therapy of A Ninth Century Physician,Malik Badri , , ,International Institute of Islamic Thought (IIIT),9781565645998,"1st Edition,2013",74,India,English
"The Vicegerency of Man, Between Revelation and Reason: A Critique of the Dialectic of the Text, Reason, and Reality (Islamic Methodology)",আবদ আল মাজিদ নাজ্জার,"","TK. 3,836",https://rokomari.com//book/146664/the-vicegerency-of-man--between-revelation-and-reason--a-critique-of-the-dialectic-of-the-text--reason--and-reality--islamic-methodology-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/509af2d41594_146664.jpg,"","The Vicegerency of Man,Between Revelation and Reason: A Critique of the Dialectic of the Text,Reason,and Reality (Islamic Methodology)",Abd Al-Majid Najjar, , ,International Institute of Islamic Thought (IIIT),9781565642720,"1st Edition,1999",90,India,English
Reviving the Balance: The Authority of the Qur'an and the Status of the Sunnah,তাহা জাবির আল আলওয়ানী,"","TK. 3,469",https://rokomari.com//book/146667/reviving-the-balance--the-authority-of-the-qur-an-and-the-status-of-the-sunnah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e92335c6c9c4_146667.jpg,"",Reviving the Balance: The Authority of the Qur'an and the Status of the Sunnah,Taha Jabir Al-Alwani, , ,International Institute of Islamic Thought (IIIT),9781565646902,"1st Edition,2017",224,India,English
"Anthromorphic Depictions of God: the Concept of God in Judaic, Christian and Islamic Traditions: Representing The Unrepresentable",জুলফিকার আলি সাহ,"","TK. 7,252",https://rokomari.com//book/146668/anthromorphic-depictions-of-god--the-concept-of-god-in-judaic--christian-and-islamic-traditions--representing-the-unrepresentable,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5daa84a21da4_146668.jpg,"","Anthromorphic Depictions of God: the Concept of God in Judaic,Christian and Islamic Traditions: Representing The Unrepresentable",Zulfiqar Ali Shah, , ,International Institute of Islamic Thought (IIIT),9781565645752,"1st Edition,2012",816,India,English
Apostasy in Islam: A Historical and Scriptual Analysis,তাহা জাবির আল আলওয়ানী,"","TK. 1,930",https://rokomari.com//book/146669/apostasy-in-islam--a-historical-and-scriptual-analysis,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f6191007d574_146669.jpg,"",Apostasy in Islam: A Historical and Scriptual Analysis,Taha Jabir Al-Alwani, , ,International Institute of Islamic Thought (IIIT),9781565643635,"1st Edition,2011",168,India,English
Ibn Ashur: Treatise on Maqasid Al-Shariah,মুহাম্মাদ আল তাহির ইবন আশুর,"","TK. 3,134",https://rokomari.com//book/146670/ibn-ashur--treatise-on-maqasid-al-shariah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0a501957b2b4_146670.jpg,"",Ibn Ashur: Treatise on Maqasid Al-Shariah,Muhammad Al-Tahir Ibn Ashur,Mohamed El-Tahir El Mesawi, ,International Institute of Islamic Thought (IIIT),9781565644229,"1st Edition,2006",489,India,English
In Service of God and Humanity: The Legacy of Shaykh Muhammad al-Ghazali,বেনাউদা বেনসাইদ,"","TK. 1,600",https://rokomari.com//book/146671/in-service-of-god-and-humanity--the-legacy-of-shaykh-muhammad-al-ghazali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7ae3dd285854_146671.jpg,"",In Service of God and Humanity: The Legacy of Shaykh Muhammad al-Ghazali,Benaouda Bensaid, , ,International Institute of Islamic Thought (IIIT),9781565646636,"1st Edition,2015",282,USA,English
Outlines of a Cultural Strategy ,তাহা জাবির আল আলওয়ানী,"","TK. 2,320",https://rokomari.com//book/146672/outlines-of-a-cultural-strategy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/37b7b1693804_146672.jpg,"",Outlines of a Cultural Strategy,Taha Jabir Al-Alwani, , ,International Institute of Islamic Thought (IIIT),9780912463582,"1st Edition,1991",15,India,English
Qur'anic Terminology: A Linguistic and Semantic Analysis,বালিল আবদ আল কারিম,"","TK. 3,110",https://rokomari.com//book/146673/qur-anic-terminology--a-linguistic-and-semantic-analysis,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/66a713362344_146673.jpg,"",Qur'anic Terminology: A Linguistic and Semantic Analysis,Balil Abd Al-Karim, , ,International Institute of Islamic Thought (IIIT),9781565646988,"1st Edition,2017",190,India,English
Working Principles for an Islamic Model in Mass Media Communication ,সুহাইব জে আল বারজিনজি,"","TK. 3,631",https://rokomari.com//book/146674/working-principles-for-an-islamic-model-in-mass-media-communication,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/64aa0792df74_146674.jpg,"",Working Principles for an Islamic Model in Mass Media Communication,Suhaib J. al Barzinji, , ,International Institute of Islamic Thought (IIIT),9781565642645,"1st Edition,1997",99,India,English
Towards Realization of the Higher Intents of Islamic Law: Maqasid Al-Shariah: A Functional Approach,গামাল এলদিন আতিয়া,"","TK. 3,262",https://rokomari.com//book/146675/towards-realization-of-the-higher-intents-of-islamic-law--maqasid-al-shariah--a-functional-approach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5d93c14a6e54_146675.jpg,"",Towards Realization of the Higher Intents of Islamic Law: Maqasid Al-Shariah: A Functional Approach,Gamal Eldin Attia, , ,International Institute of Islamic Thought (IIIT),9781565644373,"1st Edition,2007",293,India,English
Toward Our Reformation from Legalism to Value-oriented Islamic Law and Jurisprudence,মুহাম্মাদ ওমর ফারুক,"","TK. 3,267",https://rokomari.com//book/146676/toward-our-reformation-from-legalism-to-value-oriented-islamic-law-and-jurisprudence,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/17730d8bbc74_146676.jpg,"",Toward Our Reformation from Legalism to Value-oriented Islamic Law and Jurisprudence,Mohammad Omar Farooq, , ,International Institute of Islamic Thought (IIIT),9781565643710,"1st Edition,2011",346,India,English
Islamic Thought: An Approach to Reform,তাহা জাবির আল আলওয়ানী,"","TK. 3,910",https://rokomari.com//book/146677/islamic-thought--an-approach-to-reform,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b164d3a408f4_146677.jpg,"",Islamic Thought: An Approach to Reform,Taha Jabir Al-Alwani, , ,International Institute of Islamic Thought (IIIT),9781565644267,"1st Edition,2006",171,India,English
The Quran and Politics: A Study of the Origins of Political Thought in the Makkan Quran,এলটিগানি আবদেলগাদির হামিদ,"","TK. 5,157",https://rokomari.com//book/146678/the-quran-and-politics--a-study-of-the-origins-of-political-thought-in-the-makkan-quran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a3a66f8e0de4_146678.jpg,"",The Quran and Politics: A Study of the Origins of Political Thought in the Makkan Quran,Eltigani Abdelgadir Hamid, , ,International Institute of Islamic Thought (IIIT),9781565644052,"1st Edition,2004",225,India,English
The Islamic Vision of Development in the Light of Maqasid Al-Shariah,মুহাম্মাদ উমর চাপরা,"","TK. 2,400",https://rokomari.com//book/146679/the-islamic-vision-of-development-in-the-light-of-maqasid-al-shariah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/486a625fa8d4_146679.jpg,"",The Islamic Vision of Development in the Light of Maqasid Al-Shariah,Muhammad Umar Chapra, ,"Shiraz Khan,Anas Al Shaikh-Ali",International Institute of Islamic Thought (IIIT),9781565644410,"1st Edition,2008",50,USA,English
