Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Don't Be Sad,ড. আয়েয আল-কারনী,TK. 720,"",https://rokomari.com//book/116622/don-t-be-sad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a3fc6578fb24_116622.gif,"'Don't Be Sad'
At a time in which the Muslims are beset with trials from every periphery and within, comes this heartening book rooted in the commandments of Allah (swt), the Sunnah and the excellent guidance and examples of the Muslims that have come before us. Don't Be Sad is an absolute must-read for all people. It is full of practical advice on how to replace sadness with a pragmatic and ultimately satisfying Islamic outlook on life. It exposes to the modern reader how Islam teaches us to deal with the tests and tribulations of this world. So, take heart and hold firmly onto the rope of Allah.(amazon.com)",Don't Be Sad,Dr. Ayez Al-Qarni,Faisal Ibn Muhammad Shafeeq, ,International Islamic Publishing House (IIPH),9786035011259,"4th Edition,2003",463,India,English
The Life of Prophet Muhammad,আবদুল ওয়াহেদ খান ,TK. 240,"",https://rokomari.com//book/121668/the-life-of-prophet-muhammad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/721987d06994_121668.jpg,"",The Life of Prophet Muhammad,Abdul Waheed Khan, , ,International Islamic Publishing House (IIPH), 9789960966625,"2nd Edition,2006",64,Saudi Arabia,English
The Fundamentals of Tawheed,ড. আবু আমিনাহ বিলাল ফিলিপ্স,TK. 900,"",https://rokomari.com//book/121545/the-fundamentals-of-tawheed,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2f861701bca4_121545.jpg,"",The Fundamentals of Tawheed,Dr. Abu Ameenah Bilal Philips, , ,International Islamic Publishing House (IIPH),9789960964805,"2nd Edition,2006",248,Saudi Arabia,English
Fatawa: Essential Rulings for Every Muslim Woman,ইবনে মাকবুল হুসাইন,TK. 900,"",https://rokomari.com//book/121422/fatawa--essential-rulings-for-every-muslim-woman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5d4941f5e_121422.jpg,"""Fatawa: Essential Rulings for Every Muslim Woman "" Summary of the Book:
Acquiring knowledge of Islam is incumbent upon every Muslim - male and female - in order to fashion their lives according to the dictates of the Qur'an and Sunnah.
Essential Rulings for Every Muslim Woman
There are many books on various aspects of Islam in English but mostly dealing with aspects of general nature.

Women have some specific issues concerning them only. Well-reputed Islamic scholars, both past and present, gave their rulings on those issues in the light of the Qur'an and Sunnah.
This book is a compendium of such rulings in a question and answer form catering to the special needs of the Muslim women. It is a concise and readily accessible reference at the finger prints, and inevitable addenda for the Muslim women's personal library.",Fatawa: Essential Rulings for Every Muslim Woman,Ibn Maqbool Husain, , ,International Islamic Publishing House (IIPH),9789960850795,"3rd Edition,2005",308,Saudi Arabia,English
Stories of the Prophets,ইসমাইল ইবনে কাছীর,"TK. 2,000","",https://rokomari.com//book/121519/stories-of-the-prophets,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f46dcbe29eb4_121519.gif,"",Stories of the Prophets,Ismaeel Ibn Katheer, , ,International Islamic Publishing House (IIPH),9786035010924,"2nd Edition,2011",576,Saudi Arabia,English
"I Want to Repent, But…",শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,TK. 210,"",https://rokomari.com//book/121437/i-want-to-repent--but-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c0f113c7eab4_121437.gif,"","I Want to Repent,But…",Shaikh Mohammad Saleh Al Munajjid, , ,International Islamic Publishing House (IIPH), , ,72,Saudi Arabia,English
Kitab At-Tawheed Explained,মুহাম্মাদ ইবনে আবদুল ওয়াহাব,"TK. 3,600","",https://rokomari.com//book/121458/kitab-at-tawheed-explained,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9bc6a6a749d4_121458.gif,"",Kitab At-Tawheed Explained,Muhammad Ibn Abdul Wahhab, , ,International Islamic Publishing House (IIPH),9786035010788,"3rd Edition,2010",399,India,English
Ali Ibn Abi Talib (2 Vols. Set),ডঃ আলী মুহাম্মাদ সাল্লাবী,"TK. 2,700","",https://rokomari.com//book/121394/ali-ibn-abi-talib--2-vols--set-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/63cadc19b2e4_121394.gif,"",Ali Ibn Abi Talib (2 Vols. Set),Dr. Ali Muhammad Sallabi, , ,International Islamic Publishing House (IIPH),9786035010825,"1st Edition,2010",1350,Saudi Arabia,English
Umar Ibn Al-Khattab His Life and Times (2 Vols. Set),ডঃ আলী মুহাম্মাদ সাল্লাবী,"TK. 3,000","",https://rokomari.com//book/121645/umar-ibn-al-khattab-his-life-and-times--2-vols--set-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/46576ebc6644_121645.jpg,"",Umar Ibn Al-Khattab His Life and Times (2 Vols. Set),Dr. Ali Muhammad Sallabi, , ,International Islamic Publishing House (IIPH),9789960984407,"1st Edition,2007",1021,Saudi Arabia,English
33 Ways of Developing Khushoo': Humility and Devotion in Prayer,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,TK. 210,"",https://rokomari.com//book/121383/33-ways-of-developing-khushoo---humility-and-devotion-in-prayer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5250665ea944_121383.gif,"",33 Ways of Developing Khushoo': Humility and Devotion in Prayer,Shaikh Mohammad Saleh Al Munajjid, , ,International Islamic Publishing House (IIPH),9789960672199,"4th Edition,2004",80,Saudi Arabia,English
