Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ঠাকুরমার ঝুলি,রশিদ আশরাফ,TK. 200,TK. 150,https://rokomari.com//book/158791/thakurmar-jhuli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b1e54429a_158791.jpg,"",ঠাকুরমার ঝুলি, , ,রশিদ আশরাফ,ইছামতি প্রকাশনী,9789849285670,"1st Published,2018",64,বাংলাদেশ,বাংলা
নলেজ এনসাইক্লোপিডিয়া ,মাহবুবুর রহমান শাহীন,"TK. 1,800","TK. 1,350",https://rokomari.com//book/23628/knoledge-encyclopedia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150216_23628.gif,"",নলেজ এনসাইক্লোপিডিয়া,মাহবুবুর রহমান শাহীন, , ,ইছামতি প্রকাশনী, ,4th Edition, ,বাংলাদেশ,বাংলা
How to Get Job ,মোঃ আব্দুল করিম খান,TK. 90,TK. 81,https://rokomari.com//book/23657/how-to-get-job,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23657.gif,"",How to Get Job,Md. Abdul Karim Khan, , ,Isamoti Prokashni,9846621108,"1st Published,2005",96,Bangladesh,English
সাকুরা মৌসুমে,রাশেদুল ইসলাম,TK. 250,TK. 188,https://rokomari.com//book/198254/sakura-mowsumay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a3c7d4667_198254.jpg,"ডিজিটাল বাংলাদেশ এখন আর  স্বপ্ন নয়। বাস্তবতা। তবে, এই বাস্তবতার সবচেয়ে বড় চ্যালেঞ্জ   চতুর্থ শিল্পবিপ্লব। আবার ডিজিটাল বাংলাদেশের অপার একটি সম্ভাবনার  নামও  চতুর্থ  শিল্পবিপ্লব। পৃথিবীর ইতিহাসে এই প্রথম চতুর্থ শিল্পবিপ্লবের মতো চ্যালেঞ্জিং শিল্পবিপ্লবে নেতৃত্বদানের   যোগ্যতাসম্পন্ন  অন্যতম একটি  দেশের নাম বাংলাদেশ । এ গ্রন্থের ‘সাকুরা মৌসুমে’ , ‘ডিজিটাল বাংলাদশ : ডিজিটাল সন্তান’ এবং ‘ডিজিটাল নিরাপত্তা’ শিরোনামের লেখায় এ কথার ব্যাখ্যা পাওয়া যেতে পারে ।  শতবর্ষের অবমাননাকর  গ্লানি থেকে  বেরিয়ে আসা  আধুনিক তথ্যপ্রযুক্তিতে সমৃদ্ধ সফলতম একটি দেশের নাম চীন- যা ‘ক্যান্টন থেকে দেখা’ লেখায় চমৎকারভাবে  ফুটিয়ে তোলার চেষ্টা করা হয়েছে । এ গ্রন্থের ‘গুজব, ডেঙ্গু, অতঃপর…’, ‘খোঁচা’, ‘প্রতিবেশী’, ‘পেনশন’, ‘নারী জীবন’, ‘মানুষ কাজ করে কেন’ ?, ‘জরুরী নির্গমন পথ’, ‘শেষের চিঠি’  ইত্যাদি লেখা আমাদের আর্থসামাজিক ও ধর্মীয় দৈনন্দিন জীবন জিজ্ঞাসার প্রতিচ্ছবি । 
লেখকের উপস্থাপনা সহজ, সরল ও প্রাঞ্জল। এ গ্রন্থের প্রতিটি লেখায় কোনো না কোনোভাবে মানুষকে উজ্জীবিত  করার প্রয়াস  লক্ষণীয় ।",সাকুরা মৌসুমে,রাশেদুল ইসলাম, , ,ইছামতি প্রকাশনী,9789849398912,"1st Published,2020",104,বাংলাদেশ,বাংলা
চোর ও চুরি  ,রাজেস সাহা,TK. 100,TK. 75,https://rokomari.com//book/23706/chor-o-churi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23706.GIF,"",চোর ও চুরি,রাজেস সাহা, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
আধুনিক গার্মেন্টস গাইড ,মোহন হাসান,TK. 400,TK. 300,https://rokomari.com//book/23636/adhunik-garments-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23636.GIF,"",আধুনিক গার্মেন্টস গাইড,মোহন হাসান, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
বিলিভ ইট অর নট ,মাহবুবুর রহমান শাহীন,TK. 400,TK. 300,https://rokomari.com//book/23616/belive-it-or-not,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_23616.gif,"",বিলিভ ইট অর নট,মাহবুবুর রহমান শাহীন, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
শিশুর হিন্দু নামের অভিধান,সুস্মিতা বন্দ্যোপাধ্যায়,TK. 180,TK. 135,https://rokomari.com//book/94829/shishur-hindu-namer-ovidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150210_94829.gif,"",শিশুর হিন্দু নামের অভিধান,সুস্মিতা বন্দ্যোপাধ্যায়, , ,ইছামতি প্রকাশনী,9847030500497,"1st,2015",117,বাংলাদেশ,বাংলা
Water and Environment in Bangladesh ,মোঃ আব্দুল করিম খান,TK. 120,TK. 90,https://rokomari.com//book/23699/water-and-environment-in-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23699.GIF,"",Water and Environment in Bangladesh,Md. Abdul Karim Khan, , ,Isamoti Prokashni, , , ,Bangladesh,English
প্রফেসর আবদুল্লাহ এবং একজন শিকারী ,তৌফিক রহমান,TK. 60,TK. 45,https://rokomari.com//book/23786/proffessor-abdullah-and-ekjon-shikari,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23786.GIF,"",প্রফেসর আবদুল্লাহ এবং একজন শিকারী,তৌফিক রহমান, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
চাঁদের পাহাড়,রাশেদুল ইসলাম,TK. 280,TK. 210,https://rokomari.com//book/198256/chander-pahar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e4b070e8_198256.jpg,"‘চাঁদের পাহাড়’-এর প্রথম লেখা ‘চাঁদের পাহাড়’ অনুসরণেই গ্রন্থের নামকরণ। অকালপ্রয়াত দুই শিশুপুত্রের ইতিবৃত্ত ও প্রাসঙ্গিকতা বর্ণনে বিষয়টি আর ব্যক্তি-পারিবারিক শোকাবহতা থাকে না, সামগ্রিক বিস্তৃতিতে তা এক আদিগন্ত ক্রন্দনে পর্যবসিত হয়। সংগ্রাম মুখরতার মধ্য দিয়ে পূর্ণ সাফল্যে নিজ জীবন বিনির্মাণ, অকালপ্রয়াত দুই শিশুপুত্রের স্মৃতি প্রবলভাবে আলোড়িত করেছে তাঁকে। সুজীবনের প্রত্যয়ে স্ব-অঙ্গীকারাবদ্ধতায় তাঁর সকল কর্মপ্রয়াসকে তিনভাবে ভাগ করে প্রাপ্ত জীবন দৈর্ঘ্যরে এক-তৃতীয়াংশ কেবলমাত্র সমাজ ও মানুষের জন্য পূর্ণ নিবেদনে সংরক্ষিত রাখার প্রত্যয় আর প্রয়াত পুত্রদের স্মৃতিকে বাঁচিয়ে রাখার আকুতিতে সুকর্মে আত্মনিয়োগ ও নিজেকে উৎসর্গের প্রভা গ্রন্থটিকে আদ্যন্ত অসামান্য চন্দ্রপ্রভায় মহিমান্বিত করে রাখে। 
এমনিভাবে সবকটি লেখায় জীবন বাস্তবতা, সমাজ সমীক্ষণ, দৈশিক আবহে নানাবিধ টানাপড়েন, শুভ-অশুভের দ্বা›িদ্বকতার চমৎকার উপস্থাপন সুপাঠ্য করে তুলেছে গ্রন্থটিকে। বিচিত্র সব চরিত্রের আগমন ঘটেছে। আমাদের চেনা পরিধিতিতেও অসামান্য ব্যতিক্রমী চরিত্রাবলি নিয়ত সঞ্চারণশীল। আমরা তা হয়তো দেখেও দেখি না। লেখক রাশেদুল ইসলাম-এর অন্তর্ভেদী চোখকে এড়াতে পারে না এসব। তাই অপার মহিমাময় প্রভায় আলোকিত চরিত্র ‘পাগলামামা’ উঠে আসেন জীবন জগৎ সমাজ মানুষের বিচিত্র বিভ্রান্তি নিয়ে। অবলীলাক্রমে গ্রামীণ পটভ‚মির রহস্যাবৃত চরিত্র পাগলা মামা গ্রাম জনপদ নগরী ঢাকা ছাড়িয়ে বিশ্ব পরিধিতে বিস্তৃত হয় পড়েন। সৃষ্টি সভ্যতা সমাজ দর্শনের সকল বলয় অতিক্রমী সক্ষমতার অনন্যতায় তার মুখ দিয়ে বর্ণিত হয়, উন্মোচিত হয় সকল গ্রন্থিল জটিলতা।",চাঁদের পাহাড়,রাশেদুল ইসলাম, , ,ইছামতি প্রকাশনী,9789843479938,"1st Published,2020",128,বাংলাদেশ,বাংলা
এ কেমন স্বপ্ন ,আবুল কামাল মোঃ আজিজুল হক নবাব,TK. 80,TK. 60,https://rokomari.com//book/23704/a-kemon-shopno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23704.GIF,"",এ কেমন স্বপ্ন,আবুল কামাল মোঃ আজিজুল হক নবাব, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
ঈশ্বর ও মানুষের গল্প,আল মেহেদী,TK. 100,TK. 75,https://rokomari.com//book/178521/ishwar-o-manusher-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/81961e7ff_178521.jpg,"",ঈশ্বর ও মানুষের গল্প,আল মেহেদী, , ,ইছামতি প্রকাশনী,9789849398813,"1st Published,2019",96,বাংলাদেশ,বাংলা
ভালোবাসার কষ্ট,এ. জি. এম. আল মিজানুর রহমান,TK. 100,TK. 75,https://rokomari.com//book/21885/valobasar-kosto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_21885.GIF,"",ভালোবাসার কষ্ট,এ. জি. এম. আল মিজানুর রহমান, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
মাইক্রোওয়েভ ওভেন রেসিপি ,জাকিয়া সুলতানা,TK. 350,TK. 263,https://rokomari.com//book/23569/microweb-oven-recipe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23569.gif,"",মাইক্রোওয়েভ ওভেন রেসিপি,জাকিয়া সুলতানা, , ,ইছামতি প্রকাশনী,9847030501258,"3rd Printed,2013",184,বাংলাদেশ,বাংলা
নিউজপ্রিন্ট মিলের নিউজপ্রিন্ট স্কুল,কাজী রফিকুল ইসলাম,TK. 225,TK. 169,https://rokomari.com//book/193879/newsprint-miller-newsprint-school,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7c79ae048_193879.jpg,"",নিউজপ্রিন্ট মিলের নিউজপ্রিন্ট স্কুল,কাজী রফিকুল ইসলাম, , ,ইছামতি প্রকাশনী,9789849398943,"1st Published,2019",112,বাংলাদেশ,বাংলা
মহামায়া কঙ্কাবতী,নাজমীন মর্তুজা,TK. 100,TK. 75,https://rokomari.com//book/61986/mohamaya-kongkaboti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc62f7938_61986.jpg,"",মহামায়া কঙ্কাবতী,নাজমীন মর্তুজা, , ,ইছামতি প্রকাশনী,9789849048244,"1st Published,2013",48,বাংলাদেশ,বাংলা
দুঃশাসনের দুই বছর(২০০৭-০৮) ,ড. রেজোয়ান সিদ্দিকী,TK. 400,TK. 300,https://rokomari.com//book/23601/dutshasoner-dui-bachor-2007-08-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0810_23601.GIF,"",দুঃশাসনের দুই বছর(২০০৭-০৮),ড. রেজোয়ান সিদ্দিকী, , ,ইছামতি প্রকাশনী, , , ,বাংলাদেশ,বাংলা
