Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Greatest Salesman In The World ,অগ ম্যান্ডিনো   ,"",TK. 316,https://rokomari.com//book/71537/the-greatest-salesman-in-the-world,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/78844d86a_71537.jpg,"'The Greatest Salesman in the World' Summary of the book 
The Greatest Salesman in the World is a book, written by Og Mandino, that serves as a guide to a philosophy of salesmanship, and success, telling the story of Hafid, a poor camel boy who achieves a life of abundance. The book was first published in 1968, and re-issued in 1983 by Bantam. A hardcover edition was published by Buccaneer Books in June, 1993. In 1970, Success Motivation Institute purchased the rights to produce the audio recording.

If Mandino's suggested reading structure is followed, it would take about 10 months to read the book.

The instructions are to read Scroll I (Chapter 8) three times a day for thirty days straight. Only after completing the thirty days of reading Scroll I, should you continue to Scroll II (Chapter 9) and so forth through Scroll X (Chapter 17). 
Mandino composed The Legend Of The Ten Scrolls. They are:

Scroll I - I will Form Good Habits and Become their Slave
Scroll II - Greet Each Day With Love In Your Heart
Scroll III - I Will Persist Until I Succeed
Scroll IV - I am Nature's Greatest Miracle
Scroll V - Live Each Day as if it Were Your Last
Scroll VI - Master Your Emotions
Scroll VII - The Power of Laughter
Scroll VIII - Multiply Your Value Every Day
Scroll IX - All is Worthless Without Action
Scroll X - Pray to God for Guidance
His primary message was to ""do it now"". In the marking of Scroll IX, ""I will act now"" is written 18 times. While his messages did have Christian undertones (by referring to Paul as the greatest salesman in the world), it was still a message of repetitive actions to build good habits.

Actor Matthew McConaughey cited this book as having changed his life. The book is also recommended by Tariq Jameel, who says that the book should be read by everyone looking for success in his life.[",The Greatest Salesman In The World,OG Mandino, , ,Jaico Publishing House,9788179926871,"21th Impression,2017",90,India,English
The Prophet(Translated into over 40 different languages),কহলীল জিবরান,"",TK. 358,https://rokomari.com//book/85277/the-prophet-translated-into-over-40-different-languages-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3ff6e4003c04_85277.jpg,"The Prophet is Kahlil Gibran's best and most powerful work ever written....
In this enriching collection of parables he has expounded on the philosophy of living between the period of life and death, conveying a strong and beautiful message on every aspect of life. Set forth in the form of profound wisdom and philosophy of life, these discourses apply dynamically, with amazing timeliness, to our human problems in day to day life. 
Although his sayings are neither crusades nor sermons, the thoughts conveyed are complete, clear and concise; revealing Kahlil Gibran as a Prophet of penetrating vision and objective understanding. 
Owing to its ageless and realistic wisdom, The Prophet will live on and grow through centuries to come.... 
Kahlil Gibran, Lebanese-American essayist, philosopher, poet and painter was born in 1883. He blended elements of Eastern and Western Mysticism and was greatly influenced by Blake and Nietzche, His best known work is The Prophet. He died in 1931.",The Prophet(Translated into over 40 different languages),Kahlil Gibran, , ,Jaico Publishing House,9788172240974,"28th Edition,2014",114,India,English
The Complete Short Stories of Sherlock Holmes,স্যার আর্থার কোনান ডয়েল,"",TK. 718,https://rokomari.com//book/143020/the-complete-short-stories-of-sherlock-holmes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/765b0fd0c0a4_143020.jpg,"""The Complete Short Stories of Sherlock Holmes"" Back Cover of The Book:
A selection of most exciting adventures of Sherlock Holmes and Dr. Watson. The deerstalker cap, cape-backed overcoat, and the pipe. The gaslit, cobblestone streets and fog swirling in from England's imperial seas into 221 B Baker Street. Sherlock Holmes the legendary detective created by Sir Arthur Conan Doyle needs no introduction. Ever since the first appearance of Sherlock Holmes in the story ""A Scandal in Bohemia” there has been no stopping. Generations of his fans have been reading, fascinated, as he employed his prodigious deductive and intuitive skills to crack the toughest of cases from the barest of clues.
Indeed, the stories of Holmes' adventures are a perennial source of inspiration to lovers of detective fiction, for Sherlock Holmes elevated criminal investigation to a fine art.
This book offers complete 56 short stories, a comprehensive sampling of the master sleuth's detective skills. Written in an inimitable style by that multi-faceted personality and raconteur par excellence, Sir Arthur Conan Doyle, this concise volume will delight all Holmes-lovers.
About the Author 
Sir Arthur Conan Doyle (1859-1930) was born in Edinburgh. A doctor by profession, it was while waiting for patients that he began to write. An infracaninophile, he was a man of varied interests. His creation of Sherlock Holmes was, however, his greatest achievement. The exploits of this sharp sleuth and his companion in adventure and chronicler, Dr. Watson, soon catapulted Doyle to international status. A prolific writer, he has written four novels and 56 short stories.",The Complete Short Stories of Sherlock Holmes,Sir Arthur Connan Doyle, , ,Jaico Publishing House,9788172240608,"33th Impression,2016",764,India,English
"How to win any Argument (Don't Raise Your Voice, Lose Your Cool Or Come To blows)",রবার্ট মেয়ার,"",TK. 538,https://rokomari.com//book/91168/how-to-win-any-argument--don-t-raise-your-voice--lose-your-cool-or-come-to-blows-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0b188a726_91168.jpg,"The art of the argumentthe pros game of knowing what to say, how to say it, and when to say it. Winning arguments without raising your voice, losing your cool, or coming to blows. Without bulldozing and browbeating the other guy. Without offending or embarrassing anyone, including yourself.

Winning arguments with confidence, grace and ease.

If youre ready, Bob Mayer will show you how in a light, humorous, page-turning read filled with personal and celebrity anecdotes and riveting tidbits. What is the books secret? Its martial. Its mental judo. Where you use the other guys energy to win. Its mind-set. Its charisma. Thats how the New York Times describes Bob Mayers winning methodology","How to win any Argument (Don't Raise Your Voice,Lose Your Cool Or Come To blows)",Robert Mayer, , ,Jaico Publishing House,9788179927809,"1st Edition,2009",250, ,English
Think and  Grow Rich! ,নেপোলিয়ন হিল,"",TK. 351,https://rokomari.com//book/131331/think-and--grow-rich--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d3acd8891_131331.jpg,"এই বইটি নিয়ে রবির ভাইস প্রেসিডেন্ট জাভেদ পারভেজ এবং অন্যরকম গ্রুপের চেয়ারম্যান মাহমুদুল হাসান সোহাগের আলোচনা ""বইকথা, এপিসোড-৪"" দেখুন।",Think and  Grow Rich! ,Napoleon Hill, , ,Jaico Publishing House,9788179927922,"18th Edition,2007",379,India,English
Mind is your Business,সাদগুরু,"",TK. 358,https://rokomari.com//book/163262/mind-is-your-business,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7fff274f7_163262.jpg,"",Mind is your Business,Sadhguru, , ,Jaico Publishing House, 9788184956955,"1st Edition,2015",170,India,English
Emotion and Relationships,সাদগুরু,"",TK. 450,https://rokomari.com//book/175737/emotion-and-relationships,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d651a1f4b_175737.jpg,"",Emotion and Relationships,Sadhguru, , ,Jaico Publishing House,9789386867506,"1st Edition,2018",224,India,English
Pebbles of Wisdom,সাদগুরু,"",TK. 270,https://rokomari.com//book/194511/pebbles-of-wisdom,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/41063e42d_194511.jpg,"",Pebbles of Wisdom,Sadhguru, , ,Jaico Publishing House,9788179929520,"1st Edition,2009",136,India,English
The mind of Swami Vivekananda,গৌতম সেন,"",TK. 358,https://rokomari.com//book/91179/the-mind-of-swami-vivekananda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/07f8897c4_91179.jpg,"Swami Vivekananda is regarded as the atriot saint of modern India and an insirer of her dormant national consciousness. His insiring ersonality was well known both in India and the West. This siritual leader of India leat into fame at the arliament of Religions held in Chicago, at which he reresented Hinduism. His vast knowledge of Eastern and Western culture as well as his dee siritual insight, brilliant conversation, broad human symathy, and colourful ersonality evoked oular interest in Hindu hilosohy.

He introduced the hilosohy of vedanta to the west and reached the ideal of a strengthgiving and manmaking religion. Service to man as the visible manifestation of the Godhead was the secial form of worshi he advocated.

In this volume Gautam Sen ieces together the reresentative ortions of the Swamis hilosohy along with a running commentary of his own.",The mind of Swami Vivekananda,Gautam Sen, , ,Jaico Publishing House,9788172242121,"31th Impression,2017",200,Abroad,English
Mystic’s Musings,সাদগুরু,"",TK. 810,https://rokomari.com//book/194513/mystic-s-musings,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Mystic’s Musings,Sadhguru, , ,Jaico Publishing House,9788184959840,"1st Edition,2016",528,India,English
