Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মহাযোগী পণ্ডিত পঞ্চানন ও তাঁর দিব্য জীবন,কমল ভৌমিক,"",TK. 252,https://rokomari.com//book/169532/mohajugi-pandhit-panchanan-o-tar-dibyo-jibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাযোগী পণ্ডিত পঞ্চানন ও তাঁর দিব্য জীবন,কমল ভৌমিক, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
পুরাণ পুরুষ যোগিরাজ শ্রীশ্যামাচরন লাহিড়ী,অশোক কুমার চট্টোপাধ্যায়,"",TK. 468,https://rokomari.com//book/169536/puran-purosh-jugiraj-shreeshamacharan--lahiri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুরাণ পুরুষ যোগিরাজ শ্রীশ্যামাচরন লাহিড়ী,অশোক কুমার চট্টোপাধ্যায়, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2014, ,ভারত,বাংলা
যোগগীতা (২য় খণ্ড),হরপ্রসাদ রায়,"",TK. 360,https://rokomari.com//book/169539/juggita--2nd-khondho-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যোগগীতা (২য় খণ্ড),হরপ্রসাদ রায়, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2014, ,ভারত,বাংলা
যোগগীতা,হরপ্রসাদ রায়,"",TK. 288,https://rokomari.com//book/209965/yogagita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/158aa2809_209965.jpg,"",যোগগীতা,হরপ্রসাদ রায়, , ,যোগিরাজ পাবলিকেশন (ভারত),8187563117,"1st Published,2005",258,ভারত,বাংলা
মহাযোগী পন্ডিত পঞ্চানন,রজত গোপ,"",TK. 180,https://rokomari.com//book/169530/mohajugi-pandhit-panchanan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাযোগী পন্ডিত পঞ্চানন,রজত গোপ, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
যোগিরাজ শ্রীশ্যামাচরণ লাহিড়ী,অশোক কুমার চট্টোপাধ্যায়,"",TK. 252,https://rokomari.com//book/169535/jugiraj-shreeshamacharon-lahiri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যোগিরাজ শ্রীশ্যামাচরণ লাহিড়ী,অশোক কুমার চট্টোপাধ্যায়, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2011, ,ভারত,বাংলা
কে এই শ্যামাচরণ,অশোক কুমার চট্টোপাধ্যায়,"",TK. 360,https://rokomari.com//book/169541/ke-ai-shamacharan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কে এই শ্যামাচরণ,অশোক কুমার চট্টোপাধ্যায়, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2012, ,ভারত,বাংলা
যুগে যুগে গৃহী মানুষের,রতন চন্দ্র সরকার,"",TK. 216,https://rokomari.com//book/169538/juge-juge-grihee-manusher,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যুগে যুগে গৃহী মানুষের,রতন চন্দ্র সরকার, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2014, ,ভারত,বাংলা
প্রাণময়ং জগৎ,অশোক কুমার চট্টোপাধ্যায়,"",TK. 54,https://rokomari.com//book/169533/pranhmoyong-jogot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রাণময়ং জগৎ,অশোক কুমার চট্টোপাধ্যায়, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2011, ,ভারত,বাংলা
যোগিরাজ শ্যামাচরণ গ্রন্থাবলী,অশোক কুমার চট্টোপাধ্যায়,"",TK. 216,https://rokomari.com//book/169531/jugiraj-shamacharonh-grontabolee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যোগিরাজ শ্যামাচরণ গ্রন্থাবলী,অশোক কুমার চট্টোপাধ্যায়, , ,যোগিরাজ পাবলিকেশন (ভারত), ,2009, ,ভারত,বাংলা
