Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সোনার দাগ,গৌরাঙ্গপ্রসাদ ঘোষ,"",TK. 900,https://rokomari.com//book/145615/sonar-dag,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সোনার দাগ,গৌরাঙ্গপ্রসাদ ঘোষ, , ,যোগমায়া প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
ঠাকুরবাড়ির ইতিবৃত্তে নগর হাওড়া,হেমেন্দ্র বন্দোপাধ্যায়,"",TK. 270,https://rokomari.com//book/144167/thakurbarir-itibritte-nogor-hawra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঠাকুরবাড়ির ইতিবৃত্তে নগর হাওড়া,হেমেন্দ্র বন্দোপাধ্যায়, , ,যোগমায়া প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
আমি তোমাদেরই ম্যাকলাউড,ড.দিগ্বিজয় দে সরকার,"",TK. 36,https://rokomari.com//book/143461/ami-tomaderoy-macloud,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই ম্যাকলাউড,ড.দিগ্বিজয় দে সরকার, , ,যোগমায়া প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
নিষ্ঠুর অ্যালবাম,মৌ চক্রবর্তী,"",TK. 54,https://rokomari.com//book/143462/nishthor-album,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিষ্ঠুর অ্যালবাম,মৌ চক্রবর্তী, , ,যোগমায়া প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
হাবিজাবি,দিলীপ রায়,"",TK. 90,https://rokomari.com//book/146129/habijabi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাবিজাবি,দিলীপ রায়, , ,যোগমায়া প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
জানোয়ারের জানা-অজানা,রানা দাস,"",TK. 90,https://rokomari.com//book/146132/janoyarer-jana---ojana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জানোয়ারের জানা-অজানা,রানা দাস, , ,যোগমায়া প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
মায়া- মোহ- মোক্ষ,চন্দ্রা বিশ্বাস,"",TK. 171,https://rokomari.com//book/146134/maya-moho-mokkho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মায়া- মোহ- মোক্ষ,চন্দ্রা বিশ্বাস, , ,যোগমায়া প্রকাশনী (ভারত), ,2013, ,ভারত,বাংলা
চলো যাই চিড়িয়াখানা,চিরঞ্জীব হালদার,"",TK. 54,https://rokomari.com//book/145325/cholo-jai-cheriyakhana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চলো যাই চিড়িয়াখানা,চিরঞ্জীব হালদার, , ,যোগমায়া প্রকাশনী (ভারত), , , ,ভারত,বাংলা
জ্যোৎস্না গাছের পাতা,সোমনাথ ভট্টাচার্য,"",TK. 72,https://rokomari.com//book/145444/josana-gasser-pata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জ্যোৎস্না গাছের পাতা,সোমনাথ ভট্টাচার্য, , ,যোগমায়া প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
মধুমতী যায় বয়ে যায়,চন্দ্রা বিশ্বাস,"",TK. 72,https://rokomari.com//book/145600/madhumoti-jay-boye-jay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মধুমতী যায় বয়ে যায়,চন্দ্রা বিশ্বাস, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পুণ্যাঙ্গনা (2),বারিদবরণ ঘোষ,"",TK. 54,https://rokomari.com//book/145601/punagona--2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুণ্যাঙ্গনা (2),বারিদবরণ ঘোষ, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
"আমি তোমাদেরই ... ... ...: মাষ্টার দা, সি.ভি. রমন, হো. চি. মিন",যোগমায়া প্রকাশনী,"",TK. 54,https://rokomari.com//book/145602/ami-tomaderoy----master-the--c-v-romon-ho-chi-min,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","আমি তোমাদেরই ... ... ...: মাষ্টার দা,সি.ভি. রমন,হো. চি. মিন", , ,যোগমায়া প্রকাশনী,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
"আমি তোমাদেরই ... ... ...: সুকান্ত, মেঘনাদ ও তেনজিং",যোগমায়া প্রকাশনী,"",TK. 72,https://rokomari.com//book/145603/ami-tomaderoy-----sukanto-magnath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","আমি তোমাদেরই ... ... ...: সুকান্ত,মেঘনাদ ও তেনজিং", , ,যোগমায়া প্রকাশনী,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
বর্ণালী নেই বর্ণমালায়,রিক্তা দত্ত,"",TK. 90,https://rokomari.com//book/145604/bornali-nei-bornomalai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বর্ণালী নেই বর্ণমালায়,রিক্তা দত্ত, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
রোদ্দুরের টুকরো,গৌর মিত্র,"",TK. 108,https://rokomari.com//book/145605/roddrurer-tukro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রোদ্দুরের টুকরো,গৌর মিত্র, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
রাঢ়ের বিরল মাতৃপূজা,অম্বরনাথ,"",TK. 360,https://rokomari.com//book/145606/rarer-birol-matripuja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রাঢ়ের বিরল মাতৃপূজা,অম্বরনাথ, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই রাধাকৃষ্ণ,শ্যামলী ঘোষ,"",TK. 36,https://rokomari.com//book/145607/ami-tomaderoy-radhakrisno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই রাধাকৃষ্ণ,শ্যামলী ঘোষ, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই লীলা মজুমদার,উজ্জ্বল বন্দ্যোপাধ্যায়,"",TK. 36,https://rokomari.com//book/145608/ami-tomaderoy-lina-mojumder,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই লীলা মজুমদার,উজ্জ্বল বন্দ্যোপাধ্যায়, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই সত্যেন্দ্রনাথ বসু,মানস প্রতিম দাস,"",TK. 36,https://rokomari.com//book/145609/ami-tomaderoy-sotyendronath-bosu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই সত্যেন্দ্রনাথ বসু,মানস প্রতিম দাস, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই রাসমণি,শ্যামলী ঘোষ,"",TK. 43,https://rokomari.com//book/145610/ami-tomaderoy-rasmoni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই রাসমণি,শ্যামলী ঘোষ, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই আশুতোষ,শ্যামলী ঘোষ,"",TK. 43,https://rokomari.com//book/145611/ami-tomaderoy-ashutosh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই আশুতোষ,শ্যামলী ঘোষ, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই টলষ্টয়,রিক্তা দত্ত,"",TK. 43,https://rokomari.com//book/145612/ami-tomaderoy-tolostoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই টলষ্টয়,রিক্তা দত্ত, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
আমি তোমাদেরই রাসবিহারী,কল্যান চক্রবর্তী,"",TK. 43,https://rokomari.com//book/145613/ami-tomaderoy-rasbihari,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই রাসবিহারী,কল্যান চক্রবর্তী, , ,যোগমায়া প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
মনন বুনন,রঞ্জনা মিত্র,"",TK. 108,https://rokomari.com//book/145614/monon-bunon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মনন বুনন,রঞ্জনা মিত্র, , ,যোগমায়া প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
ভাষা সাহিত্য ও সংস্কৃতি,ডঃ বিমলেন্দু দাম,"",TK. 180,https://rokomari.com//book/144125/bhasha-sahityo-o-sangkriti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাষা সাহিত্য ও সংস্কৃতি,ডঃ বিমলেন্দু দাম, , ,যোগমায়া প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
আমি তোমাদেরই শচীন,সন্দীপন বিশ্বাস,"",TK. 72,https://rokomari.com//book/144176/ami-tomadery-sochin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমি তোমাদেরই শচীন,সন্দীপন বিশ্বাস, , ,যোগমায়া প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
দেশে দেশে রাজনীতি এবং...,সমীরকুমার মুখোপাধ্যায়,"",TK. 360,https://rokomari.com//book/144225/deshe-deshe-rajniti-ebong,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দেশে দেশে রাজনীতি এবং...,সমীরকুমার মুখোপাধ্যায়, , ,যোগমায়া প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
ছড়ায় গাঁথা নকশি কাঁথা,ডঃ বিমলেন্দু দাম,"",TK. 54,https://rokomari.com//book/144272/choray-gatha-nokshi-katha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছড়ায় গাঁথা নকশি কাঁথা,ডঃ বিমলেন্দু দাম, , ,যোগমায়া প্রকাশনী (ভারত), ,2010, ,ভারত,বাংলা
মেঘ ভাঙা রোদ্দুর,চন্দ্রা বিশ্বাস,"",TK. 99,https://rokomari.com//book/144278/megh-vanga-roddur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মেঘ ভাঙা রোদ্দুর,চন্দ্রা বিশ্বাস, , ,যোগমায়া প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
শালিখার ইতিবৃত্ত-সেকাল ও একাল,হেমেন্দ্র বন্দোপাধ্যায়,"",TK. 270,https://rokomari.com//book/144294/salikhar-itibritto---sekal-o-ekal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শালিখার ইতিবৃত্ত-সেকাল ও একাল,হেমেন্দ্র বন্দোপাধ্যায়, , ,যোগমায়া প্রকাশনী (ভারত), ,2011, ,ভারত,বাংলা
