Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
লীলা অভিরাম,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 144,https://rokomari.com//book/144739/lila-oviram,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লীলা অভিরাম,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2014, ,ভারত,বাংলা
রানি রাসমণি ও আলোকধাত্রী কাদম্বিনী,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 180,https://rokomari.com//book/144740/rani-rashmoni-o-alokdhatri-kadombeni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রানি রাসমণি ও আলোকধাত্রী কাদম্বিনী,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2015, ,ভারত,বাংলা
এক অভাগার আত্মকথা,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 180,https://rokomari.com//book/144741/ek-abhagar-atmokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এক অভাগার আত্মকথা,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2015, ,ভারত,বাংলা
মহাকবি গোস্বামী তুলসি দাস ও সিরাজের পুত্র.....,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 180,https://rokomari.com//book/144742/mohakobi-goswami-tolsi-das-o-sirajer-putro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহাকবি গোস্বামী তুলসি দাস ও সিরাজের পুত্র.....,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2015, ,ভারত,বাংলা
চেনা মুখ অচেনা গল্প,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 270,https://rokomari.com//book/144743/chena-mukh-ochena-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চেনা মুখ অচেনা গল্প,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2015, ,ভারত,বাংলা
মহানির্বান,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 144,https://rokomari.com//book/144744/mohanirban,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহানির্বান,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2015, ,ভারত,বাংলা
শব্দ যখন রাগিনী,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 270,https://rokomari.com//book/144745/shobdho-jokhon-ragini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শব্দ যখন রাগিনী,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2012, ,ভারত,বাংলা
পত্র পত্রিকায় শ্রী অরবিন্দ মিউজিক কলেজ,ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 90,https://rokomari.com//book/144746/potra-potrikay-shree-arobindo-music-college,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পত্র পত্রিকায় শ্রী অরবিন্দ মিউজিক কলেজ,ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2013, ,ভারত,বাংলা
শব্দ যখন রাগিনী: (সঙ্গীত সংকলন),ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 270,https://rokomari.com//book/144747/shabdo-zokhon-ragini----songeet-songkolon-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শব্দ যখন রাগিনী: (সঙ্গীত সংকলন),ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2013, ,ভারত,বাংলা
ভ্যালেনটাইন্স ডে (নাট্যসংকলন),ডাঃ জগন্ময় বন্দ্যোপাধ্যায় ,"",TK. 180,https://rokomari.com//book/144748/valantines-day--nattosongkolon-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভ্যালেনটাইন্স ডে (নাট্যসংকলন),ডাঃ জগন্ময় বন্দ্যোপাধ্যায়, , ,জগতময় পাবলিকেশন্স (ভারত), ,2013, ,ভারত,বাংলা
