Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Improving Your Memory – How to Remember What You`re Starting to Forget,লিন স্টার্ন,"","TK. 2,059",https://rokomari.com//book/161617/improving-your-memory---how-to-remember-what-you-re-starting-to-forget,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95829615c_161617.jpg,"",Improving Your Memory – How to Remember What You`re Starting to Forget,"Lynn Stern,Janet Fogler", , ,Johns Hopkins University Press,9781421415703,"4th Edition,2014",168,India,English
Economics of Natural Resources and the Environment,আর. কেরি টার্নার,"","TK. 7,198",https://rokomari.com//book/196309/economics-of-natural-resources-and-the-environment,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/758e03f40_196309.jpg,"",Economics of Natural Resources and the Environment,"R. Kerry Turner,David W. Pearce", , ,Johns Hopkins University Press,9780801839870,"1st Edition,1998",382,India,English
The Making of a Tropical Disease: A Short History of Malaria,র‍্যান্ডাল এম প্যাকার্ড,"","TK. 5,760",https://rokomari.com//book/162428/the-making-of-a-tropical-disease--a-short-history-of-malaria,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84bb411b7_162428.jpg,"",The Making of a Tropical Disease: A Short History of Malaria,Randall M. Packard, , ,Johns Hopkins University Press,9781421403960,"1st Edition,2011",320,India,English
Higher Education Accountability,রবার্ট ক্যালশেন,"","TK. 5,100",https://rokomari.com//book/170304/higher-education-accountability,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e326cc76d_170304.jpg,"",Higher Education Accountability,Robert Kelchen, , ,Johns Hopkins University Press,9781421424736,"1st Edition,2018",272,USA,English
The First Strange Place: Race and Sex in World War II Hawaii,বেইলি,"","TK. 3,672",https://rokomari.com//book/164096/the-first-strange-place--race-and-sex-in-world-war-ii-hawaii,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/69a24cb8b_164096.jpg,"",The First Strange Place: Race and Sex in World War II Hawaii,Bailey, , ,Johns Hopkins University Press,9780801848674,"1st Edition,1994",296,India,English
Exploration and Engineering: The Jet Propulsion Laboratory and the Quest for Mars ,এরিখ এম কনওয়ে ,"","TK. 4,581",https://rokomari.com//book/133262/exploration-and-engineering--the-jet-propulsion-laboratory-and-the-quest-for-mars-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6c10d546194_133262.jpg,"",Exploration and Engineering: The Jet Propulsion Laboratory and the Quest for Mars ,Erik M. Conway, , ,Johns Hopkins University Press,9781421416045,"1st Edition,2015",416,India,English
"High-Speed Dreams - NASA and the Technopolitics of Supersonic Transportation, 1945-1999 (New Series in NASA History)",এরিখ এম কনওয়ে ,"","TK. 4,432",https://rokomari.com//book/133264/high-speed-dreams---nasa-and-the-technopolitics-of-supersonic-transportation--1945-1999--new-series-in-nasa-history-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/28ff5c3bdd94_133264.jpg,"","High-Speed Dreams - NASA and the Technopolitics of Supersonic Transportation,1945-1999 (New Series in NASA History)",Erik M. Conway, , ,Johns Hopkins University Press,9780801890819,"1st Edition,2008",392,India,English
"Blind Landings - Low-Visibility Operations in American Aviation, 1918-1958",এরিখ এম কনওয়ে ,"","TK. 4,772",https://rokomari.com//book/133266/blind-landings---low-visibility-operations-in-american-aviation--1918-1958,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d10c01bcc074_133266.jpg,"","Blind Landings - Low-Visibility Operations in American Aviation,1918-1958",Erik M. Conway, , ,Johns Hopkins University Press,9780801884498,"1st Edition,2006",256,India,English
Atmospheric Science at NASA - A History (New Series in NASA History),এরিখ এম কনওয়ে ,"","TK. 8,143",https://rokomari.com//book/133267/atmospheric-science-at-nasa---a-history--new-series-in-nasa-history-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a5b8ec096474_133267.jpg,"",Atmospheric Science at NASA - A History (New Series in NASA History),Erik M. Conway, , ,Johns Hopkins University Press,9780801889844,"1st Edition,2008",416,India,English
"Competing with the Soviets – Science, Technology, and the State in Cold War America (Johns Hopkins Introductory Studies in the History of Science)",অড্রা জে উলফ,"","TK. 2,318",https://rokomari.com//book/149534/competing-with-the-soviets---science--technology--and-the-state-in-cold-war-america--johns-hopkins-introductory-studies-in-the-history-of-science-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/548084bfe_149534.jpg,"","Competing with the Soviets – Science,Technology,and the State in Cold War America (Johns Hopkins Introductory Studies in the History of Science)",Audra J Wolfe, , ,Johns Hopkins University Press,9781421407715,"1st Edition,2013",176,India,English
