Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
প্রাচীন পুঁথির পৃষ্ঠা হতে,শোয়াইব জিবরান,TK. 350,TK. 263,https://rokomari.com//book/200526/prachin-puthir-prishtha-hote,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6760d2bbe_200526.jpg,"",প্রাচীন পুঁথির পৃষ্ঠা হতে,শোয়াইব জিবরান, , ,জংশন,9789849484745,"1st Published,2020",144,বাংলাদেশ,বাংলা
লোক ঐতিহ্যে আড়াইহাজার,অরণ্য সৌরভ,TK. 285,TK. 214,https://rokomari.com//book/200745/lok-oitihye-araihazar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/770a0d6fb_200745.jpg,"",লোক ঐতিহ্যে আড়াইহাজার,অরণ্য সৌরভ, , ,জংশন,9789849495949,"1st Published,2020",152,বাংলাদেশ,বাংলা
মধ্যবিত্ত ও দ্রোহের কবিতা,দিপংকর দাস,TK. 100,TK. 75,https://rokomari.com//book/200742/moddhyobitto-o-droher-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62d6569e9_200742.jpg,"",মধ্যবিত্ত ও দ্রোহের কবিতা,দিপংকর দাস, , ,জংশন,9789849455332,"1st Published,2019",48,বাংলাদেশ,বাংলা
চিত্রপটি জীবনের জলছবি,বাছেত খান ,TK. 120,TK. 90,https://rokomari.com//book/200735/chitrapote-jiboner-jolchhobi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/93fcb4e2c_200735.jpg,"",চিত্রপটি জীবনের জলছবি,বাছেত খান, , ,জংশন,9789849495932,"1st Published,2020",48,বাংলাদেশ,বাংলা
রুদ্র ও অন্যান্য কবিতা,আরিফুল ইসলাম,TK. 120,TK. 90,https://rokomari.com//book/200736/rudro-o-onnany-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/18051ac4c_200736.jpg,"",রুদ্র ও অন্যান্য কবিতা,আরিফুল ইসলাম, , ,জংশন,9789849495925,"1st Published,2020",64,বাংলাদেশ,বাংলা
তুমি কোন ফাগুনের কথা বলো,সাহাদ চৌধুরী,TK. 150,TK. 113,https://rokomari.com//book/200737/tumi-kon-faguner-kotha-bolo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bcd628052_200737.jpg,"",তুমি কোন ফাগুনের কথা বলো,সাহাদ চৌধুরী, , ,জংশন,9789849495956,"1st Published,2020",72,বাংলাদেশ,বাংলা
ময়নাবিলাস,ভাস্কর চৌধুরী,TK. 120,TK. 90,https://rokomari.com//book/200738/moyonabilas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aaa280836_200738.jpg,উপন্যাসটি প্রথমে ঢিলে তালে শুরু করেছিলাম। নারী ও পুরুষের দুটি সত্তা। আলাদা রেখেই বিবাহ ছাড়াই এক সাথে বসবাস কতটুকু সম্ভব সেটি বুঝতে ও  বােঝাতেই এই লেখা শুরু করেছিলাম। সেটি সযতনে আমি বিভিন্ন আঙ্গিকে তাদের নিয়ে গিয়ে জীবন উপভােগ ও নিজ নিজ কাজ সম্পাদন করার ব্যাপারে কোন ফাঁক রাখি নি। কিন্তু নারী মনের চিরন্তন গভীর গােপন কিছু চাওয়া থাকে। সেটির মূল্যায়ন এমন গল্পই আমাকে করিয়ে নিয়েছে। সেটি করতে গিয়েই ময়নাবিলাস তৈরি হয়ে গেল। আমার হাত ফসকে ময়না তার মনের কথাটা বলে দিল। আপনারা পড়ে আমার এই বক্তব্যের বিচার করুন।,ময়নাবিলাস,ভাস্কর চৌধুরী, , ,জংশন,9789849495963,"1st Published,2020",56,বাংলাদেশ,বাংলা
ভালোবাসার নিষিদ্ধ ইশতেহার,মোশাররফ মাতুব্বর,TK. 180,TK. 135,https://rokomari.com//book/200739/valobasar-nishiddho-ishtehar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/305c399c6_200739.jpg,"",ভালোবাসার নিষিদ্ধ ইশতেহার,মোশাররফ মাতুব্বর, , ,জংশন,9789849495970,"1st Published,2020",96,বাংলাদেশ,বাংলা
মেঘের চিলেকোঠা,হামিদুর রহমান সোহেল,TK. 150,TK. 113,https://rokomari.com//book/200740/megher-chilekotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92710729d_200740.jpg,"",মেঘের চিলেকোঠা,হামিদুর রহমান সোহেল, , ,জংশন,9789849455325,"1st Published,2019",80,বাংলাদেশ,বাংলা
মন ছুঁয়ে যাই,আমিনুর রহমান লরেন্স,TK. 100,TK. 75,https://rokomari.com//book/200741/mon-chuye-jai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9dc229351_200741.jpg,"",মন ছুঁয়ে যাই,আমিনুর রহমান লরেন্স, , ,জংশন,9789849455349,"1st Published,2020",48,বাংলাদেশ,বাংলা
বুঝ-অবুঝের এপিঠ-ওপিঠ,আলফাজ আহমেদ,TK. 70,TK. 53,https://rokomari.com//book/200743/bugh-obugher-epith-opith,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/86164e191_200743.jpg,"",বুঝ-অবুঝের এপিঠ-ওপিঠ,আলফাজ আহমেদ, , ,জংশন,9789849484769,"1st Published,2019",32,বাংলাদেশ,বাংলা
"তালগাছ, একপায়ে দাঁড়িয়ে",মেহেদী ইকবাল,TK. 60,TK. 45,https://rokomari.com//book/200744/talgach--ekpaye-dariye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cfa753c5b_200744.jpg,"","তালগাছ,একপায়ে দাঁড়িয়ে",মেহেদী ইকবাল, , ,জংশন,9789849484721,"1st Published,2020",32,বাংলাদেশ,বাংলা
ভূতে জপে রাম নাম,আজিজ আহমেদ,TK. 120,TK. 90,https://rokomari.com//book/200746/voote-jobe-ram-nam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fe1f97ef4_200746.jpg,"",ভূতে জপে রাম নাম,আজিজ আহমেদ, , ,জংশন,9789849484790,"1st Published,2020",48,বাংলাদেশ,বাংলা
বারোয়ারি গল্প,পারভেজ রাকসান্দ কামাল,TK. 150,TK. 113,https://rokomari.com//book/200747/baroyari-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/876f4092d_200747.jpg,"",বারোয়ারি গল্প,পারভেজ রাকসান্দ কামাল, , ,জংশন,9789849455363,"1st Published,2020",80,বাংলাদেশ,বাংলা
হ্যামিলনের ইঁদুর ও অন্যান্য কবিতা,মেহেদী ইকবাল,TK. 120,TK. 90,https://rokomari.com//book/200748/hamiloner-idur-o-onnany-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/79c6e24d2_200748.jpg,"",হ্যামিলনের ইঁদুর ও অন্যান্য কবিতা,মেহেদী ইকবাল, , ,জংশন,9789849484707,"1st Published,2020",64,বাংলাদেশ,বাংলা
যন্ত্রণার ঢেউ,মোয়াজ্জেম বিন আউয়াল,TK. 120,TK. 90,https://rokomari.com//book/200749/jontronar-deu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c0c586f13_200749.jpg,"",যন্ত্রণার ঢেউ,মোয়াজ্জেম বিন আউয়াল, , ,জংশন,9789849495918,"1st Published,2020",64,বাংলাদেশ,বাংলা
হাত,রওশন রুবী,TK. 135,TK. 101,https://rokomari.com//book/200750/hat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/334a2667f_200750.jpg,"",হাত,রওশন রুবী, , ,জংশন,9789849455370,"1st Published,2020",70,বাংলাদেশ,বাংলা
ঢেউয়ের পিঠে রোদ,জুপিটার পঞ্চমী,TK. 100,TK. 75,https://rokomari.com//book/200751/deuyer-pithe-rod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8c8abcc13_200751.jpg,"",ঢেউয়ের পিঠে রোদ,জুপিটার পঞ্চমী, , ,জংশন,9789849484783,"1st Published,2020",48,বাংলাদেশ,বাংলা
"আধটুকু মন, অর্ধেক নীল",ড. কাজী ইকবাল জামান,TK. 165,TK. 124,https://rokomari.com//book/200753/adhotuku-mon--ordhek-nil,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/859c3931d_200753.jpg,"","আধটুকু মন,অর্ধেক নীল",ড. কাজী ইকবাল জামান, , ,জংশন,9789849484738,"1st Published,2020",88,বাংলাদেশ,বাংলা
আমি ও বৃষ্টির ফোঁটা ঝরে পড়ি তোমাদের ছাদে,মেহেদী ইকবাল,TK. 150,TK. 113,https://rokomari.com//book/200754/ami-o-brishtir-fota-ghore-pori-tomader-chade,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8e460cc47_200754.jpg,"",আমি ও বৃষ্টির ফোঁটা ঝরে পড়ি তোমাদের ছাদে,মেহেদী ইকবাল, , ,জংশন,9789849484714,"1st Published,2020",80,বাংলাদেশ,বাংলা
মেঘ নদী,লাকী লতীফা,TK. 180,TK. 135,https://rokomari.com//book/200755/megh-nodi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/502a0e97c_200755.jpg,"",মেঘ নদী,লাকী লতীফা, , ,জংশন,9789849455363,"1st Published,2020",96,বাংলাদেশ,বাংলা
লাবণ্যে জড়ানো পাপ,বাকী বিল্লাহ,TK. 150,TK. 113,https://rokomari.com//book/205598/labonno-jorano-pap,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7c845431d_205598.jpg,"",লাবণ্যে জড়ানো পাপ,বাকী বিল্লাহ, , ,জংশন, ,"1st Published,2020", ,বাংলাদেশ,বাংলা
এখানে কোন রূপকথা নেই,কাজী সাইমুম জান্নাত প্রভা,TK. 100,TK. 75,https://rokomari.com//book/200752/ekhane-kono-rupkotha-nei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/10bf3b4c1_200752.jpg,"",এখানে কোন রূপকথা নেই,কাজী সাইমুম জান্নাত প্রভা, , ,জংশন,9789849455394,"1st Published,2020",48,বাংলাদেশ,বাংলা
