Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
চলচ্চিত্র শিক্ষা,হাসান রাউফুন,TK. 200,TK. 150,https://rokomari.com//book/25013/cholochitro-sikka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_25013.GIF,"",চলচ্চিত্র শিক্ষা,হাসান রাউফুন, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
ফটোগ্রাফি শিক্ষা ও প্রযুক্তি ,মাসুদ-উর-রহমান,TK. 400,TK. 300,https://rokomari.com//book/12345/photografi-sikkha-o-projukthi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/76ac67099_12345.jpg,"",ফটোগ্রাফি শিক্ষা ও প্রযুক্তি,মাসুদ-উর-রহমান, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
সম্রাট জাহাঙ্গীরের শাসনকাল ও বাঙলার বার ভূইয়া বিদ্রোহ,মহসিন হোসাইন,TK. 200,TK. 150,https://rokomari.com//book/77177/somrat-jahangirer-shasonkal-o-banglar-bar-vuiya-bidroho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ad0238da8_77177.jpg,"",সম্রাট জাহাঙ্গীরের শাসনকাল ও বাঙলার বার ভূইয়া বিদ্রোহ,মহসিন হোসাইন, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
শিল্পের জয়চিহ্ন ঢাকার মসলিন,সমর পাল,TK. 150,TK. 113,https://rokomari.com//book/24912/shilper-joychenho-dhakar-moslin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শিল্পের জয়চিহ্ন ঢাকার মসলিন,সমর পাল, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
বিশ্বের আদিবাসী পরিচিতি,প্রফেসর হুসনে জাহান,TK. 50,TK. 38,https://rokomari.com//book/25051/bisser-adejati-porechite,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিশ্বের আদিবাসী পরিচিতি,প্রফেসর হুসনে জাহান, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
বীরশ্রেষ্ঠ মতিউর রহমান,মোস্তফা জাহাঙ্গীর আলম,TK. 70,TK. 53,https://rokomari.com//book/77176/birshetho-motiur-rohoman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77176.GIF,"",বীরশ্রেষ্ঠ মতিউর রহমান,মোস্তফা জাহাঙ্গীর আলম, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
বাংলাদেশেল চলচ্চিত্র: পাঁচ দশকের ইতিহাস,আবদুল্লাহ জেয়াদ,"TK. 1,000",TK. 750,https://rokomari.com//book/25010/bangladesher-cholochitr--pac-dosoker-etihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d7e5fee4d_25010.jpg,"",বাংলাদেশেল চলচ্চিত্র: পাঁচ দশকের ইতিহাস,আবদুল্লাহ জেয়াদ, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
নিরাশায় আশার আলো,আলম মোহম্মদ মোর্শেদ,TK. 150,TK. 143,https://rokomari.com//book/111206/nirashay-ashar-alo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fab2c8b70fc4_111206.gif,"",নিরাশায় আশার আলো,আলম মোহম্মদ মোর্শেদ, , ,জ্যোতি প্রকাশ,9789849179276,"1st Published,2016",64,বাংলাদেশ,বাংলা
নোয়াখালীর সেকাল একাল,আনিছ আহমদ জাহাঙ্গীর,TK. 300,TK. 225,https://rokomari.com//book/62172/noyakhalir-sekal-ekal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/73c5ffb68_62172.jpg,"",নোয়াখালীর সেকাল একাল,আনিছ আহমদ জাহাঙ্গীর, , ,জ্যোতি প্রকাশ,9789848911440,"1st Published,2013",256,বাংলাদেশ,বাংলা
ডিজিটাল ভূত ,যাযাবর স্বপন ,TK. 60,TK. 45,https://rokomari.com//book/25056/digital-vhut,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/78ef089e0_25056.jpg,"",ডিজিটাল ভূত,যাযাবর স্বপন, , ,জ্যোতি প্রকাশ,9789848911181,"1st Published,2011",55,বাংলাদেশ,বাংলা
তরীকায়ে মোহাম্মদীয়া,ব্যারিস্টার মোহাম্মদ রওশন আলী,TK. 75,TK. 56,https://rokomari.com//book/25099/torikaye-mohammodiya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0f00590eb_25099.jpg,"",তরীকায়ে মোহাম্মদীয়া,ব্যারিস্টার মোহাম্মদ রওশন আলী, , ,জ্যোতি প্রকাশ, , , ,বাংলাদেশ,বাংলা
ডাস্টবিন (এফডিসি কর্তৃক পুরস্কৃত চিত্রনাট্য),মাসুদ-উর-রহমান,TK. 150,TK. 113,https://rokomari.com//book/25023/dastbin--chitronatto-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/088ed027b_25023.jpg,"",ডাস্টবিন (এফডিসি কর্তৃক পুরস্কৃত চিত্রনাট্য),মাসুদ-উর-রহমান, , ,জ্যোতি প্রকাশ,9789848911518,"1st Published,2013",132,বাংলাদেশ,বাংলা
