Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অন্তিম স্বপ্ন,মোঃ আমিনুর রহমান,TK. 250,TK. 213,https://rokomari.com//book/99224/ontim-shapno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150419_99224.gif,"",অন্তিম স্বপ্ন,মোঃ আমিনুর রহমান, , ,কাব্য প্রকাশ,9789849140597,"1st,2015",120,বাংলাদেশ,বাংলা
একুশে জ্যোতি একাত্তর,এস এম জাহাঙ্গীর,TK. 120,TK. 106,https://rokomari.com//book/81009/ekushe-jouti-akattor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",একুশে জ্যোতি একাত্তর,এস এম জাহাঙ্গীর, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
হৃদয়ে রক্ত ক্ষরণ	,এ.কে.এম.আব্দুল্লাহ ,TK. 120,TK. 106,https://rokomari.com//book/81013/hridoye-rokto-kkhoron,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81013.GIF,"",হৃদয়ে রক্ত ক্ষরণ,এ.কে.এম.আব্দুল্লাহ, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
সচেতনা,এ.কে.এম.আব্দুল্লাহ ,TK. 120,TK. 106,https://rokomari.com//book/81014/sochetona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81014.GIF,"",সচেতনা,এ.কে.এম.আব্দুল্লাহ, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
আজ শনিবার ছুটির দিন,রাগিব রেকিশি ,TK. 120,TK. 106,https://rokomari.com//book/81015/aj-shonibar-chutir-din,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81015.gif,"",আজ শনিবার ছুটির দিন,রাগিব রেকিশি, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
অন্য রকম,সামসুদ্দিন আহেমদ ,TK. 175,TK. 154,https://rokomari.com//book/81016/onno-rokom,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81016.gif,"",অন্য রকম,সামসুদ্দিন আহেমদ, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
একুশের রক্ত বড়ো বেশি লাল,মোঃ সামছুল ইসলাম 	,TK. 120,TK. 106,https://rokomari.com//book/81017/ekusher-rakto-boro-beshi-lal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81017.gif,"",একুশের রক্ত বড়ো বেশি লাল,মোঃ সামছুল ইসলাম, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
সোনালী আঘাত	,মোঃ সামছুল ইসলাম 	,TK. 120,TK. 106,https://rokomari.com//book/81018/sonali-aghat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81018.GIF,"",সোনালী আঘাত,মোঃ সামছুল ইসলাম, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
আনন্দাশ্রু,মোঃ সামছুল ইসলাম 	,TK. 120,TK. 106,https://rokomari.com//book/81019/anandashru,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81019.GIF,"",আনন্দাশ্রু,মোঃ সামছুল ইসলাম, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
গল্প অসমাপ্ত,সালাম সরকার,TK. 150,TK. 132,https://rokomari.com//book/81020/golpo-osomapto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81020.gif,"",গল্প অসমাপ্ত,সালাম সরকার, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
যোগদানপত্র,রঈস উদ্দিন আহমেদ 	,TK. 120,TK. 106,https://rokomari.com//book/81021/jogdanpotro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81021.GIF,"",যোগদানপত্র,রঈস উদ্দিন আহমেদ, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
কি হলে ভালো হতো,কবি নাজমুল হুদা ,TK. 120,TK. 106,https://rokomari.com//book/81022/ki-hole-valol-hoto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কি হলে ভালো হতো,কবি নাজমুল হুদা, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
জ্যোস্নাময়ী নর্তকী রাত,কবির আহমেদ রুমী 	,TK. 120,TK. 106,https://rokomari.com//book/81023/joshnamoyi-nortoki-rat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81023.GIF,"",জ্যোস্নাময়ী নর্তকী রাত,কবির আহমেদ রুমী, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
স্বপ্নের আমেরিকায়,ফাহিম মোহাম্মদ আজাদ,TK. 120,TK. 106,https://rokomari.com//book/81024/shopner-americay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81024.GIF,"",স্বপ্নের আমেরিকায়,ফাহিম মোহাম্মদ আজাদ, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
মজলুম জননেতা মাওলানা ভাসানী,শারমিন আকতার,TK. 65,TK. 59,https://rokomari.com//book/81538/mazlum-jononeta-mowlana-vasani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মজলুম জননেতা মাওলানা ভাসানী,শারমিন আকতার, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
গোয়ন্দা পাভেল,শুভঙ্কর,TK. 65,TK. 59,https://rokomari.com//book/81539/goyenda-pavel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গোয়ন্দা পাভেল,শুভঙ্কর, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
নাছিমা এখনো মরেনি,নাহিদা হক দীপা ,TK. 100,TK. 90,https://rokomari.com//book/78938/nachhima-akhono-moreni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_78938.GIF,"",নাছিমা এখনো মরেনি,নাহিদা হক দীপা, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
আজন্ম পাপ,আফরাহিম হোসেন,TK. 100,TK. 90,https://rokomari.com//book/63190/ajonmo-pap,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_63190.GIF,"",আজন্ম পাপ,আফরাহিম হোসেন, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
ঠিকানার পঙ্‌ক্তিমালা,মুহাম্মদ শামসুল হক শামস,TK. 150,TK. 132,https://rokomari.com//book/97603/thikanar-pongktimala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঠিকানার পঙ্‌ক্তিমালা,মুহাম্মদ শামসুল হক শামস, , ,কাব্য প্রকাশ, ,"1st,2015", ,বাংলাদেশ,বাংলা
ত্রি-ধারার মাঝি,মুহাম্মদ শামসুল হক শামস,TK. 150,TK. 132,https://rokomari.com//book/97604/tri-dharar-majhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ত্রি-ধারার মাঝি,মুহাম্মদ শামসুল হক শামস, , ,কাব্য প্রকাশ, ,"1st,2015", ,বাংলাদেশ,বাংলা
ঝী,কাওসার আলম রহিম,TK. 120,TK. 106,https://rokomari.com//book/11805/jhi--the-main-servant-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_11805.gif,"",ঝী,কাওসার আলম রহিম, , ,কাব্য প্রকাশ, , , ,বাংলাদেশ,বাংলা
