Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
থিয়াটারের হাড়গোড়,দেবাশীষ রায়,"",TK. 144,https://rokomari.com//book/138233/theater-harghor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",থিয়াটারের হাড়গোড়,দেবাশীষ রায়, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2012, ,ভারত,বাংলা
পল্টুদা বলেন যা,দেবেশ চট্টোপাধ্যায়,"",TK. 90,https://rokomari.com//book/138235/poltuda-bolen-ja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পল্টুদা বলেন যা,দেবেশ চট্টোপাধ্যায়, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2012, ,ভারত,বাংলা
লাতিন আমেরিকার থিয়েটার: চিলির দর্পণে,সুজয় আদক,"",TK. 144,https://rokomari.com//book/138236/tatin-americar-theater---chilir-dorpone,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লাতিন আমেরিকার থিয়েটার: চিলির দর্পণে,সুজয় আদক, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2013, ,ভারত,বাংলা
আন্দোলনের থিয়েটার,শোভন গুপ্ত,"",TK. 144,https://rokomari.com//book/138237/andoloner-theater,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আন্দোলনের থিয়েটার,শোভন গুপ্ত, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2013, ,ভারত,বাংলা
থিয়েটারি তর্ক: থিয়েটারি বিতর্ক,দেবাশীষ রায়,"",TK. 540,https://rokomari.com//book/138238/theater-torko-l-theater-bitorko,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",থিয়েটারি তর্ক: থিয়েটারি বিতর্ক,দেবাশীষ রায়, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2013, ,ভারত,বাংলা
যে কথা বলোনি আগে এবছর সেই কথা বলো,ব্রাত্য বসু,"",TK. 450,https://rokomari.com//book/138239/je-kotha-boloni-age-ebochor-sei-kotha-bolo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যে কথা বলোনি আগে এবছর সেই কথা বলো,ব্রাত্য বসু, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2014, ,ভারত,বাংলা
আনাচ-কানাচ,অর্পিতা ঘোষ,"",TK. 216,https://rokomari.com//book/138240/anach-kanach,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আনাচ-কানাচ,অর্পিতা ঘোষ, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2014, ,ভারত,বাংলা
থিয়েটার থিয়েটার ,অভিজিৎ রায়গুপ্ত,"",TK. 144,https://rokomari.com//book/138241/theater-theater,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",থিয়েটার থিয়েটার,অভিজিৎ রায়গুপ্ত, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2014, ,ভারত,বাংলা
নতুন শতাব্দীর শ্রেষ্ঠ থিয়েটার,শোভন গুপ্ত,"",TK. 270,https://rokomari.com//book/138242/notun-shotabdir-shreshtho-theater,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নতুন শতাব্দীর শ্রেষ্ঠ থিয়েটার,শোভন গুপ্ত, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2014, ,ভারত,বাংলা
শিল্পীর অন্দরে,শেখর সমাদ্দার,"",TK. 270,https://rokomari.com//book/138243/shilpir-andorre,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শিল্পীর অন্দরে,শেখর সমাদ্দার, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2015, ,ভারত,বাংলা
পাকিস্তানের থিয়েটার,শোভন গুপ্ত,"",TK. 270,https://rokomari.com//book/138244/pakistaner-theater,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পাকিস্তানের থিয়েটার,শোভন গুপ্ত, , ,কালিন্দী ব্রাত্যজন (ভারত), ,2015, ,ভারত,বাংলা
