Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ভারসাম্যপুর্ণ  জীবন ও সময় ব্যবস্থাপনা,আব্দুদ্দাইয়ান মুহাম্মদ ইউনুছ,TK. 45,TK. 41,https://rokomari.com//book/185465/varsamopurno-jibon-o-shomoy-babasthapona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারসাম্যপুর্ণ  জীবন ও সময় ব্যবস্থাপনা,আব্দুদ্দাইয়ান মুহাম্মদ ইউনুছ, , ,কামিয়াব প্রকাশন লিমিটেড, ,"1,st 2009", ,বাংলাদেশ,বাংলা
আমার নামায আমার জীবন,এস এম আবদুচ ছালাম আজাদ,TK. 65,TK. 59,https://rokomari.com//book/167981/amar-namaz-amar-jibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/59278a85e_167981.jpg,"",আমার নামায আমার জীবন,এস এম আবদুচ ছালাম আজাদ, , ,কামিয়াব প্রকাশন লিমিটেড, ,"2nd Published,2014",104,বাংলাদেশ,বাংলা
কুরআন কারীমের মর্মার্থ ও শব্দার্থ (আমপারা),অধ্যাপক মুহাম্মাদ নূরুল ইসলাম মক্কী,TK. 100,TK. 91,https://rokomari.com//book/167982/quran-karimer-mormartho-o-shobdartho--ampara-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/473746a60_167982.jpg,"",কুরআন কারীমের মর্মার্থ ও শব্দার্থ (আমপারা),অধ্যাপক মুহাম্মাদ নূরুল ইসলাম মক্কী, ,"হাফেয মাহমুদুল হাসান,ডা. মোহাম্মদ আনোয়ারুল কবীর,ড. হাফেয হাসান মুহাম্মাদ মঈনুদ্দীন",কামিয়াব প্রকাশন লিমিটেড, ,"4th Printed,2015",168,বাংলাদেশ,বাংলা
ইউরোপে ইসলাম ও মুসলিম,আব্দুদ্দাইয়ান মুহাম্মদ ইউনুছ,TK. 220,TK. 200,https://rokomari.com//book/167984/europe-islam-o-muslim--britaine-islam-o-dawah-karjokrom-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b3faf5d51_167984.jpg,"",ইউরোপে ইসলাম ও মুসলিম,আব্দুদ্দাইয়ান মুহাম্মদ ইউনুছ, , ,কামিয়াব প্রকাশন লিমিটেড, ,"2nd Printed,2011",296,বাংলাদেশ,বাংলা
সহজ তাওহীদ,আব্দুল্লাহ বিন আহমাদ আল হুয়াইল,TK. 80,TK. 73,https://rokomari.com//book/167991/sohoj-taohid,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d864ea3b7_167991.jpg,"",সহজ তাওহীদ,আব্দুল্লাহ বিন আহমাদ আল হুয়াইল,"হাফেয মাহমুদুল হাসান মাদানী,মাসঊদুর রহমান নূর", ,কামিয়াব প্রকাশন লিমিটেড, ,"4th Printed,2016",120,বাংলাদেশ,বাংলা
যুগে যুগে ঈমানের পরীক্ষা যালিমের পরিণতি ও আজকের প্রেক্ষাপটে আমাদের করণীয়,আব্দুদ্দাইয়ান মুহাম্মদ ইউনুছ,TK. 130,TK. 118,https://rokomari.com//book/90360/juge-juge-imaner-porikkha-zalimer-porinoty-o-ajker-prekkhapote-amader-koroniyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141002_90360.gif,"",যুগে যুগে ঈমানের পরীক্ষা যালিমের পরিণতি ও আজকের প্রেক্ষাপটে আমাদের করণীয়,আব্দুদ্দাইয়ান মুহাম্মদ ইউনুছ, , ,কামিয়াব প্রকাশন লিমিটেড, , , ,বাংলাদেশ,বাংলা
একনজরে রাসূল (স.)-কে জানুন,মাওলানা মোফাজ্জল হক,TK. 25,TK. 23,https://rokomari.com//book/90361/eknajore-rasul--s---ke-janun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/607131e1f_90361.jpg,"""একনজরে রাসূল (স.)-কে জানুন"" বইয়ের সংক্ষিপ্ত বিবরণ:
মানবতার বন্ধু বিশ্বনবী মুহাম্মাদুর রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম সম্পর্কে অসংখ্য সীরাত গ্রন্থ লেখা হয়েছে এবং কিয়ামত পর্যন্ত আরো লেখা হবে, ইনশাআল্লাহ। বাংলা ভাষায় লেখা এবং আরবী, ফার্সি, উর্দু ও ইংরেজিসহ বিভিন্ন ভাষা থেকে অনূদিত গ্রন্থের সংখ্যাও অনেক। সীরাতে ইবনে ইসহাক, সীরাতে ইবনে হিশাম, সীরাতুন নবী, সীরাতে সরওয়ারে আলম, হায়াতুন নবী, খাসাসুল কোবরা, রাহীকুল মাখতুম ইত্যাদি বাংলায় অনূদিত বড় আকারের সীরাত গ্রন্থ।
সাধারণ মানুষের পক্ষে এই কিতাবগুলো সংগ্রহ করা ও কেনা কিছুটা দুরূহ ও কষ্টসাধ্য। বিশেষ করে গ্রামের দরিদ্র ও সাধারণ মানুষের পক্ষে আরো কঠিন ব্যাপার।
তাই এ বিষয়ের প্রতি গুরুত্ব দিয়ে বিভিন্ন হাদীসের কিতাব ও সীরাত গ্রন্থ থেকে চয়ন করে অত্যন্ত সহজ ভাষা ‘এক নজরে রাসূলুল্লাহ (স)-কে জানুন' বইখানা লেখা হয়েছে। যে কেউ বইটি পড়লে রাসূল (স)-এর জীবনী সম্পর্কে একটা ধারণা পেয়ে যাবে।
রাসূলুল্লাহ (স)-এর জীবনী একটি বিশাল সমুদ্র। তার মাঝে এটা একবিন্দু জলের শত ভাগের এক ভাগও নয়। এ দিয়ে তৃষ্ণার্তদের কিছুই হবে না। তারপরও পিপাসা নিবারণের আগ্রহ সৃষ্টির লক্ষে এ প্রয়াস।
রাসূল (স)-এর জীবনের বিভিন্ন ঘটনাপ্রবাহের সন-তারিখ ও অবস্থান নিয়ে সীরাত গ্রন্থসমূহে ভিন্নতা রয়েছে। এখানে প্রামাণ্য ও অধিক প্রচলিত মতকেই প্রাধান্য দিয়ে দলিল সূত্রও দেওয়া হয়েছে।",একনজরে রাসূল (স.)-কে জানুন,মাওলানা মোফাজ্জল হক, , ,কামিয়াব প্রকাশন লিমিটেড, ,"5th Printed,2018",40,বাংলাদেশ,বাংলা
জান্নাতী দল কোনটি,মাসুদা সুলতানা রুমী,TK. 24,TK. 22,https://rokomari.com//book/90364/jannati-dol-konti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6d3489830_90364.jpg,"",জান্নাতী দল কোনটি,মাসুদা সুলতানা রুমী, , ,কামিয়াব প্রকাশন লিমিটেড, ,"7th Printed,2012",48,বাংলাদেশ,বাংলা
আল্লাহ তাআলা তাঁর সাজানো জনপদ কক্ষনো শুধু শুধু ধ্বংস করেন না,হাফেজা আসমা খাতুন,"",TK. 20,https://rokomari.com//book/90365/allah-th-allah-tar-sajano-janapad-kakkhon-sudu-sudu-dongso-korben-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141002_90365.gif,"",আল্লাহ তাআলা তাঁর সাজানো জনপদ কক্ষনো শুধু শুধু ধ্বংস করেন না,হাফেজা আসমা খাতুন, , ,কামিয়াব প্রকাশন লিমিটেড, , , ,বাংলাদেশ,বাংলা
কুরআন সুন্নাহ’র আলোকে দাড়ি ও গোঁফ,ড. মুহাম্মাদ সাইফুল্লাহ আল মাদানী,TK. 45,TK. 41,https://rokomari.com//book/90366/quran-sunnar-aloke-dari-o-goop,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141002_90366.gif,"",কুরআন সুন্নাহ’র আলোকে দাড়ি ও গোঁফ,ড. মুহাম্মাদ সাইফুল্লাহ আল মাদানী, , ,কামিয়াব প্রকাশন লিমিটেড, , , ,বাংলাদেশ,বাংলা
