Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বিবেকানন্দ রচনা সমগ্র-১,সুধাংশুরঞ্জন ঘোষ,"",TK. 306,https://rokomari.com//book/125283/vivekananda-rochona-somagro-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eee5b9711094_125283.jpg,"",বিবেকানন্দ রচনা সমগ্র-১, ,সুধাংশুরঞ্জন ঘোষ,সুধাংশুরঞ্জন ঘোষ,কামিনী প্রকাশালয় (ভারত), ,"12th Edition,2013",816,ভারত,বাংলা
জাতক সমগ্র,সুধাংশুরঞ্জন ঘোষ,"",TK. 720,https://rokomari.com//book/39650/jatok-somogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0709_39650.GIF,"",জাতক সমগ্র,সুধাংশুরঞ্জন ঘোষ, , ,কামিনী প্রকাশালয় (ভারত), ,"5th Published,2014",776,ভারত,বাংলা
সোজন বাদিয়ার ঘাট,জসীম উদদীন,"",TK. 126,https://rokomari.com//book/169778/sujon-badiyar-ghat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/33d8e7207_169778.jpg,"",সোজন বাদিয়ার ঘাট,"জসীম উদদীন,হরেন্দ্রনাথ মাইতি", , ,কামিনী প্রকাশালয় (ভারত), ,"4th Published,2016",157,ভারত,বাংলা
অষ্টাদশ পুরাণ সমগ্র (অখণ্ড সংস্করণ),শ্রী নরেশচন্দ্র শাস্ত্রী ,"","TK. 1,800",https://rokomari.com//book/158444/astadash-puran-samagra--okhndo-songskoron-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/91df3c329_158444.jpg,"",অষ্টাদশ পুরাণ সমগ্র (অখণ্ড সংস্করণ),শ্রী নরেশচন্দ্র শাস্ত্রী, ,পৃথ্বীরাজ সেন,কামিনী প্রকাশালয় (ভারত), ,"2nd Published,2017",1488,ভারত,বাংলা
আদর্শ হিন্দু হোটেল,বিভূতিভূষণ বন্দ্যোপাধ্যায়,"",TK. 144,https://rokomari.com//book/174738/adorsho-hindu-hotel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a2af76415_174738.jpg,"",আদর্শ হিন্দু হোটেল,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,কামিনী প্রকাশালয় (ভারত), ,"1st Published,2011",160,ভারত,বাংলা
চন্দ্রনাথ,শরৎচন্দ্র চট্টোপাধ্যায়,"",TK. 90,https://rokomari.com//book/174741/chondronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/014e4919b_174741.jpg,"",চন্দ্রনাথ,শরৎচন্দ্র চট্টোপাধ্যায়, , ,কামিনী প্রকাশালয় (ভারত), ,"5th Published,2016",64,ভারত,বাংলা
বিবেকানন্দ রচনাসমগ্র(১ম ও ২য়),সুধাংশুরঞ্জন ঘোষ,"",TK. 540,https://rokomari.com//book/53747/bibekanondo-rochonasomogro-1st-o-2nd-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140723_53747.gif,"",বিবেকানন্দ রচনাসমগ্র(১ম ও ২য়), ,সুধাংশুরঞ্জন ঘোষ, ,কামিনী প্রকাশালয় (ভারত), ,"Edition,2013",1656,ভারত,বাংলা
রামায়ণ (সচিত্র সপ্তকান্ড কৃত্তিবাসী),কৃত্তিবাস ওঝা (রামায়ণ),"",TK. 900,https://rokomari.com//book/187697/ramayan--sochithro-soptokando-krittibasi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d495527bb_187697.jpg,"",রামায়ণ (সচিত্র সপ্তকান্ড কৃত্তিবাসী),কৃত্তিবাস ওঝা (রামায়ণ), ,নচিকেতা ঘোষ,কামিনী প্রকাশালয় (ভারত), ,"4th Published,2015",752,ভারত,বাংলা
প্রকাশিত-অপ্রকাশিত জীবনানন্দ দাশের কাব্য সমগ্র,জীবনানন্দ দাশ,"",TK. 900,https://rokomari.com//book/174737/prokashito-oprokashito-jibonanond-dasher-kabbo-somogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dac2b2dc6_174737.jpg,"",প্রকাশিত-অপ্রকাশিত জীবনানন্দ দাশের কাব্য সমগ্র,জীবনানন্দ দাশ, ,পৃথ্বীরাজ সেন,কামিনী প্রকাশালয় (ভারত), ,"1st Published,2016",832,ভারত,বাংলা
বিবেকানন্দ রচনা সমগ্র - ২,সুধাংশুরঞ্জন ঘোষ,"",TK. 306,https://rokomari.com//book/125282/vivekananda-rochona-somagro---2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/056a661ac5b4_125282.jpg,"",বিবেকানন্দ রচনা সমগ্র - ২, ,সুধাংশুরঞ্জন ঘোষ,সুধাংশুরঞ্জন ঘোষ,কামিনী প্রকাশালয় (ভারত), ,"6th Published,2013",840,ভারত,বাংলা
সচিত্র কাশীদাসী মহাভারত,কাশীরাম দাস বিরচিত,"","TK. 1,260",https://rokomari.com//book/187698/sochithro-kashidashi-mohavarot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/77ccc26ee_187698.jpg,"",সচিত্র কাশীদাসী মহাভারত,কাশীরাম দাস বিরচিত, ,"নচিকেতা ঘোষ,শ্রী নরেশচন্দ্র শাস্ত্রী",কামিনী প্রকাশালয় (ভারত), ,"4th Published,2015",1280,ভারত,বাংলা
জীবনস্মৃতি,রবীন্দ্রনাথ ঠাকুর,"",TK. 126,https://rokomari.com//book/174743/jibonsmriti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f8ab95881_174743.jpg,"",জীবনস্মৃতি,রবীন্দ্রনাথ ঠাকুর, , ,কামিনী প্রকাশালয় (ভারত), ,"5th Edition,2014",160,ভারত,বাংলা
আরণ্যক,বিভূতিভূষণ বন্দ্যোপাধ্যায়,"",TK. 180,https://rokomari.com//book/174731/aronnok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bcc6c6c05_174731.jpg,"",আরণ্যক,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,কামিনী প্রকাশালয় (ভারত), ,"5th Published,2017",192,ভারত,বাংলা
গৃহদাহ,শরৎচন্দ্র চট্টোপাধ্যায়,"",TK. 216,https://rokomari.com//book/174742/grihodaho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ddc7aa111_174742.jpg,"",গৃহদাহ,শরৎচন্দ্র চট্টোপাধ্যায়, , ,কামিনী প্রকাশালয় (ভারত), ,"8th Published,2017",224,ভারত,বাংলা
বিবেকানন্দ রচনা সমগ্র ১ম ও ২য় খণ্ড,সুধাংশুরঞ্জন ঘোষ,TK. 540,TK. 529,https://rokomari.com//book/186650/bibekanando-rochona-somogro-2-khondo--rokomari-collection,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/03bd09420_186650.jpg,"",বিবেকানন্দ রচনা সমগ্র ১ম ও ২য় খণ্ড,সুধাংশুরঞ্জন ঘোষ, , ,কামিনী প্রকাশালয় (ভারত), , , ,ভারত,বাংলা
ছোটদের সুনির্বাচিত ছড়ার গানের স্বরলিপি,সাবিনা ইয়াসমিন,"",TK. 252,https://rokomari.com//book/201693/chotoder-sunirbachito-chorar-ganer-swarolipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de740f22f_201693.jpg,"",ছোটদের সুনির্বাচিত ছড়ার গানের স্বরলিপি, , ,"সাবিনা ইয়াসমিন,ইন্দিরা মুখার্জী",কামিনী প্রকাশালয় (ভারত), ,"1st Published,2017",128,ভারত,বাংলা
চরিত্রহীন,শরৎচন্দ্র চট্টোপাধ্যায়,"",TK. 180,https://rokomari.com//book/174740/choritrohin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1f7a1fa45_174740.jpg,"",চরিত্রহীন,শরৎচন্দ্র চট্টোপাধ্যায়, , ,কামিনী প্রকাশালয় (ভারত), ,"9th Edition,2015",272,ভারত,বাংলা
কমলাকান্তের দপ্তর,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,"",TK. 108,https://rokomari.com//book/174739/komolakanter-doptor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f8a43e8cf_174739.jpg,"",কমলাকান্তের দপ্তর,বঙ্কিমচন্দ্র চট্টোপাধ্যায়, , ,কামিনী প্রকাশালয় (ভারত), ,"8th Published,2018",88,ভারত,বাংলা
