Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ফরহাঙ্গে কাসেমী,আহাম্মেদ করিম,TK. 700,TK. 420,https://rokomari.com//book/66958/farhange-kasemee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফরহাঙ্গে কাসেমী,আহাম্মেদ করিম, , ,কাসেমিয়া লাইব্রেরী, , , ,বাংলাদেশ,বাংলা
ইসলামের কুড়ানো মানিক,মুফতী আব্দুর রশীদ তত্ত্ববাদী,TK. 500,TK. 300,https://rokomari.com//book/101714/islamer-kurano-manik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/505a17ed5_101714.jpg,"",ইসলামের কুড়ানো মানিক, , ,মুফতী আব্দুর রশীদ তত্ত্ববাদী,কাসেমিয়া লাইব্রেরী, ,"1st Edition,2015",272,বাংলাদেশ,বাংলা
ইসলামের দুর্লভ তত্ত্ব সম্পদ,মাওলানা আব্দুর রশিদ তত্ত্ববাদী,TK. 200,TK. 120,https://rokomari.com//book/117400/islamer-durlov-totho-sampad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d2c70c990754_117400.gif,"",ইসলামের দুর্লভ তত্ত্ব সম্পদ,মাওলানা আব্দুর রশিদ তত্ত্ববাদী, , ,কাসেমিয়া লাইব্রেরী, ,"1st Published,2015",240,বাংলাদেশ,বাংলা
ميزان الصرف (মিজানুচ্ছরফ-ফার্সি) ,মাওলানা মোহাম্মদ ইব্রাহীম,"",TK. 40,https://rokomari.com//book/46249/mijanucchoraf--farsi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7c48e64122f4_46249.jpg,"",ميزان الصرف (মিজানুচ্ছরফ-ফার্সি),মাওলানা মোহাম্মদ ইব্রাহীম, , ,Kasemia Library, , , ,Bangladesh,Farsi
منية الراجى شرح اردو سراجى  (মুনিয়াতুর রাজী শরহে সিরাজী (উর্দু)),মাওলানা মোহাম্মদ ইব্রাহীম,"",TK. 80,https://rokomari.com//book/46253/muniyatur-raji-shorhe-siraji--urdu-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d597078f3184_46253.jpg,"",منية الراجى شرح اردو سراجى  (মুনিয়াতুর রাজী শরহে সিরাজী (উর্দু)),মাওলানা মোহাম্মদ ইব্রাহীম, , ,Kasemia Library, , , ,Bangladesh,"Arabic,Urdu"
دفع رنج شرح پنج گنج (দফেরঞ্জ শরহে পাঞ্জে গঞ্জ-উর্দু) ,মাওলানা মোহাম্মদ ইব্রাহীম,"",TK. 80,https://rokomari.com//book/46243/daferonju-shorhe-panje-gonj--urdu-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",دفع رنج شرح پنج گنج (দফেরঞ্জ শরহে পাঞ্জে গঞ্জ-উর্দু),মাওলানা মোহাম্মদ ইব্রাহীম, , ,Kasemia Library, , , ,Bangladesh,Urdu
কোরান হাদিসের টুকরো কাহিনী ,মুফতী সাখাওয়াত হোসাইন,TK. 140,TK. 84,https://rokomari.com//book/46259/quran-hadiser-tukro-kahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/efeb42466a84_46259.jpg,"",কোরান হাদিসের টুকরো কাহিনী,মুফতী সাখাওয়াত হোসাইন, , ,কাসেমিয়া লাইব্রেরী, , , ,বাংলাদেশ,বাংলা
ইসলামের কুড়ানো সম্পদ,মাওলানা আব্দুর রশিদ তত্ত্ববাদী,TK. 110,TK. 66,https://rokomari.com//book/117403/islamer-kurano-sampad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b4f3b4df1e64_117403.gif,"",ইসলামের কুড়ানো সম্পদ,মাওলানা আব্দুর রশিদ তত্ত্ববাদী, , ,কাসেমিয়া লাইব্রেরী, ,"2nd Edition,2015",128,বাংলাদেশ,বাংলা
شرح الوقاية-الجزء الاول (শরহে অকেয়া ১ম খণ্ড) ,উবায়দুল্লাহ ইবনে মাছউদ,"",TK. 260,https://rokomari.com//book/46229/sharhe-okaya-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/81aabd91a9d4_46229.gif,"",شرح الوقاية-الجزء الاول (শরহে অকেয়া ১ম খণ্ড),উবায়দুল্লাহ ইবনে মাছউদ, , ,Kasemia Library, , , ,Bangladesh,Arabic
جلالين شريف (জালালাইন শরীফ) ,আঃ রহঃ জালাল সুইউতী,"",TK. 470,https://rokomari.com//book/46225/jalaline-shorif--arabic-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e1e6ca31344_46225.jpg,"",جلالين شريف (জালালাইন শরীফ),আঃ রহঃ জালাল সুইউতী, , ,Kasemia Library, , , ,Bangladesh,Arabic
