Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ইসলামের যাকাত বিধান-দ্বিতীয় খণ্ড,ড. ইউসুফ আল কারযাভী,TK. 425,TK. 319,https://rokomari.com//book/44831/islamer-zakat-bidhan-2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_44831.GIF,"",ইসলামের যাকাত বিধান-দ্বিতীয় খণ্ড,ড. ইউসুফ আল কারযাভী,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,খায়রুন প্রকাশনী,9848455335,"6th Published,2017",663,বাংলাদেশ,বাংলা
বঙ্গানুবাদ কুরআন শরীফ ,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ),TK. 250,TK. 213,https://rokomari.com//book/44961/bonganubad-quran-sharif,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/084558c48_44961.jpg,"",বঙ্গানুবাদ কুরআন শরীফ,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), , ,খায়রুন প্রকাশনী,98484555011,"1st Published,2012",736,বাংলাদেশ,বাংলা
তাফহীমুল কুরআন ১ম খণ্ড,সাইয়েদ আবুল আলা মওদূদী,TK. 180,TK. 135,https://rokomari.com//book/44939/tafhimul-quran-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e0df758dd_44939.jpg,"",তাফহীমুল কুরআন ১ম খণ্ড,সাইয়েদ আবুল আলা মওদূদী,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,Khairun Prokashoni,9848455019,"26th Published,2017",223,Bangladesh,Bangla & Arabic
ইসলামের অর্থনৈতিক ব্যবস্থা ,ডা. এসরার আহমাদ,TK. 30,TK. 21,https://rokomari.com//book/44917/islamer-orthonoitik-babostha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fab69ccc6_44917.jpg,"",ইসলামের অর্থনৈতিক ব্যবস্থা,ডা. এসরার আহমাদ,মোস্তফা ওয়াহীদুজ্জামান, ,Khairun Prokashoni, ,"1st Published,2010",48,Bangladesh,Bangla & Arabic
ইসলামের যাকাত বিধান-প্রথম খণ্ড,ড. ইউসুফ আল কারযাভী,TK. 350,TK. 263,https://rokomari.com//book/167102/islamer-zakat-bidhan-1st-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3b58970f7_167102.jpg,"",ইসলামের যাকাত বিধান-প্রথম খণ্ড,ড. ইউসুফ আল কারযাভী,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,খায়রুন প্রকাশনী,98484555717,"9th Published,2018",464,বাংলাদেশ,বাংলা
তাফহীমুল কুরআন ১৯তম খণ্ড,সাইয়েদ আবুল আলা মওদূদী,TK. 250,TK. 188,https://rokomari.com//book/44957/tafhimul-quran-19th-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ccc1b9bbf_44957.jpg,"",তাফহীমুল কুরআন ১৯তম খণ্ড,সাইয়েদ আবুল আলা মওদূদী,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,Khairun Prokashoni,9848455019,"25th Published,2018",348,Bangladesh,Bangla & Arabic
তাফহীমুল কুরআন ২য় খণ্ড,সাইয়েদ আবুল আলা মওদূদী,TK. 170,TK. 128,https://rokomari.com//book/44940/tafhimul-quran-2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d5c0e939c_44940.jpg,"",তাফহীমুল কুরআন ২য় খণ্ড,সাইয়েদ আবুল আলা মওদূদী,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,Khairun Prokashoni,9848455019,"14th Published,2017",194,Bangladesh,Bangla & Arabic
জীবন-মৃত্যু এবং মানুষ ,ডা. এসরার আহমাদ,"",TK. 20,https://rokomari.com//book/44922/jibon-mrityu-ebong-manush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/888eb9108_44922.jpg,"",জীবন-মৃত্যু এবং মানুষ,ডা. এসরার আহমাদ,মোস্তফা ওয়াহীদুজ্জামান, ,খায়রুন প্রকাশনী, ,"1st Published,2010",32,বাংলাদেশ,বাংলা
তাফহীমুল কুরআন ৩য় খণ্ড,সাইয়েদ আবুল আলা মওদূদী,TK. 150,TK. 113,https://rokomari.com//book/44941/tafhimul-quran-3rd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8cb34e741_44941.jpg,"",তাফহীমুল কুরআন ৩য় খণ্ড,সাইয়েদ আবুল আলা মওদূদী,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,Khairun Prokashoni,9848455019,"14th Published,2017",169,Bangladesh,Bangla & Arabic
তাফহীমুল কুরআন ৪র্থ খণ্ড - ৪র্থ খণ্ড,মাওলানা মুহাম্মাদ আবদুর রহীম (রহ),TK. 150,TK. 113,https://rokomari.com//book/44942/tafhimul-quran-4th-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/521c733fc_44942.jpg,"",তাফহীমুল কুরআন ৪র্থ খণ্ড - ৪র্থ খণ্ড,"মাওলানা মুহাম্মাদ আবদুর রহীম (রহ),সাইয়েদ আবুল আলা মওদূদী",মাওলানা মুহাম্মাদ আবদুর রহীম (রহ), ,Khairun Prokashoni,9848455019,"14th Published,2017",166,Bangladesh,Bangla & Arabic
