Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"The Lion, The Bear And The Fox",কিডস হ্যাভেন,TK. 95,TK. 55,https://rokomari.com//book/160932/the-lion--the-bear-and-the-fox,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/abe052832_160932.jpg,"","The Lion,The Bear And The Fox", , ,Kids Heaven,Kids Heaven,9789849190083,"1st Published,2018",16,Bangladesh,English
The Lost Wig And Other Stories,কিডস হ্যাভেন,TK. 95,TK. 55,https://rokomari.com//book/160933/the-lost-wig-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0c7f524ce_160933.jpg,"",The Lost Wig And Other Stories, , ,Kids Heaven,Kids Heaven,9789849190083,"1st Published,2018",15,Bangladesh,English
The Magic Seed and Other Stories,কিডস হ্যাভেন,TK. 95,TK. 86,https://rokomari.com//book/161256/the-magic-seed-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c32520a6_161256.jpg,"",The Magic Seed and Other Stories, , ,Kids Heaven,Kids Heaven, ,"1st Published,2018",16,Bangladesh,English
The Mosquito And The Bull,কিডস হ্যাভেন,TK. 95,TK. 86,https://rokomari.com//book/162848/the-mosquito-and-the-bull,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a88f8bc47_162848.jpg,"",The Mosquito And The Bull,Kids Heaven, , ,Kids Heaven,9789849190083, ,16,Bangladesh,English
The Fox And Crane And Other Stories,কিডস হ্যাভেন,TK. 95,TK. 55,https://rokomari.com//book/160930/the-fox-and-crane-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05e098827_160930.jpg,"",The Fox And Crane And Other Stories, , ,Kids Heaven,Kids Heaven,9789849190083,"1st Published,2018",15,Bangladesh,English
The Wolf And The Rabbits,কিডস হ্যাভেন,TK. 95,TK. 55,https://rokomari.com//book/160931/the-wolf-and-the-rabbits,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9b7b30cb2_160931.jpg,"",The Wolf And The Rabbits, , ,Kids Heaven,Kids Heaven,9789849190083,"1st Published,2018",16,Bangladesh,English
Moral Stories: The Thirsty Crow And Other Stories,কিডস হ্যাভেন,TK. 95,TK. 48,https://rokomari.com//book/184078/moral-stories--the-thirsty-crow-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bbad8d1c1_184078.jpg,"",Moral Stories: The Thirsty Crow And Other Stories, , ,Kids Heaven,Kids Heaven,9789849190083, ,16,Bangladesh,English
The Donkey Prince And Other Stories,কিডস হ্যাভেন,TK. 95,TK. 55,https://rokomari.com//book/160934/the-donkey-prince-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b16e10588_160934.jpg,"",The Donkey Prince And Other Stories, , ,Kids Heaven,Kids Heaven,9789849190083,"1st Published,2018",16,Bangladesh,English
The Capseller And The Monkeys,কিডস হ্যাভেন,TK. 95,TK. 55,https://rokomari.com//book/160935/the-capseller-and-the-monkeys,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/42f013340_160935.jpg,"",The Capseller And The Monkeys, , ,Kids Heaven,Kids Heaven,9789849190083,"1st Published,2018",16,Bangladesh,English
The Grapes are Sour and other Stories,কিডস হ্যাভেন,TK. 95,TK. 67,https://rokomari.com//book/161255/the-grapes-are-sour-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/693b2d741_161255.jpg,"",The Grapes are Sour and other Stories, , ,Kids Heaven,Kids Heaven, ,"1st Published,2018",16,Bangladesh,English
The Vampire Prince And Other Stories,কিডস হ্যাভেন,TK. 95,TK. 86,https://rokomari.com//book/162847/the-vampire-prince-and-other-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a8ae7a348_162847.jpg,"",The Vampire Prince And Other Stories,Kids Heaven, , ,Kids Heaven,9789849190083, ,16,Bangladesh,English
Cinderella,কিডস হ্যাভেন,TK. 95,TK. 48,https://rokomari.com//book/184076/cinderella,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90896b271_184076.jpg,"",Cinderella, , ,Kids Heaven,Kids Heaven,9789849190083, ,16,Bangladesh,English
