Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ভৌতিক কান্ড আজও ঘটে,সুব্রত গুহ,"",TK. 81,https://rokomari.com//book/136626/voutik-kando-ajo-ghote,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভৌতিক কান্ড আজও ঘটে,সুব্রত গুহ, , ,কিশোর প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
আজই শেষ রাত,রণজিৎ সিকদার,"",TK. 180,https://rokomari.com//book/136627/aje-shesh-rat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আজই শেষ রাত,রণজিৎ সিকদার, , ,কিশোর প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
গোয়েন্দার চোখে রহস্য,সুব্রত গুহ,"",TK. 81,https://rokomari.com//book/136628/goyendar-chokhe-rohosso,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গোয়েন্দার চোখে রহস্য,সুব্রত গুহ, , ,কিশোর প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
মেঘ ও মৃত্তিকা,হরিনারায়ণ চট্টোপাধ্যায়,"",TK. 135,https://rokomari.com//book/136629/megh-o-mrittika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মেঘ ও মৃত্তিকা,হরিনারায়ণ চট্টোপাধ্যায়, , ,কিশোর প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
ঝোড়ো হাওয়া,শক্তিপদ রাজগুরু,"",TK. 270,https://rokomari.com//book/136630/jhoro-haowa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঝোড়ো হাওয়া,শক্তিপদ রাজগুরু, , ,কিশোর প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
সোনার সংসার,প্রভাবতী দেবী সরস্বতী,"",TK. 126,https://rokomari.com//book/136631/sonar-songsar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সোনার সংসার,প্রভাবতী দেবী সরস্বতী, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
মন জানে,ফাল্গুনী মুখোপাধ্যায়,"",TK. 198,https://rokomari.com//book/136632/mon-jane,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মন জানে,ফাল্গুনী মুখোপাধ্যায়, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
রতনমণি,শক্তিপদ রিয়াং,"",TK. 180,https://rokomari.com//book/136633/ratonmoni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রতনমণি,শক্তিপদ রিয়াং, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
বাংলা সাহিত্যের নানা দিক,সুনীল বসু,"",TK. 216,https://rokomari.com//book/136634/bangla-sahittyer-nana-dik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলা সাহিত্যের নানা দিক,সুনীল বসু, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
ধূসর দিগন্ত,হরিনারায়ণ চট্টোপাধ্যায়,"",TK. 180,https://rokomari.com//book/136635/dhusor-digonto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ধূসর দিগন্ত,হরিনারায়ণ চট্টোপাধ্যায়, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
হাসির গল্প পঁচিশ,অতীন ঠাকুর,"",TK. 90,https://rokomari.com//book/136636/hasir-golpo-pochish,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাসির গল্প পঁচিশ,অতীন ঠাকুর, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
মেঘ-মেদুর ও অনুরাগ,ফাল্গুনী মুখোপাধ্যায়,"",TK. 225,https://rokomari.com//book/136637/megh-medur-o-anurag,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মেঘ-মেদুর ও অনুরাগ,ফাল্গুনী মুখোপাধ্যায়, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
রাশি,শক্তিপদ রাজগুরু,"",TK. 234,https://rokomari.com//book/136638/rashi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রাশি,শক্তিপদ রাজগুরু, , ,কিশোর প্রকাশন (ভারত), ,2011, ,ভারত,বাংলা
কুশাঙ্কুর,ফাল্গুনী মুখোপাধ্যায়,"",TK. 360,https://rokomari.com//book/136639/kushangkur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কুশাঙ্কুর,ফাল্গুনী মুখোপাধ্যায়, , ,কিশোর প্রকাশন (ভারত), ,2014, ,ভারত,বাংলা
শরীর কাঁটাতার,মনজিৎ গাইন,"",TK. 216,https://rokomari.com//book/136640/shorir-katatar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শরীর কাঁটাতার,মনজিৎ গাইন, , ,কিশোর প্রকাশন (ভারত), ,2014, ,ভারত,বাংলা
