Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বাংলার ডাকাত,যোগেন্দ্রনাথ গুপ্ত,"",TK. 540,https://rokomari.com//book/136611/banglar-dakat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4962d8380_136611.jpg,"",বাংলার ডাকাত,যোগেন্দ্রনাথ গুপ্ত, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত),8187051515,"Reprint,2018",376,ভারত,বাংলা
এক নজরে ইউরোপ,গৌতম হাজরা,"",TK. 108,https://rokomari.com//book/136620/ek-nojore-europe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এক নজরে ইউরোপ,গৌতম হাজরা, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2010, ,ভারত,বাংলা
পড়াশোনার সুলুক সন্ধান,কমলবিকাশ বন্দ্যোপাধ্যায়,"",TK. 180,https://rokomari.com//book/136609/porashunoy-suluk-sondhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পড়াশোনার সুলুক সন্ধান,কমলবিকাশ বন্দ্যোপাধ্যায়, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2011, ,ভারত,বাংলা
কিশোর রহস্য গল্প,স্যার আর্থার কোনান ডয়েল,"",TK. 126,https://rokomari.com//book/136610/kishor-rohossho-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কিশোর রহস্য গল্প,স্যার আর্থার কোনান ডয়েল, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2011, ,ভারত,বাংলা
সবার প্রিয় টেনিদা,নারায়ণ গঙ্গোপাধ্যায়,"",TK. 126,https://rokomari.com//book/136614/sobar-priyo-tenida,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সবার প্রিয় টেনিদা,নারায়ণ গঙ্গোপাধ্যায়, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2013, ,ভারত,বাংলা
ভাবনায় বিজ্ঞান,গৌতম হাজরা,"",TK. 126,https://rokomari.com//book/136615/vabonay-biggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাবনায় বিজ্ঞান,গৌতম হাজরা, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2013, ,ভারত,বাংলা
সায়েন্স এক্সপেরিমেন্ট,অমরনাথ রায় ,"",TK. 108,https://rokomari.com//book/136616/science-experiment,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সায়েন্স এক্সপেরিমেন্ট,অমরনাথ রায়, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2014, ,ভারত,বাংলা
সংখ্যার জাদু,অমরনাথ রায় ,"",TK. 108,https://rokomari.com//book/136617/songkhar-jadu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সংখ্যার জাদু,অমরনাথ রায়, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2014, ,ভারত,বাংলা
মজার অংক,পার্থ কর্মকার,"",TK. 144,https://rokomari.com//book/136618/mojar-ongko,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মজার অংক,পার্থ কর্মকার, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2014, ,ভারত,বাংলা
প্রথম মহিলা বিজ্ঞানী,কমলবিকাশ বন্দ্যোপাধ্যায়,"",TK. 108,https://rokomari.com//book/136619/prothom-mohila-biggani,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রথম মহিলা বিজ্ঞানী,কমলবিকাশ বন্দ্যোপাধ্যায়, , ,কিশোর জ্ঞান বিজ্ঞান (ভারত), ,2015, ,ভারত,বাংলা
