Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Islam at the Crossroads,আল্লামা মুহাম্মদ আসাদ,"",TK. 718,https://rokomari.com//book/151729/islam-at-the-crossroads,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b9d60801d_151729.jpg,"",Islam at the Crossroads,Allama Muhammad Asad, , ,Kitab Bhavan india,9788171513345,"1st Edition,2003",176,India,English
The Holy Quran (Boro),আব্দুল্লাহ ইউসুফ আলী,TK. 800,TK. 560,https://rokomari.com//book/45915/the-holy-quran--boro-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140803_45915.gif,"",The Holy Quran (Boro), ,Abdullah Yusuf Ali, ,Kitab Bhavan india,8171512070,"Reprinted Edition,2008",623,Bangladesh,English
The Reconstruction of Religious Thought in Islam,স্যার মুহাম্মাদ ইকবাল,"",TK. 450,https://rokomari.com//book/151727/the-reconstruction-of-religious-thought-in-islam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/feb690ff6_151727.jpg,"",The Reconstruction of Religious Thought in Islam,Sir Muhammad Iqbal, , ,Kitab Bhavan india,9788171510818,"1st Edition,2000",242,India,English
The Holy Qur'an: Transliteration in Roman Script with Arabic Text and English Translation,ডঃ আর সি মিশ্রা ,"","TK. 2,052",https://rokomari.com//book/187299/the-holy-qur-an--transliteration-in-roman-script-with-arabic-text-and-english-translation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/07f44df3d_187299.jpg,"",The Holy Qur'an: Transliteration in Roman Script with Arabic Text and English Translation,Dr. R.C. Mishra,Abdullah Yusuf Ali, ,Kitab Bhavan india,9788171512072,"1st Edition,1999", ,India,English
Arab Muslim Administration,ইমামুদ্দীন ,"",TK. 234,https://rokomari.com//book/175252/arab-muslim-administration,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e6f2599d0_175252.jpg,"",Arab Muslim Administration,Imamuddin, , ,Kitab Bhavan india,9788171510566,"1st Edition,2018",168,India,English
Complaint and Answer,স্যার মুহাম্মাদ ইকবাল,"",TK. 256,https://rokomari.com//book/151728/complaint-and-answer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d43f5bc9d_151728.jpg,"",Complaint and Answer,Sir Muhammad Iqbal, , ,Kitab Bhavan india,9788171513017,"1st Edition,2001",80,India,English
Introduction to Islam,ডঃ মোঃ হামিদুল্লাহ,"","TK. 4,340",https://rokomari.com//book/143892/introduction-to-islam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4320088b0e44_143892.jpg,"",Introduction to Islam,Dr. Md. Hamidullah, , ,Kitab Bhavan india,9788171511549,"1st edition,2011",392,India,English
Battlefields of the Prophet Muhammad: A Contribution to Muslim Military History,ডঃ মোঃ হামিদুল্লাহ,"","TK. 4,671",https://rokomari.com//book/143893/battlefields-of-the-prophet-muhammad--a-contribution-to-muslim-military-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/234b11d7c894_143893.jpg,"",Battlefields of the Prophet Muhammad: A Contribution to Muslim Military History,Dr. Md. Hamidullah, , ,Kitab Bhavan india,9788171511532,"4th Revised edition,1992",7158,India,English
The Holy Quran (Transliteration In Roman Script With Original Arabic Text),হযরত মাওলানা হিফজুর রহমান কাসেমী,"","TK. 1,500",https://rokomari.com//book/188332/the-holy-quran--transliteration-in-roman-script-with-original-arabic-text-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a2f6c6d5_188332.jpg,"",The Holy Quran (Transliteration In Roman Script With Original Arabic Text),Hazrat Maolana Hifjur Rahman Kasemi,Abdullah Yusuf Ali, ,Kitab Bhavan india,8171512070,"Last Edition,2017",623,India,English
The Spirit of Islam,সাইয়েদ আমির আলী,"",TK. 810,https://rokomari.com//book/118339/the-spirit-of-islam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/25f59dd0dc04_118339.gif,"",The Spirit of Islam,Syed Ameer Ali, , ,Kitab Bhavan india,9788171512379,"1st Edition,1905",472,India,English
