Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
My Favourite Little Book (12ti Boyer Set),নলেজ ভিউ,TK. 720,TK. 612,https://rokomari.com//book/153126/my-favourite-little-book--12ti-boyer-set-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/886f51b41_153126.jpg,"",My Favourite Little Book (12ti Boyer Set), , ,Knowledge View,Knowledge View,9789848890370, , ,Bangladesh,English
রুশদেশের উপকথা ,সুপ্রিয়া ঘোষ,TK. 200,TK. 150,https://rokomari.com//book/69851/rushodesher-upokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6f7bb96258a4_69851.jpg,"",রুশদেশের উপকথা, ,সুপ্রিয়া ঘোষ,ননী ভৌমিক,নলেজ ভিউ,9789848890226,"1st Published,2011",136,বাংলাদেশ,বাংলা
তুষার কন্যা ও সাত বামনের গল্প,মমতাজ আহাম্মদ,TK. 70,TK. 53,https://rokomari.com//book/69832/tushar-konna-o-sat-bamoner-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7deea5682e64_69832.jpg,"",তুষার কন্যা ও সাত বামনের গল্প,মমতাজ আহাম্মদ, , ,নলেজ ভিউ,9789848890615, ,24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (বেগুনী বই),আজিজুর রহমান,TK. 60,TK. 42,https://rokomari.com//book/69844/chotomonider-golper-juli--beguni-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb5e63de0e94_69844.jpg,"",ছোটমণিদের গল্পের ঝুলি (বেগুনী বই), , ,আজিজুর রহমান,নলেজ ভিউ, ,"1st Edition,2014",24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (হলুদ বই),আজিজুর রহমান,TK. 60,TK. 45,https://rokomari.com//book/69837/chotomonider-golper-juli--holud-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ebc4f313dcc4_69837.jpg,"",ছোটমণিদের গল্পের ঝুলি (হলুদ বই), , ,আজিজুর রহমান,নলেজ ভিউ, ,"1st Edition,2017",24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (বাদামী বই),আজিজুর রহমান,TK. 60,TK. 45,https://rokomari.com//book/69846/chotomonider-golper-juli--balami-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/473106852754_69846.jpg,"",ছোটমণিদের গল্পের ঝুলি (বাদামী বই), , ,আজিজুর রহমান,নলেজ ভিউ, ,"1st Edition,2017",24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (লাল বই),আজিজুর রহমান,TK. 60,TK. 45,https://rokomari.com//book/69843/chotomonider-golper-juli--lal-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/60459c66a484_69843.jpg,"",ছোটমণিদের গল্পের ঝুলি (লাল বই), , ,আজিজুর রহমান,নলেজ ভিউ, ,"1st Edition,2017",24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (গোলাপি বই),আজিজুর রহমান,TK. 60,TK. 45,https://rokomari.com//book/69841/chotomonider-golper-juli--golapi-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/482bf4366e44_69841.jpg,"",ছোটমণিদের গল্পের ঝুলি (গোলাপি বই), , ,আজিজুর রহমান,নলেজ ভিউ, ,"1st Published,2017",24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (সবুজ বই),আজিজুর রহমান,TK. 60,TK. 45,https://rokomari.com//book/69842/chotomonider-golper-juli--sobuj-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fa0371332e64_69842.jpg,"",ছোটমণিদের গল্পের ঝুলি (সবুজ বই),আজিজুর রহমান, , ,নলেজ ভিউ, ,"1st Edition,2017",24,বাংলাদেশ,বাংলা
ছোটমণিদের গল্পের ঝুলি (নীল বই),আজিজুর রহমান,TK. 60,TK. 45,https://rokomari.com//book/69839/chotomonider-golper-juli--nill-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/96d1e11e3534_69839.jpg,"",ছোটমণিদের গল্পের ঝুলি (নীল বই), , ,আজিজুর রহমান,নলেজ ভিউ, ,"1st Edition,2017",24,বাংলাদেশ,বাংলা
ঠাকুরমার ঝুলি,দক্ষিণারঞ্জন মিত্র মজুমদার,TK. 250,TK. 188,https://rokomari.com//book/69852/thakurmar-juli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2d617976af04_69852.jpg,"",ঠাকুরমার ঝুলি,দক্ষিণারঞ্জন মিত্র মজুমদার, , ,নলেজ ভিউ,9789848890219,"2nd Print,2015",126,বাংলাদেশ,বাংলা
কুৎসিত এক হাঁসছানা,মমতাজ আহাম্মদ,TK. 70,TK. 63,https://rokomari.com//book/69829/kutsit-ak-shas-chana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/26b8d6edff94_69829.jpg,"",কুৎসিত এক হাঁসছানা, ,মমতাজ আহাম্মদ, ,নলেজ ভিউ,9789848890585, ,24,বাংলাদেশ,বাংলা
বুদ্ধিমান এক বিড়াল,মমতাজ আহাম্মদ,TK. 70,TK. 53,https://rokomari.com//book/69823/buddhiman-ak-biral,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5397318215f4_69823.jpg,"",বুদ্ধিমান এক বিড়াল,মমতাজ আহাম্মদ, , ,নলেজ ভিউ,9789848890547, ,24,বাংলাদেশ,বাংলা
সিনডেরেলা,মমতাজ আহাম্মদ,TK. 70,TK. 63,https://rokomari.com//book/69824/senderela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/60f547714454_69824.jpg,"",সিনডেরেলা, ,মমতাজ আহাম্মদ, ,নলেজ ভিউ,9789848890523, ,24,বাংলাদেশ,বাংলা
আমার প্রথম পড়া,মেহেজাবীন আলম চৌধুরী আঁখী,TK. 156,TK. 142,https://rokomari.com//book/153125/amar-prothom-pora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/38a9ecb48_153125.jpg,"",আমার প্রথম পড়া,মেহেজাবীন আলম চৌধুরী আঁখী, , ,নলেজ ভিউ,9789848890486,"1st Published,2013",64,বাংলাদেশ,বাংলা
ঈশপের গল্প,ইফতেখার আহমেদ,TK. 250,TK. 188,https://rokomari.com//book/69850/ishoper-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8535d0013304_69850.jpg,"",ঈশপের গল্প, , ,ইফতেখার আহমেদ,নলেজ ভিউ,9789848890202,"2nd Print,2015",123,বাংলাদেশ,বাংলা
কাঠের পুতুল পিনোকিও,মমতাজ আহাম্মদ,TK. 70,TK. 53,https://rokomari.com//book/69828/kather-putul-pinokio,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e5ac6c0b03b4_69828.jpg,"",কাঠের পুতুল পিনোকিও, ,মমতাজ আহাম্মদ, ,নলেজ ভিউ,9789848890578, ,24,বাংলাদেশ,বাংলা
ছোট্ট এক টিনের সেপাই,মমতাজ আহাম্মদ,TK. 70,TK. 53,https://rokomari.com//book/69826/chotto-ak-tiner-sopai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c08ef3424a94_69826.jpg,"",ছোট্ট এক টিনের সেপাই, ,মমতাজ আহাম্মদ, ,নলেজ ভিউ,9789848890554, ,24,বাংলাদেশ,বাংলা
আলাদীনের যাদুর প্রদীপ,মমতাজ আহাম্মদ,TK. 60,TK. 54,https://rokomari.com//book/69825/aladiner-jadur-prodip,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/96d29de6ed44_69825.jpg,"",আলাদীনের যাদুর প্রদীপ,মমতাজ আহাম্মদ, , ,নলেজ ভিউ,9789848890530, ,24,বাংলাদেশ,বাংলা
তিনটি ছোট্ট শুকুরছানা,মমতাজ আহাম্মদ,TK. 70,TK. 63,https://rokomari.com//book/69831/tinti-chotto-sukurchana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b3d1afd2ef84_69831.jpg,"",তিনটি ছোট্ট শুকুরছানা, ,মমতাজ আহাম্মদ, ,নলেজ ভিউ,9789848890608, ,24,বাংলাদেশ,বাংলা
নোমান মামার সমাজসেবা,শফিক হাসান,TK. 180,TK. 135,https://rokomari.com//book/77928/noman-mamar-somajseba,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0808dae56b74_77928.jpg,"",নোমান মামার সমাজসেবা,শফিক হাসান, , ,নলেজ ভিউ,9789848890639,"3rd Edition,2009",79,বাংলাদেশ,বাংলা
