Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সাঁকো ভাঙার শব্দ,নবনীতা ভট্টাচার্য্য,TK. 200,TK. 150,https://rokomari.com//book/185163/sako-bangar-shobdo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a9afdb038_185163.jpg,"",সাঁকো ভাঙার শব্দ,নবনীতা ভট্টাচার্য্য, , ,কবি মানস,9789848086537,"1st Published,2019",64,বাংলাদেশ,বাংলা
দাম্পত্য সম্পর্ক : জীবনানন্দ ও  তাঁর কথাসাহিত্য,পঙ্কজ কুমার সরকার,TK. 650,TK. 488,https://rokomari.com//book/183135/dampatya-samporko---jibananda-o-tar-kothasahitya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5c5425c90_183135.jpg,"",দাম্পত্য সম্পর্ক : জীবনানন্দ ও  তাঁর কথাসাহিত্য,পঙ্কজ কুমার সরকার, , ,কবি মানস,9789848086995,"1st Published,2019",299,বাংলাদেশ,বাংলা
স্মৃতির কোলাজ,মাসুম খান,TK. 50,TK. 38,https://rokomari.com//book/197500/sritir-kolaj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e00fde32a_197500.jpg,"",স্মৃতির কোলাজ,মাসুম খান, , ,কবি মানস,9789849456919,"1st Published,2020", ,বাংলাদেশ,বাংলা
নবাগত ঈশ্বরের প্রতীক্ষা,তাহমিনা নোভা,TK. 50,TK. 38,https://rokomari.com//book/197497/nobagoto-ishworer-protokkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7412604b3_197497.jpg,"",নবাগত ঈশ্বরের প্রতীক্ষা,তাহমিনা নোভা, , ,কবি মানস,9789849456902,"1st Published,2020", ,বাংলাদেশ,বাংলা
মনসিজ বাগানের শ্বেত,নীহার লিখন,TK. 120,TK. 90,https://rokomari.com//book/197501/manasij-baganer-shwet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6ccceae3f_197501.jpg,"",মনসিজ বাগানের শ্বেত,নীহার লিখন, , ,কবি মানস,9789849456889,"1st Published,2020", ,বাংলাদেশ,বাংলা
সমনাম,ঋত্বিকা দাস,TK. 200,TK. 150,https://rokomari.com//book/197502/samanam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4ebdf5b01_197502.jpg,"",সমনাম,ঋত্বিকা দাস, , ,কবি মানস,9789849456766,"1st Published,2020", ,বাংলাদেশ,বাংলা
অভিমানের চান্দ্র বুনন,কুমার গৌতম,TK. 150,TK. 113,https://rokomari.com//book/196083/abhimaner-chandra-bunan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95b49d23e_196083.jpg,"",অভিমানের চান্দ্র বুনন,কুমার গৌতম, , ,কবি মানস,9789849456742,"1st Published,2020",54,বাংলাদেশ,বাংলা
অর্পার স্বপ্নগুলো,শামীম রফিক,TK. 250,TK. 188,https://rokomari.com//book/197508/arpar-swapnagulo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/45f1aeec0_197508.jpg,"""অর্পার স্বপ্নগুলো"" বইয়ের ফ্ল্যাপের লেখা:

কবিতাগুলােতে করা হয়েছে প্রচণ্ডরকম কারুকাজ। ছােট ছােট কিন্তু অনেক গভীরতর। ঘটনাগুলাে প্রাত্যহিক হলেও অঙ্গসজ্জা বা গঠনবিন্যাস কাল্পনিকতায় পরিপূর্ণ। অলঙ্কার ও শৈলির ধ্রুপদি কারুকাজ করা হয়েছে। সচেতনভাবে। শুধুই শাব্দিক নয়, পরিপূর্ণ রূপক। ও উপমায়িত। কিন্তু সরল ও সহজ কথার আচ্ছাদনে সজ্জিত। প্রকরণগত বহুমুখিনতা যেমন রয়েছে, তেমনি রয়েছে রূপের ঝলক। ধূসরতা থাকলেও প্রেম খেয়েছে, প্রেম থাকলেও সময় খেয়েছে, সবার উপরে রক্তচক্ষু নিয়ে দাঁড়িয়ে আছে মৃত্যুর মতাে ভয়াল ট্রাজেডি। তারপরও রয়েছে স্বপ্ন আর প্রচেষ্টার সম্মিলন যা থেকে জন্ম নিচ্ছে আশাবাদ, একের পর এক আশাবাদের চিত্র। যেমন তিনি লেখেন : ‘এখন তােমরাও জানাে, আমার পথ কুসুমিত নয়/তবুও ব্যাপক প্রস্তুতি আর পােড়বার অভিজ্ঞতা নিয়ে এই অভিযাত্রা। মৃত্যুকে তিনি খুব ভয় পান- এ রকম অনেক লেখা এই বইটিতে থাকলেও আবার মৃত্যুর জন্য তিনি প্রস্তুত।",অর্পার স্বপ্নগুলো,শামীম রফিক, , ,কবি মানস,9789849456759,"1st Published,2020", ,বাংলাদেশ,বাংলা
পৌষের প্রজাপতি,কামরুন নাহার সিদ্দীকা,TK. 200,TK. 150,https://rokomari.com//book/196079/pousher-projapati,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3f4cd4441_196079.jpg,"",পৌষের প্রজাপতি,কামরুন নাহার সিদ্দীকা, , ,কবি মানস,9789849456780,"1st Published,2020", ,বাংলাদেশ,বাংলা
গানের কথায় গানের ভাষায়,আতিক আলতাফ,TK. 200,TK. 150,https://rokomari.com//book/196097/ganer-kothai-ganer-bhashai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/47b9c39d2_196097.jpg,"",গানের কথায় গানের ভাষায়,আতিক আলতাফ, , ,কবি মানস,9789849456728,"1st Published,2020", ,বাংলাদেশ,বাংলা
