Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নির্বাচিত আবৃত্তির কবিতা,মাহবুবুল আলম,TK. 250,TK. 213,https://rokomari.com//book/11093/nirbachito-abritoer-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নির্বাচিত আবৃত্তির কবিতা,মাহবুবুল আলম, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
লাল মিছিলের ঐক্য,মোহন রায়হান,TK. 100,TK. 90,https://rokomari.com//book/11095/lal-mishiler-aeko,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লাল মিছিলের ঐক্য,মোহন রায়হান, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
কষ্টের পান্ডুলিপি,জাহিদুল ইসলাম,TK. 80,TK. 72,https://rokomari.com//book/11100/kostar-pandulipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কষ্টের পান্ডুলিপি,জাহিদুল ইসলাম, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
ভুল বানানের চিঠি,চরু হক,TK. 100,TK. 90,https://rokomari.com//book/9909/vul-bananar-chithi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভুল বানানের চিঠি,চরু হক, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
পাতাঝড়ার শব্দ পাই,চরু হক,TK. 100,TK. 90,https://rokomari.com//book/9948/patajorar-sobdo-pai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পাতাঝড়ার শব্দ পাই,চরু হক, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
দ্রোহকাল বিলাপ,জুয়েল মুর্শেদ,TK. 80,TK. 72,https://rokomari.com//book/10299/drohkal-bilap,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দ্রোহকাল বিলাপ,জুয়েল মুর্শেদ, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
ভালো কথার পঙ্ক্তিগুচ্ছ,সৈয়দ মোসাহিদ আহমদ চুন্নু,TK. 100,TK. 90,https://rokomari.com//book/13139/valo-kothar-pongotiguccho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভালো কথার পঙ্ক্তিগুচ্ছ,সৈয়দ মোসাহিদ আহমদ চুন্নু, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
জনৈক স্বপ্ন মানব ,মোঃ মনজুরুল মাহবুব আলম,TK. 120,TK. 106,https://rokomari.com//book/12607/joinik-saono-manob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জনৈক স্বপ্ন মানব,মোঃ মনজুরুল মাহবুব আলম, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
কাঁচপোকা,নায়েম লিটু,TK. 75,TK. 68,https://rokomari.com//book/12608/kacpoka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কাঁচপোকা,নায়েম লিটু, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
মুদ্রণ প্রমাদ ,মুজাহিদ আহমদ,TK. 55,TK. 50,https://rokomari.com//book/12609/murdon-promad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মুদ্রণ প্রমাদ,মুজাহিদ আহমদ, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
জীবনের খেরোপাতা ,সেখ হেফাজ উদ্দীন,TK. 300,TK. 255,https://rokomari.com//book/12610/jiboner-kheropata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জীবনের খেরোপাতা,সেখ হেফাজ উদ্দীন, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
সমালোচকের দায় ,মোহাম্মদ নূরুল হক,TK. 150,TK. 132,https://rokomari.com//book/12611/samalocaker-day,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সমালোচকের দায়,মোহাম্মদ নূরুল হক, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
রঙ চঙ,আবদাল মাহবুব কোরেশী,TK. 100,TK. 90,https://rokomari.com//book/12906/rang-chong,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রঙ চঙ,আবদাল মাহবুব কোরেশী, , ,কোরাস, , , ,বাংলাদেশ,বাংলা
