Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
২০০০ প্রবাদ প্রবচন ও খনার বচন ,তানভীর আহমেদ,TK. 250,TK. 175,https://rokomari.com//book/99297/2000-probad-probachon-o-khonar-bochon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150430_99297.gif,"",২০০০ প্রবাদ প্রবচন ও খনার বচন,তানভীর আহমেদ, , ,লাবিব ব্রাদার্স,9789849088585,"1st,2014",270,বাংলাদেশ,বাংলা
ভাষা শিক্ষা চায়না-হংকং,তুহিন রহমান ,TK. 230,TK. 161,https://rokomari.com//book/83249/bhasha-shikkha-china-hong-kong,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3641e2aca_83249.jpg,"",ভাষা শিক্ষা চায়না-হংকং,তুহিন রহমান, , ,লাবিব ব্রাদার্স,9789849061625,"1st Published,2014",240,বাংলাদেশ,বাংলা
আপনার সিভি ঠিকতো চাকরি ঠিক : মর্ডান সিভি গাইড,আশ্রাফুজ্জামান,TK. 250,TK. 175,https://rokomari.com//book/99201/apnar-cv-thik-to-chaksri-thik---moeran-cv-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150419_99201.gif,"",আপনার সিভি ঠিকতো চাকরি ঠিক : মর্ডান সিভি গাইড,আশ্রাফুজ্জামান, , ,লাবিব ব্রাদার্স,9789849088592,"1st,2015",319,বাংলাদেশ,বাংলা
ভাষা শিক্ষা থাইল্যান্ড-তাইওয়ান,তুহিন রহমান ,TK. 230,TK. 161,https://rokomari.com//book/83251/bhasha-shikkha-thailand-taiwan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_83251.GIF,"",ভাষা শিক্ষা থাইল্যান্ড-তাইওয়ান,তুহিন রহমান, , ,লাবিব ব্রাদার্স,98789849061663,"1st,2014",280,বাংলাদেশ,বাংলা
বাণী চিরন্তনী,আশরাফ রহমান,TK. 300,TK. 210,https://rokomari.com//book/77031/bani-cherontoni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77031.GIF,"",বাণী চিরন্তনী, , ,আশরাফ রহমান,লাবিব ব্রাদার্স, , , ,বাংলাদেশ,বাংলা
খাদ্যাভ্যাস পরিবর্তনে রোগ-নিরাময় (ছোট),আশ্রাফুজ্জামান,TK. 230,TK. 184,https://rokomari.com//book/87353/khaddavash-poribartone-rog-niramoyo--choto-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140907_87353.gif,"",খাদ্যাভ্যাস পরিবর্তনে রোগ-নিরাময় (ছোট),আশ্রাফুজ্জামান, , ,লাবিব ব্রাদার্স, , , ,বাংলাদেশ,বাংলা
ধাঁধা ও কৌতুক : ধাঁধায় ছন্দ হাসি আনন্দ(সাদা),আশরাফ রহমান,TK. 230,TK. 184,https://rokomari.com//book/90646/dhnadha-o-koutuk---dhnadhay-chando-hasi-anodo-white-print-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_90646.gif,"",ধাঁধা ও কৌতুক : ধাঁধায় ছন্দ হাসি আনন্দ(সাদা), , ,আশরাফ রহমান,লাবিব ব্রাদার্স,9789849061588,"1st,2013",320,বাংলাদেশ,বাংলা
বাংলাদেশ ট্যুর গাইড(সাদা),তুহিন রহমান ,TK. 230,TK. 184,https://rokomari.com//book/90649/bangladesh-tour-guide-white-print-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg20141026_90649.gif,"",বাংলাদেশ ট্যুর গাইড(সাদা),তুহিন রহমান, , ,লাবিব ব্রাদার্স, , , ,বাংলাদেশ,বাংলা
ধাঁধায় ছন্দ হাসি আনন্দ(অফসেট),আশরাফ রহমান,TK. 300,TK. 240,https://rokomari.com//book/77028/dhnadhay-chando-hasi-anodo-opset-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77028.GIF,"",ধাঁধায় ছন্দ হাসি আনন্দ(অফসেট), , ,আশরাফ রহমান,লাবিব ব্রাদার্স, , , ,বাংলাদেশ,বাংলা
যে রাঁধে সে চুলও বাঁধে,শারমিন শিলা,TK. 300,TK. 240,https://rokomari.com//book/77290/ja-rade-sea-chulo-bade,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77290.GIF,"",যে রাঁধে সে চুলও বাঁধে,শারমিন শিলা, , ,লাবিব ব্রাদার্স, , , ,বাংলাদেশ,বাংলা
মোটর ড্রাইভিং লাইসেন্স প্রাপ্তি ও মোটরগাড়ি মেরামত-রক্ষণাবেক্ষণ(সাদা),ইঞ্জিনিয়ার নজরুল ইসলাম,TK. 230,TK. 184,https://rokomari.com//book/81619/motor-driving-licence-prapty-o-motorgari-meramot-rokhanabekkhon--white-paper-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_81619.GIF,"",মোটর ড্রাইভিং লাইসেন্স প্রাপ্তি ও মোটরগাড়ি মেরামত-রক্ষণাবেক্ষণ(সাদা),ইঞ্জিনিয়ার নজরুল ইসলাম, , ,লাবিব ব্রাদার্স, , , ,বাংলাদেশ,বাংলা
