Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বাংলা ভাষার ব্যাকরণ নবম দশম শ্রেণি(এমসিকিউ),শরীফ ওবায়েদুল্লাহ,TK. 120,TK. 98,https://rokomari.com//book/180662/bangla-vashar-byakoron-nobom-doshom-shreni-mcq-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d341c7556_180662.jpg,"",বাংলা ভাষার ব্যাকরণ নবম দশম শ্রেণি(এমসিকিউ),শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Published,2019",144,বাংলাদেশ,বাংলা
বাংলা ব্যাকরণ জিজ্ঞাসা,শরীফ ওবায়েদুল্লাহ,TK. 200,"",https://rokomari.com//book/180665/bangla-byakoron-jiggasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/414945bb8_180665.jpg,"বাংলা ব্যাকরণ জিজ্ঞাসা
উচ্চশিক্ষা গ্রহণের পূর্বে ও পরে ভর্তিযুদ্ধ এবং চাকুরীর যুদ্ধ অনেকটা চন্দ্র জয় করার মত। এজন্য প্রতিটি শিক্ষার্থীকে হয়ে হবে উদ্যমী, অধ্যবসায়ী, পরিশ্রমী ও দৃঢ়চেতা। আর সেই সাথে হয়ে হবে সকল বিষয়ে সমানভাবে পারদর্শী। কিন্তু অধিকাংশ শিক্ষার্থীরা অন্যান্য বিষয়ে পটু হলেও বাংলা ব্যাকরণের ক্ষেত্রে যেন শুধু কঠিনই নয় মনে রাখতে পারাও দুষ্কর বলে মনে হয়।
এমন সকল সমস্যার সমধান নিয়েই হাজির হয়েছে শরীফ ওবায়েদুল্লাহ’র বাংলা ব্যাকরণ জিজ্ঞাসা বইটি। বইটির প্রতিটি অধ্যায় সুনিপুণ ভাবে সাজান হয়েছে। সহজ উপায়ে শিক্ষার্থীদের মনে রাখার বিভিন্ন কৌশল অবলম্বন করে বইটিতে উপস্থাপন করা হয়েছে। যেমন-
>গল্প আকারে দেশি শব্দগুলো মনে রাখার কৌশল,
>অর্থবোধক ভাবে শব্দগুলো মনে রাখার কৌশল,
> সন্ধি, ণ ত্ব-বিধান, স ত্ব বিধান সহ বাংলা ব্যাকরণের বিষয়গুলো সহজভাবে মনে রাখার কৌশল,
>ভাষার ইতিহাস সহ বাংলা ব্যাকরনের যতগুলো পর্যায় আছে সবগুলো সম্পর্কে সহজ ও সাবলীল ভাষায় উপস্থাপন করা হয়েছে।
এছাড়াও বইটি যারা পরে উপকৃত হয়েছে তাদের মতামনও তুলে ধরা হল-
“বইটি আমার খুব উপকারে এসেছে।ব্যাকরণকে আগে ভয় পেতাম কিন্তু এখন আর পাই না।আশা করি বইটি সকলের কাজে লাগবে।এত সুন্দরভাবে ব্যাকরণ বুঝানোর জন্য বইটির লেখককে অনেক ধন্যবাদ। সবমিলিয়ে অসাধারণ”",বাংলা ব্যাকরণ জিজ্ঞাসা,শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Published,2019",252,বাংলাদেশ,বাংলা
ঢাবি মডেল কথন মানবিক বিভাগ এমসিকিউ এবং লিখিত,শরীফ ওবায়েদুল্লাহ,TK. 150,TK. 132,https://rokomari.com//book/214270/du-model-kothon-manobik-bivag-mcq-and-likhito,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/60c6ea379_214270.jpg,"",ঢাবি মডেল কথন মানবিক বিভাগ এমসিকিউ এবং লিখিত,শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Edition,2021", ,বাংলাদেশ,বাংলা
টেক্সট বুক রিভিউ (এমসিকিউ),শরীফ ওবায়েদুল্লাহ,TK. 350,TK. 298,https://rokomari.com//book/207929/text-book-review--mcq-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ce911af20_207929.jpg,"",টেক্সট বুক রিভিউ (এমসিকিউ),শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Published,2021",616,বাংলাদেশ,বাংলা
ঢাবি মডেল কথন বিভাগ পরিবর্তন এমসিকিউ এবং লিখিত,শরীফ ওবায়েদুল্লাহ,TK. 150,TK. 132,https://rokomari.com//book/214271/du-model-kothon-bivag-poriborton-mcq-and-likhito,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f10b52443_214271.jpg,"",ঢাবি মডেল কথন বিভাগ পরিবর্তন এমসিকিউ এবং লিখিত,শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Edition,2021", ,বাংলাদেশ,বাংলা
বর্ণমালা (বিশ্ববিদ্যালয় ভর্তি প্রস্তৃুতির পূর্ণাঙ্গ বাংলা বই),শরীফ ওবায়েদুল্লাহ,TK. 350,TK. 298,https://rokomari.com//book/206803/bornomala--bishyobidyaloy-vorti-prostutur-purnanggo-bangla-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/496974916_206803.jpg,"",বর্ণমালা (বিশ্ববিদ্যালয় ভর্তি প্রস্তৃুতির পূর্ণাঙ্গ বাংলা বই),শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"2nd Edition,2020",556,বাংলাদেশ,বাংলা
গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান পাঠ,আল আমিন,TK. 360,TK. 306,https://rokomari.com//book/206801/gonoprojatontri-bangladesher-songbidhan-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6db865fd1_206801.jpg,"",গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান পাঠ,আল আমিন, , ,কথন প্রকাশনী,9789843496157,"1st Published,2020",399,বাংলাদেশ,বাংলা
বাংলা সাহিত্য: নবম দশম শ্রেনি(এমসিকিউ),শরীফ ওবায়েদুল্লাহ,TK. 100,TK. 90,https://rokomari.com//book/180660/bangla-sahityo--nobom-doshom-shreni-mcq-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/edbaaf2f9_180660.jpg,"",বাংলা সাহিত্য: নবম দশম শ্রেনি(এমসিকিউ),শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Published,2019",112,বাংলাদেশ,বাংলা
বাংলা মডেল টেস্ট: মডেল কথন,শরীফ ওবায়েদুল্লাহ,TK. 50,TK. 45,https://rokomari.com//book/180667/bangla-model-test--model-kothon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a1afe246_180667.jpg,"",বাংলা মডেল টেস্ট: মডেল কথন,শরীফ ওবায়েদুল্লাহ, , ,কথন প্রকাশনী, ,"1st Published,2019",72,বাংলাদেশ,বাংলা
১০০ রুলস অফ ইংলিশ গ্রামার,সিদ্দিক মহসিন পাটোয়ারী,TK. 250,TK. 213,https://rokomari.com//book/198190/100-rules-of-english-grammar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4ec5150a8_198190.jpg,"বর্তমান যুগটা ইংরাজি ভাষা ছাড়া যেন অসম্পূর্ণ।পড়াশুনা থেকে শুরু করে কর্পোরেট লাইফ এমনকি দৈনন্দিন জীবনের সব কিছুতেই ইংরেজি ভাষা ছাড়া গতি নেই। আর বিসিএস থেকে শুরু করে সকল ধরণের ভর্তি পরীক্ষা ও নিয়োগ পরিক্ষায় খুব গুরুত্বপূর্ন জায়গা দখল করে আছে ইংরেজী। তাই ইংরেজী শুদ্ধভাবে বলতে ও লিখতে পারাটা এখন খুবই গুরুত্বপূর্ণ।
আর ইংরেজী সঠিকভাবে পড়তে ও লিখতে হলে আগে খুব ভালোভাবে রপ্ত করতে হবে গ্রামারের সব নিয়ম। কিন্তু ইংরেজী গ্রামারের এই অসংখ্য নিয়ম মনে রাখা কি এতটাই সহজ!! দেখা যায় একটা মনে রাখা হলে অন্যটা মনে থাকে না অথবা একটার সাথে গুলিয়ে যায় অন্যটা। তাই দরকার এমন কিছু যা ইংরেজি শিখাটাকে আরো সহজ ও মজার করে তুলবে। 
আর এমনি একটি মজার বই হল 100 Rules of English Grammar. তারমানে একটি বই এবং মাত্র ১০০টা রুলস সব সমস্যার সহজ সমাধান। মাত্র ১০০টা সহজ নিয়ম মনে রেখেই ইংরেজি ভাষাকে নখদর্পণে আনা সম্ভব। 
তাই এই বইটি তাদের সকলের জন্য যারা সহজভাবে এবং শুদ্ধভাবে ইংরেজি শিখতে ইচ্ছুক।",১০০ রুলস অফ ইংলিশ গ্রামার,সিদ্দিক মহসিন পাটোয়ারী, , ,Kothon Prokashoni, ,"1st Published,2020", ,Bangladesh,Bangla & English
