Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শরৎ কিশোর সমগ্র,শরৎচন্দ্র চট্টোপাধ্যায়,TK. 300,TK. 255,https://rokomari.com//book/151487/shorot-kishor-somogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0466ddc7c_151487.jpg,"",শরৎ কিশোর সমগ্র,শরৎচন্দ্র চট্টোপাধ্যায়, ,শেলী সেনগুপ্তা,কলম প্রকাশনী (মধুবাগ),9789849239734,"1st Published,2017",240,বাংলাদেশ,বাংলা
কাবুলিওয়ালা,রবীন্দ্রনাথ ঠাকুর,TK. 120,TK. 106,https://rokomari.com//book/151488/kabuliwala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6dd87c769_151488.jpg,"",কাবুলিওয়ালা,রবীন্দ্রনাথ ঠাকুর, ,শেলী সেনগুপ্তা,কলম প্রকাশনী (মধুবাগ),9789849239703,"1st Published,2017",80,বাংলাদেশ,বাংলা
সুকুমার কিশোর গল্প,সুকুমার রায়,TK. 300,TK. 255,https://rokomari.com//book/151485/sukumar-kishor-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/199d581db_151485.jpg,"",সুকুমার কিশোর গল্প,সুকুমার রায়, ,শেলী সেনগুপ্তা,কলম প্রকাশনী (মধুবাগ),9789849239741,"1st Published,2017",240,বাংলাদেশ,বাংলা
রবীন্দ্র কিশোর গল্প,রবীন্দ্রনাথ ঠাকুর,TK. 300,TK. 255,https://rokomari.com//book/151489/rabindro-kishor-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/64925aab8_151489.jpg,"",রবীন্দ্র কিশোর গল্প,রবীন্দ্রনাথ ঠাকুর, ,শেলী সেনগুপ্তা,কলম প্রকাশনী (মধুবাগ),9789849239727,"1st Published,2017",240,বাংলাদেশ,বাংলা
পথের পাঁচালী,বিভূতিভূষণ বন্দ্যোপাধ্যায়,TK. 300,TK. 255,https://rokomari.com//book/151490/pather-panchali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/deb33c1c9_151490.jpg,"",পথের পাঁচালী,বিভূতিভূষণ বন্দ্যোপাধ্যায়, ,শেলী সেনগুপ্তা,কলম প্রকাশনী (মধুবাগ),9789849239710,"1st Published,2017",240,বাংলাদেশ,বাংলা
আনা ফ্রাঙ্কের ডায়েরি,অ্যানা ফ্রাঙ্ক,TK. 350,TK. 298,https://rokomari.com//book/195030/a-diery-of-anne-frink,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da3fe3625_195030.jpg,"",আনা ফ্রাঙ্কের ডায়েরি,অ্যানা ফ্রাঙ্ক,ড. মনজুর রহমান, ,কলম প্রকাশনী (মধুবাগ),9789849469599,1st Published  2020,240,বাংলাদেশ,বাংলা
বড় যদি হতে চান,ডেল কার্নেগী,TK. 250,TK. 213,https://rokomari.com//book/195035/boro-jodi-hote-chan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7ac94188c_195035.jpg,"",বড় যদি হতে চান,ডেল কার্নেগী, , ,কলম প্রকাশনী (মধুবাগ),9780849469575,1st Published 2020,144,বাংলাদেশ,বাংলা
ঈশপের শিক্ষামূলক গল্প,সৌরভ মাহমুদ-২,TK. 280,TK. 238,https://rokomari.com//book/199365/ishoper-sikkhamulok-golpa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e114ecd8_199365.jpg,"",ঈশপের শিক্ষামূলক গল্প, , ,সৌরভ মাহমুদ-২,কলম প্রকাশনী (মধুবাগ),9789849470403,"1st Published,2020",64,বাংলাদেশ,বাংলা
ভয়ঙ্কর ঠাকুরমার ঝুলি,সৌরভ মাহমুদ-২,TK. 280,TK. 238,https://rokomari.com//book/199364/voyongkor-thakurmar-juli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ee63a6668_199364.jpg,"",ভয়ঙ্কর ঠাকুরমার ঝুলি,সৌরভ মাহমুদ-২, , ,কলম প্রকাশনী (মধুবাগ),9789849470410,"1st Published,2020",64,বাংলাদেশ,বাংলা
ভিনদেশী রূপকথা,শেখ আবদুল্লাহ নূর ,TK. 200,TK. 176,https://rokomari.com//book/199374/vindeshi-rupkotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/40445e86a_199374.jpg,"",ভিনদেশী রূপকথা,শেখ আবদুল্লাহ নূর, , ,কলম প্রকাশনী (মধুবাগ),9789849470328,"1st Published,2020",96,বাংলাদেশ,বাংলা
ভয়ঙ্কর ডাইনোসর,মাশরুকি নাহিন,TK. 280,TK. 238,https://rokomari.com//book/199373/vaionkar-dainosor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c5312598d_199373.jpg,"",ভয়ঙ্কর ডাইনোসর,মাশরুকি নাহিন, , ,কলম প্রকাশনী (মধুবাগ),9789849470311,"1st Published,2020",64,বাংলাদেশ,বাংলা
ছোটদের বঙ্গবন্ধু ও মুক্তিযুদ্ধের ইতিহাস,মফিদা আকবর,TK. 260,TK. 221,https://rokomari.com//book/202611/chotoder-bangabandu-o-muktijudder-etihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/507bd1418_202611.jpg,"",ছোটদের বঙ্গবন্ধু ও মুক্তিযুদ্ধের ইতিহাস,মফিদা আকবর, , ,কলম প্রকাশনী (মধুবাগ),9789849469506,"1st Published,2020",144,বাংলাদেশ,বাংলা
শ্রেষ্ঠ গোয়েন্দা গল্প শার্লক হোমস্‌,স্যার আর্থার কোনান ডয়েল,TK. 300,TK. 255,https://rokomari.com//book/207162/shrestha-goyenda-galpo-sherlock-holmes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/71f2fa4c1_207162.jpg,"",শ্রেষ্ঠ গোয়েন্দা গল্প শার্লক হোমস্‌,স্যার আর্থার কোনান ডয়েল, , ,কলম প্রকাশনী (মধুবাগ),9789849239758,"1st Published,2019",240,বাংলাদেশ,বাংলা
শ্রেষ্ঠ রচনা সমগ্র,ডাঃ লুৎফর রহমান,TK. 350,TK. 298,https://rokomari.com//book/195031/shrestho-rochona-somogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/29b15d465_195031.jpg,"",শ্রেষ্ঠ রচনা সমগ্র,ডাঃ লুৎফর রহমান, , ,কলম প্রকাশনী (মধুবাগ),9789849469568,1st Published 2020,256,বাংলাদেশ,বাংলা
মা,ম্যাক্সিম গোর্কি,TK. 400,TK. 340,https://rokomari.com//book/195029/maa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/430943bfc_195029.jpg,"",মা,ম্যাক্সিম গোর্কি, , ,কলম প্রকাশনী (মধুবাগ),9847031502636,"1st Published,2020",288,বাংলাদেশ,বাংলা
লা ক্যালকোনা,শেখ আবদুল্লাহ নূর ,TK. 200,TK. 176,https://rokomari.com//book/208667/la-kalkona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c137c7435_208667.jpg,"",লা ক্যালকোনা,শেখ আবদুল্লাহ নূর, , ,কলম প্রকাশনী (মধুবাগ),97898492470441,"1st Published,2021",80,বাংলাদেশ,বাংলা
নির্বাচিত মুক্তিযুদ্ধের গল্প,মোহাম্মদ মিজানুর রহমান,TK. 300,TK. 255,https://rokomari.com//book/208673/nirbacito-muktijudder-galpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1778cae1c_208673.jpg,"",নির্বাচিত মুক্তিযুদ্ধের গল্প,মোহাম্মদ মিজানুর রহমান, , ,কলম প্রকাশনী (মধুবাগ),9789849239765,"1st Published,2018",224,বাংলাদেশ,বাংলা
স্বাস্থ্য তথ্য সঠিক পথ্য,শেখ আবদুল্লাহ নূর ,TK. 250,TK. 213,https://rokomari.com//book/208671/shastha-thththa-o-sohtik-paththa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1995bfbed_208671.jpg,"",স্বাস্থ্য তথ্য সঠিক পথ্য,শেখ আবদুল্লাহ নূর, , ,কলম প্রকাশনী (মধুবাগ),9789849470434,"1st Published,2020",128,বাংলাদেশ,বাংলা
রহস্যময় মহাকাশ,মাশরুকি নাহিন,TK. 280,TK. 238,https://rokomari.com//book/199371/rahossomoi-mohakas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5a8919e71_199371.jpg,"",রহস্যময় মহাকাশ,মাশরুকি নাহিন, , ,কলম প্রকাশনী (মধুবাগ),9789849470304,"1st Published,2020",64,বাংলাদেশ,বাংলা
