Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ইবাদতের নামে প্রচলিত কিছু বিদআত,মাসুদা সুলতানা রুমী,TK. 70,TK. 49,https://rokomari.com//book/189706/ibadater-name-procholito-kichu-bidat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95e53bbc6_189706.jpg,"",ইবাদতের নামে প্রচলিত কিছু বিদআত,মাসুদা সুলতানা রুমী, , ,Kolorob Prokashon,9789843730022,"2nd Edition,2019",111,Bangladesh,Bangla & Arabic
আমি কওমীওয়ালা,মুস্তাফিজ ইবনে আনির,TK. 300,TK. 225,https://rokomari.com//book/189204/ami-koumioyala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ebdf1c36_189204.jpg,"",আমি কওমীওয়ালা,মুস্তাফিজ ইবনে আনির, , ,কলরব প্রকাশন,9789843730077,"2nd Published,2019",204,বাংলাদেশ,বাংলা
 হুজুর মিয়ার বউ,মুস্তাফিজ ইবনে আনির,TK. 395,TK. 277,https://rokomari.com//book/206962/hujur-miar-bou,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a85bdc8b_206962.jpg,"",হুজুর মিয়ার বউ,মুস্তাফিজ ইবনে আনির, , ,কলরব প্রকাশন, ,"1st Published,2020",255,বাংলাদেশ,বাংলা
 হুজুর মিয়ার বউ (২),মুস্তাফিজ ইবনে আনির,TK. 350,TK. 245,https://rokomari.com//book/206963/hujur-miar-bou---2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6891b6e1b_206963.jpg,"",হুজুর মিয়ার বউ (২),মুস্তাফিজ ইবনে আনির, , ,কলরব প্রকাশন, ,"1st Published,2020",192,বাংলাদেশ,বাংলা
গীবত,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,TK. 150,TK. 105,https://rokomari.com//book/207424/gibot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84da21ce8_207424.jpg,"",গীবত,"হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,আল্লামা সাইয়্যেদ আব্দুল হাই লাখনাভী (রহ:)",মাওলানা মোহাম্মদ আবদুল কাইয়ুম, ,কলরব প্রকাশন,9789843730121,"1st Published,2020",130,বাংলাদেশ,বাংলা
কিয়ামত আসছে !!!,হুসাইন আল জাওয়াদ,TK. 50,TK. 35,https://rokomari.com//book/189203/kiyamot-asche----,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e4ff21625_189203.jpg,"",কিয়ামত আসছে !!!,হুসাইন আল জাওয়াদ, , ,কলরব প্রকাশন, ,"1st Published,2019",56,বাংলাদেশ,বাংলা
গল্প যখন কান্না করে  - খ,মুস্তাফিজ ইবনে আনির,TK. 205,TK. 144,https://rokomari.com//book/206939/golpo-jokhon-kanna-kore--kh-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/96b8d1068_206939.jpg,"",গল্প যখন কান্না করে  - খ,মুস্তাফিজ ইবনে আনির, , ,কলরব প্রকাশন,9789843730121,"1st Published,2020",102,বাংলাদেশ,বাংলা
কবীরা গুনাহ্,ইমাম আয-যাহাবী রহ.,TK. 220,TK. 154,https://rokomari.com//book/190668/kobira-gunah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f6de2a3d7_190668.jpg,"",কবীরা গুনাহ্,ইমাম আয-যাহাবী রহ.,মাওলানা মোহাম্মদ আবদুল কাইয়ুম,মোহাম্মদ শামসুজ্জামান,কলরব প্রকাশন,9789843730039,"2nd Published,2019",241,বাংলাদেশ,বাংলা
রাহে আমল ১,আল্লামা জলীল আহসান নদভী,TK. 220,TK. 154,https://rokomari.com//book/191672/rahe-amol-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/95451b473_191672.PNG,"",রাহে আমল ১,আল্লামা জলীল আহসান নদভী,মাওলানা আবদুল কাইয়ূম,মোহাম্মদ শামসুজ্জামান,Kolorob Prokashon, ,"1st Published,2019",240,Bangladesh,Bangla & Arabic
গল্প যখন কান্না করে - গ,মুস্তাফিজ ইবনে আনির,TK. 200,TK. 150,https://rokomari.com//book/212959/golpo-jokhon-kanna-kore--ga-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/842f4b8d3_212959.jpg,"গল্প কি কখনো কান্না করে? নাহ! গল্প কখনো কান্না করে না। তবে গল্পের পাঠক কাঁদে। শুধু কান্না নয়, চোখের জলে কপোল ভিজে। কখনো-বা পুস্তিকা বন্ধ করে অশ্রু মুছে। যেমনটি কেঁদেছিলো ‘গল্প যখন কান্না করে, (ক) (খ)’ দুটো বই পড়ে। যতোটা-না কাঁদে পাঠক, তার‌ও অধিক শিক্ষা গ্রহণ করে। 

সমকালীন সত্যের বার্তা নিয়ে, বিবেক জাগানো গল্প দিয়ে, লিখা হচ্ছে এই সিরিজ। সিরিজের বইগুলো শুধু কাঁদাবে না, শিখিয়ে দেবে অনেক কিছুই ইনশাআল্লাহ।",গল্প যখন কান্না করে - গ,মুস্তাফিজ ইবনে আনির, , ,কলরব প্রকাশন, ,"1st Published,2021",112,বাংলাদেশ,বাংলা
