Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Learning at home : Begin to write Book 1. Series-1 (Age 3 Up),লেডিবার্ড,"",TK. 225,https://rokomari.com//book/52362/learning-at-home---begin-to-write-book-1--series-1--age-3-up-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/932abbbfc_52362.jpg,"""Learning at home : Begin to write Book 1. Series-1"" Summary of the Book
Ladybird supports children’s learning at home by providing clear preparation and thorough practice for work done in school. Helping young children prepare for starting nursery and then school, Ladybird lays the foundations for vital practical, emotional and educational skills. Activities are carefully graded and small steps reinforced to encourage a firm understanding of concept. The key curriculum areas of literacy and numeracy are thoroughly and enjoyably practiced. Early science is also introduced in an engaging and relevant way.


The activities in Series 1 present the language associated with concepts such as simple arithmetic and telling the time in an imaginative and entertaining way. The pictures of familiar objects and musing animal drawings are stimulating and easy for children to recognize. Series 2 contains activities to consolidate the knowledge and skills acquired in Series 1. Young children will benefit most by working through the books with a parent or teacher.",Learning at home : Begin to write Book 1. Series-1 (Age 3 Up),Ladybird, , ,Ladybird,9780145331216, ,24,India,English
Out In The Sun (Key Words),লেডিবার্ড,"",TK. 178,https://rokomari.com//book/134937/out-in-the-sun--key-words-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8109999aa474_134937.jpg,"""Out In The Sun"" Summary Of The Book:
Key Words with Peter and Jane uses the most frequently met words in the English language as a starting point for learning to read successfully and confidently. The Key Words reading scheme is scientifically researched and world renowned. In book 5b, Peter and Jane have fun playing outside in 46 new words including 'how', 'from', 'soon' and 'street'. Once this book has been completed, the child moves on to book 6b. The Key Words with Peter and Jane books work because each of the key words is introduced gradually and repeated frequently. This builds confidence in children when they recognise these key words on sight (also known as the 'look and say' method of learning). Examples of key words are: the, one, two, he. There are 12 levels, each with 3 books: a, b, and c. Series a: Gradually introduces new words. Series b: Provides further practise of words featured in the 'a' series. Series c: Links reading with writing and phonics. All the words that have been introduced in each 'a' and 'b' book are also reinforced in the 'c' books.",Out In The Sun (Key Words),Ladybird, , ,Ladybird,9781409301226,"1st Edition,2009",50,China,English
Learning At Home : ABC (Series 1),লেডিবার্ড,"",TK. 225,https://rokomari.com//book/135008/learning-at-home---abc--series-1-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/57922fc61_135008.jpg,"“Learning At Home : ABC (Series 1)” Flap Of The Book:

The Ladybird Learning at Home range has been specially devised to help children develop and practise at home the skills they will need at school.
Series I is ideal for younger children who will enjoy working through the books with an adult. The entertaining exercises give practice in hand-eye movement, sequencing, counting, matching and looking for detail all vital pre-school and pre-reading skills.
Series 2 builds on these skills and encourages children's development and proficiency in reading, writing and number work. The books are ideal for children who have just started or will soon be going to school.",Learning At Home : ABC (Series 1),Ladybird, , ,Ladybird,9780143331179,"1st Edition,2009",48,India,English
Level 3 The Elves and the Shoemaker (Read It Yourself),লেডিবার্ড,"",TK. 178,https://rokomari.com//book/52438/level-3-the-elves-and-the-shoemaker--read-it-yourself-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/548d675d1_52438.jpg,"",Level 3 The Elves and the Shoemaker (Read It Yourself),Ladybird, , ,Ladybird,9780723273035, ,46,India,English
Key Words 4a Things We Do,লেডিবার্ড,"",TK. 178,https://rokomari.com//book/134944/key-words-4a-things-we-do,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0f6e76cf3e54_134944.jpg,"“Key Words 4a Things We Do"" Summary Of The Book:
In book 4a, Peter and Jane explore different activities in 42 new words including 'then', 'house', 'make' and 'read'. Once this book has been completed, the child moves on to book 4b. The Key Words with Peter and Jane books work because each of the key words is introduced gradually and repeated frequently. This builds confidence in children when they recognise these key words on sight (also known as the 'look and say' method of learning). 

Examples of key words are: the, one, two, he. There are 12 levels, each with 3 books: a, b, and c. Series a: Gradually introduces new words. Series b: Provides further practise of words featured in the 'a' series. Series c:",Key Words 4a Things We Do,Ladybird, , ,Ladybird,9781409301165,"1st Edition,2009",52,Abroad,English
Read It Yourself Level 4 Wizard Of Oz,লেডিবার্ড,"",TK. 178,https://rokomari.com//book/135004/read-it-yourself-level-4-wizard-of-oz,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e59aeefb8_135004.jpg,"",Read It Yourself Level 4 Wizard Of Oz,Ladybird, , ,Ladybird,9780723273240,"1st Edition,2006",48,India,English
Read it Yourself : The Elves And The Shoemaker,লেডিবার্ড,"",TK. 178,https://rokomari.com//book/134941/read-it-yourself---the-elves-and-the-shoemaker,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a628ec87c664_134941.jpg,"",Read it Yourself : The Elves And The Shoemaker,Ladybird, , ,Ladybird,0071181393, ,45,Abroad,English
Pied Piper of Hamelin - Read it yourself with Ladybird: Level 4,লেডিবার্ড,"",TK. 178,https://rokomari.com//book/174393/pied-piper-of-hamelin---read-it-yourself-with-ladybird--level-4,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2aae345f0_174393.jpg,"",Pied Piper of Hamelin - Read it yourself with Ladybird: Level 4,Ladybird, , ,Ladybird,9780723273226,"Edition,2013",46,India,English
What Katy Did,সুশান কলিজ ,"",TK. 450,https://rokomari.com//book/174394/what-katy-did,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/610587b31_174394.jpg,"""What Katy Did” Back Cover of The Book:

Katy Carr is the longest girl that was ever seen. She is all legs and elbows, and angles and joints. She tears her dress every day, hates sewing and doesn't care a button about being called 'good'. Her head is full of schemes and one day she plans to do something important. But a great deal is to
happen to Katy betot that time comes...",What Katy Did,Susan Coolidge, , ,Ladybird,9780099573128,"Edition,2018",176,India,English
Learning at home : ABC. Series-1,লেডিবার্ড,"",TK. 225,https://rokomari.com//book/52353/learning-at-home---abc--series-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52353.GIF,"",Learning at home : ABC. Series-1,Ladybird, , ,Ladybird, , , ,Abroad,English
