Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Higher Surveying,বি সি পুনমিয়া,"",TK. 376,https://rokomari.com//book/123056/higher-surveying,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a25bb7d4a_123056.gif,"This book, first published in 1967 and entering into its Fifteenth Edition is one of the three volumes on SURVEYING. It deals with five topics on Advanced or Higher Surveying. The book has been primarily written as a college textbook to fill a need for simple but complete coverage of the principles of Field Astronomy, Photogtrammetry, Electro-Magnetic Distance Measurement (EDM), Remote Sensing and Geographical Information System(GIS). The book is also meant ot, assist the experienced surveyor who has not found time to follow the rapid changes in the techniques so noticeable in the surveying field. The subject is gradually introduced in stages. Large number of solved and unsolved examples develop reader's ability to apply the basic concepts to practical problems. The book also deals with the most modern equipments used in Photogrammetric Surveying and Electro-Magnetic Distance Measurement, including Total Station.",Higher Surveying,"B. C. Punmia,Ashok Kumar Jain,Arun Kumar Jain", , ,Laxmi Publications,9788170088257,"Edition,2017",288,India,English
A Complete Guide to Letter of Credit and the UCP,রূপনারায়ণ বোস,"",TK. 718,https://rokomari.com//book/171119/a-complete-guide-to-letter-of-credit-and-the-ucp,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8ec307325_171119.jpg,"",A Complete Guide to Letter of Credit and the UCP,Rupnarayan Bose, , ,Laxmi Publications,9789351381983,"Published,2015",300,India,English
Surveying - Vol. 1,বি সি পুনমিয়া,"",TK. 988,https://rokomari.com//book/198585/surveying---vol--1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f94de1b48_198585.jpg,"",Surveying - Vol. 1,"B. C. Punmia,Ashok Kumar Jain", , ,Laxmi Publications,9788170088530,"17th Edition,2019",536,India,English
Surveying - Vol. 3(Higher Surveying),বি সি পুনমিয়া,"",TK. 495,https://rokomari.com//book/198588/surveying---vol--3-higher-surveying-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4d42478c3_198588.jpg,"",Surveying - Vol. 3(Higher Surveying),"B. C. Punmia,Ashok Kumar Jain", , ,Laxmi Publications,9788170088257,"15th Edition,2016",280,India,English
Surveying - Vol. 2,বি সি পুনমিয়া,"",TK. 970,https://rokomari.com//book/198586/surveying---vol--2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/067142ea1_198586.jpg,"",Surveying - Vol. 2,"B. C. Punmia,Ashok Kumar Jain", , ,Laxmi Publications,9788170088837,"16th Edition,2019",640,India,English
Building Construction,অশোক কুমার জেইন ,"",TK. 945,https://rokomari.com//book/146750/building-construction,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ec71d901fd84_146750.jpg,"",Building Construction,"Ashok Kumar Jain,B. C. Punmia,Arun Kumar Jain", , ,Laxmi Publications,9788131804285,"11th Edition,2016",692,India,English
Improve Your IELTS Listening and Speaking Skills (With CD),ব্যারি কুস্যাক,"",TK. 504,https://rokomari.com//book/182219/improve-your-ielts-listening-and-speaking-skills--with-cd-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b378c3dee_182219.jpg,"",Improve Your IELTS Listening and Speaking Skills (With CD),Barry Cusack, , ,Laxmi Publications,9780230009486,"1st Edition,2007",120,India,English
Data Mining and Data Warehousing,সুমিত প্রকাশ তায়াল,"",TK. 513,https://rokomari.com//book/181493/data-mining-and-data-warehousing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/390c5caa5_181493.jpg,"",Data Mining and Data Warehousing,"Sumit Prakash Tayal,Bharat Bhushan Agarwal", , ,Laxmi Publications,9788131806586,"1st Edition,2012",371,India,English
"Texbook of English Phonetics For Indian Students, 3rd Edition",টি. বালাসুব্রামানিয়ান,"",TK. 412,https://rokomari.com//book/196870/texbook-of-english-phonetics-for-indian-students--3rd-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d62a87fb_196870.jpg,"","Texbook of English Phonetics For Indian Students,3rd Edition",T. Balasubramanian, , ,Laxmi Publications,9789380644943,"1st Edition,2017", ,India,English
A Textbook of Hydrology,জয়া রামী রেডি,"",TK. 765,https://rokomari.com//book/194319/a-textbook-of-hydrology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e97073d0_194319.jpg,"",A Textbook of Hydrology,Jaya Rami Reddy, , ,Laxmi Publications,9789380856049,"3rd Edition,2016",523,India,English
Molecular Biology: Genes to Proteins,ব্রুটন ই. ট্রোপ,"","TK. 3,411",https://rokomari.com//book/186794/molecular-biology--genes-to-proteins,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8bc980b81_186794.jpg,"",Molecular Biology: Genes to Proteins,Burton E. Tropp, , ,Laxmi Publications,9789380853499,"4th Edition edition,2012", ,India,English
Basic Electronics and Instrumentation ,বি. কে. আগারওয়াল,"",TK. 350,https://rokomari.com//book/54299/basic-electronics-and-instrumentation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_54299.GIF,"",Basic Electronics and Instrumentation,B. K. Agrawal, , ,Laxmi Publications,9788131804414,"1st Edition,2008",321,India,English
Basics of Biotechnology,এ. জে. নাইর,"",TK. 351,https://rokomari.com//book/174195/basics-of-biotechnology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de2d04d4c_174195.jpg,"",Basics of Biotechnology,A.J. Nair, , ,Laxmi Publications,9788131804742,"1st Edition,2004",302,India,English
Magic of C sharp with .Net Frame Work,কুমার সঞ্জীব,"","TK. 7,888",https://rokomari.com//book/173057/magic-of-c-sharp-with--net-frame-work,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a2e3a32c1_173057.jpg,"",Magic of C sharp with .Net Frame Work,"Kumar Sanjeev,Shibi Panikkar", , ,Laxmi Publications,9788131800867,"2nd Edition,2007",950,India,English
A Textbook of Power System Engineering,আর কে রাজপুত ,"","TK. 1,431",https://rokomari.com//book/169799/a-textbook-of-power-system-engineering,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a3204bab_169799.jpg,"",A Textbook of Power System Engineering,R.K. Rajput, , ,Laxmi Publications,9788131808795,"2nd Edition,2016",1174,India,English
