Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
A Walk to Remember,নিকোলাস স্পার্কস ,"TK. 1,078","",https://rokomari.com//book/53080/a-walk-to-remember,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/641080174e64_53080.jpg,"",A Walk to Remember,Nicholas Sparks, , ,Little Brown Book Group,9780751551877,"1st Edition,2013",208,India,English
Visions In Death,জে ডি রব,"TK. 1,501","",https://rokomari.com//book/123511/visions-in-death,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6b63146d8664_123511.jpg,"",Visions In Death,J. D. Robb, , ,Little Brown Book Group,9780749957391,"1st Edition,2012",480,India,English
Southern Cross,প্যাট্রিসিয়া কর্নওয়েল ,TK. 898,"",https://rokomari.com//book/123509/southern-cross,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e01efeadc04_123509.jpg,"",Southern Cross,Patricia Cornwell, , ,Little Brown Book Group,9780751527131,"New edition,1999",464,India,English
Deep Work: Rules for Focused Success in a Distracted World,ক্যাল নিউপোর্ট,TK. 718,"",https://rokomari.com//book/132032/deep-work--rules-for-focused-success-in-a-distracted-world,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7033c3617_132032.gif,"'Deep Work: Rules for Focused Success in a Distracted World ' Short Summary of the book
Deep Work is a guide on how to develop the superpower of deep focus on cognitively-demanding tasks in a distracted world. These efforts create new value, improve your skill, and are hard to replicate. It covers many examples from real-world experiences and actionable items make implementing these ideas quite straightforward.",Deep Work: Rules for Focused Success in a Distracted World,Cal Newport, , ,Little Brown Book Group,9780349413686,"1st Edition,2016",296,India,English
Dear John,নিকোলাস স্পার্কস ,TK. 630,"",https://rokomari.com//book/53203/dear-john,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150316_53203.gif,"",Dear John,Nicholas Sparks, , ,Little Brown Book Group,9780751544572,"1st Edition,2006",368,India,English
The Notebook  ,নিকোলাস স্পার্কস ,TK. 898,"",https://rokomari.com//book/52845/the-notebook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d42a0acbe_52845.jpg,"'The Notebook' Summary of the book
A man with a faded, well-worn notebook open in his lap. A woman experiencing a morning ritual she doesn't understand. Until he begins to read to her. An achingly tender story about the enduring power of love.

A man with a faded, well-worn notebook open in his lap. A woman experiencing a morning ritual she doesn't understand. Until he begins to read to her. The Notebook is an achingly tender story about the enduring power of love, a story of miracles that will stay with you forever. 

Set amid the austere beauty of coastal North Carolina in 1946, The Notebook begins with the story of Noah Calhoun, a rural Southerner returned home from World War II. Noah, thirty-one, is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again. 

Allie Nelson, twenty-nine, is now engaged to another man, but realizes that the original passion she felt for Noah has not dimmed with the passage of time. Still, the obstacles that once ended their previous relationship remain, and the gulf between their worlds is too vast to ignore. With her impending marriage only weeks away, Allie is forced to confront her hopes and dreams for the future, a future that only she can shape. 

Like a puzzle within a puzzle, the story of Noah and Allie is just the beginning. As it unfolds, their tale miraculously becomes something different, with much higher stakes. The result is a deeply moving portrait of love itself, the tender moments and the fundamental changes that affect us all. Shining with a beauty that is rarely found in current literature, The Notebook establishes Nicholas Sparks as a classic storyteller with a unique insight into the only emotion that really matters. 

""I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough.""",The Notebook,Nicholas Sparks, , ,Little Brown Book Group,9780751538915,"New edition,2007",240,India,English
The Tipping Point: How Little Things Can Make a Big Difference,ম্যালকম গ্ল্যাডওয়েল,TK. 718,"",https://rokomari.com//book/153026/the-tipping-point--how-little-things-can-make-a-big-difference,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fe46e2e02_153026.jpg,"'The Tipping Point: How Little Things Can Make a Big Difference' Short Summary of the book
The Tipping Point: How Little Things Can Make a Big Difference is the debut book by Malcolm Gladwell, first published by Little, Brown in 2000. Gladwell defines a tipping point as ""the moment of critical mass, the threshold, the boiling point"". The book seeks to explain and describe the ""mysterious"" sociological changes that mark everyday life. As Gladwell states: ""Ideas and products and messages and behaviors spread like viruses do"". The examples of such changes in his book include the rise in popularity and sales of Hush Puppies shoes in the mid-1990s and the steep drop in New York City's crime rate after 1990. (wikipedia)",The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell, , ,Little Brown Book Group,9780590566452,"1st Edition,2002",288,India,English
Long Walk To Freedom: The Autobiography of Nelson Mandela,নেলসন ম্যান্ডেলা,"TK. 1,258","",https://rokomari.com//book/120281/long-walk-to-freedom--the-autobiography-of-nelson-mandela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cf27e3352724_120281.gif,"",Long Walk To Freedom: The Autobiography of Nelson Mandela,Nelson Mendela, , ,Little Brown Book Group,9780349106533,"1st Edition,1995",784,India,English
The Choice ,নিকোলাস স্পার্কস ,TK. 630,"",https://rokomari.com//book/53033/the-choice,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_53033.gif,"'The Choice' Summary of the book
Travis Parker has everything a man could want: a good job, loyal friends, even a waterfront home in small-town North Carolina. In full pursuit of the good life—boating, swimming, and regular barbecues with his good-natured buddies—he holds the vague conviction that a serious relationship with a woman would only cramp his style. That is, until Gabby Holland moves in next door. Despite his attempts to be neighborly, the appealing redhead seems to have a chip on her shoulder about him…and the presence of her longtime boyfriend doesn’t help. Despite himself, Travis can’t stop trying to ingratiate himself with his new neighbor, and his persistent efforts lead them both to the doorstep of a journey that neither could have foreseen. Spanning the eventful years of young love, marriage and family, The Choice ultimately confronts us with the most heart wrenching question of all: how far would you go to keep the hope of love alive?",The Choice,Nicholas Sparks, , ,Little Brown Book Group,9780751539257,"1st Edition,2011",336,India,English
The Wedding ,নিকোলাস স্পার্কস ,TK. 630,"",https://rokomari.com//book/52905/the-wedding,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52905.GIF,"",The Wedding,Nicholas Sparks, , ,Little Brown Book Group,9780751535419,"1st Edition,2007",120,India,English
The Lucky One,নিকোলাস স্পার্কস ,TK. 630,"",https://rokomari.com//book/53072/the-lucky-one,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/df5ef43adc14_53072.jpg,"",The Lucky One,Nicholas Sparks, , ,Little Brown Book Group,9780751548556,"1st Edition,2012",368,India,English
The Man Who Knew Infinity,রবার্ট ক্যানিগেল,"TK. 1,078","",https://rokomari.com//book/152156/the-man-who-knew-infinity,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b858a8f8d_152156.jpg,"",The Man Who Knew Infinity,Robert Kanigel, , ,Little Brown Book Group,9780349104522,"1st Edition,2016",448,India,English
Shantaram : The International Best Seller,গ্রেগরী ডেভিড রবার্টস্‌,"TK. 1,078","",https://rokomari.com//book/68989/shantaram---the-international-best-seller,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0709_68989.gif,"",Shantaram : The International Best Seller,Gregory Devid Roberts, , ,Little Brown Book Group,9780349117546,"1st Edition,2005",944,India,English
Deep Work: Rules for Focused Success in a Distracted World,ক্যাল নিউপোর্ট,TK. 718,"",https://rokomari.com//book/132031/deep-work--rules-for-focused-success-in-a-distracted-world,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Deep Work: Rules for Focused Success in a Distracted World, , , ,Little Brown Book Group, , , ,India,English
Tribes: We need you to lead us,সেথ গোডিন,"TK. 1,260","",https://rokomari.com//book/147810/tribes--we-need-you-to-lead-us,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aabb372ac_147810.jpg,"",Tribes: We need you to lead us,Seth Godin, , ,Little Brown Book Group,9780749939755,"1st Edition,2011",137,India,English
The Host,স্টেফেনি ম্যায়ের,"TK. 1,486","",https://rokomari.com//book/53056/the-host,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141105_53056.gif,"",The Host,Stephenie Meyer, , ,Little Brown Book Group,9780751550979,"1st Edition,2012",656,India,English
The Rescue ,নিকোলাস স্পার্কস ,TK. 630,"",https://rokomari.com//book/52878/the-rescue,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9833a88ec0c4_52878.jpg,"",The Rescue,Nicholas Sparks, , ,Little Brown Book Group,9780751538908,"1st Edition,2006",480,India,English
