Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Elements of Nuclear Physics,ডব্লিউ ই বার্চাম,"TK. 6,600","",https://rokomari.com//book/140080/elements-of-nuclear-physics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2f887f47f64_140080.jpg,"",Elements of Nuclear Physics,W E Burcham, , ,Longman Publishing Group,9780582460270,"1st Edition,1979",422,USA,English
A Handbook of English Grammar,রেইনার্ড উইলেম জান্ডভোর্ট,"TK. 12,370","",https://rokomari.com//book/172673/a-handbook-of-english-grammar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ed355600b_172673.jpg,"",A Handbook of English Grammar,Reinard Willem Zandvoort, , ,Longman Publishing Group,9780582553200,"1st Edition,1975",367,USA,English
An Introduction to Second Language Acquisition Research (Applied Linguistics and Language Study),ড. মাইকেল লং,"TK. 13,498","",https://rokomari.com//book/173010/an-introduction-to-second-language-acquisition-research--applied-linguistics-and-language-study-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8bae9853b_173010.jpg,"",An Introduction to Second Language Acquisition Research (Applied Linguistics and Language Study),"Dr Michael Long,Prof Diane Larsen-Freeman", , ,Longman Publishing Group,9780582553774,"1st Edition,1991",416,India,English
Longman Dictionary of Applied Linguistics,জ্যাক সি. রিচার্ডস,"TK. 18,898","",https://rokomari.com//book/172790/longman-dictionary-of-applied-linguistics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2a41e58c6_172790.jpg,"",Longman Dictionary of Applied Linguistics, , ,Jack C. Richards,Longman Publishing Group,9780582557086,"1st Edition,1985",336,India,English
The Glorious Revolution (Seminar Studies In History),জন মিলার,"TK. 3,760","",https://rokomari.com//book/166538/the-glorious-revolution--seminar-studies-in-history-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cf6a1af1b_166538.jpg,"",The Glorious Revolution (Seminar Studies In History),John miller, , ,Longman Publishing Group,9780582292222,"2nd Edition,1997",152,India,English
A Level Business Studies,অ্যান্ডি মোটারস্যাড,"TK. 12,442","",https://rokomari.com//book/167868/a-level-business-studies,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bd4b9f187_167868.jpg,"",A Level Business Studies,"Andy Mottershead,Michael Barratt", , ,Longman Publishing Group,9780582405479,"1st Edition,2000",752,India,English
Intermediate Algebra with Early Graphs and Functions,লিয়াল অ্যান্ড হর্নসবি,"TK. 9,000","",https://rokomari.com//book/170371/intermediate-algebra-with-early-graphs-and-functions,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5fa99d80c_170371.jpg,"",Intermediate Algebra with Early Graphs and Functions,Lial and Hornsby, , ,Longman Publishing Group,9780673995759,"7th Edition,1996",737,India,English
Practice Tests Plus IELTS With Key,ক্লারি ম্যাকডাল,"TK. 4,577","",https://rokomari.com//book/154205/practice-tests-plus-ielts-with-key,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d517a9056_154205.jpg,"",Practice Tests Plus IELTS With Key,"Clare McDowall,Vanessa Jakeman", , ,Longman Publishing Group,9780582471696,"1st Edition,2001",176,India,English
IELTS Practice Tests Plus 2 with key and CD Pack,মিসেস  মর্গান টেরি,"TK. 5,040","",https://rokomari.com//book/154206/ielts-practice-tests-plus-2-with-key-and-cd-pack,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d455dfd1_154206.jpg,"",IELTS Practice Tests Plus 2 with key and CD Pack,"Ms Morgan Terry ,Judith Wilson", , ,Longman Publishing Group,9781405833127,"1st Edition,2005",208,India,English
"Civilization Past and Present, Single Volume",রবার্ট আর. এডগার,"TK. 1,199","",https://rokomari.com//book/164475/civilization-past-and-present--single-volume,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff2635771_164475.jpg,"","Civilization Past and Present,Single Volume","Robert R. Edgar,Neil J. Hackett,George F. Jewsbury,Palmira Brummett,Alastair M. Taylor,Nels M. Bailkey,Clyde J. Lewis,Walter T. Wallbank", , ,Longman Publishing Group,9780321090904,"10th Edition,2002",1136,USA,English
Calculations in AS/A Level Chemistry,জিম ক্লার্ক,"TK. 3,800","",https://rokomari.com//book/127704/calculations-in-as-a-level-chemistry,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cbbc6266c_127704.jpg,"",Calculations in AS/A Level Chemistry,Jim Clark, , ,Longman Publishing Group,9780582411272,"1st Edition,2000",336,India,English
