Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"Extraordinary Popular Delusions and the Madness of Crowds: All Volumes, Complete and Unabridged",চার্লেস ম্যাকায়,"","TK. 22,496",https://rokomari.com//book/174787/extraordinary-popular-delusions-and-the-madness-of-crowds--all-volumes--complete-and-unabridged,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cadd3f90c_174787.jpg,"","Extraordinary Popular Delusions and the Madness of Crowds: All Volumes,Complete and Unabridged",Charles MacKay, , ,Lulu.com (India),9781387890408,"1st Edition,2018",480,India,English
Wealth Effect Focus on Economic Reform and Sustainable Development in Nigeria,Chamberlain S. Peterside,"","TK. 2,716",https://rokomari.com//book/186999/wealth-effect-focus-on-economic-reform-and-sustainable-development-in-nigeria,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dd4196256_186999.jpg,"",Wealth Effect Focus on Economic Reform and Sustainable Development in Nigeria,Chamberlain S. Peterside, , ,Lulu.com (India),9781435712010,"1st edition,2008",288,India,English
Epicurus and the Pleasant Life,হ্যারিস ডিমিট্রিয়াডিস,"","TK. 6,190",https://rokomari.com//book/174781/epicurus-and-the-pleasant-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a421ac549_174781.jpg,"",Epicurus and the Pleasant Life,Haris Dimitriadis, , ,Lulu.com (India),9781387294701,"1st Edition,2018",448,India,English
Green Building Fundamentals A Concise Summary of Leed(R) Building Certification and Professional Accreditation Systems, লীড গ্রীন অসোস,"","TK. 2,950",https://rokomari.com//book/174826/green-building-fundamentals-a-concise-summary-of-leed-r--building-certification-and-professional-accreditation-systems,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/23a42ac46_174826.jpg,"",Green Building Fundamentals A Concise Summary of Leed(R) Building Certification and Professional Accreditation Systems,LEED Green Assoc, , ,Lulu.com (India),9781329822382,"1st Edition,2016",62,India,English
The Gallic Wars,জুলিয়াস কায়েসার,"","TK. 1,708",https://rokomari.com//book/172220/the-gallic-wars,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8cc4003eb_172220.jpg,"",The Gallic Wars,Julius Caesar, , ,Lulu.com (India),9781387165247,"1st Edition,2017",148,India,English
The President'S Daughter,ডেবিড লুমিন,"","TK. 2,302",https://rokomari.com//book/170609/the-president-s-daughter,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/593c94360_170609.jpg,"",The President'S Daughter,David Lumin, , ,Lulu.com (India),9780557021970,"1st Edition,2008",317,India,English
Silent Scream,আনাট্টে গিসবি,"","TK. 1,780",https://rokomari.com//book/170860/silent-scream,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/37cd8dfc8_170860.jpg,"",Silent Scream,Annette Gisby, , ,Lulu.com (India),9781326011628,"1st Edition,2014",264,India,English
The Art of Data Science,এলিজাবেথ মাতসুই,"","TK. 3,346",https://rokomari.com//book/171891/the-art-of-data-science,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ccf1e0c1c_171891.jpg,"",The Art of Data Science,"Elizabeth Matsui,Roger Peng", , ,Lulu.com (India),9781365061462,"1st Edition,2016",170,India,English
College Physics Textbook Equity Edition Volume 1 of 3: Chapters 1 - 12,টেক্সটবুক ইকুইটি,"","TK. 6,772",https://rokomari.com//book/172986/college-physics-textbook-equity-edition-volume-1-of-3--chapters-1---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a399116f4_172986.jpg,"",College Physics Textbook Equity Edition Volume 1 of 3: Chapters 1 - 12,Textbook Equity, , ,Lulu.com (India),9781304803214,"1st Edition,2014",464,India,English
"How to Be a 3 Percent Man, Winning the Heart of the Woman of Your Dreams",কোরে উইনে,"","TK. 4,804",https://rokomari.com//book/166841/how-to-be-a-3-percent-man--winning-the-heart-of-the-woman-of-your-dreams,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92640a947_166841.jpg,"","How to Be a 3 Percent Man,Winning the Heart of the Woman of Your Dreams",Corey Wayne, , ,Lulu.com (India),9781411673366,"1st Edition,2017",270,India,English
Hotel Street Harry,রেইজ থমাস  ,"","TK. 1,798",https://rokomari.com//book/164061/hotel-street-harry,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b4542facb_164061.jpg,"",Hotel Street Harry,Rhys Thomas, , ,Lulu.com (India),9781365095245,"1st Edition,2016",254,India,English
Honolulu Harlot,জেইন ও হারা  ,"","TK. 1,622",https://rokomari.com//book/164062/honolulu-harlot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3e0bffe8f_164062.jpg,"",Honolulu Harlot,Jean OHara, , ,Lulu.com (India),9781365388774,"1st Edition,2016",72,India,English
Stoic Spiritual Exercises,এলেন বাজারা,"","TK. 2,275",https://rokomari.com//book/165867/stoic-spiritual-exercises,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62a202864_165867.jpg,"",Stoic Spiritual Exercises,Elen Buzara, , ,Lulu.com (India),9781446608135,"1st Edition,2012",96,India,English
Maktubat Masoomiya: Excerpts from the Letters of Imam Muhammad Masoom Faruqi ,ইমাম মুহাম্মাদ মাসুম ফারুকী,"","TK. 2,416",https://rokomari.com//book/192830/maktubat-masoomiya--excerpts-from-the-letters-of-imam-muhammad-masoom-faruqi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b71fe4a73_192830.jpg,"",Maktubat Masoomiya: Excerpts from the Letters of Imam Muhammad Masoom Faruqi,Imam Muhammad Masoom Faruqi, , ,Lulu.com (India),9781446164730,"1st Edition,2010",122,USA,English
