Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
You Can Win ,শিভ খেরা,TK. 718,"",https://rokomari.com//book/53030/you-can-win,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_53030.GIF,"",You Can Win,Shiv Khera, , ,Macmillan,9789350593783, ,308,Abroad,English
Extreme Ownership,জেকো উইললিঙ্ক,"TK. 1,258","",https://rokomari.com//book/199125/extreme-ownership,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/edf9f1a0e_199125.jpg,"",Extreme Ownership,Jocko Willink, , ,Macmillan,9781250270962,"Edition,2019",360,India,English
The Official SAT-Study Guide-2018,দ্য কলেজ বোর্ড,"TK. 3,780","",https://rokomari.com//book/150841/the-official-sat-study-guide-2018,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/847359529_150841.jpg,"",The Official SAT-Study Guide-2018,The College Board, , ,Macmillan,9781457309281,"Edition: Two Thousand Eighteen,2017",1280,USA,English
Fangirl,রেইনবো রোওয়েল,TK. 810,"",https://rokomari.com//book/172207/fangirl,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62630127c_172207.jpg,"",Fangirl,Rainbow Rowell, , ,Macmillan,9781447263227,"Unabridged Edition,2014",480,India,English
Blue Ocean Shift - Beyond Competing ,রেনী মাহোবার্ন,"TK. 1,620","",https://rokomari.com//book/153663/blue-ocean-shift---beyond-competing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/177059d74_153663.jpg,"",Blue Ocean Shift - Beyond Competing,Renee Mauborgne, , ,Macmillan,9781509832163, ,327,India,English
Our Iceberg Is Melting ,জন কোটার,TK. 898,"",https://rokomari.com//book/91819/our-iceberg-is-melting,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f4b74f62d_91819.jpg,"",Our Iceberg Is Melting,"John Kotter,Holger Rathgeber", , ,Macmillan,9780230016859, ,162,India,English
Modern Microeconomics ,এ. কউতসইয়ানিস,TK. 855,"",https://rokomari.com//book/100310/modern-microeconomics-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/811df1295_100310.jpg,"Microeconomics is that branch of economics that studies the behaviour of consumers and producers (economic units), as individuals and as groups, in making decisions regarding the allocation of limited resources.

Originally published in 1975, Modern Microeconomics 2e,Koutsoyiannis helps the reader examine the decisions and behaviour of economic units, which influence the supply and demand for goods and services, which in turn, determine prices and vice-versa. The text uses traditional microeconomic theory as a starting point to this analysis before culminating in a study of oligopoly, which is a market form that is dominated by a limited number of sellers.

The book analyses market mechanisms that influence allocation of resources amongst their many uses as well as the factors that influence prices of goods and services by examining the theory of factor pricing, general equilibrium theory, welfare theory, and price theory. Koutsoyiannis uses diagrams extensively to illustrate her explanation of microeconomic theory thereby providing for easy readability and comprehension.

Modern Microeconomics 2e,Koutsoyiannis is considered an important text among standard microeconomic textbooks for its treatment of oligopoly as the norm rather than the exception in the modern industrial world. It is written at an intermediate level and is designed for undergraduate economics courses. It is also of use to postgraduate students and individuals preparing for national competitive exams.

About Anna Koutsoyiannis

Anna Koutsoyiannis is a renowned micro-economist. Her research areas include a study of the leaf tobacco market of Greece and the goals of oligopolistic firms.

She is considered an important post-Keynesian economist by her peers. Her other books are Theory of Econometrics (1973) and Non-Price Decisions (1982).

Anna Koutsoyiannis was born in Athens, Greece in 1932. She gained a B.A. at the Athens School of Economics in 1954 and received her Ph.D. in 1962 at the University of Manchester. After having served as Lecturer at the Graduate School of Business Studies in Athens, Greece (1962-1964), the University of Thessaloniki, Greece (1964-1968), she taught at the University of Lancaster, United Kingdom (1968-1975) before moving to the University of Ottawa, Canada where she taught until her death in 1986.",Modern Microeconomics ,A. Koutsoyiannis, , ,Macmillan,9780333778210,"2nd Edition,2008",606,Abroad,English
Cometh The Hour,জেফারি আর্চার,"TK. 1,078","",https://rokomari.com//book/129804/cometh-the-hour,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/919616b30_129804.jpg,"",Cometh The Hour,Jeffrey Archer, , ,Macmillan,9781509827404,"1st Edition,2016",420,India,English
The Yoga Sutra of Patanjali,জর্জ ফেউয়েরস্টেইন,TK. 675,"",https://rokomari.com//book/151331/the-yoga-sutra-of-patanjali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/91814f6df_151331.jpg,"",The Yoga Sutra of Patanjali,Georg Feuerstein, , ,Macmillan,9780892816910,"Last Edition,2015", ,India,English
This Was a Man (The Final Volume of The Clifton Chronicles),জেফারি আর্চার,"TK. 1,078","",https://rokomari.com//book/120523/this-was-a-man--the-final-volume-of-the-clifton-chronicles-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a1d50c7fc_120523.jpg,"""This Was a Man"" Summary of The Book:
In Whitehall, Giles Barrington discovers the truth about his wife Karin from the Cabinet Secretary. Is she a spy or a pawn in a larger game? Harry Clifton sets out to write his magnum opus, while his wife Emma completes her ten years as Chairman of the Bristol Royal Infirmary, and receives an unexpected call from Margaret Thatcher offering her a job. Sebastian Clifton becomes chairman of Farthings Kaufman bank, but only after Hakim Bishara has to resign for personal reasons. Sebastian and Samantha's talented daughter Jessica is expelled from the Slade School of Fine Art, but her aunt Grace comes to her rescue. Meanwhile, Lady Virginia is about to flee the country to avoid her creditors when the Duchess of Hertford dies, and she sees another opportunity to clear her debts and finally trump the Cliftons and Barringtons.",This Was a Man (The Final Volume of The Clifton Chronicles),Jeffrey Archer, , ,Macmillan,9781447252252,"1st Edition,2016",420,India,English
