Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আধুনিক আদর্শ লিপি ও সরল বর্ণপরিচয় সীতানাথ বসাক প্রণীত,আর. সি. কর্মকার,TK. 150,TK. 132,https://rokomari.com//book/123623/adhulik-adorsho-lipi-o-sorol-borno-porichoi-sitanath-bosak-pronito,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/23ad6929a_123623.jpg,"",আধুনিক আদর্শ লিপি ও সরল বর্ণপরিচয় সীতানাথ বসাক প্রণীত, , ,আর. সি. কর্মকার,মা প্রকাশনী,9846570714,"2nd Printed,2015",64,বাংলাদেশ,বাংলা
আধুনিক আদর্শলিপি ও সরল বর্ণপরিচয়  ,আর. সি. কর্মকার,TK. 150,TK. 141,https://rokomari.com//book/35887/adhunik-adorsholipi-o-sorol-bornoporicnoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/138a78423b54_35887.jpg,"",আধুনিক আদর্শলিপি ও সরল বর্ণপরিচয়,আর. সি. কর্মকার, , ,মা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
প্রমিত আদর্শলিপি ও সরল বর্ণপরিচয়,আর. সি. কর্মকার,TK. 22,TK. 20,https://rokomari.com//book/29302/promito-adrorsholipi-o-sorol-bornoporichoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e5c44d90_29302.jpg,"",প্রমিত আদর্শলিপি ও সরল বর্ণপরিচয়,আর. সি. কর্মকার, , ,মা প্রকাশনী, , ,44,বাংলাদেশ,বাংলা
পৃথিবীর সেরা কাহিনী,আমিনুর রহমান,TK. 160,TK. 146,https://rokomari.com//book/29254/prithibir-sera-kahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c3aeddb4fbb4_29254.jpg,"",পৃথিবীর সেরা কাহিনী,আমিনুর রহমান, , ,মা প্রকাশনী,9846570663,"1st Published,2009",126,বাংলাদেশ,বাংলা
রসশাস্ত্র ও ভৈষজ্য কল্পনা ,অধ্যাপক কবিরাজ শ্যামল সেনগুপ্ত,TK. 200,TK. 176,https://rokomari.com//book/172471/rosshastro-o-voishojy-kalpona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e8d635c93_172471.jpg,"",রসশাস্ত্র ও ভৈষজ্য কল্পনা,অধ্যাপক কবিরাজ শ্যামল সেনগুপ্ত, , ,মা প্রকাশনী,9846570888,"1st Edition,2018",127,বাংলাদেশ,বাংলা
পাহাড়পুর থেকে ময়নামতি ,আলী ইমাম,TK. 60,TK. 54,https://rokomari.com//book/29211/paharp-ur-theke-moynamoti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e8e4f7c9d0c4_29211.jpg,"",পাহাড়পুর থেকে ময়নামতি,আলী ইমাম, , ,মা প্রকাশনী,9846570228,"1st Published,2001",24,বাংলাদেশ,বাংলা
তিন তরুণ মুক্তিযোদ্ধা,নাফিজ আশরাফ,TK. 125,TK. 110,https://rokomari.com//book/129664/teen-tarun-muktijoddha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1412551e7704_129664.jpg,"",তিন তরুণ মুক্তিযোদ্ধা,নাফিজ আশরাফ, , ,মা প্রকাশনী,984657077X,"1st Published,2017",40,বাংলাদেশ,বাংলা
আরো সাত অ্যাডভেঞ্চার  ,শরীফ খান,TK. 100,TK. 90,https://rokomari.com//book/29216/aro-sar-advancher,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9436de7b6704_29216.jpg,"",আরো সাত অ্যাডভেঞ্চার,শরীফ খান, , ,মা প্রকাশনী,9486570279,"1st Published,2004",160,বাংলাদেশ,বাংলা
পশু-পাখির বিচিত্র জীবন ও অজানা কাহিনী ,আর. সি. কর্মকার,TK. 70,TK. 63,https://rokomari.com//book/35867/poshu-pakhir-bichitro-jibon-o-ojana-kahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bfe1c5cb9454_35867.jpg,"",পশু-পাখির বিচিত্র জীবন ও অজানা কাহিনী,আর. সি. কর্মকার, , ,মা প্রকাশনী,9846570325,"1st Published,2004",48,বাংলাদেশ,বাংলা
মজার বাড়ি মজার মানুষ   ,শামসুল হক,TK. 70,TK. 63,https://rokomari.com//book/29212/mozar-bari-mozar-manush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150103_29212.gif,"",মজার বাড়ি মজার মানুষ,শামসুল হক, , ,মা প্রকাশনী, , , ,বাংলাদেশ,বাংলা
