Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সুলতান সালাহউদ্দীন আইয়ুবী,সাইয়েদ আবুল হাসান আলী নদভী রহ.,TK. 200,TK. 120,https://rokomari.com//book/152004/sultan-salahouddin-ayubi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/52af054b3_152004.jpg,"""সুলতান সালাহউদ্দীন আইয়ুবী""বইটির ভূমিকা:

সকল প্রশংসা মহান আল্লাহর, যিনি বিশ্বজগতের প্রতিপালক। দরুদ ও সালাম রাসুলগণের নেতা মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম-এর প্রতি এবং তাঁর পরিবার-পরিজন ও সকল সঙ্গীসাথির প্রতি। যারা কিয়ামত পর্যন্ত তাঁর অনুসরণ করবে। ইহসান, ঈমান ও জিহাদের সঙ্গে তাদের প্রতিও সালাম। মহান বিজয়ী শাসক সুলতান সালাহউদ্দিন আইয়ুবী ইসলামের অবিনশ্বর মুজিযাগুলাের অন্যতম। আল্লাহ তাআলার উজ্জ্বল নিদর্শনগুলাের অন্যতম নিদর্শন। তিনি এই দাবি ও অধিকার রাখেন যে, মুসলিম সমাজের আলেম ও জ্ঞানী এবং ইসলামের মহত্ত্ব ও বীরত্ব, উচ্চাকাঙ্ক্ষা ও অহমিকা এবং মানবিক সাহসিকতার ধারক-বাহকেরা তাঁর জীবন ও কর্মরাশি নিয়ে প্রতিটি জায়গায় প্রতিটি যুগে ব্যাপৃত থাকবেন; লেখক ও গবেষকগণ তাঁর জীবনচরিত, তাঁর মর্যাদা ও বীরত্বগাথা রচনায় প্রতিযােগিতা করবেন, তাকে নিয়ে জ্ঞানকোষ তৈরি করবেন এবং এ-বিষয়ে লেখালেখি ও গবেষণায় নিবেদিতপ্রাণ হবেন। কিন্তু অত্যন্ত পরিতাপের সঙ্গে বলতে হয়, মুসলিম জাতি এবং আরবগণ এই কীর্তিমানের অধিকার আদায় করেন নি এবং তাঁর প্রতি সুবিচার করেন নি। কয়েকটি ইউরােপীয় ভাষায়, বিশেষ করে ইংরেজি ভাষায় তাঁকে নিয়ে যা-কিছু রচিত হয়েছে তা ইসলামি ভাষায় যা রচিত হয়েছে তার চেয়ে অনেকগুণ বেশি। এ বিষয়টি এখনাে এমন একজন লেখকের প্রতীক্ষায় যার রয়েছে দৃঢ় সঙ্কল্প, দীর্ঘ অধ্যবসায়ের মনােবল, সূক্ষ্মদৃষ্টি, উদারত এবং অসীম ধৈর্য।",সুলতান সালাহউদ্দীন আইয়ুবী,সাইয়েদ আবুল হাসান আলী নদভী রহ., , ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),9789849097723,"1st Published,2017",96,বাংলাদেশ,বাংলা
সহজে নেকি অর্জন,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী ,TK. 230,TK. 138,https://rokomari.com//book/101869/sohoje-neki-orjon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84997f348_101869.jpg,"সূচিপত্র
কয়েকটি জরুরী কথা
১. সহীহ নিয়ত
২. দোয়া
৩. মাসনুন দোয়া
৪. ইস্তেগফার
৫. জিকরুল্লাহ
৬. দুরুদ শরীফ
৭. শুকুর
৮. সবর
৯. প্রত্যেক কাজ বিসমিল্লাহ বলে শুরু করা
১০. প্রথমে সালাম
১১. সেবা শুশ্রূষা
১২. জানাযা ও দাফন কাফনে অংশগ্রহণ
১৩. শোকসন্তপ্ত পরিবার ও বিপদগ্রস্তকে সান্ত্বনা দেয়া
১৪. আল্লাহর ওয়াস্তে মহব্বত করা
১৫. মুসলমানদের সাহয্য করা
১৬. জায়েয সুপারিশ করা
১৭. অন্যের দোষ গোপন রাখা
১৮. ভালো কাজে উদ্বুদ্ধ করা
১৯. সদকা খয়রাত
২০. ক্ষমা করে দেয়া
২১. নম্রতা ভদ্রতা
২২. পরস্পর সন্ধি করিয়ে দেয়া
২৩. এতিম বিধবাদের দেখাশোনা করা
২৪. পরিবার পরিজনের জন্য খরচ করা
২৫. পিতামাতার সঙ্গে সদ্ব্যবহার
২৬. পিতামাতার আত্মীয়-স্বজন ও বন্ধুবান্ধবের সঙ্গে সদাচার
২৭. স্বামী-স্ত্রী পরস্পরের সঙ্গে সদ্ব্যবহার
২৮. আত্মীয়তার বন্ধন
২৯. প্রতিবেশীর সঙ্গে সদ্ব্যবহার
৩০. সদা হাস্যোজ্জ্বল থাকা
৩১. সহযাত্রীদের সঙ্গে সদাচার
৩২. আল্লাহর সন্তুষ্টির উদ্দেশ্যে সাক্ষাৎ
৩৩. অতিথিসেবা
৩৪. রাস্তা থেকে কষ্টদায়ক জিনিস সরিয়ে দেয়া
৩৫. ঝগড়া-বিবাদ থেকে বেঁচে থাকা
৩৬. মানুষকে দ্বীন শেখানো
৩৭. দ্বীন শেখানো
৩৮. বড়দের সম্মান করা
৩৯. ইসলামের নিদের্শনের সম্মান
৪০. ছোটদের স্নেহ করা
৪১. আজান দেয়া
৪২. আজানের জওয়াব দেয়া
৪৩. কোরআন তেলাওয়াত
৪৪. সুরায়ে ফাতেহা ও সুরায়ে ইখলাস তেলাওয়াত
৪৫. ভালোভাবে অজু করা
৪৬. মেসওয়াক করা
৪৭. অজুর পর জিকির
৪৮. তাহিয়্যাতুল অজু
৪৯. তাহিয়্যাতুল মসজিদ
৫০. ইতেকাফের নিয়ত
৫১. প্রথম কাতারে নামাজ পড়া
৫২. কাতারে ফাঁক না রাখা
৫৩. ইশরাকের নামাজ
৫৪. জুমার ‍দিন গোসল করা এবং খুশবূ লাগানো
৫৫. বোজার সেহরী খাওয়া
৫৬. তাড়াতাড়ি ইফতার করা
৫৭. রোজাদারকে ইফতার করানো
৫৮. হাজী অথবা মুজাহিদের পরিবারের খোঁজখবর নেয়া
৫৯. শাহাদাতের জন্য দোয়া করা
৬০. সকাল সকাল কাজ শুরু করা
৬১. বাজারে জিকরুল্লাহ
৬২. বিক্রিত মাল ফিরত নেয়া
৬৩. অভাবীকে ঝণ দেয়া
৬৪. দরিদ্র ঝণীকে সময় সুযোগ দেয়া
৬৫. ব্যবসায় সত্য বলা
৬৬. গাছ লাগানো
৬৭. পশুপাখির সঙ্গে ভালো ব্যবহার
৬৮. কষ্টদায়ক প্রাণী মেরে ফেলা
৬৯. জবান হেফাজতে রাখা
৭০. অনর্থক কথাবার্তা বা কাজকর্ম থেকে বেঁচে থাকা
৭১. [৭১ থেকে ৭৭ পর্যন্ত] ছয়টি গুরুত্বপূর্ণ নেকি
৭৭. ডান দিক থেকে শুরু করা
৭৮. পড়ে যাওয়া লোকমা তুলে খাওয়া
৭৯. হাঁচি আসায় আলহামদুলিল্লাহ ও তার জবাব
৮১. আল্লাহর ভয়
৮২. আল্লাহর কাছে আশা করা এবং ভালো ধারণা রাখা",সহজে নেকি অর্জন,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী,মাওলানা ইবরাহিম খলিল, ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),9789849097617,"1st Published,2014",96,বাংলাদেশ,বাংলা
ইসলামী ফিক্বহের আলোকে সুদবিহীন ব্যাংকিং : আপত্তিসমূহ ও তার পর্যালোচনা,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী ,TK. 500,TK. 300,https://rokomari.com//book/101852/islami-fikher-aloke-sudbihin-banking---apottisomuh-o-tar-porjaluchona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/93e6660af_101852.jpg,"আল্লাহ পাক রাব্বুল আলামীন সুদকে হারাম করেছেন। শুধু হারাম করেই ক্ষান্ত হননি; বরং সুদকে এমন একটি কবীরা গুনাহ হিসেবে অভিহিত করেছেন, যার বিরুদ্ধে কোরআনে কারীমে স্বয়ং আল্লাহ এবং তাঁর রাসুল সাল্লাহু আলাইহি ওয়া সাল্লামের পক্ষ থেকে প্রকাশ্য যু্দ্ধের ঘোষণা দেয়া হয়েছে। সুদ এমন একটি পাপ, যা মানুষের অর্থনৈতিক জীবনে চরম বৈষম্যের সৃষ্টি করে। সুদী ব্যবস্থায় ধনী আরো ধনী হয়, গরীব আরো অধিক গরীবে পরিণত হয় .....
প্রাথমিক সূচিপত্র*
সুদী ব্যাংকের বিকল্প*
সুদবিহীন ব্যাংক*
ওয়াদা*
হীলা*
মুরাবাহা*
ইজারা*
মুদারাবা",ইসলামী ফিক্বহের আলোকে সুদবিহীন ব্যাংকিং : আপত্তিসমূহ ও তার পর্যালোচনা,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী,মাওলানা মুসা বিন ইযহার, ,مكتبة الاسلام (মাকতাবাতুল ইসলাম), ,"1st Published,2012",328,বাংলাদেশ,বাংলা
সেই হীরা,সালাহউদ্দীন জাহাঙ্গীর,TK. 200,TK. 120,https://rokomari.com//book/107537/shei-heera,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b085b3a1d_107537.jpg,"",সেই হীরা,সালাহউদ্দীন জাহাঙ্গীর, , ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),9789849105084,"1st Published,2015",128,বাংলাদেশ,বাংলা
সিংহহৃদয়,সালাহউদ্দীন জাহাঙ্গীর,TK. 200,TK. 120,https://rokomari.com//book/107536/shinghahridoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a63df164_107536.jpg,"",সিংহহৃদয়,সালাহউদ্দীন জাহাঙ্গীর, , ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),9789849105091,"1st Published,2015",128,বাংলাদেশ,বাংলা
মাদরাসা সভ্য পৃথিবীর অহঙ্কার,মুহাম্মদ যাইনুল আবিদীন,TK. 460,TK. 276,https://rokomari.com//book/124116/madrasa-sobbho-prithibir-ohanker,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/af8f39804d64_124116.jpg,"",মাদরাসা সভ্য পৃথিবীর অহঙ্কার,মুহাম্মদ যাইনুল আবিদীন, , ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),9789849104940,"1st Published,2016",160,বাংলাদেশ,বাংলা
সময়,মাহমুদুল হক সিদ্দীক,TK. 170,TK. 102,https://rokomari.com//book/114089/somoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e47b48bb4_114089.jpg,"",সময়,মাহমুদুল হক সিদ্দীক, , ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),978984914926,"3rd Edition,2017",112,বাংলাদেশ,বাংলা
কেয়ামত,হযরত মাওলানা মুফতী মুহাম্মদ শফী (রহ.),TK. 490,TK. 294,https://rokomari.com//book/124107/keyamot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d2669a7f8e4_124107.jpg,"",কেয়ামত,"হযরত মাওলানা মুফতী মুহাম্মদ শফী (রহ.),মাওলানা ইউসুফ লুধিয়া নুভী (রহ),শাহ রফীউদ্দিন মুহাদ্দিসে দেহলভী (রহ:),শাইখুল ইসলাম হুসাইন আহমাদ মাদানী রহ.,হযরত মাওলানা সাইয়েদ বদরে আলম রহ.",মুহাম্মাদ রাইহান খাইরুল্লাহ, ,مكتبة الاسلام (মাকতাবাতুল ইসলাম),9789849104957,"1st Published,2016",399,বাংলাদেশ,বাংলা
কাসাসুল কুরআন কালেকশন (১ থেকে ১১ খণ্ড) (নবী-রাসুল সিরিজ) ,মাওলানা হিফযুর রহমান সিওহারবী রহ.,"TK. 2,980","TK. 1,639",https://rokomari.com//book/153464/qaswasul-quran---1-to-11-part--rokomari-collections-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bef61dd63_153464.jpg,"",কাসাসুল কুরআন কালেকশন (১ থেকে ১১ খণ্ড) (নবী-রাসুল সিরিজ),মাওলানা হিফযুর রহমান সিওহারবী রহ.,আবদুস সাত্তার আইনী,মাকতাবাতুল ইসলাম,مكتبة الاسلام (মাকতাবাতুল ইসলাম), ,"2nd Published,2016",2218,বাংলাদেশ,বাংলা
স্মরণশক্তি কেন বাড়ে কেন কমে,মুফ্‌তী মুহাম্মদ মুজিবুল হক,TK. 130,TK. 78,https://rokomari.com//book/101860/smaronshokri-ken-bare-keno-kome,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/462af1f50_101860.jpg,"সূচিপত্র*
স্মরণশক্তি আল্লাহ্‌র একটি বড় নেয়ামত*
স্মরণশক্তি পরিচয়*
কুওয়াতে নাফ্‌সানী বা মানসিক শক্তি মূলত দুই প্রকার যথা*
কুওয়াতে মুদরেকা তথা অনুভবশক্তি বা ইন্দ্রিয়শক্তি দুই প্রকার*
স্মৃতি কাকে বলে?*
স্মৃতির উপাদান*
স্মৃতির প্রকারসমূহ*
বিস্মৃতি কি?*
বিস্মৃতি কেনো আসে?*
বিস্মৃতি কারণসমূহ*
স্মৃতি বৃদ্ধির আমলসমূহ*
স্মৃতি বৃদ্ধির দোয়াসমূহ*
স্মৃতি বৃদ্ধির আহারসমূহ*
স্মৃতি বৃদ্ধির ঔষধসমূহ*
স্মৃতিশক্তির মূলনীতি*
ফলপ্রসু পৃনরুক্তি*
সব কথা স্মৃতি সংরক্ষন করে না*
স্মৃতি আইনের সার সংক্ষেপ*
স্মৃতি ধরে রাখার উপায়*
পড়া যেভাবে আয়ত্ব করবেন*
প্রবীণদের স্মৃতি রক্ষা*
স্মৃতি বাড়ানো এবং বিস্মৃতি এড়ানোর নিয়মাবলী*
প্রবল স্মৃতির অধিকারী কয়েকজন*
স্মৃতিশক্তি যেভাবে পরীক্ষা করবেন*
ভাল স্মৃতিশক্তির লক্ষণ*
তথ্য সূত্র",স্মরণশক্তি কেন বাড়ে কেন কমে,মুফ্‌তী মুহাম্মদ মুজিবুল হক, , ,مكتبة الاسلام (মাকতাবাতুল ইসলাম), ,Refind New Edition 2015,79,বাংলাদেশ,বাংলা
