Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস (১ম ও ২য় খণ্ড সেট),ডঃ আলী মুহাম্মাদ সাল্লাবী,TK. 840,TK. 504,https://rokomari.com//book/190584/mongol-o-tatar-samrajjer-itihas--1and-2nd-part-set-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e176f977_190584.jpg,"‘মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস’ বইটিতে একদিকে তাতারদের উত্থান, ক্রমবিকাশ এবং বিশ্বশক্তি হিসেবে আবির্ভাব; অপর দিকে ইসলামি রাষ্ট্রগুলোর অবক্ষয়, অধঃপতন এবং সর্বশেষ তাদের চূড়ান্ত পরাজয়ের নেপথ্য কারণগুলো নিরপেক্ষভাবে ব্যাখ্যা করা হয়েছে।

তাতারদের উত্থান ও মুসলমানদের পতন-পর্বে তাতারদের পরিচয়, প্রকৃত আবাসভূমি, জাতি গঠনের মূল উপাদান, ধর্মীয় ও সামাজিক রীতিনীতি, চেঙ্গিস খানের আবির্ভাব, সেনা বাহিনীর প্রতি তার আদেশ-উপদেশ, সমরনীতি, রণকৌশল, গুপ্তচরবৃত্তি, জ্ঞানী ও অভিজ্ঞদের পরামর্শ গ্রহণ, মঙ্গোল সেনাপতিদের মানোত্তীর্ণ রণকৌশল অনুসরণ; অপর দিকে খাওয়ারিজম সাম্রাজ্য, আব্বাসি খিলাফাত এবং সমগ্র মুসলিম বিশ্বের শাসকদের দুর্বলতা, সভ্যতার বিনির্মাণে তাদের ব্যর্থতা, শাসনব্যবস্থার প্রতি জনসাধারণের অনীহা ও অনাস্থা, শাসক-পরিবারের অভ্যন্তরীণ দ্বন্দ্ব, সামরিক দুর্বলতা, দুনিয়ার প্রতি মোহ ও মৃত্যুর প্রতি অনীহা, অনৈক্য ও বিচ্ছিন্নতা, জানসাধারণের উপর শাসকশ্রেণির অবিচার,

সুলতান মুহাম্মদ আলাউদ্দিন খাওয়ারিজমির অহংবোধ, মনস্তাত্ত্বিক পরাজয়, সুলতান জালালুদ্দিন মিংবার্নুর ব্যক্তিত্ব, আব্বাসি খলিফা নাসির লিদিনিল্লাহর অবহেলা, খেলাফত ভিত্তিক জাতীয়তাবোধের অভাব, প্রতিনিধি শাসকদের হীনম্মন্যতা, দুর্বল ও নতজানু পররাষ্ট্রনীতি এবং এ জাতীয় আরো কিছু বিষয় নিয়ে আলোচনা করা হয়েছে।

এরপর মঙ্গোলদের পতন ও মুসলিমদের পুনর্জাগরণ ও ‘মহাবিজয়’ পর্বে মামলুক সুলতান সাইফুদ্দিন কুতুজের ব্যক্তিত্ব, বিচক্ষণ নেতৃত্ব, শাহাদাতের তামান্না, উম্মাহর শত্রুদের সাথে অবন্ধুতা, যোগ্যদেরকে দায়িত্ব প্রদান, শক্তিশালি বাহিনী গঠন, জিহাদি চেতনা সৃষ্টি, অভিজ্ঞ আলিমদের পরমার্শ গ্রহণ; আইনে জালুত যুদ্ধে মুসলিমদের বিজয় এবং এর ফলাফল নিয়ে গবেষণাধর্মী আলোচনা করা হয়েছে।

আশা করছি, বইটি পাঠককে মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস সম্পর্কে পরিতৃপ্ত করবে।",মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস (১ম ও ২য় খণ্ড সেট),ডঃ আলী মুহাম্মাদ সাল্লাবী, ,আকরাম হোসাইন,মাকতাবাতুত তাকওয়া, ,"1st Published,2019",800,বাংলাদেশ,বাংলা
তাফসিরে বায়জাবী,القاضي ناصر الدين عبد الله بن عمر البيضاوي (কাজী নাসিরুদ্দিন আব্দুল্লাহ বিন আমর বায়যাবী),TK. 400,"",https://rokomari.com//book/194309/tafsire-baijabi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/09c24e1f6_194309.jpg,"",তাফসিরে বায়জাবী,القاضي ناصر الدين عبد الله بن عمر البيضاوي (কাজী নাসিরুদ্দিন আব্দুল্লাহ বিন আমর বায়যাবী), , ,Maktabatut Taqwa, , ,422,Bangladesh,Arabic
হিন্দু ধর্মগ্রন্থ বেদ-পুরাণে আল্লাহ্‌ ও হযরত মোহাম্মদ,অধ্যাপক ড. বেদপ্রকাশ উপাধ্যায়,TK. 200,TK. 120,https://rokomari.com//book/85189/hindu-dhormogrontho-bed-purane-allah-o-hajrat-mohammod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/56f19d96b_85189.jpg,"""হিন্দু ধর্মগ্রন্থ বেদ-পুরাণে আল্লাহ্‌ ও হযরত মোহাম্মদ"" বইয়ের ভূমিকা:

ঐতিহাসিক বিষয়ে গবেষণা করার প্রতি দুর্নিবার আকাঙ্ক্ষা ও অভিলাষ নিজের অন্তরে সর্বদাই পােষণ করি। বেদ, বাইবেল, শিখ এবং বৌদ্ধ-গ্রন্থে যে অন্তিম ঋষির আগমন সম্পর্কে ভবিষ্যদ্বাণী করা হইয়াছে তাহাতে ইসলামের নবী মােহাম্মদ সাহেবের কথাই প্রমাণীত হয়। অতপর আমার অন্তরে এই প্রেরণা জাগ্রত হয় যে, এই সত্য মতবাদ প্রকাশ করা একান্তভাবেই আবশ্যক। যদিও উহা কোন কোন মানুষের নিকট অপ্রিয় লাগে। মােহাম্মদ সাহেবের পূর্ব যুগে ভারত তথা আরববাসীগণের একই ধর্ম ছিল। ইহার বহু প্রমাণ বিদ্যমান। কিন্তু উহা উদ্ধৃত করার ইহা উপযুক্ত স্থান নহে। আমি ধর্মীয় সংকীর্ণতার পক্ষপাতিত্ব করি না। যদি কোন স্থানে কোন সত্য কথা থাকে তাহাকে অস্বীকার করারও দুঃসাহস করিতে পারি না। আমি হিন্দু ধর্মগ্রন্থসহ বিভিন্ন ধর্মীয় শাস্ত্র অধ্যয়ন করিয়া যে শাস্ত্রীয় নির্দেশ প্রাপ্ত হইয়াছি তাহাতে আমি একান্তভাবেই বিশ্বাস করি কল্কি মতবাদই পৃথিবীর সর্বশেষ মতবাদ। এই মতবাদ মৌলিক বলিয়া ইহাই সুস্পষ্ট প্রকৃত মৌলবাদ। তাই আমি বিশ্ববাসীকে এই কল্যাণকর মতবাদ গ্রহণের জন্য সর্বান্তকরণে আহ্বান জানাইতেছি। আমি আশা করি আমার প্রণীত গ্রন্থ গবেষণা হইয়া বিশ্ববাসীর সামনে শ্বাশত সত্য প্রকাশিত হইবে। ইদানিং ইহার সুস্পষ্ট আলামত প্রকাশ পাইতেছে যাহা বিশ্ববাসী প্রত্যক্ষ করিতেছেন। বেদসমূহে দ্বাদশ পত্নীধারী এক উষ্ট্রারােহ ব্যক্তির আগমণের ভবিষ্যদ্বাণী করা। হইয়াছে, যাহার নাম নরাশংস অর্থাৎ এমন শব্দ নরস ব্যক্তিকে সূচিত করে যাহার নামের অর্থ হইবে প্রশংসিত। একমাত্র মােহাম্মদ আরবী শব্দের অর্থ ‘প্রশংসিত। অতএব মােহাম্মদ এবং নরাশংস একার্থবােধক শব্দ। আমি আলােচ্য গ্রন্থে সেই সত্যই উঘাটন করার যথাসাধ্য চেষ্টাই করিয়াছি।",হিন্দু ধর্মগ্রন্থ বেদ-পুরাণে আল্লাহ্‌ ও হযরত মোহাম্মদ,অধ্যাপক ড. বেদপ্রকাশ উপাধ্যায়,"গৌরী ভট্টাচার্য্য,অধ্যাপক ড. অসিত কুমার বন্দ্যোপাধ্যায়",মোহাম্মদ শামসুজ্জামান,মাকতাবাতুত তাকওয়া,9846230023,"31th Edition,2014",160,বাংলাদেশ,বাংলা
কল্কি অবতার এবং মোহাম্মদ সাহেব,মোহাম্মদ শামসুজ্জামান,TK. 300,TK. 180,https://rokomari.com//book/90372/kolki-obotar-ebong-mohammad-saheb,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141002_90372.gif,"",কল্কি অবতার এবং মোহাম্মদ সাহেব,"মোহাম্মদ শামসুজ্জামান,অধ্যাপক ড. বেদপ্রকাশ উপাধ্যায়",ড. অসিতকুমার বন্দ্যোপাধ্যায়,মোহাম্মদ শামসুজ্জামান,মাকতাবাতুত তাকওয়া,984623000,"31th Edition,2014",220,বাংলাদেশ,বাংলা
মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস-১ ,ডঃ আলী মুহাম্মাদ সাল্লাবী,TK. 440,TK. 264,https://rokomari.com//book/190582/mongol-o-tatar-samrajjer-itihas-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68c777171_190582.gif,"‘মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস’ বইটিতে একদিকে তাতারদের উত্থান, ক্রমবিকাশ এবং বিশ্বশক্তি হিসেবে আবির্ভাব; অপর দিকে ইসলামি রাষ্ট্রগুলোর অবক্ষয়, অধঃপতন এবং সর্বশেষ তাদের চূড়ান্ত পরাজয়ের নেপথ্য কারণগুলো নিরপেক্ষভাবে ব্যাখ্যা করা হয়েছে।

তাতারদের উত্থান ও মুসলমানদের পতন-পর্বে তাতারদের পরিচয়, প্রকৃত আবাসভূমি, জাতি গঠনের মূল উপাদান, ধর্মীয় ও সামাজিক রীতিনীতি, চেঙ্গিস খানের আবির্ভাব, সেনা বাহিনীর প্রতি তার আদেশ-উপদেশ, সমরনীতি, রণকৌশল, গুপ্তচরবৃত্তি, জ্ঞানী ও অভিজ্ঞদের পরামর্শ গ্রহণ, মঙ্গোল সেনাপতিদের মানোত্তীর্ণ রণকৌশল অনুসরণ; অপর দিকে খাওয়ারিজম সাম্রাজ্য, আব্বাসি খিলাফাত এবং সমগ্র মুসলিম বিশ্বের শাসকদের দুর্বলতা, সভ্যতার বিনির্মাণে তাদের ব্যর্থতা, শাসনব্যবস্থার প্রতি জনসাধারণের অনীহা ও অনাস্থা, শাসক-পরিবারের অভ্যন্তরীণ দ্বন্দ্ব, সামরিক দুর্বলতা, দুনিয়ার প্রতি মোহ ও মৃত্যুর প্রতি অনীহা, অনৈক্য ও বিচ্ছিন্নতা, জানসাধারণের উপর শাসকশ্রেণির অবিচার,

সুলতান মুহাম্মদ আলাউদ্দিন খাওয়ারিজমির অহংবোধ, মনস্তাত্ত্বিক পরাজয়, সুলতান জালালুদ্দিন মিংবার্নুর ব্যক্তিত্ব, আব্বাসি খলিফা নাসির লিদিনিল্লাহর অবহেলা, খেলাফত ভিত্তিক জাতীয়তাবোধের অভাব, প্রতিনিধি শাসকদের হীনম্মন্যতা, দুর্বল ও নতজানু পররাষ্ট্রনীতি এবং এ জাতীয় আরো কিছু বিষয় নিয়ে আলোচনা করা হয়েছে।

এরপর মঙ্গোলদের পতন ও মুসলিমদের পুনর্জাগরণ ও ‘মহাবিজয়’ পর্বে মামলুক সুলতান সাইফুদ্দিন কুতুজের ব্যক্তিত্ব, বিচক্ষণ নেতৃত্ব, শাহাদাতের তামান্না, উম্মাহর শত্রুদের সাথে অবন্ধুতা, যোগ্যদেরকে দায়িত্ব প্রদান, শক্তিশালি বাহিনী গঠন, জিহাদি চেতনা সৃষ্টি, অভিজ্ঞ আলিমদের পরমার্শ গ্রহণ; আইনে জালুত যুদ্ধে মুসলিমদের বিজয় এবং এর ফলাফল নিয়ে গবেষণাধর্মী আলোচনা করা হয়েছে।

আশা করছি, বইটি পাঠককে মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস সম্পর্কে পরিতৃপ্ত করবে।",মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস-১,ডঃ আলী মুহাম্মাদ সাল্লাবী, ,আকরাম হোসাইন,মাকতাবাতুত তাকওয়া, ,"1st Published,2019",416,বাংলাদেশ,বাংলা
মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস-২,ডঃ আলী মুহাম্মাদ সাল্লাবী,TK. 400,TK. 240,https://rokomari.com//book/190583/mongol-o-tatar-samrajjer-itihas-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/236f029cd_190583.gif,"‘মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস’ বইটিতে একদিকে তাতারদের উত্থান, ক্রমবিকাশ এবং বিশ্বশক্তি হিসেবে আবির্ভাব; অপর দিকে ইসলামি রাষ্ট্রগুলোর অবক্ষয়, অধঃপতন এবং সর্বশেষ তাদের চূড়ান্ত পরাজয়ের নেপথ্য কারণগুলো নিরপেক্ষভাবে ব্যাখ্যা করা হয়েছে।

তাতারদের উত্থান ও মুসলমানদের পতন-পর্বে তাতারদের পরিচয়, প্রকৃত আবাসভূমি, জাতি গঠনের মূল উপাদান, ধর্মীয় ও সামাজিক রীতিনীতি, চেঙ্গিস খানের আবির্ভাব, সেনা বাহিনীর প্রতি তার আদেশ-উপদেশ, সমরনীতি, রণকৌশল, গুপ্তচরবৃত্তি, জ্ঞানী ও অভিজ্ঞদের পরামর্শ গ্রহণ, মঙ্গোল সেনাপতিদের মানোত্তীর্ণ রণকৌশল অনুসরণ; অপর দিকে খাওয়ারিজম সাম্রাজ্য, আব্বাসি খিলাফাত এবং সমগ্র মুসলিম বিশ্বের শাসকদের দুর্বলতা, সভ্যতার বিনির্মাণে তাদের ব্যর্থতা, শাসনব্যবস্থার প্রতি জনসাধারণের অনীহা ও অনাস্থা, শাসক-পরিবারের অভ্যন্তরীণ দ্বন্দ্ব, সামরিক দুর্বলতা, দুনিয়ার প্রতি মোহ ও মৃত্যুর প্রতি অনীহা, অনৈক্য ও বিচ্ছিন্নতা, জানসাধারণের উপর শাসকশ্রেণির অবিচার,

সুলতান মুহাম্মদ আলাউদ্দিন খাওয়ারিজমির অহংবোধ, মনস্তাত্ত্বিক পরাজয়, সুলতান জালালুদ্দিন মিংবার্নুর ব্যক্তিত্ব, আব্বাসি খলিফা নাসির লিদিনিল্লাহর অবহেলা, খেলাফত ভিত্তিক জাতীয়তাবোধের অভাব, প্রতিনিধি শাসকদের হীনম্মন্যতা, দুর্বল ও নতজানু পররাষ্ট্রনীতি এবং এ জাতীয় আরো কিছু বিষয় নিয়ে আলোচনা করা হয়েছে।

এরপর মঙ্গোলদের পতন ও মুসলিমদের পুনর্জাগরণ ও ‘মহাবিজয়’ পর্বে মামলুক সুলতান সাইফুদ্দিন কুতুজের ব্যক্তিত্ব, বিচক্ষণ নেতৃত্ব, শাহাদাতের তামান্না, উম্মাহর শত্রুদের সাথে অবন্ধুতা, যোগ্যদেরকে দায়িত্ব প্রদান, শক্তিশালি বাহিনী গঠন, জিহাদি চেতনা সৃষ্টি, অভিজ্ঞ আলিমদের পরমার্শ গ্রহণ; আইনে জালুত যুদ্ধে মুসলিমদের বিজয় এবং এর ফলাফল নিয়ে গবেষণাধর্মী আলোচনা করা হয়েছে।

আশা করছি, বইটি পাঠককে মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস সম্পর্কে পরিতৃপ্ত করবে।",মঙ্গোল ও তাতার সাম্রাজ্যের ইতিহাস-২,ডঃ আলী মুহাম্মাদ সাল্লাবী, ,আকরাম হোসাইন,মাকতাবাতুত তাকওয়া, ,"1st Published,2019",384,বাংলাদেশ,বাংলা
ইন্ডিয়া উইনস ফ্রিডম: ভারত যখন স্বাধীন হলো ,মাওলানা আবুল কালাম আজাদ,TK. 280,TK. 168,https://rokomari.com//book/100603/india-wins-freedom--bharot-jokhon-swadhin-holo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dc574b5097d4_100603.gif,"""ইন্ডিয়া উইনস ফ্রিডম: ভারত যখন স্বাধীন হলো ""বইটির মূখবন্ধ:


দুবছরের কিছু বেশি আগে আত্মজীবনী লেখার অনুরােধ নিয়ে আমি মাওলানা আজাদের কাছে যাই। এক মুহূর্তের জন্যও তখন আমার মনে হয়নি যে, সে বইয়ের ভূমিকা লেখার দুঃখময় ভার আমাকেই বইতে হবে। নিজের ব্যক্তিজীবন নিয়ে কিছু বলা তিনি পছন্দ করতেন না এবং গােড়ার দিকে এ কাজ হাতে নিতে তিনি অনিচ্ছুক ছিলেন। ব্রিটিশের হাত থেকে ভারতীয়দের হাতে ক্ষমতা হস্তান্তরের ক্ষেত্রে তাঁর অন্যতম প্রধান ভূমিকা; সুতরাং ইতিহাসের সেই স্মরণীয় অধ্যায় সম্পর্কে তার বিবরণ উত্তরপুরুষদের জন্য লিপিবদ্ধ করা কর্তব্য-এ কথা অনেক কষ্টে তাঁকে বােঝানাে গিয়েছিল। ভগ্নস্বাস্থ্যও ছিল তাঁর অনিচ্ছার আংশিক কারণ। তিনি মনে করতেন, তাঁর ওপর ন্যস্ত রাজনৈতিক আর প্রশাসনিক গুরুদায়িত্ব পালন করা ছাড়া গত্যন্তর নেই এবং তা করতে গেলে তাঁকে অবশ্যই সর্বশক্তি নিয়ােগ করতে হবে। যখন তাঁকে এই আশ্বাস দিলাম যে, আমার সাধ্যে যতটা কুলােয় তাঁকে আমি হাতে-কলমে লেখার দায় থেকে রেহাই দেব, তখন শেষ পর্যন্ত তিনি রাজি হলেন। অবশ্য এর ফল দাঁড়াবে এই যে, ভারতবাসী তার নিজের ভাষায় লেখা আত্মজীবনী পড়ার অধিকার থেকে বঞ্চিত হবে। এর দরুন সাধারণভাবে ভারতীয় সাহিত্য আর বিশেষভাবে উর্দু অপুষ্ট থেকে যাবে। তবু তাঁর কথানুযায়ী লেখা ইংরেজি বয়ানটি কানা মামা হলেও নেই মামার চেয়ে বরং ভালাে।
| এই বই কীভাবে রচিত হয়েছে, সেটা কিছুটা বিশদভাবে এখানে বলা দরকার বলে আমি মনে করি। মাঝে মাঝে আমাকে যখন দিল্লির বাইরে যেতে হয়েছে, সেই সময়গুলাে বাদ দিলে বিগত বছর দুই প্রতি সন্ধ্যায় গড়ে এক ঘণ্টা বা তারও বেশি সময় আমি মাওলানা আজাদের সঙ্গে কাটিয়েছি। আজাদের ছিল আলাপচারীর আশ্চর্য ক্ষমতা; নিজের অভিজ্ঞতাগুলাে বর্ণনার গুণে তিনি প্রাণবন্ত করে তুলতেন। আমি সুপ্রতুল নােট নিতাম এবং সেই সঙ্গে কোথাও ঠেকলে খােলাসা করার জন্য অথবা আরও তথ্য পাওয়ার জন্য প্রশ্নের পর প্রশ্ন করতাম। নিজের বিষয়ে বলতে বরাবরই তিনি অস্বীকার করেছেন, কিন্তু জনস্বার্থ সংক্রান্ত ব্যাপারে তিনি রাখঢাক না করে মনের কথা খুলে বলেছেন। যখন একটা অধ্যায় লেখার মতন মালমসলা জমেছে, তখন আমি তা থেকে ইংরেজিতে খসড়া করে সুযােগ পাওয়ামাত্র তাঁকে তৎক্ষণাৎ দেখতে দিয়েছি। প্রত্যেকটি অধ্যায় তিনি নিজে পড়ার পর আমরা একসঙ্গে তা নিয়ে বসেছি। এই স্তরে তিনি পরিবর্ধন, পরিবর্তন আর পরিবর্জন মারফত সে লেখার অনেক সংশােধন করেছেন।",ইন্ডিয়া উইনস ফ্রিডম: ভারত যখন স্বাধীন হলো,মাওলানা আবুল কালাম আজাদ,মাওলানা মানফুজুর রহমান, ,মাকতাবাতুত তাকওয়া, ,"1st Published,2015",272,বাংলাদেশ,বাংলা
হাদিয়া শরহে কাফিয়া,মুফতী সাঈদ আহমদ পালনপুরী,TK. 400,TK. 240,https://rokomari.com//book/119915/hadiya-shorohe-kafiya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7565c37e2fa4_119915.gif,"",হাদিয়া শরহে কাফিয়া,মুফতী সাঈদ আহমদ পালনপুরী,মাওলানা মুহিব্বুল্লাহ রাশেদ, ,Maktabatut Taqwa, ,"1st Published,2016",400,Bangladesh,Bangla & Arabic
চেপে রাখা ইতিহাস,আল্লামা গোলাম আহমাদ মোর্তজা,TK. 440,TK. 264,https://rokomari.com//book/185042/chepe-rakha-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3827dd7e0_185042.jpg,"",চেপে রাখা ইতিহাস,আল্লামা গোলাম আহমাদ মোর্তজা, , ,মাকতাবাতুত তাকওয়া,9846240034,"9th Edition,2014",416,বাংলাদেশ,বাংলা
বাজেয়াপ্ত ইতিহাস ,আল্লামা গোলাম আহমাদ মোর্তজা,TK. 180,TK. 108,https://rokomari.com//book/187418/bajeyafto-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e7d642401_187418.jpg,"",বাজেয়াপ্ত ইতিহাস,আল্লামা গোলাম আহমাদ মোর্তজা, , ,মাকতাবাতুত তাকওয়া,98460500310,"1st Published,2013",108,বাংলাদেশ,বাংলা
