Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
দর্শন অভিধান,উমা সেনাপতি,"",TK. 180,https://rokomari.com//book/169869/dorshon-ovidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দর্শন অভিধান,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
মা ও সন্তান,উমা সেনাপতি,"",TK. 108,https://rokomari.com//book/169859/ma-o-sontan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মা ও সন্তান,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2013, ,ভারত,বাংলা
ভারতীয় স্বাস্থ্য ও সৌন্দর্য বিজ্ঞান,উমা সেনাপতি,"",TK. 270,https://rokomari.com//book/169860/varotiyo-sbastyo-o-soundarjyo-biggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারতীয় স্বাস্থ্য ও সৌন্দর্য বিজ্ঞান,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2013, ,ভারত,বাংলা
স্বকুতা ,উমা সেনাপতি,"",TK. 135,https://rokomari.com//book/169861/sbokuta,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বকুতা,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2014, ,ভারত,বাংলা
"শ্রীঅরবিন্দের জীবন, কর্ম, দর্শন ও দিব্যজীবন",উমা সেনাপতি,"",TK. 180,https://rokomari.com//book/169862/shree-orobinder-jibon-kormo-dorshon-o-dibyojibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","শ্রীঅরবিন্দের জীবন,কর্ম,দর্শন ও দিব্যজীবন",উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2014, ,ভারত,বাংলা
স্বপ্ন যেন সত্যি হয়,উমা সেনাপতি,"",TK. 270,https://rokomari.com//book/169863/swopno-jeno-sotti-hoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বপ্ন যেন সত্যি হয়,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2014, ,ভারত,বাংলা
মাহিষ্য রত্নাবলী,উমা সেনাপতি,"",TK. 450,https://rokomari.com//book/169864/mahishyo-rotnaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মাহিষ্য রত্নাবলী,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2014, ,ভারত,বাংলা
ভারতীয় স্বাস্থ্য ও সৌন্দর্য বিজ্ঞান সংযোজন,উমা সেনাপতি,"",TK. 234,https://rokomari.com//book/169865/varotiyo-swasthyo-o-soundarjyo-biggan-songjhujon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারতীয় স্বাস্থ্য ও সৌন্দর্য বিজ্ঞান সংযোজন,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
সুস্থ যুবসমাজ গঠনে স্বামী বিবেকানন্দ,উমা সেনাপতি,"",TK. 270,https://rokomari.com//book/169866/sustho-jhubosomaj-gothone-swami-bibekanando,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সুস্থ যুবসমাজ গঠনে স্বামী বিবেকানন্দ,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
ঋষি রাজনারায়ণ ও বোড়াল গ্রাম,উমা সেনাপতি,"",TK. 180,https://rokomari.com//book/169867/rrishi-rajnarayon-o-boral-gram,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঋষি রাজনারায়ণ ও বোড়াল গ্রাম,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
জীবনের গল্প,উমা সেনাপতি,"",TK. 270,https://rokomari.com//book/169868/jiboner-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জীবনের গল্প,উমা সেনাপতি, , ,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
তর্ক সংগ্রহ,উমা সেনাপতি,"",TK. 270,https://rokomari.com//book/169870/torko-songroho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তর্ক সংগ্রহ, , ,উমা সেনাপতি,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
কঠ  উপনিষদ,উমা সেনাপতি,"",TK. 270,https://rokomari.com//book/169871/koth-upnishod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কঠ  উপনিষদ, , ,উমা সেনাপতি,মাতৃশক্তি (ভারত), ,2015, ,ভারত,বাংলা
