Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
স্বপ্নের সীমানা পেরিয়ে,শামীর মোন্তাজিদ,TK. 190,TK. 143,https://rokomari.com//book/199525/shopner-shimana-pereya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/61a4b93e4_199525.jpg,"এই বইয়ের লেখাগুলো অন্য সধারণ গল্পের মতো নয়। বিশ্বের বিভিন্ন দেশের শীর্ষ বিশ্ববিদ্যালয়ে পিএইচডি করেছে বা করছে এমন আটজনের জীবনের মোড় ঘোরানো সত্যি গল্প এগুলো। খুব গুরুত্বপূর্ণ বিষয় হচ্ছে এখন থেকে দুই/তিন দশক আগের গল্পের সাথে একদম নতুন ঘটনাগুলো-ও কেমন যেন মিলে যায়! যেন একটা নির্দিষ্ট সুর ঘুরে ফিরে আসে সবার অভিজ্ঞতার মধ্য দিয়ে। এর কারণ, আসলেই উচ্চশিক্ষা বিষয়ক আমাদের সাধনাগুলো মোটামুটি একই রকম স্বপ্নকে ঘিরে আবর্তিত হয়।   
br
উচ্চশিক্ষার স্বপ্নটা আমাদের সবার ভেতরেই কখনো না কখনো উপ্ত হয়Ñ কারো ভেতরে আগে, কারো ভেতরে পরে। বিষয়টি নির্ভর করে আমরা কখন এ বিষয়ে সচেতন হই তার ওপর। এই সচেতনতা যার যত আগে হবে, ততই সিদ্ধান্ত নিতে সুবিধা। উচ্চশিক্ষার  জন্য আমরা কোথায় যাবো, কি নিয়ে পড়াশোনা করবো, তার ভবিষ্যত-ই বা কী, এসব বিষয় নিয়ে নানান প্রশ্ন তৈরি হয়। কারণ, উচ্চশিক্ষার উদ্দেশ্য কেবল একটি ডিগ্রি অর্জন নয়; বরং এর মাধ্যমে  আমাদের ব্যক্তিগত ও পেশাগত জীবনে নিজেদেরকে আরো সুযোগ্য করে তোলার লক্ষ্য থাকে।
br
এই বইয়ের গল্পগুলো ব্যক্তিগত বিষয় ছাড়িয়ে তাই উচ্চশিক্ষা নিয়ে আমাদের চিরন্তন অনুভূতির প্রকাশ হয়ে উঠেছে। লেখকদের স্বপ্ন, সাধনা ও অর্জনের উপাখ্যানগুলো ভবিষ্যত শিক্ষার্থীদের জন্য পথনির্দেশিকা হিসেবে কাজ করবে।",স্বপ্নের সীমানা পেরিয়ে,"শামীর মোন্তাজিদ,মুশতাক ইবনে আয়ুব,রিম সাবরিনা জাহান সরকার,ইকবাল রউফ মামুন,আব্দুল্লাহ আল মারুফ,আদনান মান্নান,ইকবাল বিন ইমরান (সোহাগ),হাসান সাদ ইফতি", , ,মাতৃভাষা প্রকাশ,9789843471291,"২য় প্রকাশ,ফেব্রুয়ারি,২০২০",88,বাংলাদেশ,বাংলা
চতুর্থ শিল্প বিপ্লব,ক্লাউস শোয়াব,TK. 300,TK. 225,https://rokomari.com//book/196307/choturtho-shilpo-biplob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bc33dcbf7_196307.jpg,"আমরা চতুর্থ শিল্পবিপ্লবের যুগে পদার্পণ করেছি। মানবজাতি ও মানবসভ্যতা অতীতে এমন বিস্ময়কর পরিবর্তন এবং অভ‚তপূর্ব রূপান্তর আর কখনো প্রত্যক্ষ করেনি।
এই চতুর্থ শিল্পবিপ্লব পদার্থবিজ্ঞান, জীববিজ্ঞান এবং ডিজিটাল জগতের সম্মিলন ঘটাচ্ছে। সব শাস্ত্র, অর্থনীতি, শিল্প এই বিপ্লব দ্বারা প্রভাবান্বিত। এই বিপ্লবের গতি অভূতপূর্ব। ইতোমধ্যে ন্যানোপদার্থ তৈরি হয়ে গেছে, যেগুলো লোহা থেকে ২০০ গুণ শক্ত এবং মানুষের চুলের ১০ লাখ ভাগের ১ ভাগ। শীঘ্রই ত্রিমাত্রিক ছাপাখানায় মানবযকৃৎ তৈরি হতে যাচ্ছে।
চতুর্থ শিল্পবিপ্লব বইটির লেখক অধ্যাপক ক্লাউস  শোয়াব বিশ^খ্যাত অর্থনীতিবিদ, ওয়ার্ল্ড ইকোনমিক ফোরামের প্রতিষ্ঠাতা এবং নির্বাহী সভাপতি। ‘ঞযব ঋড়ঁৎঃয ওহফঁংঃৎরধষ জবাড়ষঁঃরড়হ’ বা চতুর্থ শিল্পবিপ্লব বইটিতে তিনি নবপ্রযুক্তি বিপ্লবের রূপরেখা সরকার, ব্যবসায়, সুশীল সমাজ এবং জনগণের ওপরে যে ইতিবাচক প্রভাব ফেলবে, তা আলোচনা করেছেন।
অধ্যাপক ক্লাউস  শোয়াব একজন জার্মান প্রকৌশলী ও অর্থনীতিবিদ। তাঁর সবচেয়ে বড় পরিচয়, তিনি ওয়ার্ল্ড ইকোনমিক ফোরামের প্রতিষ্ঠাতা এবং নির্বাহী কমিটির সভাপতি। সুইজারল্যান্ডের দাভোসে ১৯৭১ সালে তিনি এই ফোরাম প্রতিষ্ঠা করেন। প্রগতিশীলতা মানবসভ্যতার ওপরে কতখানি প্রভাব ফেলবে, তা নিয়ে ক্লাউস শোয়াবের ভাবনা সবাইকে আলোড়িত করে। মি. শোয়াবের এ বইটি ৩৩টি ভাষায় অনুবাদ করা হয়েছে।",চতুর্থ শিল্প বিপ্লব,ক্লাউস শোয়াব,ওয়ালি-উল-মারূফ মতিন, ,মাতৃভাষা প্রকাশ, ,"তৃতীয় সংস্করণ,2021", ,বাংলাদেশ,বাংলা
মায়াবতী,মোঃ সাইফুর রহমান,TK. 294,TK. 206,https://rokomari.com//book/210568/mayaboti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f561804ed_210568.jpg,"প্রতিটি পুরুষের জীবনেই মায়াবতী আসে। কারো আগে, কারো পরে। তবে একজীবনে বেশিরভাগ পুরুষেরই তার সেই মায়াবতীকে পাওয়া হয় না। শুধু ভাগ্যবান পুরুষের জীবনে তার মায়াবতীকে পাওয়ার পূর্ণতা আসে। তাই চলার পথে কোনো এক ক্ষণে সে মায়াবতীর কথা মনে হতেই বুকের ভেতর এক ইছামতি নদীর বয়ে চলা টের পাওয়া যায়। জীবন হয়তো কেটে যায় তার আপন গতিতে, কিন্তু আজীবনই বয়ে বেড়াতে হয় মায়াবতীর মধুর স্মৃতি। 
অনুভূতির গভীরতায় মানবজীবন মহাকালের মতোই বিশাল। এই জীবনরূপী মহাকালে প্রতিটি মানুষের সাথেই ঘটে নানান ঘটনা। কিছু ঘটনা রূপ নেয় একেকটি গল্পে। এমন অসংখ্য ছোট ছোট গল্পের সমষ্টিই আমাদের এই নশ্বর জীবন। এরই মাঝে কিছু গল্প দাগ কেটে যায় আমাদের মনে। এমনই কিছু থ্রিলার, রোমান্টিক, হাস্যরসাত্মক, স্যাটায়ার, সাইকোলজিক্যাল থ্রিলার, ভৌতিক-আধিভৌতিক ছোটগল্প নিয়েই গল্পগ্রন্থ ‘মায়াবতী’। প্রতিটি গল্পই ভিন্ন স্বাদের একেকটি জীবনগাঁথা, যা মেটাবে পাঠকের সাহিত্যের তৃষ্ণা আর প্রিয়জনের জন্য হবে অনন্য সুন্দর এক উপহার। বইয়ের পাতা হয়তো শেষ হয়ে যাবে, কিন্তু রয়ে যাবে তার রেশ।",মায়াবতী,মোঃ সাইফুর রহমান, , ,মাতৃভাষা প্রকাশ, ,"1st Published,2021",160,বাংলাদেশ,বাংলা
জিন মন ভালোবাসা,মুশতাক ইবনে আয়ুব,TK. 280,TK. 210,https://rokomari.com//book/160607/jin-mon-valobasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3d277caba_160607.jpg,নিজেকে কতটুকু জানেন? কখনাে ভেবেছেন মনের রহস্যরাজ্যে আবেগের আনাগােনা কেন হয়? কিংবা ভালােবাসার সন্ধানে এত ব্যাকুল কেন মন? আর মনই বা থাকে কোথায়? এসব প্রশ্নের জবাব নিয়েই জিন মন ভালােবাসা।,জিন মন ভালোবাসা,মুশতাক ইবনে আয়ুব, , ,মাতৃভাষা প্রকাশ,9847027000362,"2nd Edition,2018",111,বাংলাদেশ,বাংলা
আপনার  সন্তান হবে স্বপ্নের চেয়ে বড় (অফসেট),নেসার উদ্দীন আয়ূব,TK. 490,TK. 368,https://rokomari.com//book/172653/aponar-sontan-hobe-swopner-cheye-boro--offset-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62ea32bec_172653.jpg,"পিতামাতার ও অভিভাবকের জন্য পূর্ণাঙ্গ দিক নির্দেশনা
সূচি
অধ্যায় -১ :  আপনার সন্তান আপনার স্বপ্ন*
সন্তান নিয়ে আপনার সীমাহীন স্বপ্ন*
সন্তানের ক্যারিয়ার গড়বেন কোন পেশায়? *
শুরু করুন আজই *
পরিকল্পনা গ্রহণ করুণ*
আপনার জন্য পূর্ণাঙ্গ গাইড লাইন
 অধ্যায় -২ সন্তানের ভবিষ্যৎ লক্ষ্য নির্ধারণ করুন *
ক্যারিয়ার ও পেশা নির্বাচন-পরিকল্পনা শুরু থেকেই*
লক্ষ্য নির্ধারণ পর্ব *
লক্ষ্য নির্ধারণের স্তরসমূহ
অধ্যায় - ৩ সঠিক বিদ্যালয় নির্বাচন ও ভর্তি : সাফল্যের প্রশস্ত পথ *
বিদ্যালয় নির্বাচন করবেন কীভাবে*
আবাসিক বিদ্যালয়, ছাত্রাবাস, মেস প্রসঙ্গ
প্রাইভেট টিউটর, কোচিং প্রসঙ্গ*
মেধার জোরে বিনা খরচে শিক্ষা*
ক্যাডেট কলেজে পড়ানো*
ক্যাডেট কলেজে ভর্তি তথ্য*
মাদরাসায় লেখাপড়া করানো*
মিডিয়া সংশ্লিষ্ট বিষয়ে পড়ানো*
কারিগরি শিক্ষা*
ক্রীড়া শিক্ষাপ্রতিষ্ঠানে পড়ানো *
বাংলাদেশ ক্রীড়া শিক্ষাপ্রতিষ্ঠান (বিকেএসপি)-তে ভর্তি*
ইংলিশ মিডিয়াম স্কুলে লেখাপড়া
অধ্যায় - ৪ আপনার সন্তানের শিক্ষা : জেনে নিন কয়েকটি মৌলিক বিষয় *
শিক্ষা কী
* প্রাতিষ্ঠানিক জ্ঞানার্জন বা পড়াশোনা 
* অপ্রাতিষ্ঠানিক শিক্ষা 
* দেখে জ্ঞানার্জন 
* শুনে জ্ঞানার্জন
* পড়ে জ্ঞানার্জন
অধ্যায় - ৫ যা খুশি হতে পারে আপনার সন্তান : জানুন মানব-মস্তিষ্কের অসীম ক্ষমতা*
মানুষের মস্তিষ্কের ক্ষমতা *
মস্তিষ্কের আরও বিস্ময়কর ক্ষমতা ও বৈশিষ্ট্য জানুন 
অধ্যায় - ৬ মানুষ বড় হতে পারে ৭ স্তরে : কোন স্তরে নিতে চান আপনার সন্তানকে*
সাফল্যের প্রথম স্তর : অস্তিত্ব রক্ষা *
সাফল্যের দ্বিতীয় স্তর : পরিবার সুরক্ষা *
সাফল্যের তৃতীয় স্তর : সম্প্রসারণ পর্যায়*
সাফল্যের চতুর্থ স্তর : আঞ্চলিক পর্যায়ে অবদান রাখা*
সাফল্যের পঞ্চম স্তর : দেশের জন্য অবদান রাখা*
সাফল্যের ষষ্ঠ স্তর : আন্তর্জাতিক পরিমণ্ডলে অবদান রাখা *
সাফল্যের সপ্তম স্তর : বিশ্বসভ্যতায় অবদান রাখা 
অধ্যায় - ৭ পড়ালেখার আধুনিক ৭ পদ্ধতি : আপনার সন্তান পৌঁছতে পারে সাফল্যের সপ্তম স্তরে
১. ক্লাসে প্রতিদিনের পড়া ও হোমওয়ার্ক প্রতিদিন সম্পন্ন করা 
২. ইংরেজিতে দক্ষতা অর্জন
৩. বিজ্ঞানে ভালো জ্ঞান ও পারদর্শিতা থাকা
৪. গণিতে দক্ষতা অর্জন
৫. সাধারণ জ্ঞানে পারদর্শিতা
৬. ধর্মীয় ও নৈতিক শিক্ষা
৭. সহশিক্ষা কার্যক্রম তথা শিল্প-সংস্কৃতি, সাহিত্য,
ক্রীড়া বা বিতর্কের সাথে যুক্ত করা 
অধ্যায় - ৮ গড়ে তুলুন শ্রেষ্ঠ করে : আপনার সন্তান হবে বিশ্বসেরা *
সন্তানের ন্যাচারাল ট্যালেন্টকে জাগ্রত করুন*
 আত্মশক্তি বৃদ্ধি করুন*
সৃজনশীলতাকে উৎসাহিত করুন*
প্রসঙ্গ বহুমুখী প্রতিভা : আপনার সন্তানও হতে পারে তেমন একজন*
বিতার্কিক হওয়া*
নেতৃত্বের যোগ্যতা অর্জন*
কঠোরতা-শিথিলতা প্রসঙ্গ *
মার্জিত পোশাক পড়ান তাকে*
আত্মশুদ্ধি ও ধর্মচর্চা 
অধ্যায় -৯ আপনার সন্তানকে গড়ে তুলুন স্বনির্ভর করে *
একা চলতে শেখান*
নিজে নিজে খেতে শেখান *
তার নিজের কাজ নিজেকে দিয়েই করান
অধ্যায় - ১০ দায়িত্বশীল হন : কী করবেন, কী করবেন না *
বন্ধন সুদৃঢ় করুন*
সন্তানের রোলের মডেল বা আদর্শ হন*
পুরস্কার ঘোষণা করুন *
ব্যর্থ হলে কী করবেন*
সীমাবদ্ধতা ও বিকলাঙ্গতা কাটিয়ে যোগ্যতার বিকাশ ঘটান 
অধ্যায় -১১ প্রযুক্তি নেশা ও অসৎসঙ্গ থেকে নিরাপদ রাখুন*
ইন্টারনেটের প্রয়োজনীয়তা ও ব্যবহারের মাত্রা*
মোবাইল ফোন*
ফেসবুক *
ভিডিও গেম *
ইউটিউব*
অনলাইন আসক্তি বা নেশা*
অনলাইন আসক্তি : এক ভয়ঙ্কর নেশা*
অনলাইন নেশা থেকে বাঁচার উপায়*
অনলাইন নেশা : জানুন কর্ণধারদের কথা*
প্রযুক্তি দক্ষতা ও অনলাইন আসক্তি এক নয়*
অসৎসঙ্গ, নেশা, ধূমাপানসহ খারাপ কাজ থেকে দূরে রাখুন
অধ্যায় -১২ সুস্বাস্থ্য সাফল্যের মূল : সুস্থ রাখুন আপনার সন্তানকে*
সন্তানের সুস্বাস্থ্যের জন্য আপনি যা করবেন*
শারীরিক স্বাস্থ্য সুরক্ষা*
খাদ্যাভ্যাস নিয়ে পিতামাতার ত্রুটি*
ব্যায়ম/খেলাধূল*
মানসিক স্বাস্ত্য
অধ্যায় -১৩ লেখাপড়ার মনোরম পরিবেশ*
মুখস্ত করা, উচ্চস্বরে পড়, দ্রুত পড়া*
হ্যান্ডনোট
অধ্যায়-১৪ রুটিন প্রণয়ন ও অনুসরণ : লক্ষ্যে পৌঁছানোর সহজ পদ্ধতি*
রুটিনের গুরুত্ব*
রুটিন মেনে চলার মানসিকতা ও করণীয়*
নমুনা রুটিন
অধ্যায় ১৫ হাতের লেখা সুন্দর ও দ্রুততর করা স্বপ্ন পূরণের যাদু*
হাতের লেখা সুন্দর করার উপায়*
নমুন হাতের লেখা
অধ্যায় ১৬ পরীক্ষার প্রস্তুতি : জিততে হবে প্রতিযোগিতা*
সারা বছরই পরীক্ষা প্রস্তুতি*
পরীক্ষার পূর্বে*
পরীক্ষাভীতি ও এর প্রতিকার*
পড়ার পরিবেশ*
গ্রুপ স্টাডি*
বেশি রাত জাগা পরিহার করতে হবে*
স্বাস্থ্যসম্ম্ত ও পুষ্টিকর খাবার খাওয়া*
কঠিন পড়া সহজ করা*
সাহস দিন*
পড়ার মাঝে মাঝে বিশ্রাম*
পরীক্ষার হলে যাবার প্রস্তুতি *
হলে ঢুকে *
ডামি পরীক্ষা*
পরীক্ষায় বা ক্লাসে প্রথম হওয়া প্রসঙ্গে
 অধ্যায় -১৭ আপনার সন্তানের উচ্চশিক্ষা *
সন্তানকে উচ্চশিক্ষার জন্য প্রস্তুত করুন*
উচ্চশিক্ষার জন্য প্রস্তুতির ধাপসমূহ *
উচ্চশিক্ষার বিষয়গুলো *
উচ্চশিক্ষার প্রতিষ্ঠানগুলো *
প্রাইভেট বিশ্ববিদ্যালয়ে উচ্চশিক্ষা 
অধ্যায় - ১৮ বিদেশে পড়াশোনা* 
বিদেশে পড়াশোনার ভালো দিক*
বিদেশে পড়াশোনা করানোর ধাপসমূহ*
ভাষা দক্ষতা অর্জনের জন্য করণীয়*
 স্নাতক পড়ার জন্য বিদেশে যাবার প্রস্তুতি*
স্নাতকোত্তর পর্যায়ে বিদেশে গমন*
 বিদেশে পড়াশোনায় বিশ্ববিদ্যালয় নির্বাচন*
 বিদেশে পড়াশোনার চ্যালেঞ্জ *
বিদেশে পড়াশোনার খরচ*
বৃত্তি নিয়ে বিদেশে পড়াশোনা 
অধ্যায় - ১৯ অনুপ্রেরণা : *
ড. আতিউর রহমান- ১৫০ টাকার সেই ঋণ আজও শোধ হয়নি *
ড. মুশতাক ইবনে আয়ূব –প্রত্যন্ত গ্রামের প্রাইমারি স্কুল থেকে অক্সফোর্ড ইউনিভার্সিটি*
অভিভাবকের কাছে সিঙ্গাপুরের এক অধ্যক্ষের চিঠি*
পুত্রের শিক্ষকের কাছে আমেরিকার প্রেসিডেন্ট আব্রাহাম লিংকনের চিঠি *
শিশুরা জীবন থেকে শেখে 
অধ্যায় - ২০ শিক্ষা বিষয়ক শিক্ষণীয় প্রবাদ",আপনার  সন্তান হবে স্বপ্নের চেয়ে বড় (অফসেট),নেসার উদ্দীন আয়ূব, , ,মাতৃভাষা প্রকাশ, ,"Shovon Edition,2018",168,বাংলাদেশ,বাংলা
কিম্ভূত স্বদেশির অদ্ভুত বিদেশ,রিম সাবরিনা জাহান সরকার,TK. 240,TK. 180,https://rokomari.com//book/199566/kimvut-swadeshir-odvut-bidesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac5a42d4e_199566.jpg,"লেখালেখিটা নেশার মতো। একটাই মুশকিল, কল্পনা থেকে লিখতে পারি না তেমন। বিষয়বস্তুকে জ্যান্ত হতে হয়। তাদেরকে হাঁটতে-চলতে-দৌড়াতে হয়। শুধু তাহলেই তাদের কলমবন্দি করতে পারি। সে হিসেবে এই বইয়ের গল্পগুলো জীবন্ত। চরিত্রগুলোও বাস্তবে দিব্যি ঘুরে বেড়াচ্ছে। তাদের সাথে কখনো ঘুরতে চলে গিয়েছি সুদূর গ্রিসের সান্তরিনি, কিংবা আল্পস ঘেরা ইতালিয়ান শহরতলিতে। কখনো বা একাই পাড়ি জমিয়েছি আটলান্টিকের ওপারের মার্কিন মুলুকে। এক-আধটা খাস জার্মান শহরের গল্পও আছে ঝুলিতে। ধোঁয়া ওঠা আলুর স্যুপে চুমুক দিতে দিতে তেমনি একটা আয়েশি ভ্রমণকাহিনি বলা হয়েছে ‘গার্মিশে ঘ্যাও ম্যাও’-তে। আবার ‘কমলা রোদের মাল্টা’য় লিখে রেখেছি রোদ ঝলমলে ছোট্ট মজার দেশ মাল্টার কেচ্ছা।  
এবার শূন্য সৃজনশীলতার ভেলকি দেখিয়ে বইটার একটা বেখাপ্পা নাম দেয়া যাক। আমার কাছে নিজেকে বেশির ভাগ সময়ে ভূত বলে মনে হয়। বহু বছরের প্রবাস জীবনও যাকে ভূত থেকে মানুষ করতে পারে নি। এই কিম্ভূতের চোখে ধরা পড়া অদ্ভুতুড়ে সব গল্পের ঝাঁপিটার তাই নাম দিলাম ‘কিম্ভূত স্বদেশির   অদ্ভুত বিদেশ’।   
লেখাগুলো প্রথম আলো’র ‘দূর পরবাস’ বিভাগে প্রকাশ হয়েছিল। সেগুলোকে এক মলাটে এনে ভালোই হলো। কাগজের খেয়া পাল তুলে ভাসিয়ে দিলাম পাঠকের ঘাটে। তরী ভিড়লেই লেখকের আনন্দ।
 Ñ লেখক",কিম্ভূত স্বদেশির অদ্ভুত বিদেশ,রিম সাবরিনা জাহান সরকার, , ,মাতৃভাষা প্রকাশ,9789843471246,"1st Published,2020",128,বাংলাদেশ,বাংলা
জিন প্রকৌশল ও জিএম শস্য,মুশতাক ইবনে আয়ুব,TK. 340,TK. 255,https://rokomari.com//book/160518/jeen-prokousal-o-jeeyem-shashsho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/165489376_160518.jpg,"",জিন প্রকৌশল ও জিএম শস্য,মুশতাক ইবনে আয়ুব, , ,মাতৃভাষা প্রকাশ,984702700037X,"তৃতীয় সংস্করণ,চতুর্থ মূদ্রণ 2021",168,বাংলাদেশ,বাংলা
দি টাইম মেশিন,এইচ. জি. ওয়েলস,TK. 280,TK. 210,https://rokomari.com//book/160519/the-time-machine,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/554a6af57_160519.jpg,"দরজার দিকে ঘুরে তাকালাে সবাই। সেখানে দাড়িয়ে আছে টাইম ট্রাভেলার। তার অবস্থা ভয়াবহ। গায়ের কোটটি অত্যন্ত ময়লাযুক্ত। হাতার নিচের দিকে সবুজ আঠালাে দাগ। ফিলবির কাছে মনে হলাে তার চুলগুলাে আরাে বেশি বাদামি হয়ে গেছে। কিন্তু এটা কি চুলের রং পরিবর্তন না কি ধূলা-ময়লার প্রভাব, তা ঠিক বুঝতে পারছে না। টাইম ট্রাভেলারের মুখমণ্ডল ফ্যাকাশে হয়ে গেছে, ভূতের মতাে অনেকটা। তার চিবুকে গভীর কাটা দাগ এখনাে পুরােপুরি সারেনি। সবকিছু মিলে তার এক জরাজীর্ণ অবস্থা যেন ভয়াবহ কোনাে দুর্দশা কাটিয়ে এসেছে। দরজায় দাঁড়িয়ে সে কয়েক মুহূর্তের জন্য ইতস্তত করলাে। সম্ভবত রুমের আলােয় তার চোখ ধাধিয়ে গেছে। তারপর আস্তে আস্তে খুব কষ্টে রুমে প্রবেশ করেই বসে পড়লাে।",দি টাইম মেশিন,এইচ. জি. ওয়েলস,মোঃ তাজউদ্দিন, ,মাতৃভাষা প্রকাশ,9847027000383,"1st Published,2018",110,বাংলাদেশ,বাংলা
জিন প্রকৌশল ও মানব ক্লোনিং,মুশতাক ইবনে আয়ুব,TK. 260,TK. 195,https://rokomari.com//book/200082/genetic-engineering-and-human-cloning,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/60c4d6af3_200082.jpg,বর্তমান শতকের অন্যতম প্রভাবশালী বিজ্ঞান বিষয় জিন প্রকৌশল জীবনকে পরিবর্তন ও পরিমার্জন করার অভূতপূর্ব সম্ভাবনা সৃষ্টি করেছে। এ বিষয়ক মৌলিক তত্ত্ব এবং এর অন্যতম বিতর্কিত প্রয়োগ মানব ক্লোনিং নিয়ে এই বই। বিজ্ঞানপিপাসু সব শ্রেণির পাঠক-ই বইটি পড়ে জীবনকে পাল্টে দেয়ার এই আধুনিক বিষয়গুলো সম্বন্ধে সম্যক ধারণা নিতে সক্ষম হবেন।,জিন প্রকৌশল ও মানব ক্লোনিং,মুশতাক ইবনে আয়ুব, , ,মাতৃভাষা প্রকাশ,9879843471208,"2nd Published,2020",142,বাংলাদেশ,বাংলা
জ্ঞানের জাদুকর ইবনে সিনা,নেসার উদ্দীন আয়ূব,TK. 180,TK. 135,https://rokomari.com//book/199771/gyaner-jadukor-ibn-sina,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2ebc106cb_199771.jpg,"একজন শিশুকে জ্ঞানার্জনে উৎসাহিত করার জন্য অতীতের বড় বড় জ্ঞানী, বিজ্ঞানী ও পÐিতদের জীবন, কর্ম, জ্ঞানচর্চার পদ্ধতি, অধ্যবসায় ইত্যাদি সম্পর্কে জানানো খুবই গুরুত্বপূর্ণ। এতে তারা ওইসব জ্ঞানী, গুণী ও মহাজ্ঞানীদের দ্বারা উৎসাহিত হয়ে যদি জ্ঞানচর্চায় মনোনিবেশ করে, তাহলে সেও একদিন হয়ে উঠতে পারে বিখ্যাত কেউ। সে ভাবনা থেকেই শিশু-কিশোরদের জন্য জ্ঞানের জগতের এক বিস্ময়-মানব ইবনে সিনার জীবনভিত্তিক এই বইটি লিখলাম। বইটি পাঠের মাধ্যমে নবীন ছাত্রছাত্রীরা জ্ঞানের এই জাদুকর সম্পর্কে ভালোভাবে জেনে ইবনে সিনার মতোই জ্ঞানচর্চায় উৎসাহিত হবেÑ এমনটাই আমাদের প্রত্যাশা।",জ্ঞানের জাদুকর ইবনে সিনা,নেসার উদ্দীন আয়ূব, , ,মাতৃভাষা প্রকাশ,9789843471260,"1st Published,2020",32,বাংলাদেশ,বাংলা
