Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
থ্রিডি বই - বাইনো বাংলা,মাইক্রোটেক,TK. 340,TK. 255,https://rokomari.com//book/137366/3d-book---bino-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1802c4c5c_137366.jpg,"বাইনো 3D বই এবং অ্যাপ্লিকেশান বাচ্চাদের কল্পনার জগৎকে বাস্তবে নিয়ে আসার একটি অসামান্য সৃষ্টি। এটা বাচ্চাদের শিক্ষার আগ্রহকে বাড়াবে এবং তারা প্রযুক্তির যথার্থ ব্যবহার শিখতে পারবে।  আধুনিক প্রযুক্তির সমন্বয়ে বাচ্চাদের বিকাশে বইটি সহায়ক হবে এবং তারা খেলাচ্ছলে শিখতে পারবে।


Download app from here : https://play.google.com/store/apps/details?id=com.circle.Bangla",থ্রিডি বই - বাইনো বাংলা, , ,মাইক্রোটেক,মাইক্রোটেক, ,"1st Published,2017",27,বাংলাদেশ,বাংলা
3D Book - Bino English,মাইক্রোটেক,TK. 290,TK. 218,https://rokomari.com//book/147198/3d-book---bino-english,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d36bce095_147198.jpg,"""Bino"" is an extraordinary approach to modernize the primary education system through 3D Augmented reality. Children will enjoy learning with exciting 3D animated figures through this Bino Apps. Their imaginary world will come alive.

https://play.google.com/store/apps/details?id=com.microtech.neelimarbioscope",3D Book - Bino English, , ,Microtech,Microtech, ,"1st Published,2017", ,Bangladesh,English
3D book - Bino Drawing,মাইক্রোটেক,TK. 200,TK. 150,https://rokomari.com//book/166733/3d-book---bino-drawing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7b9873156_166733.jpg,"বাচ্চারা তাদের রঙ্গিন দুনিয়াকে বাস্তব ভাবে উপভোগ করবে, তাই বাইনো নিয়ে এসেছে একটি অভিনব থ্রী-ডি ড্রয়িং বই। যার বর্ণহীন ছবিগুলোতে রংবেরং এর রং ব্যবহার করতে পারবে এবং ওই রংএর বাস্তব থ্রী-ডি রূপ দেখতে পাবে অ্যাপ্লিকেশান এর মাধ্যমে",3D book - Bino Drawing, , ,Microtech,Microtech, ,"1st Published,2018",18,Bangladesh,English
থ্রিডি বই - বাইনো আরবি ,মাইক্রোটেক,TK. 350,TK. 263,https://rokomari.com//book/161790/3d-book---bino-arabic,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1c6604ff4_161790.jpg,"বাইনো"" 3D বই এবং অ্যাপ্লিকেশান বাচ্চাদের কল্পনার জগৎকে বাস্তবে নিয়ে আসার একটি অসামান্য সৃষ্টি। এটা বাচ্চাদের শিক্ষার আগ্রহকে বাড়াবে এবং তারা প্রযুক্তির যথার্থ ব্যবহার শিখতে পারবে।  আধুনিক প্রযুক্তির সমন্বয়ে বাচ্চাদের বিকাশে বইটি সহায়ক হবে এবং তারা খেলাচ্ছলে শিখতে পারবে।",থ্রিডি বই - বাইনো আরবি, , ,মাইক্রোটেক,Microtech, ,"1st Published,2018",24,Bangladesh,Arabic
থ্রিডি বই - বাইনো  জু,মাইক্রোটেক,TK. 500,TK. 375,https://rokomari.com//book/161791/3d-book---bino-zoo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8485d1b8a_161791.jpg,"বাইনো"" 3D বই এবং অ্যাপ্লিকেশান বাচ্চাদের কল্পনার জগৎকে বাস্তবে নিয়ে আসার একটি অসামান্য সৃষ্টি। এটা বাচ্চাদের শিক্ষার আগ্রহকে বাড়াবে এবং তারা প্রযুক্তির যথার্থ ব্যবহার শিখতে পারবে।  আধুনিক প্রযুক্তির সমন্বয়ে বাচ্চাদের বিকাশে বইটি সহায়ক হবে এবং তারা খেলাচ্ছলে শিখতে পারবে।
                    
                Bino Zoo is a box of animal introduction. Children will be able to recognize 30 animals and get to know some basic information of those animals. Through our Bino application, they can enjoy the movement of animals and their sounds as well. There are 30 cards in the box. 10 birds, 10 fishes",থ্রিডি বই - বাইনো  জু, , ,মাইক্রোটেক,Microtech, ,"1st Published,2018", ,Bangladesh,Bangla & English
Bino Magic Fun Learning Dino Vol-1,মাইক্রোটেক,TK. 150,TK. 113,https://rokomari.com//book/185333/bino-magic-fun-learning-dino-vol-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b92bb81bb_185333.jpg,"",Bino Magic Fun Learning Dino Vol-1, , ,Microtech,Microtech, ,"1st Published,2019", ,Bangladesh,English
Bino Planet,মাইক্রোটেক,TK. 350,TK. 263,https://rokomari.com//book/202081/bino-planet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d9595057d_202081.jpg,"Bino Planet is a flashcard collection of planets. It contains total of 10 cards of planets and instruction. Every planet will appear in reality with the information sound through the Bino application. The information of the planets are also given at the back of each planet’s cards. 
Not only kids but also elders can also enjoy this book who seeks knowledge about space. Through various animation, we tried to create a virtual world of space in which children can see the whole scenario of the solar system.
The most fun fact in this book is, if we put all the 9 cards together, it will form a big picture of whole solar system and user can enjoy the whole solar system in a reality view through our application in their smart phone or Tab. 

গুগল প্লে- http://bit.ly/BINO_GooglePlay

অ্যাপ স্টোর- http://bit.ly/BINO_AppStore",Bino Planet,Microtech, , ,Microtech,9781733621373,"1st Published,2020",10,Bangladesh,English
Bino Magic Fun Learning Number,মাইক্রোটেক,TK. 250,TK. 188,https://rokomari.com//book/185334/bino-magic-fun-learning-number,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bc7852ad2_185334.jpg,"After considerable amount of R&D, we were able to come up with a math flash card collection which is unique. We have a total of 31 cards. In each of them we depicted each number from 0 to 30 which is also read out for auditory learning. In one of the cards, it explains the concept of Zero.",Bino Magic Fun Learning Number, , ,Microtech,Microtech, ,"1st Published,2019", ,Bangladesh,English
ফায়ারফাইটার,মাইক্রোটেক,TK. 180,TK. 135,https://rokomari.com//book/202079/firefighter,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3cea63595_202079.jpg,"Our stories are based on the characters around us that a child sees every day. Unfortunately, sometimes we do not give these people proper dignity. Throughout our story, we have conveyed the everyday scenes around us, to make these extraordinary characters seemingly gain the dignity of children. We hope that children through these stories can give the people around them the respect they deserve and grow up with a beautiful mindset.

গুগল প্লে- http://bit.ly/BINO_GooglePlay

অ্যাপ স্টোর- http://bit.ly/BINO_AppStore",ফায়ারফাইটার,মাইক্রোটেক, , ,মাইক্রোটেক,9781733621380,"1st Published,2020",18,বাংলাদেশ,বাংলা
থ্রিডি বই - বাইনো বাংলা ও ইংলিশ,মাইক্রোটেক,TK. 630,TK. 473,https://rokomari.com//book/165059/3d-boi--bino-bangla-and-english--rokomari-collection-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/98562df69_165059.jpg,"Download app from here : https://play.google.com/store/apps/details?id=com.circle.Bangla




https://play.google.com/store/apps/details?id=com.microtech.neelimarbioscope",থ্রিডি বই - বাইনো বাংলা ও ইংলিশ,মাইক্রোটেক, , ,মাইক্রোটেক, ,"1st Published,2017", ,বাংলাদেশ,বাংলা
