Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Shabash 08,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 130,https://rokomari.com//book/121441/shabash-08,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0a56f3f29f34_121441.gif,"",Shabash 08,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074588,"1st Published,2016",32,Bangladesh,English
Shabash -03,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 130,https://rokomari.com//book/91625/shabash--03,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d4e363ac4_91625.jpg,"",Shabash -03,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074519,"1st Published,2014",35,Bangladesh,English
MS. Shabash - 01,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 130,https://rokomari.com//book/102086/ms--shabash---01,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7828ff767_102086.jpg,"",MS. Shabash - 01,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074540,"1st Edition,2015",36,Bangladesh,English
Shabash -07,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 130,https://rokomari.com//book/106303/shabash--07,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8addb77a9_106303.jpg,"",Shabash -07,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074564,"1st Edition,2015",32,Bangladesh,English
Shabash -04,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 130,https://rokomari.com//book/102087/shabash--04,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/df578da1d_102087.jpg,"",Shabash -04,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074526,"1st Edition,2015",36,Bangladesh,English
Shabash -05,মাইটি পাঞ্চ স্টুডিওস্,TK. 130,TK. 114,https://rokomari.com//book/102085/shabash--05,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/300757b50_102085.jpg,"",Shabash -05,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074533,"1st Edition,2015",36,Bangladesh,English
Ms. Shabash -2,সামির আসরান রহমান,TK. 130,TK. 114,https://rokomari.com//book/186775/ms--shabash--2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9552c7fec_186775.jpg,"",Ms. Shabash -2,Samir Asran Rahman, ,"Pushpita Alam,Katrina Chowdhury",Mighty Punch Studios, ,"1st Edition,2019",38,Bangladesh,English
Shabash -06,মাইটি পাঞ্চ স্টুডিওস্,TK. 130,TK. 114,https://rokomari.com//book/106302/shabash--06,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c597fef31_106302.jpg,"",Shabash -06,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074557,"1st Edition,2015",32,Bangladesh,English
Shabash 02,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 130,https://rokomari.com//book/91624/shabash-02,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img141201_91624.gif,"",Shabash 02,Mighty Punch Studios, , ,Mighty Punch Studios, , , ,Bangladesh,English
Lathial,মাইটি পাঞ্চ স্টুডিওস্,TK. 130,TK. 114,https://rokomari.com//book/117660/lathial,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dc68d8708de4_117660.gif,"",Lathial,Mighty Punch Studios, , ,Mighty Punch Studios,9789849074571,"1st Published,2016",36,Bangladesh,English
Captain Kathal Vs The Molom Party -01,সামির আসরান রহমান,"",TK. 130,https://rokomari.com//book/188179/captain-kathal-vs-the-molom-party--01,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/73297c34f_188179.jpg,"",Captain Kathal Vs The Molom Party -01,Samir Asran Rahman, , ,Mighty Punch Studios, ,"1st Published,2019", ,Bangladesh,English
Shabash 01 ,মাইটি পাঞ্চ স্টুডিওস্,TK. 200,TK. 182,https://rokomari.com//book/91623/shabash-01,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img141201_91623.gif,"",Shabash 01,Mighty Punch Studios, , ,Mighty Punch Studios,9789843379269, , ,Bangladesh,English
Ms. Shabash -3,সামির আসরান রহমান,TK. 130,TK. 114,https://rokomari.com//book/186776/ms--shabash--3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3b77fff17_186776.jpg,"",Ms. Shabash -3,Samir Asran Rahman, ,"Pushpita Alam,Katrina Chowdhury",Mighty Punch Studios, ,"1st Edition,2019",38,Bangladesh,English
The Legend of Zooey 01  ,মাইটি পাঞ্চ স্টুডিওস্,"",TK. 200,https://rokomari.com//book/91626/the-legend-of-zooey-01,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img141201_91626.gif,"",The Legend of Zooey 01,Mighty Punch Studios, , ,Mighty Punch Studios, , , ,Bangladesh,English
