Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
রবীন্দ্রকাব্য-সংগীত স্বরলিপি ও....,পরিমল হোম,"",TK. 180,https://rokomari.com//book/169703/rabindrakabyo--songeet-sborolipi-o,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রকাব্য-সংগীত স্বরলিপি ও....,পরিমল হোম, , ,মিলেমিশে  (ভারত), ,2009, ,ভারত,বাংলা
রবীন্দ্রনাথের গীতাঞ্জলি,সমীরকুমার গুপ্ত,"",TK. 270,https://rokomari.com//book/169708/rabindranather-gitanjoli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথের গীতাঞ্জলি,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2009, ,ভারত,বাংলা
রবীন্দ্রকাব্য-সংগীত স্বরলিপি,পরিমল হোম,"",TK. 180,https://rokomari.com//book/169711/rabindrakabyo--songeet-sborolipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রকাব্য-সংগীত স্বরলিপি,পরিমল হোম, , ,মিলেমিশে  (ভারত), ,2009, ,ভারত,বাংলা
নব-সুরারোপিত ৭১টি গানের স্বরলিপি রবীন্দ্রনাথের গীতাঞ্জলী,সমীরকুমার গুপ্ত,"",TK. 270,https://rokomari.com//book/169712/nobo-suraropito-71ti-ganer-swarolipi-rabindranather-gitanjalhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নব-সুরারোপিত ৭১টি গানের স্বরলিপি রবীন্দ্রনাথের গীতাঞ্জলী,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2009, ,ভারত,বাংলা
দ্যাশ থেকে দেশে,সীমা দাস,"",TK. 252,https://rokomari.com//book/169713/dash-theke-deshe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দ্যাশ থেকে দেশে,সীমা দাস, , ,মিলেমিশে  (ভারত), ,2010, ,ভারত,বাংলা
কালাপানি পেরিয়ে ,সমীরকুমার গুপ্ত,"",TK. 216,https://rokomari.com//book/169715/kalapani-periye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কালাপানি পেরিয়ে,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2010, ,ভারত,বাংলা
সলিল চৌধুরী প্রথম জীবন ও গনসংগীত,সমীরকুমার গুপ্ত,"",TK. 720,https://rokomari.com//book/169717/solil-chowdhury-protom-jibon-o-gonsongeet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সলিল চৌধুরী প্রথম জীবন ও গনসংগীত,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2012, ,ভারত,বাংলা
 প্রকৃতর্থবাহিনী ব্যাখ্যা: উপদেঘাত প্রকরন,উমেশচন্দ্র বিদ্যারত্ন,"",TK. 540,https://rokomari.com//book/169719/prokritorthobahini-bakya--upodegat-prokoron,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রকৃতর্থবাহিনী ব্যাখ্যা: উপদেঘাত প্রকরন,উমেশচন্দ্র বিদ্যারত্ন, , ,মিলেমিশে  (ভারত), ,2012, ,ভারত,বাংলা
ঋগ্বেদের প্রকৃতার্থবাহিনী ব্যাখ্যা উপোদঘাত প্রকরণ,উমেশচন্দ্র বিদ্যারত্ন,"",TK. 540,https://rokomari.com//book/169722/rgbeder-prokritarthobahini-bakya-upodegat-prokoron,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঋগ্বেদের প্রকৃতার্থবাহিনী ব্যাখ্যা উপোদঘাত প্রকরণ,উমেশচন্দ্র বিদ্যারত্ন, , ,মিলেমিশে  (ভারত), ,2012, ,ভারত,বাংলা
সলিল চৌধুরী প্রথম জীবন ও গণসংগীত,সমীরকুমার গুপ্ত,"",TK. 720,https://rokomari.com//book/169725/solil-chowdhury-protom-jibon-o-gonsongeet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সলিল চৌধুরী প্রথম জীবন ও গণসংগীত,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2012, ,ভারত,বাংলা
ঋগ্বেদের প্রকৃতার্থবাহিনী ব্যাখ্যা,উমেশচন্দ্র বিদ্যারত্ন,"",TK. 540,https://rokomari.com//book/169727/rgbeder-prokritarthobahini-bakya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঋগ্বেদের প্রকৃতার্থবাহিনী ব্যাখ্যা,উমেশচন্দ্র বিদ্যারত্ন, , ,মিলেমিশে  (ভারত), ,2012, ,ভারত,বাংলা
সলিল চৌধুরীর কবিতা,সমীরকুমার গুপ্ত,"",TK. 270,https://rokomari.com//book/169732/solil-chowdhurir-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সলিল চৌধুরীর কবিতা,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2012, ,ভারত,বাংলা
রবির আলোর ভেলা,সমীরকুমার গুপ্ত,"",TK. 315,https://rokomari.com//book/169734/robir-alor-vela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবির আলোর ভেলা,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2013, ,ভারত,বাংলা
গীতাঞ্জলী থেকে বাংলা ব্যন্ড,সমীরকুমার গুপ্ত,"",TK. 216,https://rokomari.com//book/169737/gitanjoli-theke-bangla-byand,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গীতাঞ্জলী থেকে বাংলা ব্যন্ড,সমীরকুমার গুপ্ত, , ,মিলেমিশে  (ভারত), ,2013, ,ভারত,বাংলা
পৌষ ফাগুনের ভেলা,পবিত্র সরকার,"",TK. 360,https://rokomari.com//book/169740/poush-faguner-vela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পৌষ ফাগুনের ভেলা,পবিত্র সরকার, , ,মিলেমিশে  (ভারত), ,2013, ,ভারত,বাংলা
মানো বা না মানো,অনিল ঘোষ,"",TK. 180,https://rokomari.com//book/169741/mano-ba-na-mano,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মানো বা না মানো,অনিল ঘোষ, , ,মিলেমিশে  (ভারত), ,2014, ,ভারত,বাংলা
