Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
লিডারশিপ সহজ ও সাধারণ,মুনির হাসান খান,TK. 400,TK. 364,https://rokomari.com//book/175771/leadership-sohoj-o-sadharon--jugantokari-leader-hober-6ti-proyojoniyo-podokkhep,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/20299853d_175771.jpg,"",লিডারশিপ সহজ ও সাধারণ,মুনির হাসান খান, , ,মডার্ণ প্রকাশনী,9789843302304,"১ম প্রকাশ,২০১৪",112,বাংলাদেশ,বাংলা
নাভি ম্যাসাজ থেরাপি,ডা. আলমগীর মতি,"",TK. 60,https://rokomari.com//book/175756/navi-myasaj-theraphy--tolpeter-ojon-komate-dine-2-bar-3-mase-myasaj-theraphy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c0c8f404c_175756.jpg,"নাভি ম্যাসাজ থেরাপি
বিশিষ্ট হারবাল গবেষক ও চিকিৎসক ডা.আলমগীর মতির লেখা একটি গুরুত্বপূর্ণ বই।",নাভি ম্যাসাজ থেরাপি,"ডা. আলমগীর মতি,কে এম শামীমুল হাসান", , ,মডার্ণ প্রকাশনী, ,1st,5,বাংলাদেশ,বাংলা
গর্ভবতী মায়ের সেবা শিশুর যত্ন ও বুকের দুধ বৃদ্ধির উপায়,ডা. আলমগীর মতি,"",TK. 100,https://rokomari.com//book/175757/gorvoboti-mayer-seba-shishor-jotno-o-buker-dudh-briddhir-upay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/deb42a4dd_175757.jpg,বিশিষ্ট হারবাল গবেষক ও চিকিৎসক ডা.আলমগীর মতির লেখা একটি গুরুত্বপূর্ণ বই।,গর্ভবতী মায়ের সেবা শিশুর যত্ন ও বুকের দুধ বৃদ্ধির উপায়,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী, ,1st,12,বাংলাদেশ,বাংলা
লক্ষণ বিজ্ঞান ও গ্রাফোলজি,ডা. আলমগীর মতি,"",TK. 70,https://rokomari.com//book/175029/lokkhon-biggan-o-grafology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ede5c328d_175029.jpg,"",লক্ষণ বিজ্ঞান ও গ্রাফোলজি,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী, , ,18,বাংলাদেশ,বাংলা
বিশ্বনবীর ( সা:) চিকিৎসা বিধান,ডা. আলমগীর মতি,TK. 200,TK. 182,https://rokomari.com//book/175765/bishwonobir---sm---chikitsa-bidhan-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d00d03941_175765.jpg,"বিশ্বনবীর ( সা:) চিকিৎসা বিধান
বিশিষ্ট হারবাল গবেষক ও চিকিৎসক ডা.আলমগীর মতির লেখা একটি গুরুত্বপূর্ণ বই।",বিশ্বনবীর ( সা:) চিকিৎসা বিধান,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী,9789843336262,"10th Published,2020",80,বাংলাদেশ,বাংলা
সুস্থ থাকার সোনালী উপায়,ডা. আলমগীর মতি,TK. 550,TK. 501,https://rokomari.com//book/175755/sustho-thakar-sonali-upay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/607a5f5f5_175755.jpg,"সুস্থ থাকার সোনালী উপায়
বিশিষ্ট হারবাল গবেষক ও চিকিৎসক ডা.আলমগীর মতির লেখা একটি গুরুত্বপূর্ণ বই।",সুস্থ থাকার সোনালী উপায়,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী,9789843336255,"11th Published,2020",272,বাংলাদেশ,বাংলা
দেশীয় ভেষজ থেকে ঘরে বসে,ডা. আলমগীর মতি,"",TK. 50,https://rokomari.com//book/175754/deshio-veshoj-theke-ghore-bose--homoeo-oushodh-o-chikitsa-nirog-thakun-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c30a30d1_175754.jpg,"",দেশীয় ভেষজ থেকে ঘরে বসে,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী,9789849058908, ,12,বাংলাদেশ,বাংলা
প্রশ্নোত্তরে এ্যাজমা চিকিৎসা,ডা. আলমগীর মতি,"",TK. 100,https://rokomari.com//book/175758/proshnottore-ajma-chikitsa--moderner-notun-gobeshonay-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7ddf31c3_175758.jpg,"",প্রশ্নোত্তরে এ্যাজমা চিকিৎসা,"ডা. আলমগীর মতি,কে এম শামীমুল হাসান", , ,মডার্ণ প্রকাশনী,9789849058908, ,22,বাংলাদেশ,বাংলা
কায়দা মক্তব আদর্শ লিপি( ‍একের ভিতর পাঁচ),ডা. আলমগীর মতি,"",TK. 20,https://rokomari.com//book/175759/kayda-moktob-adorsho-lipi--eker-vitor-pach-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f4a0688cb_175759.jpg,"",কায়দা মক্তব আদর্শ লিপি( ‍একের ভিতর পাঁচ),ডা. আলমগীর মতি, , ,Modern Prokashoni, , ,4,Bangladesh,Bangla & Arabic
বর্ণমালায় ভেষজ শিক্ষা আদর্শ লিপি,ডা. আলমগীর মতি,"",TK. 50,https://rokomari.com//book/175760/boronmalay-veshoj-shikkha-adorsho-lipi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0461fe946_175760.jpg,"",বর্ণমালায় ভেষজ শিক্ষা আদর্শ লিপি,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী,9789843336286, ,8,বাংলাদেশ,বাংলা
A To Z Nutrition Alphabet,ডা. আলমগীর মতি,"",TK. 50,https://rokomari.com//book/175761/a-to-z-nutrition-alphabet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ba08c4b30_175761.jpg,"",A To Z Nutrition Alphabet,Dr. Alamgir Mati, , ,Modern Prokashoni, , ,6,Bangladesh,English
দুই দেহ এক প্রাণ স্বামী স্ত্রীর মধুর সম্পর্ক,ডা. আলমগীর মতি,"",TK. 90,https://rokomari.com//book/175762/dui-deho-ek-pran-swami-sthrir-modhur-somporko--88ti-somosya-o-somadhan-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/728e56ce8_175762.jpg,"",দুই দেহ এক প্রাণ স্বামী স্ত্রীর মধুর সম্পর্ক,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী,9789843337986, ,15,বাংলাদেশ,বাংলা
ক্ষতিকারক রিফাইণ্ড চিনি( ১৪২ টি রোগের কারণ),ডা. আলমগীর মতি,"",TK. 30,https://rokomari.com//book/175763/kkhotikarok-refind-chini--142-ti-roger-karon-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9171ba40d_175763.jpg,"",ক্ষতিকারক রিফাইণ্ড চিনি( ১৪২ টি রোগের কারণ),ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী, , ,3,বাংলাদেশ,বাংলা
ফল দেখো গুণ জানো ,ডা. আলমগীর মতি,"",TK. 50,https://rokomari.com//book/175764/fol-dekho-gun-jano,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/91604f3ff_175764.jpg,বিশিষ্ট হারবাল গবেষক ও চিকিৎসক ডা.আলমগীর মতির লেখা একটি গুরুত্বপূর্ণ বই।,ফল দেখো গুণ জানো,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী, ,"10th Published,2020",6,বাংলাদেশ,বাংলা
শত হারবাল চা,ডা. আলমগীর মতি,"",TK. 90,https://rokomari.com//book/175767/shoto-herbal-cha--hajar-oushodhi-gun-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/13d11030b_175767.jpg,"শত হারবাল চা
বিশিষ্ট হারবাল গবেষক ও চিকিৎসক ডা.আলমগীর মতির লেখা একটি গুরুত্বপূর্ণ বই।",শত হারবাল চা,"ডা. আলমগীর মতি,কে এম শামীমুল হাসান", , ,মডার্ণ প্রকাশনী, ,"১০ম প্রকাশ,২০২০",11,বাংলাদেশ,বাংলা
টিভি গাইড-প্রথম খণ্ড,ডা. আলমগীর মতি,TK. 300,TK. 273,https://rokomari.com//book/175768/tv-guide-prothom-khondo--proshnottor-chikitsa-sat-bochor-tvte-procharito-proshnouttor-niye-rochito--suswasthe-protidin-ki-korben-jene-nin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cde200237_175768.jpg,"",টিভি গাইড-প্রথম খণ্ড,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী,9789849058946,"1st Published,2014",204,বাংলাদেশ,বাংলা
ক্যান্সারও প্রতিরোধযোগ্য,ডা. আলমগীর মতি,"",TK. 75,https://rokomari.com//book/175769/cancero-protirodhjogyo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/223debe8f_175769.jpg,"",ক্যান্সারও প্রতিরোধযোগ্য,ডা. আলমগীর মতি, , ,মডার্ণ প্রকাশনী, ,"3rd printed,2011",64,বাংলাদেশ,বাংলা
Leadership Plain and Simple,মুনির হাসান খান,TK. 400,TK. 364,https://rokomari.com//book/175770/leadership-plain-and-simple,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bfb8e078b_175770.jpg,"",Leadership Plain and Simple,Munir Hasan Khan, , ,Modern Prokashoni,9789843302304,"1st Published,2014",112,Bangladesh,English
