Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"ম্যাট্রিক্স এমপি থ্রি ভূগোল, পরিবেশ ও দুর্যোগ ব্যবস্থাপনা",ড. মোঃ শাহাদাত হোসেন,TK. 270,TK. 189,https://rokomari.com//book/202338/matrix-mp3-geography,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9b7530884_202338.jpg,"","ম্যাট্রিক্স এমপি থ্রি ভূগোল,পরিবেশ ও দুর্যোগ ব্যবস্থাপনা","ড. মোঃ শাহাদাত হোসেন,ড. মোঃ সাখাওয়াত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স, ,"7th Edition,2021",398,বাংলাদেশ,বাংলা
ম্যাট্রিক্স এমপি থ্রী বাংলাদেশ (বাংলাদেশ),ডা. মোহাম্মদ শাখাওয়াত হোসেন,TK. 620,TK. 434,https://rokomari.com//book/71778/matrix-mp3-bangladesh--bangladesh-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e4dd9893_71778.jpg,"সাধারণজ্ঞানের জন্য বিসিএস হয় না যাদের--

এমন অনেক বিসিএস পরীক্ষার্থীদের দেখেছি যারা অংক, ইংরেজি সব বিষয়ে ভালো করেও শুধুমাত্র সাধারণ জ্ঞানে ভালো দখল না থাকায় পিছিয়ে আসেন। শুধু বিসিএস কেন অন্য যে কোন কম্পিটিটিভ পরীক্ষায়ও একই চিত্র দেখা যায়। তাই সিলেবাস অনুযায়ী বিষয়ভিত্তিক সাধারণজ্ঞানে দখল বাড়াতে আজই সংগ্রহ করুন বইটি। কারণ সাধারণজ্ঞানে দীর্ঘদিন ধরে প্রস্তুতি নিতে হয়। তবেই পুরোপুরি দখলে রাখা সম্ভব। এছাড়া আপনার যে বিষয়ে বেশি জোড় দিতে হবে সেটা দিয়েও প্রস্তুতি শুরু করতে পারেন।",ম্যাট্রিক্স এমপি থ্রী বাংলাদেশ (বাংলাদেশ),"ডা. মোহাম্মদ শাখাওয়াত হোসেন,ড. মোঃ শাহাদাত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স, ,"33th Edition,2021-January",1036,বাংলাদেশ,বাংলা
ম্যাট্রিক্স এমপি থ্রী আন্তর্জাতিক (সাধারণ জ্ঞান),ডা. মোহাম্মদ শাখাওয়াত হোসেন,TK. 620,TK. 434,https://rokomari.com//book/71779/matrix-mp3-international--general-knowledge-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a0689419_71779.jpg,অন্যান্য বিষয়গুলোর প্রস্তুতি কিছুটা শেষ হয়ে এলেও সাধারণ জ্ঞান পরীক্ষা দিতে যাওয়ার আগ পর্যন্ত পড়তে হয়। কারণ এর বিস্তৃতি এত বেশি যে শেষ করা কঠিন। তবুও বিভিন্ন প্রশ্ন ও সাজেশন থেকে কিছুটা ধারণা করা যায়। সেই সাথে খোঁজ রাখতে হয় বর্তমান দিনকালের। আর হ্যা সাধারণ জ্ঞানের প্রস্তুতি কিন্তু শেষে নিলে চলবে না শুরু করতে হবে এখন থেকেই। একটু একটু করে এগোতে হলে এখনই ক্লিক (লিংক) করে অর্ডার করে ফেলতে হবে...,ম্যাট্রিক্স এমপি থ্রী আন্তর্জাতিক (সাধারণ জ্ঞান),"ডা. মোহাম্মদ শাখাওয়াত হোসেন,ড. মোঃ শাহাদাত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স,9789843332861,"33th Edition,2021-January",680,বাংলাদেশ,বাংলা
Matrix MP3 Math Review,ডা. মোহাম্মদ শাখাওয়াত হোসেন,TK. 620,TK. 403,https://rokomari.com//book/71776/matrix-mp3-math-review,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7beef50e_71776.jpg,"ডা. মোহাম্মদ শাখাওয়াত হোসেন এর গণিত বিষয়ক বই এমপি থ্রী ম্যাথ রিভিউ বইটি স্থান করে নিয়েছে সকল চাকুরী প্রত্যাশীদের মনে এবং পড়ার টেবিলে।
প্রতিটা চাকরী প্রত্যাশীদের যদি একটা বই দিয়ে গণিত প্রাকটিস করা শুরু করেন তাহলে এই বইটি তাদের লিস্টে অবশ্যই থাকবে।
এখন প্রশ্ন উঠতে পারে, এই বইটি কেন এত জনপ্রিয় এবং কেন এতটা গুরুত্বপুর্ণ??
গণিত ভাষা বিষয়ক এমপি থ্রী ম্যাথ রিভিউ নামের এই বইটি তার অনবদ্য ভূমিকা রেখে চলছে সকল পরিক্ষায়। বিশেষ করে বিসিএস প্রিলিমিনারি, বিশ্ববিদ্যালয় ভর্তি, মেডিক্যাল, ডেন্টাল, শিক্ষক নিয়োগ, ব্যাংক নিয়োগ, শিক্ষক নিবন্ধন সহ বিভিন্ন মন্ত্রণালয়ে নিয়োগ পরিক্ষায় এই ডা. মোহাম্মদ শাখাওয়াত হোসেন এর এমপি থ্রী ম্যাথ রিভিউ বইটি শিক্ষার্থীদের জন্য খুবই উপযোগী।
কোন প্রশ্ন কতসালে কোন পরীক্ষায় এসেছে তার বিস্তারিত দেওয়া, প্রাকটিসের জন্য প্রশ্ন, কেন এবং কিভাবে হয় তার বিস্তারিত পাওয়া অনেক বইয়ে অসম্ভব যা এই বইয়ের একটা স্ট্রং পয়েন্ট।
ডা. মোহাম্মদ শাখাওয়াত হোসেন এমপি থ্রী ম্যাথ রিভিউ বইটি শিক্ষার্থীদের সুবিধার্থে ৫টি ভাগে বিভক্ত করেছেন- পাটিগণিত, বীজগণিত, জ্যামিতি, বিসিএস প্রশ্নত্তোর ও সমাধান এবং সবশেষে বিসিএস সিলেবাস অনু্যায়ী সূচি বইটি সকল শিক্ষার্থীদের জন্য সহল ও সাবলীল ভাবে সাজানো হয়েছে।
তাই মিস করবেন কেন? নিজেকে এখনি প্রস্তুত করে তুলুন।",Matrix MP3 Math Review,"Dr. Mohammad Shakhawat Hossain,Dr. Md. Shahadat Hossain", , ,MP3 Publications,9789843332854,"31th Edition,2021-January",964,Bangladesh,English
ম্যাট্রিক্স এমপি থ্রী : কম্পিউটার ও তথ্য প্রযুক্তি,ড. মোঃ সাখাওয়াত হোসেন,TK. 380,TK. 236,https://rokomari.com//book/183828/matrix-mp3---computer-o-tothy-projukti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/892ed52ef_183828.jpg,"বেশি সহজ ভেবে বিসিএসটা না মিস হয় আবার!!! 

কম্পিউটার ও তথ্য প্রযুক্তি জ্ঞানের দিক দিয়ে আমরা এগিয়ে যাচ্ছি বিশ্বে কিন্তু পরীক্ষা গুলোতে আমরা পিছিয়ে যাচ্ছি। এই জন্য হয়তো শিক্ষা ব্যবস্থায় হাইস্কুল থেকেই ""কম্পিউটার ও তথ্য প্রযুক্তি"" রাখা হয়েছে। কিন্তু বিষয়টা এখন এতটাই গুরুত্বপূর্ণ যে , বিসিএস , ব্যাংক বা যেকোন জবের পরীক্ষা সহ বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষা গুলোতে এটা রাখা হয়েছে। কম্পিউটার এমন এক মাধ্যমে পরিণত হয়েছে একে ছাড়া আমাদের চলা যেমন যাবে না তেমনি একে নিয়ে জ্ঞানেরও কোন শেষ নেই। জব মার্কেট এর কথা ভেবেই এমপি থ্রি খুব সুন্দর ও সহজ ভাষায় নিয়ে এসেছে ""কম্পিউটার ও তথ্য প্রযুক্তি""।",ম্যাট্রিক্স এমপি থ্রী : কম্পিউটার ও তথ্য প্রযুক্তি,"ড. মোঃ সাখাওয়াত হোসেন,ড. মোঃ শাহাদাত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স, ,"10th Edition,2021-January",448,বাংলাদেশ,বাংলা
ম্যাট্রিক্স এমপি থ্রি দৈনন্দিন বিজ্ঞান,ডা. মোহাম্মদ শাখাওয়াত হোসেন,TK. 570,TK. 399,https://rokomari.com//book/123354/matrix-mp3---doinindin-biggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2b9a142c6_123354.jpg,"",ম্যাট্রিক্স এমপি থ্রি দৈনন্দিন বিজ্ঞান,"ডা. মোহাম্মদ শাখাওয়াত হোসেন,ড. মোঃ শাহাদাত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স,9789843332878,"32th Edition,2021-January",778,বাংলাদেশ,বাংলা
ম্যাট্রিক্স এমপি থ্রী বাংলা ,ডা. মোহাম্মদ শাখাওয়াত হোসেন,TK. 460,TK. 391,https://rokomari.com//book/183951/matrix-mp3-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/50d66dfa6_183951.jpg,"",ম্যাট্রিক্স এমপি থ্রী বাংলা,"ডা. মোহাম্মদ শাখাওয়াত হোসেন,ড. মোঃ শাহাদাত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স,9789843332885,"32th Edition,2021",948,বাংলাদেশ,বাংলা
"ম্যাট্রিক্স এমপি থ্রি নৈতিকতা, মূল্যবোধ ও সুশাসন",ড. মোঃ সাখাওয়াত হোসেন,TK. 210,TK. 147,https://rokomari.com//book/183826/matrix-mp3--noitikota-mullobodh-o-sushason,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/793aa9098_183826.jpg,"","ম্যাট্রিক্স এমপি থ্রি নৈতিকতা,মূল্যবোধ ও সুশাসন","ড. মোঃ সাখাওয়াত হোসেন,ড. মোঃ শাহাদাত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স, ,"9th Edition,2021",181,বাংলাদেশ,বাংলা
ম্যাট্রিক্স এমপি থ্রি মানসিক দক্ষতা,ড. মোঃ শাহাদাত হোসেন,TK. 380,TK. 247,https://rokomari.com//book/202339/matrix-mp3-mental-skill,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a6f40440_202339.jpg,"",ম্যাট্রিক্স এমপি থ্রি মানসিক দক্ষতা,"ড. মোঃ শাহাদাত হোসেন,ড. মোঃ সাখাওয়াত হোসেন", , ,এমপি থ্রি পাবলিকেশন্স, ,"12th Edition,2021-January",584,বাংলাদেশ,বাংলা
ম্যাট্রিক্স স্বাস্থ্য ও পরিবার পরিকল্পনা নিয়োগ সহায়িকা,ড. মোঃ সাখাওয়াত হোসেন,TK. 620,TK. 372,https://rokomari.com//book/206824/matrix-sastho-o-poribar-porikolpona-niyog-sohayika--health-and-family-planning-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eea599444_206824.jpg,It is an exclusive book for exam. related to health and family planning.,ম্যাট্রিক্স স্বাস্থ্য ও পরিবার পরিকল্পনা নিয়োগ সহায়িকা,ড. মোঃ সাখাওয়াত হোসেন, , ,এমপি থ্রি পাবলিকেশন্স, ,"1st Published,2021",590,বাংলাদেশ,বাংলা
