Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
এক মহারাজার শিকার কাহিনী,মীর ফজলে আহমদ চৌধুরী,TK. 230,TK. 173,https://rokomari.com//book/203608/ak-moharajar-shiker-kahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/be4f7355a_203608.jpg,"",এক মহারাজার শিকার কাহিনী,মীর ফজলে আহমদ চৌধুরী, , ,মৃদুল প্রকাশন,9789848910399,"1st Published,2016",128,বাংলাদেশ,বাংলা
সাংবাদিকতা ও জনযোগাযোগ,মোহাম্মদ শাহজাহান সিরাজী,TK. 280,TK. 210,https://rokomari.com//book/203604/sangbadikata-o-janajogajog,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2de7527a5_203604.jpg,"",সাংবাদিকতা ও জনযোগাযোগ,মোহাম্মদ শাহজাহান সিরাজী, , ,মৃদুল প্রকাশন,9789848910030,"2nd Published,2020",192,বাংলাদেশ,বাংলা
বাড়ির পাশে বিদেশ,মাহবুব আলম-১,TK. 150,TK. 113,https://rokomari.com//book/203611/barir-pase-bidesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/06aa76231_203611.jpg,"",বাড়ির পাশে বিদেশ,মাহবুব আলম-১, , ,মৃদুল প্রকাশন,9847021900008,"1st Published,2008",128,বাংলাদেশ,বাংলা
অন্য রকম,মজনু-নুল হক,TK. 490,TK. 343,https://rokomari.com//book/211054/onno-rokom,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/17c9655d9_211054.jpg,"",অন্য রকম,মজনু-নুল হক, , ,মৃদুল প্রকাশন,9789848910610,"1st Published,2021",400,বাংলাদেশ,বাংলা
চীন থেকে ফিরে,রাশেদ খান মেনন,TK. 100,TK. 75,https://rokomari.com//book/203722/chin-theke-feere,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d9f332aca_203722.png,"",চীন থেকে ফিরে,রাশেদ খান মেনন, , ,মৃদুল প্রকাশন,9789848910047,"1st Published,2010",72,বাংলাদেশ,বাংলা
সাক্ষাৎকার,এম. সহিদুল ইসলাম,"",TK. 300,https://rokomari.com//book/203303/shakkhatker,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5a77fb9e3_203303.jpg,"",সাক্ষাৎকার, , ,এম. সহিদুল ইসলাম,মৃদুল প্রকাশন,9843207305,"1st Published,2005",300,বাংলাদেশ,বাংলা
খাদ্যে সন্ত্রাস,প্রফেসর আ ব ম ফারুক,TK. 200,TK. 190,https://rokomari.com//book/203304/khadye-sontras,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/93731141e_203304.jpg,"",খাদ্যে সন্ত্রাস,প্রফেসর আ ব ম ফারুক, , ,মৃদুল প্রকাশন,9847021900015,"1st Published,2009",150,বাংলাদেশ,বাংলা
এখন যেও না একটু পরে বৃষ্টি হবে,বোরহানউদ্দিন খান জাহাঙ্গীর,"",TK. 100,https://rokomari.com//book/203305/akhon-jeo-na-akto-pore-bristi-hobe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/47488b3bc_203305.jpg,"",এখন যেও না একটু পরে বৃষ্টি হবে,বোরহানউদ্দিন খান জাহাঙ্গীর, , ,মৃদুল প্রকাশন,9847021900039,"1st Published,2009",32,বাংলাদেশ,বাংলা
টিউলিপ,নেলীহক,"",TK. 20,https://rokomari.com//book/203610/tulip,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0aae83aa9_203610.jpg,"",টিউলিপ,নেলীহক, , ,মৃদুল প্রকাশন, ,"1st Published,1986",40,বাংলাদেশ,বাংলা
থ্যাংকস ফারাক্কা পাট ভেজাবো ওয়াসার পানিতে,জাহিদ কামাল,TK. 50,TK. 48,https://rokomari.com//book/203612/thanks-farakka-pat-vejabo-wasar-panite,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c5b2629f2_203612.jpg,"",থ্যাংকস ফারাক্কা পাট ভেজাবো ওয়াসার পানিতে,জাহিদ কামাল, , ,মৃদুল প্রকাশন,9789848910139,"2nd Published,2011",64,বাংলাদেশ,বাংলা
মানুষের আর লুকাবার কিছু নেই,জাহিদ কামাল,"",TK. 50,https://rokomari.com//book/203649/manusher-ar-lukaber-kisu-nei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/359487eb3_203649.jpg,"",মানুষের আর লুকাবার কিছু নেই,জাহিদ কামাল, , ,মৃদুল প্রকাশন,9789848910115,"1st Published,2011",52,বাংলাদেশ,বাংলা
লক্ষ্যহীন অভিযাত্রা,এম. সহিদুল ইসলাম,TK. 100,TK. 75,https://rokomari.com//book/203606/lokkhyyahin-ovijatra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f29bdccd1_203606.jpg,"",লক্ষ্যহীন অভিযাত্রা,এম. সহিদুল ইসলাম, , ,মৃদুল প্রকাশন, ,"1st Published,2007",64,বাংলাদেশ,বাংলা
বাংলাদেশের অর্থনীতি সংকট সম্ভাবনা সমৃদ্ধি,কাওসার রহমান,TK. 300,TK. 225,https://rokomari.com//book/203605/bangladesher-orthoniti-sankot-sambhabona-sambridhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/56e6416c8_203605.jpg,"",বাংলাদেশের অর্থনীতি সংকট সম্ভাবনা সমৃদ্ধি,কাওসার রহমান, , ,মৃদুল প্রকাশন,9843228219,"1st Published,2007",272,বাংলাদেশ,বাংলা
একদিন যমুনায়,জীবন ইসলাম,TK. 150,TK. 113,https://rokomari.com//book/203614/akdin-jamunay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8de4fa7cd_203614.jpg,"",একদিন যমুনায়,জীবন ইসলাম, , ,মৃদুল প্রকাশন,9847021900020,"1st Published,2009",64,বাংলাদেশ,বাংলা
অনুভূতি,মোতাসিম বিল্লাহ বাবলু,TK. 100,TK. 75,https://rokomari.com//book/203607/onuvuti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/97b3a402e_203607.jpg,"",অনুভূতি,মোতাসিম বিল্লাহ বাবলু, , ,মৃদুল প্রকাশন,9843230205,"1st Published,2006",64,বাংলাদেশ,বাংলা
