Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ব্যাকরণের ভয় অকারণ,যতীন সরকার,TK. 300,TK. 225,https://rokomari.com//book/95546/bakoron-voy-akaron,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e8f0454ed_95546.jpg,"",ব্যাকরণের ভয় অকারণ,যতীন সরকার, , ,নন্দিত (আজিজ সুপার),9843223317,"1st Published,2015",216,বাংলাদেশ,বাংলা
জালালগীতিকা সমগ্র,যতীন সরকার,TK. 670,TK. 503,https://rokomari.com//book/110223/jalalgitika-samagra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b423d5ab7de4_110223.gif,"",জালালগীতিকা সমগ্র,"যতীন সরকার,জালাল উদ্দীন খাঁ", ,যতীন সরকার,নন্দিত (আজিজ সুপার),9843223332,"2nd Print,2014",454,বাংলাদেশ,বাংলা
আরজ আলী মাতুব্বর চিন্তাজগৎ,মোহাম্মদ আলী,TK. 600,TK. 450,https://rokomari.com//book/66218/aroj-ali-matubbor-chintajogot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_66218.GIF,"",আরজ আলী মাতুব্বর চিন্তাজগৎ, , ,মোহাম্মদ আলী,নন্দিত (আজিজ সুপার), , , ,বাংলাদেশ,বাংলা
হুমায়ূন আজাদের একগুচ্ছ সাক্ষাৎকার,মোহাম্মদ আলী,TK. 140,TK. 105,https://rokomari.com//book/66219/humayun-ajader-akguccho-sakhatkar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_66219.GIF,"",হুমায়ূন আজাদের একগুচ্ছ সাক্ষাৎকার,মোহাম্মদ আলী, , ,নন্দিত (আজিজ সুপার), , , ,বাংলাদেশ,বাংলা
মুক্তিযুদ্ধে আমি ও আমার বাহিনী,আকবর হোসেন,TK. 220,TK. 165,https://rokomari.com//book/66221/muktijudde-ami-o-amar-bahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/73f8cfb35_66221.jpg,"",মুক্তিযুদ্ধে আমি ও আমার বাহিনী,আকবর হোসেন, , ,নন্দিত (আজিজ সুপার),9843223195, ,156,বাংলাদেশ,বাংলা
জীবনানন্দ দাশ আধুনিকতার প্রথম উত্তরসূরী,ইকবাল মাহমুদ,TK. 160,TK. 120,https://rokomari.com//book/66228/jibonanando-dash-adhunikotar-prothom-uttorsuri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_66228.GIF,"",জীবনানন্দ দাশ আধুনিকতার প্রথম উত্তরসূরী,ইকবাল মাহমুদ, , ,নন্দিত (আজিজ সুপার), , , ,বাংলাদেশ,বাংলা
পৃথিবীর কথা : বর্তমান চালচিত্র ও ভবিষ্যৎ রূপরেখা,ড. গোলাম মোরশেদ খান,TK. 300,TK. 225,https://rokomari.com//book/140421/prithibir-kotha---bortoman-chalchitro-o-bhobishot-ruprekha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পৃথিবীর কথা : বর্তমান চালচিত্র ও ভবিষ্যৎ রূপরেখা,ড. গোলাম মোরশেদ খান, , ,নন্দিত (আজিজ সুপার), ,"1st Published,2017", ,বাংলাদেশ,বাংলা
রূপান্তর,হাসান জাহিদ,TK. 100,TK. 75,https://rokomari.com//book/95547/rupantor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রূপান্তর,হাসান জাহিদ, , ,নন্দিত (আজিজ সুপার), ,"1st,2015", ,বাংলাদেশ,বাংলা
ভালো থেকো বেঁচে থাকো,রঞ্জু রহমান,TK. 100,TK. 75,https://rokomari.com//book/95581/valo-theko-beche-thako,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভালো থেকো বেঁচে থাকো,রঞ্জু রহমান, , ,নন্দিত (আজিজ সুপার), ,"1st,2015", ,বাংলাদেশ,বাংলা
এক মুঠো রোদ্দুর,আবু বাশার জাহাঙ্গীর,TK. 100,TK. 75,https://rokomari.com//book/66230/ak-muto-rodur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_66230.GIF,"",এক মুঠো রোদ্দুর,আবু বাশার জাহাঙ্গীর, , ,নন্দিত (আজিজ সুপার), , , ,বাংলাদেশ,বাংলা
