Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কথা উপকথা ,হাবিব আনিসুর রহমান,TK. 170,TK. 128,https://rokomari.com//book/95970/kotha-upokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150217_95970.gif,"",কথা উপকথা,হাবিব আনিসুর রহমান, , ,নান্দনিক,9789849152149,"1st Published,2015",170,বাংলাদেশ,বাংলা
ও ধরিত্রী ও মানুষ,দুলাল সরকার,TK. 250,TK. 188,https://rokomari.com//book/76615/o-doritree-o-manush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ad3dda39_76615.jpg,"",ও ধরিত্রী ও মানুষ,দুলাল সরকার, , ,নান্দনিক, , , ,বাংলাদেশ,বাংলা
দস্তইয়েভস্কির বই এবং কোটিপতির সকাল,জাহেদ সরওয়ার,TK. 140,TK. 105,https://rokomari.com//book/56846/dostyevaskir-boi-abong-kotipotir-sokal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150813_56846.gif,"",দস্তইয়েভস্কির বই এবং কোটিপতির সকাল,জাহেদ সরওয়ার, , ,নান্দনিক,9789848865996,"1st Publication,2012",94,বাংলাদেশ,বাংলা
বাংলাদেশের স্বপ্নে গড়া আমার ছড়া,আসলাম সানী,TK. 150,TK. 105,https://rokomari.com//book/15449/bangladesher-sopne-gora-amar-cora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_15449.gif,"",বাংলাদেশের স্বপ্নে গড়া আমার ছড়া,আসলাম সানী, , ,নান্দনিক,9789848865347,"1st Published,2010",38,বাংলাদেশ,বাংলা
এসো নিজে করি ,চরম উদাস,TK. 250,TK. 213,https://rokomari.com//book/93932/esho-nije-kori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150207_93932.gif,"এসো নিজে করি সিরিজটি ধারাবাহিকভাবে লেখা শুরু করি সচলায়তন ব্লগে। সেখানেই প্রকাশিত এসো নিজে করি’র সাথে আরও নতুন বেশ কয়েকটি এসো নিজে করি যোগ করা হয়েছে এই বইতে। পুরনোগুলোকেও ঘষেমেজে কিছু সংযোজন-বিয়োজন করা হয়েছে।
এসো নিজে করি একটি জ্ঞান বিতরণমূলক সিরিজ। এখানে বিভিন্ন জিনিস কিভাবে করা যায় সেই বিষয়ে জ্ঞান দেয়া হবে। না হে, লেখক প্রাপ্তবয়স্কদের নানা গুপন কায়দাকানুন শিখাতে বসেছেন এই ভেবে খুশিতে জিহবা বের করার কিছু নেই। এখানে জিনিস এবং করা বলতে জিনিস এবং করা বলতে জিনিস এবং করাই বোঝানো হয়েছে। আমি একই জিনিস কিভাবে বিভিন্ন জিনিস কিভাবে বিভিন্নভাবে করা যায় সেটা শিখাতে চাচ্ছে না (বলেন নাউজুবিল্লাহ)। বরং বিভিন্ন জিনিস কিভাবে বিভিন্নভাবে করা যায় সেটা নিয়ে কথা বলার জন্যই এসো নিজে করি সিরিজ খুলেছিলাম। যেমন- কিভাবে লেখালেখি করবেন, কিভাবে পাশের বাড়ির মেয়েটির সাথে প্রেম করবেন, কিভাবে গবেষণা করবেন, কিভাবে ভ্রমণ করবেন, কিভাবে আপনার শাশুড়িকে বশ করবেন ইত্যাদি ইত্যাদি শিক্ষামূলক লেখা। সহজ-সরল জাগতিক শিক্ষার পাশাপাশি আরও থাকছে নানা আধ্যাত্মিক শিক্ষার কায়দাকানুন। যেমন- কিভাবে ত্যানা প্যাঁচাবেন, কিভাবে নরম মানুষ হবেন, কিভাবে স্বর্গে যাবেন ইত্যাদি ইত্যাদি। বলে রাখছে এটি কিন্তু শিক্ষামূলক লেখা! সুতরাং এখানে রস আশা করে পরে ‘হাসতে পারলাম না বলে দুঃখিত’ বলে লেখককে অপমান করার চেষ্টা করবেন না।
সেই সাথে বড় বড় হরফে সতর্কবাণী দিয়ে নিচ্ছি। ব-ই-টি প্রা-প্ত-ম-ন-স্ক-দে-র জ-ন্য। আপনার মন যদি অত্যন্ত কোমল এবং অনুভূতিপ্রবণ হয় তবে এই মুহূর্তি বইটি হাত থেকে ফেলে উল্টো দৌড় দিন। এই বইয়ের নানারকম অদ্ভুত ভাষার ব্যবহার ও নানা রসিকতা আপনাকে আহত করতে পারে। আপনার অনুভূতি যদি গণ্ডারের চামড়ার ন্যায় শক্ত হয় ও মন যদি যেকোনো ভারী বিষয়কে হেসে উড়িয়ে দেয়ার মতো হালকা হয়, তবেই সামনে এগুতে পারেন। অত্যধিক অনুভূতিপ্রবণ মানুষদের জন্য এই বই সম্পূর্ণ নিষেধ।",এসো নিজে করি,চরম উদাস, , ,নান্দনিক,9789849095187,"1st,2015",190,বাংলাদেশ,বাংলা
Moral  Revolution as Political Revolution ,মোঃ জামাল হোসেন,TK. 335,TK. 285,https://rokomari.com//book/93933/moral--revolution-as-political-revolution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150207_93933.gif,"",Moral  Revolution as Political Revolution,Md. Jamal Hossain, , ,Nandonic,9789849095149,"1st,2015",160,Bangladesh,English
আচার্য জগদীশচন্দ্র বসু,কাজী রেহানা মাসুদ,TK. 100,TK. 90,https://rokomari.com//book/77019/achrazo-zagodishchondro-basu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77019.GIF,"",আচার্য জগদীশচন্দ্র বসু,কাজী রেহানা মাসুদ, , ,নান্দনিক, , , ,বাংলাদেশ,বাংলা
অশেষ রবীন্দ্রনাথ ,বিশ্বজিৎ ঘোষ,TK. 320,TK. 272,https://rokomari.com//book/77041/oshesh-rabindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77041.GIF,"",অশেষ রবীন্দ্রনাথ,বিশ্বজিৎ ঘোষ, , ,নান্দনিক, , , ,বাংলাদেশ,বাংলা
মুমুর সাথে সারা দুপুর ,মাকিদ হায়দার ,TK. 100,TK. 90,https://rokomari.com//book/77113/mumur-sathe-sara-dupur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77113.GIF,"",মুমুর সাথে সারা দুপুর,মাকিদ হায়দার, , ,নান্দনিক, , , ,বাংলাদেশ,বাংলা
স্বপ্ন আমার বাঁচবো,নাসিমা আনিস,TK. 160,TK. 141,https://rokomari.com//book/77114/shopno-amar-bachbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140203_77114.GIF,"",স্বপ্ন আমার বাঁচবো,নাসিমা আনিস, , ,নান্দনিক, , , ,বাংলাদেশ,বাংলা
