Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"When Food Is Comfort: Nurture Yourself Mindfully, Rewire Your Brain, and End Emotional Eating",জুলি এম সিমন,"","TK. 2,106",https://rokomari.com//book/168192/when-food-is-comfort--nurture-yourself-mindfully--rewire-your-brain--and-end-emotional-eating,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4be6eaa42_168192.jpg,"","When Food Is Comfort: Nurture Yourself Mindfully,Rewire Your Brain,and End Emotional Eating",Julie M. Simon, , ,New World Library,9781608685509,"1st Edition,2018",304,India,English
Creative Thinkering: Putting Your Imagination to Work,মাইকেল মিচাক,"","TK. 1,890",https://rokomari.com//book/168373/creative-thinkering--putting-your-imagination-to-work,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7b18ccb34_168373.jpg,"",Creative Thinkering: Putting Your Imagination to Work,Michael Michalk, , ,New World Library,9781608680245,"1st Edition,2011",256,India,English
Brain Power: Improve Your Mind as You Age,কেলি হাওয়েল,"","TK. 1,456",https://rokomari.com//book/161369/brain-power--improve-your-mind-as-you-age,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8f154248a_161369.jpg,"",Brain Power: Improve Your Mind as You Age,"Kelly Howell,Michael J. Gelb", , ,New World Library,9781608680733,"1st Edition,2011",256,India,English
"The Three Only Things: Tapping the Power of Dreams, Coincidence, and Imagination",রবার্ট মোস,"","TK. 1,487",https://rokomari.com//book/165143/the-three-only-things--tapping-the-power-of-dreams--coincidence--and-imagination,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e85007037_165143.jpg,"","The Three Only Things: Tapping the Power of Dreams,Coincidence,and Imagination",Robert Moss , , ,New World Library,9781577316633,"Reprint Edition,2009",272,India,English
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,শক্তি গায়েইন,"","TK. 2,306",https://rokomari.com//book/165799/creative-visualization--use-the-power-of-your-imagination-to-create-what-you-want-in-your-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e611d2f76_165799.jpg,"",Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain, , ,New World Library,9781608684649,"40th Anniversary edition,2016",202,India,English
Living in the Light: A Guide to Personal and Planetary Transformation ,লরেল কিং,"","TK. 3,731",https://rokomari.com//book/166961/living-in-the-light--a-guide-to-personal-and-planetary-transformation-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/632b02c84_166961.jpg,"",Living in the Light: A Guide to Personal and Planetary Transformation ,"Laurel King,Shakti Gawain", , ,New World Library,9781577310464,"2nd Revised Edition,1998",224,India,English
Breaking Up with Busy: Real-Life Solutions for Overscheduled Women,ইভন্নে ট্যালি,"","TK. 1,996",https://rokomari.com//book/167008/breaking-up-with-busy--real-life-solutions-for-overscheduled-women,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/735e756f6_167008.jpg,"",Breaking Up with Busy: Real-Life Solutions for Overscheduled Women,Yvonne Tally, , ,New World Library,9781608685257,"1st Edition,2018",216,India,English
"Sidewalk Oracles: Playing with Signs, Symbols, and Synchronicity in Everyday Life",রবার্ট মোস,"","TK. 1,843",https://rokomari.com//book/167356/sidewalk-oracles--playing-with-signs--symbols--and-synchronicity-in-everyday-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4cfc88b27_167356.jpg,"","Sidewalk Oracles: Playing with Signs,Symbols,and Synchronicity in Everyday Life",Robert Moss , , ,New World Library,9781608683369,"1st Edition,2015",288,India,English
The Complete Book of Essential Oils and Aromatherapy,ভ্যালেরি অ্যান অরউড,"","TK. 1,850",https://rokomari.com//book/118232/the-complete-book-of-essential-oils-and-aromatherapy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3286908d0654_118232.gif,"",The Complete Book of Essential Oils and Aromatherapy,Valerie Ann Worwood, , ,New World Library,9780931432828,"1st Edition,1991",448,India,English
"Reset Your Child's Brain: A Four-Week Plan to End Meltdowns, Raise Grades, and Boost SoReset Your Child's Brain: A Four-Week Plan to End Meltdowns, Raise Grades, and Boost Social Skills by Reversing the Effects of Electronic Screen-Time",ভিক্টোরিয়া এল. ডাঙ্কলি,"","TK. 2,394",https://rokomari.com//book/133130/reset-your-child-s-brain--a-four-week-plan-to-end-meltdowns--raise-grades--and-boost-soreset-your-child-s-brain--a-four-week-plan-to-end-meltdowns--raise-grades--and-boost-social-skills-by-reversing-the-effects-of-electronic-screen-time,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/72102e618d34_133130.jpg,"","Reset Your Child's Brain: A Four-Week Plan to End Meltdowns,Raise Grades,and Boost SoReset Your Child's Brain: A Four-Week Plan to End Meltdowns,Raise Grades,and Boost Social Skills by Reversing the Effects of Electronic Screen-Time",Victoria L. Dunckley, , ,New World Library,9781608682843,"1st Edition,2015", ,India,English
"Know Yourself, Forget Yourself: The Paradoxical Path to Increasing Effectiveness, Awakening Joy, and Discovering Your Life's Purpose",মার্ক লেজার,"","TK. 1,462",https://rokomari.com//book/135890/know-yourself--forget-yourself--the-paradoxical-path-to-increasing-effectiveness--awakening-joy--and-discovering-your-life-s-purpose,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/deb655603ba4_135890.jpg,"","Know Yourself,Forget Yourself: The Paradoxical Path to Increasing Effectiveness,Awakening Joy,and Discovering Your Life's Purpose",Marc Lesser, , ,New World Library,9781608680818,"1st Edition,2013",278,India,English
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer ",হেলেন সেগুরা,"","TK. 1,694",https://rokomari.com//book/132150/the-inefficiency-assassin--time-management-tactics-for-working-smarter--not-longer-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff886613ab04_132150.jpg,"","The Inefficiency Assassin: Time Management Tactics for Working Smarter,Not Longer ",Helene Segura, , ,New World Library,9781608684007,"1st Edition,2016",312,India,English
"Less: Do Less, Accomplish More, and Transform Busyness into Composure and Results",মার্ক লেজার,"","TK. 1,625",https://rokomari.com//book/132161/less--do-less--accomplish-more--and-transform-busyness-into-composure-and-results,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a04627b85924_132161.jpg,"","Less: Do Less,Accomplish More,and Transform Busyness into Composure and Results",Marc Lesser, , ,New World Library,9781577316176,"1st Edition,2009",224,India,English
Get it Done: From Procrastination to Creative Genius in 15 Minutes a Day,স্যাম বেনেট,"","TK. 2,079",https://rokomari.com//book/132222/get-it-done--from-procrastination-to-creative-genius-in-15-minutes-a-day,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/caea3ccc1d74_132222.jpg,"",Get it Done: From Procrastination to Creative Genius in 15 Minutes a Day,Sam Bennett, , ,New World Library,9781608682102,"1st Edition,2013", ,India,English
Stillness Speaks,একার্ট টোলে,"","TK. 1,121",https://rokomari.com//book/153164/stillness-speaks,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/451465cb0_153164.jpg,"",Stillness Speaks,Eckhart Tolle, , ,New World Library,9781577314004,"1st Edition,1980",129,India,English
The Power of Now: A Guide to Spiritual Enlightenment,একার্ট টোলে,"","TK. 1,798",https://rokomari.com//book/133564/the-power-of-now--a-guide-to-spiritual-enlightenment,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f1ad2d2b2d14_133564.jpg,"",The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle, , ,New World Library,9781577314806,"Reprint edition,2004",251,India,English
