Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গৌড়ভারত ও চান্দাল মহাবংশ প্রসঙ্গ,সমেরেন্দ্রনাথ বৈদ্য,"",TK. 630,https://rokomari.com//book/171476/gourbharot-o-chandal-mohabongsho-prosong,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গৌড়ভারত ও চান্দাল মহাবংশ প্রসঙ্গ,সমেরেন্দ্রনাথ বৈদ্য, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2009, ,ভারত,বাংলা
উজানতলীর উপকথা,কপিলকৃষ্ণ ঠাকুর,"",TK. 180,https://rokomari.com//book/171512/ujantolir-upokotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",উজানতলীর উপকথা,কপিলকৃষ্ণ ঠাকুর, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2011, ,ভারত,বাংলা
রবীন্দ্রনাথ ও টাউন হলে সাহিত্য সম্মেলন,ড. অমরনাথ করণ,"",TK. 270,https://rokomari.com//book/171515/robindronath-o-town-hole-sahityo-sommelon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথ ও টাউন হলে সাহিত্য সম্মেলন,ড. অমরনাথ করণ, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2012, ,ভারত,বাংলা
প্রথম কান্না,বীরেন চট্টোপাধ্যায়,"",TK. 108,https://rokomari.com//book/171516/prothom-kanna,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রথম কান্না,বীরেন চট্টোপাধ্যায়, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2013, ,ভারত,বাংলা
তবুও আশা,শিখা দাস,"",TK. 90,https://rokomari.com//book/171517/tobuo-asha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তবুও আশা,শিখা দাস, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2013, ,ভারত,বাংলা
সাহিত্য-সম্মেলন পরিক্রমা,সুনীলময় ঘোষ,"",TK. 540,https://rokomari.com//book/171518/sahityo-sommelon-porikroma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাহিত্য-সম্মেলন পরিক্রমা,সুনীলময় ঘোষ, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2013, ,ভারত,বাংলা
যত ভাবনা ছিল,করবী হাজরা,"",TK. 135,https://rokomari.com//book/171519/joto-bhabona-chilo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যত ভাবনা ছিল,করবী হাজরা, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2015, ,ভারত,বাংলা
শঙ্খ শব্দ,বীরেন চট্টোপাধ্যায়,"",TK. 270,https://rokomari.com//book/171521/shongkho-shobdo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শঙ্খ শব্দ,বীরেন চট্টোপাধ্যায়, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2015, ,ভারত,বাংলা
মরমী স্বপ্ন,শিখা দাস,"",TK. 225,https://rokomari.com//book/171522/moromi-swapno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মরমী স্বপ্ন,শিখা দাস, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2016, ,ভারত,বাংলা
বাংলায় বৌদ্ধধর্ম,ব্রহ্মানন্দ প্রতাপ বরুয়া,"",TK. 540,https://rokomari.com//book/171524/banglay-boudhodhormo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলায় বৌদ্ধধর্ম,ব্রহ্মানন্দ প্রতাপ বরুয়া, , ,নিখিল ভারত বঙ্গ সাহিত্য সম্মেলন (ভারত), ,2013, ,ভারত,বাংলা
