Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
স্পর্শের বাইরে,মিলি হক,TK. 150,TK. 105,https://rokomari.com//book/207934/sporsher-baire,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7ceced175_207934.jpg,"",স্পর্শের বাইরে,মিলি হক, , ,নোলক প্রকাশন,9789849475798,"1st Published,2021",47,বাংলাদেশ,বাংলা
অসম্পূর্ণ সত্তা,আদেল পারভেজ,TK. 250,TK. 175,https://rokomari.com//book/195714/asompurno-sotta,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b75763e37_195714.jpg,"",অসম্পূর্ণ সত্তা,আদেল পারভেজ, , ,নোলক প্রকাশন,9789849402596,"1st Published,2020",112,বাংলাদেশ,বাংলা
সুইসাইড নোট প্রেমপত্র হোক,রফিকুল নাজিম,TK. 200,TK. 140,https://rokomari.com//book/195805/suicide-note-prempatro-hok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bbc6dbcad_195805.jpg,"",সুইসাইড নোট প্রেমপত্র হোক,রফিকুল নাজিম, , ,নোলক প্রকাশন,9789849402664,"1st Published,2020",80,বাংলাদেশ,বাংলা
বেদনার জীবন,ইয়াছিন আলী,TK. 150,TK. 113,https://rokomari.com//book/180159/bedonar-jibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4f6191477_180159.jpg,"",বেদনার জীবন,ইয়াছিন আলী, , ,নোলক প্রকাশন,9789849375890,"1st Published,2019",64,বাংলাদেশ,বাংলা
কাঁটাতারের কারাগার,ইখতিয়ার হুসাইন,TK. 150,TK. 105,https://rokomari.com//book/196089/katatarer-karagar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e51059f9_196089.jpg,"",কাঁটাতারের কারাগার,ইখতিয়ার হুসাইন, , ,নোলক প্রকাশন,9789849402930,"1st Published,2020",64,বাংলাদেশ,বাংলা
নীল পাখির চিলেকোঠা,সালমা বিনতে শামছ,TK. 200,TK. 140,https://rokomari.com//book/196070/nil-pakhir-chilekotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/851b3ca14_196070.jpg,"",নীল পাখির চিলেকোঠা,সালমা বিনতে শামছ, , ,নোলক প্রকাশন,9789849402688,"1st Published,2020",80,বাংলাদেশ,বাংলা
রবীন্দ্রনাথের সেই কলম,রফিকুল ইসলাম প্রিন্স,TK. 200,TK. 150,https://rokomari.com//book/180196/robindronather-sei-kolom,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/19971d3f3_180196.jpg,"",রবীন্দ্রনাথের সেই কলম,রফিকুল ইসলাম প্রিন্স, , ,নোলক প্রকাশন,9789849402602,"1st Published,2019",80,বাংলাদেশ,বাংলা
যাযাবরের আত্মকাহিনি,ওয়াহিদুজ্জামান আকন্দ,TK. 200,TK. 140,https://rokomari.com//book/196076/jajaborer-attokahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d0d7f85d0_196076.jpg,"",যাযাবরের আত্মকাহিনি,ওয়াহিদুজ্জামান আকন্দ, , ,নোলক প্রকাশন,9789849402718,"1st Published,2020",80,বাংলাদেশ,বাংলা
ক্রমাগত ভাঙন থেকে,সুরঞ্জিত বাড়ই,TK. 150,TK. 105,https://rokomari.com//book/196625/kromagoto-vangon-theke,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4822bcfe7_196625.jpg,"",ক্রমাগত ভাঙন থেকে,সুরঞ্জিত বাড়ই, , ,নোলক প্রকাশন,9789849402923,"1st Published,2020",48,বাংলাদেশ,বাংলা
শূন্যতা থাকুক তুমিতে,তানভীন সুইট,TK. 150,TK. 105,https://rokomari.com//book/196069/shannota-thakuk-tumite,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/82a66ee8a_196069.jpg,"",শূন্যতা থাকুক তুমিতে,তানভীন সুইট, , ,নোলক প্রকাশন,9789849402794,First edition,64,বাংলাদেশ,বাংলা
