Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Cure Cancer with Urine Therapy: SHIVAMBU,জগদীশ আর ভুরানী,"",TK. 630,https://rokomari.com//book/204426/cure-cancer-with-urine-therapy--shivambu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/114f8ed66_204426.jpg,"",Cure Cancer with Urine Therapy: SHIVAMBU,Jagdish R Bhurani, , ,Notion Press (India),9781646508167,"1st Published,2019",85,India,English
"Three Novels (Taliban, Freedom Struggles and a Flatterer)",মোস্তফা কামাল,"",TK. 628,https://rokomari.com//book/174249/three-novels--taliban--freedom-struggles-and-a-flatterer-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8d2529e41_174249.jpg,"Taliban, Pak Colonel and a Young Lady The prophetic prudence of the novelist has come true in the recent turmoil of Pakistan. In this novel, he has depicted the obvious historical consequences of a country that has indulged in letting fanaticism sprawl wayward. One has to take a longer look at the history of a country to find traces of such things. The horror that was committed in Pakistan, on the 16th of December 2014, is foreshadowed in this novel. The setting of this novel has been appropriately handpicked. The hugger-mugger state of politics in Pakistan has proved detrimental to its populace. Flaming Eventide This is about the freedom struggles in Bangladesh and their aftermath. It shows how opportunists became powerful and then misruled the country. This is a story of how a freedom-fighter family was made victim by the anti-liberation forces. The Flatterer This is a satirical novel. Flattery is art used by shrewd and less competent people to gain worldly ends. They use it as a ladder to go higher up. They try to satisfy their bosses with words of praise and show excessive modesty that goes beyond usual human behavior, making it look odd. Yet, this seems to take center stage in office decorum everywhere.","Three Novels (Taliban,Freedom Struggles and a Flatterer)",Mostofa Kamal, , ,Notion Press (India),9781644292099,"1st Edition,2018",316,India,English
Secrets of Divine Love,এ. হেলওয়া,"","TK. 1,078",https://rokomari.com//book/202921/secrets-of-divine-love,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f0cee7320_202921.jpg,"",Secrets of Divine Love,A. Helwa, , ,Notion Press (India),9781734231205,"1st Published,2020",384,India,English
Credit Appraisal and Analysis Of Financial Statements: A Hand Book For Bankers And Finance Managers,আর কে গুপ্ত,"",TK. 898,https://rokomari.com//book/192471/credit-appraisal-and-analysis-of-financial-statements--a-hand-book-for-bankers-and-finance-managers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4492e6fe8_192471.jpg,"",Credit Appraisal and Analysis Of Financial Statements: A Hand Book For Bankers And Finance Managers,"R.K.Gupta,Himanshu Gupta", , ,Notion Press (India),9781947586062,"1st Edition,2017",364,India,English
The World of Bonsai : Small is Beautiful,লেজু কুরুভিল্লা,"","TK. 2,340",https://rokomari.com//book/164819/the-world-of-bonsai---small-is-beautiful,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a18a620a1_164819.jpg,"",The World of Bonsai : Small is Beautiful,Lyju Kuruvilla, , ,Notion Press (India),9781946515957,"1st Edition,2017",288,India,English
Factoring :A Powerful Tool in the World of Finance,অরভিন্দ সনমেল,"",TK. 844,https://rokomari.com//book/124934/factoring--a-powerful-tool-in-the-world-of-finance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f4f40fd17_124934.jpg,"",Factoring :A Powerful Tool in the World of Finance,"Arvind Sonmale,Partho H. Chakraborty", , ,Notion Press (India),9789384878016,"1st Edition,2015",316,India,English
Innovation Ecosystem in India,রাম ইয়ের,"","TK. 1,213",https://rokomari.com//book/203208/innovation-ecosystem-in-india,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6652c547e_203208.jpg,"",Innovation Ecosystem in India,Rama Iyer, , ,Notion Press (India),9781647336622,"1st Published,2019",82,USA,English
Pearls of Vedic Wisdom to Succeed,ভেনুগোপাল সিভি,"",TK. 538,https://rokomari.com//book/174541/pearls-of-vedic-wisdom-to-succeed,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de0f9f088_174541.jpg,"",Pearls of Vedic Wisdom to Succeed,"Venugopala CV,Arun Kumar,Dr Yogi Devaraj", , ,Notion Press (India),9781644290668,"1st Edition,2018",194,India,English
Sizzling Soft Skills for Spectacular Success,পি. ‍আমির আলী,"",TK. 405,https://rokomari.com//book/205049/sizzling-soft-skills-for-spectacular-success,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/515599704_205049.jpg,"",Sizzling Soft Skills for Spectacular Success,P. Ameer Ali, , ,Notion Press (India),9781947137332,"1st Edition,2017",148,India,English
Working Capital Management and Finance,হিমাংশু গুপ্ত,"",TK. 896,https://rokomari.com//book/205899/working-capital-management-and-finance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2f607c387_205899.jpg,"",Working Capital Management and Finance,"Himanshu Gupta,R.K.Gupta", , ,Notion Press (India),9781645875543,"1st Edition,2019",388,India,English
Last Page: A Horror Love Story,সঞ্জয় কুমার ,"",TK. 293,https://rokomari.com//book/172271/last-page--a-horror-love-story,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da4800ef4_172271.jpg,"",Last Page: A Horror Love Story,Sanjay Kumar, , ,Notion Press (India),9789352066834,"1st Edition,2016",146,India,English
What Life Is All About?,জে ইউভানেশ,"",TK. 358,https://rokomari.com//book/170564/what-life-is-all-about-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c95e55136_170564.jpg,"",What Life Is All About?,J Yuvanesh, , ,Notion Press (India),9781643244532,"1st Edition,2018",150,India,English
How to Develop a 'Never Give Up' Attitude,ডক্টর হার্দিক জোশী,"",TK. 351,https://rokomari.com//book/170926/how-to-develop-a--never-give-up--attitude,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e3c530514_170926.jpg,"",How to Develop a 'Never Give Up' Attitude,Dr Hardik Joshi, , ,Notion Press (India),9781946390448,"1st edition,2016",126,India,English
Soldiering: A Life on the Edge,পি এস গোথ্রা,"",TK. 342,https://rokomari.com//book/173898/soldiering--a-life-on-the-edge,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e88531053_173898.jpg,"",Soldiering: A Life on the Edge,P S Gothra, , ,Notion Press (India),9781642497342,"1st Edition,2018",192,India,English
