Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
খেলাধুলার আইন কানুন,আবদুল হামিদ,TK. 350,TK. 263,https://rokomari.com//book/43904/kheladular-aine-kanun,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d0e695e35_43904.jpg,"",খেলাধুলার আইন কানুন, , ,আবদুল হামিদ,নওরোজ সাহিত্য ‍সংসদ,9789849263777,"10th Published,2017",647,বাংলাদেশ,বাংলা
গৃহিনীদের জানা অজানা,সবিতা রায় সরকার,TK. 75,TK. 56,https://rokomari.com//book/43897/grihinider-jana-ojana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_43897.GIF,"",গৃহিনীদের জানা অজানা,সবিতা রায় সরকার, , ,নওরোজ সাহিত্য ‍সংসদ, , , ,বাংলাদেশ,বাংলা
গ্রিক দর্শনের ইতিহাস,ড. রশীদুল আলম,TK. 300,TK. 225,https://rokomari.com//book/34706/grik-dorshoner-itihash,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_34706.GIF,"",গ্রিক দর্শনের ইতিহাস,"ড. রশীদুল আলম,ডব্লু. টি. স্টেস",ড. রশীদুল আলম, ,নওরোজ সাহিত্য ‍সংসদ,9843110196,"1st Published,2006",288,বাংলাদেশ,বাংলা
গণহত্যা ৭১,তপন কুমার দে,TK. 500,TK. 350,https://rokomari.com//book/9538/gonohatta-71,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/885816831_9538.jpg,"",গণহত্যা ৭১,তপন কুমার দে, , ,নওরোজ সাহিত্য ‍সংসদ,978984926791,"3rd Printed,2019",461,বাংলাদেশ,বাংলা
তুমি  জিতবেই,মনজুর এইচ,TK. 160,TK. 120,https://rokomari.com//book/115721/tumi-zitbei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cea9d5f3feb4_115721.gif,"",তুমি  জিতবেই,মনজুর এইচ, , ,নওরোজ সাহিত্য ‍সংসদ,9789849184881,"1st Published,2016",124,বাংলাদেশ,বাংলা
কালো মেঘের ভেলা,নির্মলেন্দু গুণ,TK. 120,TK. 90,https://rokomari.com//book/129712/kalo-megher-vela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/095c7cab82e4_129712.jpg,"",কালো মেঘের ভেলা,নির্মলেন্দু গুণ, , ,নওরোজ সাহিত্য ‍সংসদ,9789849263715,"1st Published,2017",64,বাংলাদেশ,বাংলা
কঙ্কাল মামা,রকিব হাসান,TK. 100,TK. 75,https://rokomari.com//book/153462/kongkal-mama,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a9a6e87fe_153462.jpg,"",কঙ্কাল মামা,রকিব হাসান, , ,নওরোজ সাহিত্য ‍সংসদ,9789849309338,"1st Published,2018",48,বাংলাদেশ,বাংলা
হাতের কাছেই রূপের যাদু,আখতার শাহীমা হক সোমা,TK. 100,TK. 75,https://rokomari.com//book/43893/hater-kachei-ruper-jadu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_43893.GIF,"",হাতের কাছেই রূপের যাদু, , ,আখতার শাহীমা হক সোমা,নওরোজ সাহিত্য ‍সংসদ,9843109600,"1st Published,2001",184,বাংলাদেশ,বাংলা
বঙ্গবন্ধুর বাংলাদেশ ,সিকদার আবুল বাশার,TK. 100,TK. 70,https://rokomari.com//book/9510/bongobondhuer-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/441cb90c3e74_9510.gif,"",বঙ্গবন্ধুর বাংলাদেশ,সিকদার আবুল বাশার, , ,নওরোজ সাহিত্য ‍সংসদ, ,"3rd Print,2014",80,বাংলাদেশ,বাংলা
প্রসঙ্গ : পরিবেশ ও মানব ক্যান্সার পলিথিন,হারুন-আর-রশিদ   ,TK. 125,TK. 88,https://rokomari.com//book/34015/prosongo---poribesh-o-manob-cansar-polithin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/232d79c9a_34015.jpg,"",প্রসঙ্গ : পরিবেশ ও মানব ক্যান্সার পলিথিন,হারুন-আর-রশিদ, , ,নওরোজ সাহিত্য ‍সংসদ,9843109899,"1st Published,2002",152,বাংলাদেশ,বাংলা
