Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মিস মারপল,আগাথা ক্রিস্টি,"",TK. 540,https://rokomari.com//book/125844/miss-marple,"",মিস মারপল,আগাথা ক্রিস্টি,"সৌরেন দত্ত,কিংশুক চট্টোপাধ্যায়,অলোককুমার সেন", ,এ পি পি (ভারত), ,"1st Published,2014",392,ভারত,বাংলা
জীবন মৃত্যু,এরিখ মারিয়া রেমার্ক,"",TK. 216,https://rokomari.com//book/125842/jivan-mrityu,"""জীবন মৃত্যু"" বইয়ের ফ্ল্যাপের লেখা:

প্রেমমৃত্যু ভালবাসার ছবি পরিস্ফুট হয়েছে উপন্যাসটির
অন্তরে অন্তরে। গোল্ডেন বিয়ারও আকাদেমি পুরস্কারে ভূষিত হয়েছিল। এই উপন্যাসের চিত্ররূপী হৃদয়গ্রাহী এই ক্ল্যাসিক উপন্যাস্টটি পড়তে পড়তে মন
ভারাক্রান্ত হবেই। রেমার্কের সেরা উপন্যাসের মধ্যে।",জীবন মৃত্যু,এরিখ মারিয়া রেমার্ক,উৎপল ভট্টাচার্য, ,এ পি পি (ভারত), ,"1st Published,2014",176,ভারত,বাংলা
স্বপ্নের খেলাঘর,জেমস হেডলি চেজ,"",TK. 180,https://rokomari.com//book/125837/swapner-khelaghar,"",স্বপ্নের খেলাঘর,জেমস হেডলি চেজ,পার্থ দত্ত, ,এ পি পি (ভারত), ,"1st Published,2012",160,ভারত,বাংলা
মডার্ণ কুক বুক,অনুরাধা রায়,"",TK. 90,https://rokomari.com//book/171489/modern-cook-book,"",মডার্ণ কুক বুক,অনুরাধা রায়, , ,এ পি পি (ভারত), ,2012, ,ভারত,বাংলা
ওগো বধূ সুন্দরী,জর্জ বার্নার্ড শো,"",TK. 180,https://rokomari.com//book/171490/ogo-bodhu-sundori,"",ওগো বধূ সুন্দরী,জর্জ বার্নার্ড শো, , ,এ পি পি (ভারত), ,2012, ,ভারত,বাংলা
পাঁচ নোবেলজয়ীর সেরা পাঁচটি উপন্যাস,অভিজিৎ দত্ত,"",TK. 360,https://rokomari.com//book/171492/pach-noveljoyir-sera-pachti-uponyas,"",পাঁচ নোবেলজয়ীর সেরা পাঁচটি উপন্যাস,অভিজিৎ দত্ত, , ,এ পি পি (ভারত), ,2015, ,ভারত,বাংলা
রবীন্দ্রনাথের বিবাহ বাসর,দুর্গাপদ চট্টোপাধ্যায়,"",TK. 180,https://rokomari.com//book/171494/rabindranather-bibah-basor,"",রবীন্দ্রনাথের বিবাহ বাসর,দুর্গাপদ চট্টোপাধ্যায়, , ,এ পি পি (ভারত), ,2015, ,ভারত,বাংলা
দেশ বিদেশের ভয়ঙ্কর ভুতুড়ে বাড়ি ও সত্যি ভূতের গল্প,শুভদেব চক্রবর্তী,"",TK. 288,https://rokomari.com//book/171495/desh-bidesher-voyongor-vuture-bari-o-sotyi-vuter-golpo,"",দেশ বিদেশের ভয়ঙ্কর ভুতুড়ে বাড়ি ও সত্যি ভূতের গল্প,শুভদেব চক্রবর্তী, , ,এ পি পি (ভারত), ,2015, ,ভারত,বাংলা
সরস হাসি রাশি রাশি,সেকেন্দার আলি সেখ,"",TK. 126,https://rokomari.com//book/171496/soros-hasi-rashi-rashi,"",সরস হাসি রাশি রাশি,সেকেন্দার আলি সেখ, , ,এ পি পি (ভারত), ,2015, ,ভারত,বাংলা
গোপালভাঁড় নাসিরুদ্দীন,কান্তি মজুমদার,"",TK. 54,https://rokomari.com//book/142834/gopalbhar-nasiruddin,"",গোপালভাঁড় নাসিরুদ্দীন, , ,কান্তি মজুমদার,এ পি পি (ভারত), ,2009, ,ভারত,বাংলা
