Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আধুনিক শিশুরোগ চিকিৎসা,ডাঃ মানিকলাল বন্দ্যোপাধ্যায়,"",TK. 900,https://rokomari.com//book/171477/adhunik-shishurog-chikitsa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d40c9918_171477.jpg,"",আধুনিক শিশুরোগ চিকিৎসা,ডাঃ মানিকলাল বন্দ্যোপাধ্যায়, , ,এবি পাবলিকেশন্স,9788190835565,"9th printed,2019",432,ভারত,বাংলা
হ্যান্ডবুক অফ ইনস্ট্রুমেন্টাল এন্ড প্র্যাকটিক্যাল প্যাথোলজি,ডাঃ অজিত কুমার ভুঁইয়া,"",TK. 900,https://rokomari.com//book/171454/handbook-of-instrument-and-practical-pathology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/83878d092_171454.jpg,"",হ্যান্ডবুক অফ ইনস্ট্রুমেন্টাল এন্ড প্র্যাকটিক্যাল প্যাথোলজি,ডাঃ অজিত কুমার ভুঁইয়া, , ,এবি পাবলিকেশন্স, ,2009, ,ভারত,বাংলা
পদার্থবিজ্ঞান (দ্বিতীয় বর্ষ অনার্স মেজর),ড. সাঈদুজ্জামান,TK. 270,TK. 203,https://rokomari.com//book/206872/physics--second-year-honors-major-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/78af0cbe9_206872.jpg,"",পদার্থবিজ্ঞান (দ্বিতীয় বর্ষ অনার্স মেজর),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"8th Edition,2020",256,বাংলাদেশ,বাংলা
নিউক্লিয়ার পদার্থবিজ্ঞান-১ (তৃতীয় বর্ষ অনার্স),ড. সাইদুজ্জামান,TK. 275,TK. 220,https://rokomari.com//book/207661/nuclear-physics-1--3rd-year-honors-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a4eee6739_207661.jpg,"",নিউক্লিয়ার পদার্থবিজ্ঞান-১ (তৃতীয় বর্ষ অনার্স),ড. সাইদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"4th Edition,2018",284,বাংলাদেশ,বাংলা
প্রাথমিক চিকিৎসা ও রক্তসংগ্রহ,অমর কুমার ঘোষাল,"",TK. 180,https://rokomari.com//book/171455/prathomik-chikitsa-o-raktosongroho--first-aid-and-blood-collection-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রাথমিক চিকিৎসা ও রক্তসংগ্রহ,অমর কুমার ঘোষাল, , ,এবি পাবলিকেশন্স, ,2009, ,ভারত,বাংলা
পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ নন-মেজর পদার্থবিজ্ঞান ২),ড. সাঈদুজ্জামান,TK. 295,TK. 221,https://rokomari.com//book/206870/physics--honors-first-year-non-major-physics-2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f73315a62_206870.jpg,"",পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ নন-মেজর পদার্থবিজ্ঞান ২),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"11th Edition,2020",936,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (অনার্স দ্বিতীয় বর্ষ মেজর পদার্থবিজ্ঞান),ড. সাঈদুজ্জামান,TK. 360,TK. 270,https://rokomari.com//book/206867/physics--honors--second-year-major-physics-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e7c61eb69_206867.jpg,"",পদার্থবিজ্ঞান (অনার্স দ্বিতীয় বর্ষ মেজর পদার্থবিজ্ঞান),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"9th Edition,2020",526,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ নন-মেজর পদার্থবিজ্ঞান-১),ড. সাঈদুজ্জামান,TK. 280,TK. 210,https://rokomari.com//book/206866/physics--honors-first-year-non-major-physics-1-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05e940748_206866.jpg,"",পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ নন-মেজর পদার্থবিজ্ঞান-১),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"10th Edition,2020",624,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ মেজর পদার্থবিজ্ঞান-৩),ড. সাঈদুজ্জামান,TK. 290,TK. 218,https://rokomari.com//book/206865/physics--honors-first-year-major-physics-3-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0b1110452_206865.jpg,"",পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ মেজর পদার্থবিজ্ঞান-৩),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"10th Edition,2020",340,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ মেজর পদার্থবিজ্ঞান-২),ড. সাঈদুজ্জামান,TK. 290,TK. 218,https://rokomari.com//book/206864/physics--honors-first-year-major-physics-2-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/206a28296_206864.jpg,"",পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ মেজর পদার্থবিজ্ঞান-২),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"9th Edition,2020",320,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ মেজর পদার্থবিজ্ঞান ১),ড. সাঈদুজ্জামান,TK. 290,TK. 218,https://rokomari.com//book/206863/physics--honors-first-year-major-physics-1-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b93b62e7e_206863.jpg,"",পদার্থবিজ্ঞান (অনার্স প্রথম বর্ষ মেজর পদার্থবিজ্ঞান ১),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"9th Edition,2020",352,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণী),ড. সাঈদুজ্জামান,TK. 290,TK. 218,https://rokomari.com//book/206888/physics-first-paper--class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a99710c29_206888.jpg,"",পদার্থবিজ্ঞান প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণী),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"3rd Edition,2018",684,বাংলাদেশ,বাংলা
ইলেকট্রনিক্স ১ (তৃতীয় বর্ষ অনার্স),ড. সাঈদুজ্জামান,TK. 270,TK. 203,https://rokomari.com//book/206887/electronics-1--third-year-honors-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/965e8390d_206887.jpg,"",ইলেকট্রনিক্স ১ (তৃতীয় বর্ষ অনার্স),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স,9789843438485,"11st Published,2019",312,বাংলাদেশ,বাংলা
সলিড স্টেট ফিজিক্স ১ (তৃতীয় বর্ষ অনার্স),ড. সাঈদুজ্জামান,TK. 270,TK. 203,https://rokomari.com//book/206886/solid-state-physics-1--third-year-honors-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c0541903_206886.jpg,"",সলিড স্টেট ফিজিক্স ১ (তৃতীয় বর্ষ অনার্স),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স,9789843438488,"11st Published,2019",304,বাংলাদেশ,বাংলা
অনার্স তৃতীয় বর্ষ পারমাণবিক ও আণবিক পদার্থবিজ্ঞান,ড. সাঈদুজ্জামান,TK. 260,TK. 195,https://rokomari.com//book/206885/honors-third-year-atomic-and-molecular-physics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1016eafa4_206885.jpg,"",অনার্স তৃতীয় বর্ষ পারমাণবিক ও আণবিক পদার্থবিজ্ঞান,ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"1st Published,2020",296,বাংলাদেশ,বাংলা
"ফিজিক্স সলিড স্টেট (অনার্স ৩য় বর্ষ, ৪র্থ বর্ষ ও মাস্টার্স এর জন্য)",ড. সাঈদুজ্জামান,TK. 380,TK. 285,https://rokomari.com//book/206884/physics-solid-state--honors-3rd-year--4th-year-and-masters-er-jonno-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6695d87fe_206884.jpg,"","ফিজিক্স সলিড স্টেট (অনার্স ৩য় বর্ষ,৪র্থ বর্ষ ও মাস্টার্স এর জন্য)",ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স,9789843438478,"15th Edition,2019",472,বাংলাদেশ,বাংলা
"বেসিক ইলেকট্রনিক্স (অনার্স ৩য় বর্ষ, ৪র্থ বর্ষ ও মাস্টার্স এর জন্য)",ড. সাঈদুজ্জামান,TK. 315,TK. 236,https://rokomari.com//book/206883/basic-electronics--honors-3rd-year--4th-year-o-masters-er-jonno-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8949fdefa_206883.jpg,"","বেসিক ইলেকট্রনিক্স (অনার্স ৩য় বর্ষ,৪র্থ বর্ষ ও মাস্টার্স এর জন্য)",ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"10th Edition,2020",560,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (দ্বিতীয় বর্ষ অনার্স নন-মেজর পদার্থবিজ্ঞান ৩),ড. সাঈদুজ্জামান,TK. 380,TK. 285,https://rokomari.com//book/206879/physics--second-year-honors-non-major-physics-3-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/48b9027c0_206879.jpg,"",পদার্থবিজ্ঞান (দ্বিতীয় বর্ষ অনার্স নন-মেজর পদার্থবিজ্ঞান ৩),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"11th Edition,2020",560,বাংলাদেশ,বাংলা
পদার্থবিজ্ঞান (দ্বিতীয় বর্ষ মেজর পদার্থবিজ্ঞান),ড. সাঈদুজ্জামান,TK. 315,TK. 236,https://rokomari.com//book/206873/physics--2nd-year-major-physics-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb3cadd48_206873.jpg,"",পদার্থবিজ্ঞান (দ্বিতীয় বর্ষ মেজর পদার্থবিজ্ঞান),ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"3rd Edition,2020",354,বাংলাদেশ,বাংলা
হ্যান্ডবুক অফ এ্যানাটমি এ্যান্ড ফিজিওলজি,এ. কে. এম. চাকলাদার,"",TK. 720,https://rokomari.com//book/171475/handbook-of-anatomy--and-physiology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হ্যান্ডবুক অফ এ্যানাটমি এ্যান্ড ফিজিওলজি,এ. কে. এম. চাকলাদার, , ,এবি পাবলিকেশন্স, ,2009, ,ভারত,বাংলা
বেসিক ইলেকট্রনিক্স,ড. সাঈদুজ্জামান,TK. 280,TK. 238,https://rokomari.com//book/116095/basic-electronics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/13f57f813264_116095.gif,"",বেসিক ইলেকট্রনিক্স,ড. সাঈদুজ্জামান, , ,এবি পাবলিকেশন্স, ,"8th Edition,2015",560,বাংলাদেশ,বাংলা
